TF_a	TF_b	num_site_TF_b	exact	window
VDR.hg38.10000	VDR.hg38.10000	10000	10000	10000
VDR.hg38.10000	RXRA.hg38.10000	10000	161	3357
VDR.hg38.10000	RBPJ.hg38.10000	10000	137	2610
VDR.hg38.10000	FOXM1.hg38.10000	10000	133	2099
VDR.hg38.10000	STAT1.hg38.10000	10000	131	2682
VDR.hg38.10000	ZBTB33.hg38.10000	10000	130	2413
VDR.hg38.10000	TP53.hg38.10000	10000	127	1569
VDR.hg38.10000	RELA.hg38.10000	10000	121	2522
VDR.hg38.10000	BCL6.hg38.10000	10000	120	2015
VDR.hg38.10000	ETS1.hg38.10000	10000	113	2614
VDR.hg38.10000	GABPA.hg38.10000	10000	105	2458
VDR.hg38.10000	SIX5.hg38.10000	10000	99	2282
VDR.hg38.10000	ZNF143.hg38.10000	10000	99	2118
VDR.hg38.10000	RARA.hg38.10000	10000	98	2398
VDR.hg38.10000	HIF1A.hg38.10000	10000	95	2197
VDR.hg38.10000	IRF1.hg38.10000	10000	94	1910
VDR.hg38.10000	NR2C2.hg38.10000	10000	93	1979
VDR.hg38.10000	TCF12.hg38.10000	10000	90	2480
VDR.hg38.10000	LEF1.hg38.10000	10000	90	1457
VDR.hg38.10000	IRF2.hg38.10000	10000	86	1907
VDR.hg38.10000	ERG.hg38.10000	10000	85	2501
VDR.hg38.10000	CREB1.hg38.10000	10000	84	2512
VDR.hg38.10000	RUNX1.hg38.10000	10000	83	2455
VDR.hg38.10000	ELF1.hg38.10000	10000	83	2431
VDR.hg38.10000	KLF10.hg38.10000	10000	83	2293
VDR.hg38.10000	STAT5A.hg38.10000	10000	83	1769
VDR.hg38.10000	ZNF341.hg38.10000	10000	82	1301
VDR.hg38.10000	CREM.hg38.10000	10000	81	2417
VDR.hg38.10000	FOXP1.hg38.10000	10000	76	2137
VDR.hg38.10000	XBP1.hg38.10000	10000	76	976
VDR.hg38.10000	THAP11.hg38.10000	10000	75	2064
VDR.hg38.10000	ZNF574.hg38.10000	10000	74	1822
VDR.hg38.10000	ZEB1.hg38.10000	10000	74	1401
VDR.hg38.10000	STAT3.hg38.10000	10000	72	1846
VDR.hg38.10000	ZFP42.hg38.10000	10000	71	1638
VDR.hg38.10000	GMEB2.hg38.10000	10000	66	2292
VDR.hg38.10000	STAT6.hg38.10000	10000	65	1346
VDR.hg38.10000	RARG.hg38.10000	10000	65	1268
VDR.hg38.10000	POU5F1.hg38.10000	10000	65	843
VDR.hg38.10000	SRF.hg38.10000	10000	64	1375
VDR.hg38.10000	SP2.hg38.10000	10000	63	1831
VDR.hg38.10000	FLI1.hg38.10000	10000	61	1950
VDR.hg38.10000	POU3F2.hg38.10000	10000	61	1311
VDR.hg38.10000	SOX2.hg38.10000	10000	61	570
VDR.hg38.10000	JUN.hg38.10000	10000	60	2113
VDR.hg38.10000	YY1.hg38.10000	10000	59	2296
VDR.hg38.10000	ZNF324.hg38.10000	10000	59	1591
VDR.hg38.10000	MAF.hg38.10000	10000	59	1379
VDR.hg38.10000	MYC.hg38.10000	10000	57	2469
VDR.hg38.10000	SP1.hg38.10000	10000	57	2214
VDR.hg38.10000	CXXC1.hg38.10000	10000	57	2066
VDR.hg38.10000	SMAD4.hg38.10000	10000	57	1368
VDR.hg38.10000	KLF5.hg38.10000	10000	56	1983
VDR.hg38.10000	PAX5.hg38.10000	10000	56	1459
VDR.hg38.10000	MYCN.hg38.10000	10000	54	2168
VDR.hg38.10000	SOX9.hg38.10000	10000	54	1605
VDR.hg38.10000	SOX4.hg38.10000	10000	53	1854
VDR.hg38.10000	IRF4.hg38.10000	10000	53	1308
VDR.hg38.10000	ETV4.hg38.10000	10000	52	1717
VDR.hg38.10000	E2F8.hg38.10000	10000	52	1707
VDR.hg38.10000	SP4.hg38.10000	10000	52	1391
VDR.hg38.10000	ATF1.hg38.10000	10000	51	1844
VDR.hg38.10000	EPAS1.hg38.10000	10000	51	1211
VDR.hg38.10000	RELB.hg38.10000	10000	51	1134
VDR.hg38.10000	PATZ1.hg38.10000	10000	50	1448
VDR.hg38.10000	SREBF2.hg38.10000	10000	50	1446
VDR.hg38.10000	ZBTB11.hg38.10000	10000	49	1633
VDR.hg38.10000	ASCL1.hg38.10000	10000	49	561
VDR.hg38.10000	ATF3.hg38.10000	10000	48	1713
VDR.hg38.10000	TRPS1.hg38.10000	10000	48	1597
VDR.hg38.10000	IKZF5.hg38.10000	10000	48	1298
VDR.hg38.10000	ZBTB17.hg38.10000	10000	47	1453
VDR.hg38.10000	TBP.hg38.10000	10000	46	2405
VDR.hg38.10000	ZNF22.hg38.10000	10000	46	273
VDR.hg38.10000	REL.hg38.10000	10000	45	1560
VDR.hg38.10000	NR2F2.hg38.10000	10000	45	1248
VDR.hg38.10000	MYNN.hg38.10000	10000	45	984
VDR.hg38.10000	NR4A1.hg38.10000	10000	45	939
VDR.hg38.10000	MECOM.hg38.10000	10000	44	1638
VDR.hg38.10000	ZNF680.hg38.10000	10000	44	472
VDR.hg38.10000	KLF6.hg38.10000	10000	43	1818
VDR.hg38.10000	RFX5.hg38.10000	10000	43	1517
VDR.hg38.10000	KLF16.hg38.10000	10000	43	1418
VDR.hg38.10000	TBX21.hg38.10000	10000	43	1209
VDR.hg38.10000	ZNF778.hg38.10000	10000	43	957
VDR.hg38.10000	MAX.hg38.10000	10000	42	2284
VDR.hg38.10000	ETV5.hg38.10000	10000	42	1928
VDR.hg38.10000	FOXP3.hg38.10000	10000	42	1374
VDR.hg38.10000	ZKSCAN1.hg38.10000	10000	42	1085
VDR.hg38.10000	STAT5B.hg38.10000	10000	41	1584
VDR.hg38.10000	PPARG.hg38.10000	10000	41	1304
VDR.hg38.10000	USF1.hg38.10000	10000	41	1259
VDR.hg38.10000	FOXK1.hg38.10000	10000	41	898
VDR.hg38.10000	ZNF184.hg38.10000	10000	41	652
VDR.hg38.10000	MYBL2.hg38.10000	10000	40	1301
