TF_a	TF_b	num_site_TF_b	exact	window
YY1.hg38.10000	YY1.hg38.10000	10000	10000	10000
YY1.hg38.10000	YY2.hg38.10000	10000	198	4522
YY1.hg38.10000	TBP.hg38.10000	10000	127	4925
YY1.hg38.10000	STAT1.hg38.10000	10000	108	3717
YY1.hg38.10000	ETS1.hg38.10000	10000	106	4166
YY1.hg38.10000	CREB1.hg38.10000	10000	105	4770
YY1.hg38.10000	SIX5.hg38.10000	10000	103	4425
YY1.hg38.10000	SMAD5.hg38.10000	10000	102	3810
YY1.hg38.10000	MYCN.hg38.10000	10000	100	4248
YY1.hg38.10000	ZNF143.hg38.10000	10000	95	3848
YY1.hg38.10000	SRF.hg38.10000	10000	95	2217
YY1.hg38.10000	CREM.hg38.10000	10000	94	4245
YY1.hg38.10000	MYC.hg38.10000	10000	91	4930
YY1.hg38.10000	ELF1.hg38.10000	10000	84	4545
YY1.hg38.10000	IRF2.hg38.10000	10000	83	2905
YY1.hg38.10000	FOXM1.hg38.10000	10000	82	2553
YY1.hg38.10000	THAP11.hg38.10000	10000	81	3488
YY1.hg38.10000	TCF12.hg38.10000	10000	80	2962
YY1.hg38.10000	MAX.hg38.10000	10000	79	4585
YY1.hg38.10000	KLF10.hg38.10000	10000	79	4287
YY1.hg38.10000	RBPJ.hg38.10000	10000	73	4024
YY1.hg38.10000	CTCF.hg38.10000	10000	73	1614
YY1.hg38.10000	ZNF574.hg38.10000	10000	70	2747
YY1.hg38.10000	SP1.hg38.10000	10000	69	4657
YY1.hg38.10000	FOXP1.hg38.10000	10000	69	2952
YY1.hg38.10000	BCL6.hg38.10000	10000	68	2044
YY1.hg38.10000	ZFP42.hg38.10000	10000	67	3562
YY1.hg38.10000	KLF16.hg38.10000	10000	67	2093
YY1.hg38.10000	GMEB2.hg38.10000	10000	66	4521
YY1.hg38.10000	ATF1.hg38.10000	10000	66	3329
YY1.hg38.10000	CTCFL.hg38.10000	10000	66	2260
YY1.hg38.10000	E2F1.hg38.10000	10000	65	5025
YY1.hg38.10000	GABPA.hg38.10000	10000	65	4314
YY1.hg38.10000	RXRA.hg38.10000	10000	65	2814
YY1.hg38.10000	IKZF5.hg38.10000	10000	65	1862
YY1.hg38.10000	ETV5.hg38.10000	10000	62	3096
YY1.hg38.10000	REST.hg38.10000	10000	60	2142
YY1.hg38.10000	HEY1.hg38.10000	10000	59	4119
YY1.hg38.10000	MXI1.hg38.10000	10000	59	3826
YY1.hg38.10000	RELA.hg38.10000	10000	59	2895
YY1.hg38.10000	VDR.hg38.10000	10000	59	2424
YY1.hg38.10000	ERG.hg38.10000	10000	58	4051
YY1.hg38.10000	TFDP1.hg38.10000	10000	56	3535
YY1.hg38.10000	SOX17.hg38.10000	10000	56	1168
YY1.hg38.10000	E2F4.hg38.10000	10000	55	3894
YY1.hg38.10000	KLF6.hg38.10000	10000	55	3162
YY1.hg38.10000	RUNX1.hg38.10000	10000	55	2932
YY1.hg38.10000	POU2F2.hg38.10000	10000	54	2277
YY1.hg38.10000	ZNF580.hg38.10000	10000	54	2119
YY1.hg38.10000	ZBTB33.hg38.10000	10000	53	3176
YY1.hg38.10000	SMAD4.hg38.10000	10000	51	1711
YY1.hg38.10000	SOX9.hg38.10000	10000	50	2591
YY1.hg38.10000	ZSCAN9.hg38.10000	10000	50	1837
YY1.hg38.10000	ELF4.hg38.10000	10000	49	3201
YY1.hg38.10000	ZBTB11.hg38.10000	10000	49	2923
YY1.hg38.10000	ZKSCAN1.hg38.10000	10000	49	1544
YY1.hg38.10000	SOX4.hg38.10000	10000	48	2907
YY1.hg38.10000	HIF1A.hg38.10000	10000	48	2644
YY1.hg38.10000	ZNF444.hg38.10000	10000	48	1902
YY1.hg38.10000	ETV4.hg38.10000	10000	47	2273
YY1.hg38.10000	BCL11B.hg38.10000	10000	45	3547
YY1.hg38.10000	ZSCAN22.hg38.10000	10000	45	2260
YY1.hg38.10000	ZBTB17.hg38.10000	10000	45	1944
YY1.hg38.10000	ZNF792.hg38.10000	10000	45	1909
YY1.hg38.10000	RFX5.hg38.10000	10000	44	2575
YY1.hg38.10000	E2F8.hg38.10000	10000	43	2514
YY1.hg38.10000	ATF3.hg38.10000	10000	43	1938
YY1.hg38.10000	ZFP1.hg38.10000	10000	43	1379
YY1.hg38.10000	E2F6.hg38.10000	10000	42	3086
YY1.hg38.10000	STAT3.hg38.10000	10000	42	1802
YY1.hg38.10000	NEUROD1.hg38.10000	10000	41	1968
