TF_a	TF_b	num_site_TF_b	exact	window
ZBTB11.hg38.10000	ZBTB11.hg38.10000	10000	10000	10000
ZBTB11.hg38.10000	GABPA.hg38.10000	10000	157	4746
ZBTB11.hg38.10000	SIX5.hg38.10000	10000	133	3498
ZBTB11.hg38.10000	THAP11.hg38.10000	10000	108	2862
ZBTB11.hg38.10000	KLF10.hg38.10000	10000	96	3560
ZBTB11.hg38.10000	ETS1.hg38.10000	10000	90	3726
ZBTB11.hg38.10000	ZNF143.hg38.10000	10000	88	2649
ZBTB11.hg38.10000	ZNF680.hg38.10000	10000	84	981
ZBTB11.hg38.10000	ERG.hg38.10000	10000	83	3688
ZBTB11.hg38.10000	CREM.hg38.10000	10000	77	3133
ZBTB11.hg38.10000	ELF1.hg38.10000	10000	72	4052
ZBTB11.hg38.10000	STAT1.hg38.10000	10000	68	2667
ZBTB11.hg38.10000	ETV1.hg38.10000	10000	67	3258
ZBTB11.hg38.10000	FLI1.hg38.10000	10000	67	2889
ZBTB11.hg38.10000	CREB1.hg38.10000	10000	65	3362
ZBTB11.hg38.10000	ELF4.hg38.10000	10000	65	3168
ZBTB11.hg38.10000	ELK4.hg38.10000	10000	64	3220
ZBTB11.hg38.10000	IRF2.hg38.10000	10000	61	2011
ZBTB11.hg38.10000	RUNX1.hg38.10000	10000	59	2295
ZBTB11.hg38.10000	TBP.hg38.10000	10000	54	3321
ZBTB11.hg38.10000	ZNF574.hg38.10000	10000	52	2021
ZBTB11.hg38.10000	BCL6.hg38.10000	10000	52	1553
ZBTB11.hg38.10000	ERF.hg38.10000	10000	52	1481
ZBTB11.hg38.10000	GMEB2.hg38.10000	10000	50	3269
ZBTB11.hg38.10000	E4F1.hg38.10000	10000	50	2748
ZBTB11.hg38.10000	YY1.hg38.10000	10000	49	2997
ZBTB11.hg38.10000	VDR.hg38.10000	10000	49	1762
ZBTB11.hg38.10000	MYC.hg38.10000	10000	48	3300
ZBTB11.hg38.10000	FOXP1.hg38.10000	10000	47	2102
ZBTB11.hg38.10000	ETV5.hg38.10000	10000	46	2351
ZBTB11.hg38.10000	TCF12.hg38.10000	10000	45	2156
ZBTB11.hg38.10000	ZEB2.hg38.10000	10000	45	1297
ZBTB11.hg38.10000	ATF1.hg38.10000	10000	44	2309
ZBTB11.hg38.10000	SRF.hg38.10000	10000	44	1155
ZBTB11.hg38.10000	NR2C2.hg38.10000	10000	43	2309
ZBTB11.hg38.10000	RXRA.hg38.10000	10000	43	2034
ZBTB11.hg38.10000	RBPJ.hg38.10000	10000	42	2795
ZBTB11.hg38.10000	ETV4.hg38.10000	10000	41	2100
ZBTB11.hg38.10000	FOXM1.hg38.10000	10000	41	1558
ZBTB11.hg38.10000	MXI1.hg38.10000	10000	40	2740
ZBTB11.hg38.10000	KLF5.hg38.10000	10000	40	2383
ZBTB11.hg38.10000	ZNF324.hg38.10000	10000	40	1471
ZBTB11.hg38.10000	IRF1.hg38.10000	10000	38	1510
ZBTB11.hg38.10000	STAT5A.hg38.10000	10000	38	1463
ZBTB11.hg38.10000	ZNF444.hg38.10000	10000	38	1342
ZBTB11.hg38.10000	SP2.hg38.10000	10000	37	2673
ZBTB11.hg38.10000	ELK3.hg38.10000	10000	37	2204
ZBTB11.hg38.10000	MYCN.hg38.10000	10000	36	2699
ZBTB11.hg38.10000	JUN.hg38.10000	10000	36	1746
ZBTB11.hg38.10000	USF1.hg38.10000	10000	36	1496
ZBTB11.hg38.10000	ZNF580.hg38.10000	10000	36	1408
ZBTB11.hg38.10000	E2F8.hg38.10000	10000	35	2091
ZBTB11.hg38.10000	STAT3.hg38.10000	10000	35	1433
ZBTB11.hg38.10000	SOX17.hg38.10000	10000	35	738
ZBTB11.hg38.10000	BCL11B.hg38.10000	10000	34	2539
ZBTB11.hg38.10000	ZBTB33.hg38.10000	10000	33	2202
ZBTB11.hg38.10000	HIF1A.hg38.10000	10000	33	1868
ZBTB11.hg38.10000	MBD2.hg38.10000	10000	33	1652
ZBTB11.hg38.10000	ZNF792.hg38.10000	10000	33	1244
ZBTB11.hg38.10000	SP1.hg38.10000	10000	32	3154
ZBTB11.hg38.10000	NFYC.hg38.10000	10000	32	2423
ZBTB11.hg38.10000	KLF6.hg38.10000	10000	32	2255
ZBTB11.hg38.10000	RELA.hg38.10000	10000	32	2123
ZBTB11.hg38.10000	SOX9.hg38.10000	10000	32	1761
ZBTB11.hg38.10000	MAX.hg38.10000	10000	31	3001
ZBTB11.hg38.10000	SMAD5.hg38.10000	10000	31	2708
ZBTB11.hg38.10000	TFDP1.hg38.10000	10000	30	2503
ZBTB11.hg38.10000	SOX4.hg38.10000	10000	30	2028
ZBTB11.hg38.10000	E2F4.hg38.10000	10000	29	2551
ZBTB11.hg38.10000	SP4.hg38.10000	10000	29	1825
