TF_a	TF_b	num_site_TF_b	exact	window
ZEB2.hg38.10000	ZEB2.hg38.10000	10000	10000	10000
ZEB2.hg38.10000	SOX6.hg38.10000	10000	104	2569
ZEB2.hg38.10000	CEBPD.hg38.10000	10000	77	2269
ZEB2.hg38.10000	STAT5A.hg38.10000	10000	67	1943
ZEB2.hg38.10000	KLF16.hg38.10000	10000	63	1867
ZEB2.hg38.10000	GATA1.hg38.10000	10000	52	2035
ZEB2.hg38.10000	TCF12.hg38.10000	10000	52	1735
ZEB2.hg38.10000	ZEB1.hg38.10000	10000	51	2139
ZEB2.hg38.10000	JUN.hg38.10000	10000	47	1539
ZEB2.hg38.10000	TAL1.hg38.10000	10000	46	1886
ZEB2.hg38.10000	SMAD1.hg38.10000	10000	45	1964
ZEB2.hg38.10000	ZBTB11.hg38.10000	10000	45	1180
ZEB2.hg38.10000	ZNF217.hg38.10000	10000	44	1143
ZEB2.hg38.10000	ETS1.hg38.10000	10000	42	1354
ZEB2.hg38.10000	ZNF143.hg38.10000	10000	40	1250
ZEB2.hg38.10000	HES1.hg38.10000	10000	39	1115
ZEB2.hg38.10000	FOS.hg38.10000	10000	38	1368
ZEB2.hg38.10000	FOXK2.hg38.10000	10000	37	1740
ZEB2.hg38.10000	ZNF444.hg38.10000	10000	37	1027
ZEB2.hg38.10000	JUND.hg38.10000	10000	34	1213
ZEB2.hg38.10000	ATF3.hg38.10000	10000	33	1508
ZEB2.hg38.10000	MYNN.hg38.10000	10000	33	1357
ZEB2.hg38.10000	SIX5.hg38.10000	10000	33	1280
ZEB2.hg38.10000	PATZ1.hg38.10000	10000	33	1144
ZEB2.hg38.10000	CREM.hg38.10000	10000	32	1599
ZEB2.hg38.10000	E4F1.hg38.10000	10000	32	1553
ZEB2.hg38.10000	STAT2.hg38.10000	10000	31	1413
ZEB2.hg38.10000	MEIS2.hg38.10000	10000	31	1051
ZEB2.hg38.10000	MBD2.hg38.10000	10000	31	1000
ZEB2.hg38.10000	ZBTB33.hg38.10000	10000	30	1082
ZEB2.hg38.10000	ELF4.hg38.10000	10000	29	1474
ZEB2.hg38.10000	ARNT.hg38.10000	10000	29	1339
ZEB2.hg38.10000	KLF5.hg38.10000	10000	29	1316
ZEB2.hg38.10000	IRF2.hg38.10000	10000	29	1218
ZEB2.hg38.10000	STAT1.hg38.10000	10000	28	1483
ZEB2.hg38.10000	RUNX1.hg38.10000	10000	28	1141
ZEB2.hg38.10000	GATA2.hg38.10000	10000	28	1076
ZEB2.hg38.10000	SP7.hg38.10000	10000	28	1000
ZEB2.hg38.10000	NFE2.hg38.10000	10000	27	1365
ZEB2.hg38.10000	GMEB2.hg38.10000	10000	27	1332
ZEB2.hg38.10000	VEZF1.hg38.10000	10000	27	1280
ZEB2.hg38.10000	STAT3.hg38.10000	10000	27	1105
ZEB2.hg38.10000	FOSL1.hg38.10000	10000	27	1031
ZEB2.hg38.10000	ZNF580.hg38.10000	10000	26	937
ZEB2.hg38.10000	THAP11.hg38.10000	10000	25	1127
ZEB2.hg38.10000	NFATC3.hg38.10000	10000	25	940
ZEB2.hg38.10000	FOSL2.hg38.10000	10000	25	889
ZEB2.hg38.10000	ZNF184.hg38.10000	10000	25	884
ZEB2.hg38.10000	GATA4.hg38.10000	10000	25	801
ZEB2.hg38.10000	CREB1.hg38.10000	10000	24	1517
ZEB2.hg38.10000	KLF10.hg38.10000	10000	24	1418
ZEB2.hg38.10000	ZNF574.hg38.10000	10000	24	1192
ZEB2.hg38.10000	FOXM1.hg38.10000	10000	24	1167
ZEB2.hg38.10000	TRPS1.hg38.10000	10000	24	1145
ZEB2.hg38.10000	ATF1.hg38.10000	10000	23	1313
ZEB2.hg38.10000	GABPA.hg38.10000	10000	23	1291
ZEB2.hg38.10000	ZNF324.hg38.10000	10000	23	1144
ZEB2.hg38.10000	KLF6.hg38.10000	10000	23	1060
ZEB2.hg38.10000	MYB.hg38.10000	10000	23	913
ZEB2.hg38.10000	ZNF701.hg38.10000	10000	23	897
ZEB2.hg38.10000	PBX2.hg38.10000	10000	23	890
ZEB2.hg38.10000	GATA6.hg38.10000	10000	23	762
ZEB2.hg38.10000	MYC.hg38.10000	10000	22	1367
ZEB2.hg38.10000	HIF1A.hg38.10000	10000	22	1201
ZEB2.hg38.10000	NR1H2.hg38.10000	10000	22	989
