TF_a	TF_b	num_site_TF_b	exact	window
ZFP42.hg38.10000	ZFP42.hg38.10000	10000	10000	10000
ZFP42.hg38.10000	RBPJ.hg38.10000	10000	113	3567
ZFP42.hg38.10000	CREB1.hg38.10000	10000	111	4150
ZFP42.hg38.10000	LEF1.hg38.10000	10000	91	2810
ZFP42.hg38.10000	CREM.hg38.10000	10000	87	3509
ZFP42.hg38.10000	SIX5.hg38.10000	10000	83	3458
ZFP42.hg38.10000	PATZ1.hg38.10000	10000	83	2839
ZFP42.hg38.10000	ATF1.hg38.10000	10000	74	2970
ZFP42.hg38.10000	ATF3.hg38.10000	10000	74	1875
ZFP42.hg38.10000	XBP1.hg38.10000	10000	74	1315
ZFP42.hg38.10000	VDR.hg38.10000	10000	71	1868
ZFP42.hg38.10000	SP1.hg38.10000	10000	68	4369
ZFP42.hg38.10000	YY1.hg38.10000	10000	67	3879
ZFP42.hg38.10000	THAP11.hg38.10000	10000	67	2893
ZFP42.hg38.10000	CXXC1.hg38.10000	10000	66	4019
ZFP42.hg38.10000	ZNF341.hg38.10000	10000	65	1957
ZFP42.hg38.10000	ERG.hg38.10000	10000	62	3303
ZFP42.hg38.10000	ZEB1.hg38.10000	10000	62	1664
ZFP42.hg38.10000	KLF10.hg38.10000	10000	58	3623
ZFP42.hg38.10000	RELA.hg38.10000	10000	57	2302
ZFP42.hg38.10000	ZNF22.hg38.10000	10000	57	325
ZFP42.hg38.10000	IRF1.hg38.10000	10000	56	1751
ZFP42.hg38.10000	ETS1.hg38.10000	10000	55	3044
ZFP42.hg38.10000	ZBTB33.hg38.10000	10000	55	2500
ZFP42.hg38.10000	GABPA.hg38.10000	10000	54	3427
ZFP42.hg38.10000	STAT1.hg38.10000	10000	52	2637
ZFP42.hg38.10000	TP53.hg38.10000	10000	52	1077
ZFP42.hg38.10000	HIF1A.hg38.10000	10000	51	2358
ZFP42.hg38.10000	E2F4.hg38.10000	10000	50	3296
ZFP42.hg38.10000	YY2.hg38.10000	10000	50	2848
ZFP42.hg38.10000	ZNF324.hg38.10000	10000	50	1776
ZFP42.hg38.10000	GMEB2.hg38.10000	10000	47	3847
ZFP42.hg38.10000	FOXP1.hg38.10000	10000	46	2457
ZFP42.hg38.10000	RFX5.hg38.10000	10000	46	2265
ZFP42.hg38.10000	ELF1.hg38.10000	10000	45	3614
ZFP42.hg38.10000	SP4.hg38.10000	10000	45	2766
ZFP42.hg38.10000	STAT6.hg38.10000	10000	45	1212
ZFP42.hg38.10000	ZNF184.hg38.10000	10000	45	715
ZFP42.hg38.10000	ZNF680.hg38.10000	10000	45	565
ZFP42.hg38.10000	ZNF143.hg38.10000	10000	44	2674
ZFP42.hg38.10000	ZNF768.hg38.10000	10000	43	533
ZFP42.hg38.10000	MYCN.hg38.10000	10000	42	3293
ZFP42.hg38.10000	BCL11B.hg38.10000	10000	42	3045
ZFP42.hg38.10000	NR2C2.hg38.10000	10000	42	2118
ZFP42.hg38.10000	FOXM1.hg38.10000	10000	42	1950
ZFP42.hg38.10000	SOX2.hg38.10000	10000	42	833
ZFP42.hg38.10000	REL.hg38.10000	10000	41	1592
ZFP42.hg38.10000	ZBTB26.hg38.10000	10000	40	3332
ZFP42.hg38.10000	POU3F2.hg38.10000	10000	40	1926
ZFP42.hg38.10000	SRF.hg38.10000	10000	40	1422
ZFP42.hg38.10000	NFYC.hg38.10000	10000	39	3106
ZFP42.hg38.10000	RARG.hg38.10000	10000	39	1218
ZFP42.hg38.10000	TBP.hg38.10000	10000	38	3731
ZFP42.hg38.10000	MAX.hg38.10000	10000	38	3559
ZFP42.hg38.10000	NFYA.hg38.10000	10000	37	3307
ZFP42.hg38.10000	ZNF574.hg38.10000	10000	37	1932
ZFP42.hg38.10000	E2F1.hg38.10000	10000	36	4344
ZFP42.hg38.10000	ELK4.hg38.10000	10000	36	2628
ZFP42.hg38.10000	BCL6.hg38.10000	10000	36	1486
ZFP42.hg38.10000	SP2.hg38.10000	10000	35	3189
ZFP42.hg38.10000	MAZ.hg38.10000	10000	35	3131
ZFP42.hg38.10000	ZIC2.hg38.10000	10000	35	1425
ZFP42.hg38.10000	ZFP64.hg38.10000	10000	35	1206
ZFP42.hg38.10000	POU5F1.hg38.10000	10000	35	1041
ZFP42.hg38.10000	MYC.hg38.10000	10000	34	3962
ZFP42.hg38.10000	ETV1.hg38.10000	10000	34	2587
ZFP42.hg38.10000	TCF12.hg38.10000	10000	34	2219
ZFP42.hg38.10000	STAT5A.hg38.10000	10000	34	1444
ZFP42.hg38.10000	RELB.hg38.10000	10000	34	877
ZFP42.hg38.10000	ETV5.hg38.10000	10000	33	2721
ZFP42.hg38.10000	KMT2A.hg38.10000	10000	32	3665
ZFP42.hg38.10000	RARA.hg38.10000	10000	32	1901
ZFP42.hg38.10000	PPARD.hg38.10000	10000	32	946
ZFP42.hg38.10000	KLF6.hg38.10000	10000	31	2584
ZFP42.hg38.10000	SOX9.hg38.10000	10000	31	2240
ZFP42.hg38.10000	OVOL2.hg38.10000	10000	31	1606
ZFP42.hg38.10000	MECP2.hg38.10000	10000	31	1058
ZFP42.hg38.10000	KLF5.hg38.10000	10000	30	3041
ZFP42.hg38.10000	MBD2.hg38.10000	10000	30	2188
