TF_a	TF_b	num_site_TF_b	exact	window
ZFX.hg38.10000	ZFX.hg38.10000	10000	10000	10000
ZFX.hg38.10000	CXXC1.hg38.10000	10000	76	5886
ZFX.hg38.10000	KMT2A.hg38.10000	10000	63	6125
ZFX.hg38.10000	KDM2B.hg38.10000	10000	49	4828
ZFX.hg38.10000	MYC.hg38.10000	10000	43	5957
ZFX.hg38.10000	HEY1.hg38.10000	10000	32	4927
ZFX.hg38.10000	ERG.hg38.10000	10000	28	4734
ZFX.hg38.10000	NFATC1.hg38.10000	10000	25	4362
ZFX.hg38.10000	MYCN.hg38.10000	10000	24	4658
ZFX.hg38.10000	SMAD5.hg38.10000	10000	24	4398
ZFX.hg38.10000	MAX.hg38.10000	10000	23	5072
ZFX.hg38.10000	ZBTB26.hg38.10000	10000	22	4613
ZFX.hg38.10000	ZBTB14.hg38.10000	10000	22	4496
ZFX.hg38.10000	NFYA.hg38.10000	10000	20	4501
ZFX.hg38.10000	MXI1.hg38.10000	10000	20	4482
ZFX.hg38.10000	KLF6.hg38.10000	10000	20	3549
ZFX.hg38.10000	BCL11B.hg38.10000	10000	19	4000
ZFX.hg38.10000	ETV5.hg38.10000	10000	19	3828
ZFX.hg38.10000	BACH1.hg38.10000	10000	19	2285
ZFX.hg38.10000	E2F6.hg38.10000	10000	18	3971
ZFX.hg38.10000	ZNF335.hg38.10000	10000	18	2408
ZFX.hg38.10000	PLAG1.hg38.10000	10000	18	2202
ZFX.hg38.10000	TFDP1.hg38.10000	10000	17	4058
ZFX.hg38.10000	ZFP42.hg38.10000	10000	17	3862
ZFX.hg38.10000	STAT1.hg38.10000	10000	17	3372
ZFX.hg38.10000	REST.hg38.10000	10000	17	2033
ZFX.hg38.10000	ELF1.hg38.10000	10000	16	5151
ZFX.hg38.10000	KLF10.hg38.10000	10000	16	4512
ZFX.hg38.10000	TCF7L1.hg38.10000	10000	16	2655
ZFX.hg38.10000	YY1.hg38.10000	10000	15	4910
ZFX.hg38.10000	ETV1.hg38.10000	10000	15	3772
ZFX.hg38.10000	ELF4.hg38.10000	10000	15	3090
ZFX.hg38.10000	STAT2.hg38.10000	10000	15	2592
ZFX.hg38.10000	ZBTB48.hg38.10000	10000	15	2443
ZFX.hg38.10000	ZNF18.hg38.10000	10000	15	1864
ZFX.hg38.10000	GMEB2.hg38.10000	10000	14	5120
ZFX.hg38.10000	ETS1.hg38.10000	10000	14	4120
ZFX.hg38.10000	HOXA6.hg38.10000	10000	14	3194
ZFX.hg38.10000	ZBTB33.hg38.10000	10000	14	3113
ZFX.hg38.10000	SOX4.hg38.10000	10000	14	2905
ZFX.hg38.10000	FLI1.hg38.10000	10000	14	2842
ZFX.hg38.10000	TBP.hg38.10000	10000	13	5374
ZFX.hg38.10000	THAP11.hg38.10000	10000	13	3322
ZFX.hg38.10000	ZBTB20.hg38.10000	10000	13	2575
ZFX.hg38.10000	JUN.hg38.10000	10000	13	2374
ZFX.hg38.10000	ZNF341.hg38.10000	10000	13	2073
ZFX.hg38.10000	E2F1.hg38.10000	10000	12	6079
ZFX.hg38.10000	KLF9.hg38.10000	10000	12	3791
ZFX.hg38.10000	ZNF143.hg38.10000	10000	12	3326
ZFX.hg38.10000	SP5.hg38.10000	10000	12	3125
ZFX.hg38.10000	GABPA.hg38.10000	10000	11	4904
ZFX.hg38.10000	CREM.hg38.10000	10000	11	4188
ZFX.hg38.10000	NFYC.hg38.10000	10000	11	3735
ZFX.hg38.10000	ELK4.hg38.10000	10000	11	3523
ZFX.hg38.10000	YY2.hg38.10000	10000	11	3354
ZFX.hg38.10000	MNT.hg38.10000	10000	11	3157
ZFX.hg38.10000	GLIS2.hg38.10000	10000	11	2948
ZFX.hg38.10000	MYRF.hg38.10000	10000	11	2777
ZFX.hg38.10000	RARA.hg38.10000	10000	11	2378
ZFX.hg38.10000	ZSCAN9.hg38.10000	10000	11	1844
ZFX.hg38.10000	ZNF3.hg38.10000	10000	11	1807
ZFX.hg38.10000	TRPS1.hg38.10000	10000	11	1620
ZFX.hg38.10000	NRF1.hg38.10000	10000	10	4607
ZFX.hg38.10000	SIX5.hg38.10000	10000	10	4340
ZFX.hg38.10000	ZBTB11.hg38.10000	10000	10	3264
ZFX.hg38.10000	ZBTB7A.hg38.10000	10000	10	3051
ZFX.hg38.10000	ZNF792.hg38.10000	10000	10	1954
ZFX.hg38.10000	ZEB1.hg38.10000	10000	10	1797
ZFX.hg38.10000	KLF16.hg38.10000	10000	10	1713
ZFX.hg38.10000	TFAP2C.hg38.10000	10000	10	1675
ZFX.hg38.10000	ARID3A.hg38.10000	10000	10	764
ZFX.hg38.10000	E2F4.hg38.10000	10000	9	4354
ZFX.hg38.10000	RBPJ.hg38.10000	10000	9	4108
ZFX.hg38.10000	RELA.hg38.10000	10000	9	2804
ZFX.hg38.10000	REL.hg38.10000	10000	9	2120
ZFX.hg38.10000	NEUROD1.hg38.10000	10000	9	2034
ZFX.hg38.10000	ZNF580.hg38.10000	10000	9	1760
ZFX.hg38.10000	TFE3.hg38.10000	10000	9	1419
ZFX.hg38.10000	SNAI2.hg38.10000	10000	9	1220
ZFX.hg38.10000	MYF5.hg38.10000	10000	9	1029
ZFX.hg38.10000	KLF11.hg38.10000	10000	8	3690
ZFX.hg38.10000	KLF5.hg38.10000	10000	8	3617
ZFX.hg38.10000	EGR1.hg38.10000	10000	8	3360
ZFX.hg38.10000	HIF1A.hg38.10000	10000	8	2618
ZFX.hg38.10000	ETV4.hg38.10000	10000	8	2449
ZFX.hg38.10000	SETDB1.hg38.10000	10000	8	2205
ZFX.hg38.10000	CTCFL.hg38.10000	10000	8	2183
ZFX.hg38.10000	STAT5B.hg38.10000	10000	8	1912
ZFX.hg38.10000	FOXP3.hg38.10000	10000	8	1832
ZFX.hg38.10000	ERF.hg38.10000	10000	8	1827
ZFX.hg38.10000	POU2F2.hg38.10000	10000	8	1826
ZFX.hg38.10000	ZNF324.hg38.10000	10000	8	1776
ZFX.hg38.10000	MAF.hg38.10000	10000	8	1761
ZFX.hg38.10000	IKZF5.hg38.10000	10000	8	1641
ZFX.hg38.10000	NFATC3.hg38.10000	10000	8	1275
ZFX.hg38.10000	HIF3A.hg38.10000	10000	8	1173
ZFX.hg38.10000	ZNF770.hg38.10000	10000	8	626
ZFX.hg38.10000	SP1.hg38.10000	10000	7	5483
ZFX.hg38.10000	CREB1.hg38.10000	10000	7	4990
ZFX.hg38.10000	MAZ.hg38.10000	10000	7	3483
ZFX.hg38.10000	LEF1.hg38.10000	10000	7	3089
ZFX.hg38.10000	SOX9.hg38.10000	10000	7	2884
ZFX.hg38.10000	RXRA.hg38.10000	10000	7	2669
ZFX.hg38.10000	E2F8.hg38.10000	10000	7	2631
ZFX.hg38.10000	OVOL2.hg38.10000	10000	7	2040
ZFX.hg38.10000	TFAP4.hg38.10000	10000	7	2025
ZFX.hg38.10000	ZFP64.hg38.10000	10000	7	1248
ZFX.hg38.10000	MYOD1.hg38.10000	10000	7	1207
ZFX.hg38.10000	SPDEF.hg38.10000	10000	7	1183
ZFX.hg38.10000	TP53.hg38.10000	10000	7	1003
ZFX.hg38.10000	SP7.hg38.10000	10000	7	978
ZFX.hg38.10000	TCF7L2.hg38.10000	10000	7	938
ZFX.hg38.10000	TCF12.hg38.10000	10000	6	2889
ZFX.hg38.10000	ELK3.hg38.10000	10000	6	2803
ZFX.hg38.10000	FOXP1.hg38.10000	10000	6	2699
ZFX.hg38.10000	NR2C2.hg38.10000	10000	6	2583
ZFX.hg38.10000	IRF2.hg38.10000	10000	6	2531
ZFX.hg38.10000	VEZF1.hg38.10000	10000	6	2417
ZFX.hg38.10000	ZNF574.hg38.10000	10000	6	2273
ZFX.hg38.10000	ZSCAN22.hg38.10000	10000	6	2232
ZFX.hg38.10000	CLOCK.hg38.10000	10000	6	2049
ZFX.hg38.10000	FOXM1.hg38.10000	10000	6	2046
ZFX.hg38.10000	ZNF217.hg38.10000	10000	6	1837
ZFX.hg38.10000	BCL6.hg38.10000	10000	6	1741
ZFX.hg38.10000	ZNF263.hg38.10000	10000	6	1602
ZFX.hg38.10000	STAT5A.hg38.10000	10000	6	1531
