TF_a	TF_b	num_site_TF_b	exact	window
ZKSCAN1.hg38.10000	ZKSCAN1.hg38.10000	10000	10000	10000
ZKSCAN1.hg38.10000	STAT1.hg38.10000	10000	77	1583
ZKSCAN1.hg38.10000	IRF2.hg38.10000	10000	68	1564
ZKSCAN1.hg38.10000	KLF16.hg38.10000	10000	62	1444
ZKSCAN1.hg38.10000	ZNF143.hg38.10000	10000	61	1460
ZKSCAN1.hg38.10000	SRF.hg38.10000	10000	60	1304
ZKSCAN1.hg38.10000	CTCF.hg38.10000	10000	57	1351
ZKSCAN1.hg38.10000	MYCN.hg38.10000	10000	54	1454
ZKSCAN1.hg38.10000	FOXM1.hg38.10000	10000	54	1262
ZKSCAN1.hg38.10000	ZNF574.hg38.10000	10000	54	1255
ZKSCAN1.hg38.10000	ZNF580.hg38.10000	10000	52	1306
ZKSCAN1.hg38.10000	CREM.hg38.10000	10000	51	1332
ZKSCAN1.hg38.10000	FOXP1.hg38.10000	10000	51	1138
ZKSCAN1.hg38.10000	YY1.hg38.10000	10000	49	1487
ZKSCAN1.hg38.10000	RXRA.hg38.10000	10000	48	1315
ZKSCAN1.hg38.10000	TCF12.hg38.10000	10000	46	1340
ZKSCAN1.hg38.10000	THAP11.hg38.10000	10000	46	1196
ZKSCAN1.hg38.10000	KLF5.hg38.10000	10000	46	1158
ZKSCAN1.hg38.10000	ELF1.hg38.10000	10000	44	1339
ZKSCAN1.hg38.10000	ATF1.hg38.10000	10000	43	1269
ZKSCAN1.hg38.10000	RBPJ.hg38.10000	10000	42	1360
ZKSCAN1.hg38.10000	VDR.hg38.10000	10000	42	1077
ZKSCAN1.hg38.10000	RFX5.hg38.10000	10000	42	997
ZKSCAN1.hg38.10000	ZFP1.hg38.10000	10000	42	923
ZKSCAN1.hg38.10000	FOXO3.hg38.10000	10000	42	872
ZKSCAN1.hg38.10000	SIX5.hg38.10000	10000	40	1173
ZKSCAN1.hg38.10000	CREB1.hg38.10000	10000	39	1404
ZKSCAN1.hg38.10000	ETS1.hg38.10000	10000	39	1317
ZKSCAN1.hg38.10000	KLF10.hg38.10000	10000	39	1207
ZKSCAN1.hg38.10000	CTCFL.hg38.10000	10000	39	1149
ZKSCAN1.hg38.10000	RELA.hg38.10000	10000	39	1086
ZKSCAN1.hg38.10000	ZBTB17.hg38.10000	10000	38	950
ZKSCAN1.hg38.10000	MAX.hg38.10000	10000	37	1493
ZKSCAN1.hg38.10000	ZSCAN9.hg38.10000	10000	37	1021
ZKSCAN1.hg38.10000	STAT5A.hg38.10000	10000	37	924
ZKSCAN1.hg38.10000	TP53.hg38.10000	10000	37	724
ZKSCAN1.hg38.10000	ZNF444.hg38.10000	10000	36	1150
ZKSCAN1.hg38.10000	RUNX1.hg38.10000	10000	36	1061
ZKSCAN1.hg38.10000	MYC.hg38.10000	10000	35	1457
ZKSCAN1.hg38.10000	SP1.hg38.10000	10000	34	1324
ZKSCAN1.hg38.10000	ERG.hg38.10000	10000	34	1282
ZKSCAN1.hg38.10000	IKZF5.hg38.10000	10000	34	1120
ZKSCAN1.hg38.10000	ETV5.hg38.10000	10000	34	1093
ZKSCAN1.hg38.10000	MYBL2.hg38.10000	10000	34	950
ZKSCAN1.hg38.10000	BCL6.hg38.10000	10000	34	850
ZKSCAN1.hg38.10000	KLF6.hg38.10000	10000	33	1131
ZKSCAN1.hg38.10000	ZBTB33.hg38.10000	10000	33	1119
ZKSCAN1.hg38.10000	ZNF792.hg38.10000	10000	33	1053
ZKSCAN1.hg38.10000	ZNF24.hg38.10000	10000	32	810
ZKSCAN1.hg38.10000	NFYA.hg38.10000	10000	31	1386
ZKSCAN1.hg38.10000	MYRF.hg38.10000	10000	31	1194
ZKSCAN1.hg38.10000	SOX9.hg38.10000	10000	31	977
ZKSCAN1.hg38.10000	E2F4.hg38.10000	10000	30	1244
ZKSCAN1.hg38.10000	TFDP1.hg38.10000	10000	30	1097
ZKSCAN1.hg38.10000	MYNN.hg38.10000	10000	30	798
ZKSCAN1.hg38.10000	GMEB2.hg38.10000	10000	29	1280
ZKSCAN1.hg38.10000	STAT3.hg38.10000	10000	29	770
ZKSCAN1.hg38.10000	MECP2.hg38.10000	10000	29	569
ZKSCAN1.hg38.10000	HIF1A.hg38.10000	10000	28	1049
ZKSCAN1.hg38.10000	ZBTB2.hg38.10000	10000	28	692
ZKSCAN1.hg38.10000	ZNF35.hg38.10000	10000	28	550
ZKSCAN1.hg38.10000	BCL11B.hg38.10000	10000	27	1136
ZKSCAN1.hg38.10000	GABPA.hg38.10000	10000	27	1124
ZKSCAN1.hg38.10000	SP4.hg38.10000	10000	27	974
ZKSCAN1.hg38.10000	SOX4.hg38.10000	10000	27	966
ZKSCAN1.hg38.10000	ZNF3.hg38.10000	10000	27	818
ZKSCAN1.hg38.10000	TBP.hg38.10000	10000	26	1358
ZKSCAN1.hg38.10000	REST.hg38.10000	10000	26	886
ZKSCAN1.hg38.10000	PPARG.hg38.10000	10000	26	692
ZKSCAN1.hg38.10000	RXRB.hg38.10000	10000	26	686
ZKSCAN1.hg38.10000	IRF4.hg38.10000	10000	26	539
ZKSCAN1.hg38.10000	MAZ.hg38.10000	10000	25	1235
ZKSCAN1.hg38.10000	MXI1.hg38.10000	10000	25	1175
ZKSCAN1.hg38.10000	KLF9.hg38.10000	10000	25	1063
ZKSCAN1.hg38.10000	ETV1.hg38.10000	10000	25	1019
ZKSCAN1.hg38.10000	SMAD4.hg38.10000	10000	25	991
ZKSCAN1.hg38.10000	BHLHE40.hg38.10000	10000	24	1025
ZKSCAN1.hg38.10000	ETV4.hg38.10000	10000	24	864
ZKSCAN1.hg38.10000	TFE3.hg38.10000	10000	24	845
ZKSCAN1.hg38.10000	ZNF18.hg38.10000	10000	24	765
ZKSCAN1.hg38.10000	POU5F1.hg38.10000	10000	24	511
ZKSCAN1.hg38.10000	TFAP4.hg38.10000	10000	23	986
ZKSCAN1.hg38.10000	ZNF324.hg38.10000	10000	23	983
ZKSCAN1.hg38.10000	ATF3.hg38.10000	10000	23	844
ZKSCAN1.hg38.10000	SMAD1.hg38.10000	10000	23	719
ZKSCAN1.hg38.10000	JUN.hg38.10000	10000	22	1004
ZKSCAN1.hg38.10000	POU2F2.hg38.10000	10000	22	870
ZKSCAN1.hg38.10000	HOMEZ.hg38.10000	10000	22	673
ZKSCAN1.hg38.10000	CEBPD.hg38.10000	10000	22	632
ZKSCAN1.hg38.10000	ZNF652.hg38.10000	10000	22	531
ZKSCAN1.hg38.10000	SOX6.hg38.10000	10000	22	494
ZKSCAN1.hg38.10000	SOX17.hg38.10000	10000	22	420
ZKSCAN1.hg38.10000	KLF11.hg38.10000	10000	21	1084
ZKSCAN1.hg38.10000	E2F8.hg38.10000	10000	21	934
ZKSCAN1.hg38.10000	FOXK2.hg38.10000	10000	21	861
ZKSCAN1.hg38.10000	NR2C2.hg38.10000	10000	21	852
ZKSCAN1.hg38.10000	HSF1.hg38.10000	10000	21	747
ZKSCAN1.hg38.10000	RARA.hg38.10000	10000	20	968
ZKSCAN1.hg38.10000	ZNF701.hg38.10000	10000	20	614
ZKSCAN1.hg38.10000	FOXK1.hg38.10000	10000	20	518
ZKSCAN1.hg38.10000	NR2F6.hg38.10000	10000	20	485
ZKSCAN1.hg38.10000	ZFP42.hg38.10000	10000	19	890
ZKSCAN1.hg38.10000	MIXL1.hg38.10000	10000	19	847
ZKSCAN1.hg38.10000	KLF1.hg38.10000	10000	19	830
ZKSCAN1.hg38.10000	MLX.hg38.10000	10000	19	813
ZKSCAN1.hg38.10000	ERF.hg38.10000	10000	19	753
ZKSCAN1.hg38.10000	PAX5.hg38.10000	10000	19	672
ZKSCAN1.hg38.10000	ZFP64.hg38.10000	10000	19	586
ZKSCAN1.hg38.10000	SETDB1.hg38.10000	10000	18	876
ZKSCAN1.hg38.10000	USF1.hg38.10000	10000	18	777
ZKSCAN1.hg38.10000	STAT5B.hg38.10000	10000	18	706
ZKSCAN1.hg38.10000	HOXC5.hg38.10000	10000	18	399
ZKSCAN1.hg38.10000	E2F1.hg38.10000	10000	17	1322
ZKSCAN1.hg38.10000	ZBTB26.hg38.10000	10000	17	958
ZKSCAN1.hg38.10000	SP5.hg38.10000	10000	17	945
ZKSCAN1.hg38.10000	ZEB2.hg38.10000	10000	17	761
ZKSCAN1.hg38.10000	ZNF280A.hg38.10000	10000	17	500
ZKSCAN1.hg38.10000	NFYC.hg38.10000	10000	16	1006
ZKSCAN1.hg38.10000	TRPS1.hg38.10000	10000	16	916
ZKSCAN1.hg38.10000	MBD2.hg38.10000	10000	16	715
ZKSCAN1.hg38.10000	YY2.hg38.10000	10000	16	712
ZKSCAN1.hg38.10000	NR1H2.hg38.10000	10000	16	527
ZKSCAN1.hg38.10000	ZBTB7A.hg38.10000	10000	15	1126
ZKSCAN1.hg38.10000	NFATC1.hg38.10000	10000	15	967
ZKSCAN1.hg38.10000	FLI1.hg38.10000	10000	15	853
ZKSCAN1.hg38.10000	ZBTB11.hg38.10000	10000	15	831
ZKSCAN1.hg38.10000	KLF4.hg38.10000	10000	15	803
ZKSCAN1.hg38.10000	ZEB1.hg38.10000	10000	15	729
ZKSCAN1.hg38.10000	ARNT.hg38.10000	10000	15	700
ZKSCAN1.hg38.10000	NFE2.hg38.10000	10000	15	664
ZKSCAN1.hg38.10000	ZIC2.hg38.10000	10000	15	526
ZKSCAN1.hg38.10000	IRF3.hg38.10000	10000	15	447
ZKSCAN1.hg38.10000	RUNX3.hg38.10000	10000	15	405
ZKSCAN1.hg38.10000	SMAD5.hg38.10000	10000	14	991
ZKSCAN1.hg38.10000	FOXP3.hg38.10000	10000	14	681
ZKSCAN1.hg38.10000	ELK3.hg38.10000	10000	14	680
ZKSCAN1.hg38.10000	GFI1B.hg38.10000	10000	14	596
ZKSCAN1.hg38.10000	E2F7.hg38.10000	10000	14	478
ZKSCAN1.hg38.10000	KMT2A.hg38.10000	10000	13	1003
ZKSCAN1.hg38.10000	ELK4.hg38.10000	10000	13	999
ZKSCAN1.hg38.10000	ZSCAN22.hg38.10000	10000	13	829
ZKSCAN1.hg38.10000	NFATC3.hg38.10000	10000	13	576
ZKSCAN1.hg38.10000	TEAD3.hg38.10000	10000	13	467
ZKSCAN1.hg38.10000	ESRRA.hg38.10000	10000	13	467
ZKSCAN1.hg38.10000	SOX13.hg38.10000	10000	13	453
ZKSCAN1.hg38.10000	TBX21.hg38.10000	10000	13	419
ZKSCAN1.hg38.10000	GATA1.hg38.10000	10000	13	413
ZKSCAN1.hg38.10000	E2F6.hg38.10000	10000	12	1043
ZKSCAN1.hg38.10000	E4F1.hg38.10000	10000	12	937
ZKSCAN1.hg38.10000	IRF1.hg38.10000	10000	12	638
ZKSCAN1.hg38.10000	PBX3.hg38.10000	10000	12	575
ZKSCAN1.hg38.10000	SP7.hg38.10000	10000	12	505
ZKSCAN1.hg38.10000	NFIC.hg38.10000	10000	12	450
ZKSCAN1.hg38.10000	XBP1.hg38.10000	10000	12	439
ZKSCAN1.hg38.10000	STAT2.hg38.10000	10000	11	895
ZKSCAN1.hg38.10000	EGR1.hg38.10000	10000	11	861
ZKSCAN1.hg38.10000	MSC.hg38.10000	10000	11	730
ZKSCAN1.hg38.10000	TCF7L1.hg38.10000	10000	11	621
ZKSCAN1.hg38.10000	USF2.hg38.10000	10000	11	613
ZKSCAN1.hg38.10000	ZNF778.hg38.10000	10000	11	555
ZKSCAN1.hg38.10000	MITF.hg38.10000	10000	11	551
ZKSCAN1.hg38.10000	TEAD4.hg38.10000	10000	11	516
ZKSCAN1.hg38.10000	SPDEF.hg38.10000	10000	11	483
ZKSCAN1.hg38.10000	NR2F2.hg38.10000	10000	11	466
ZKSCAN1.hg38.10000	HMG20A.hg38.10000	10000	11	390
ZKSCAN1.hg38.10000	ETV6.hg38.10000	10000	11	374
ZKSCAN1.hg38.10000	BATF.hg38.10000	10000	11	190
ZKSCAN1.hg38.10000	MNT.hg38.10000	10000	10	1052
ZKSCAN1.hg38.10000	SP2.hg38.10000	10000	10	956
ZKSCAN1.hg38.10000	ZBTB14.hg38.10000	10000	10	737
ZKSCAN1.hg38.10000	TCF3.hg38.10000	10000	10	614
ZKSCAN1.hg38.10000	NEUROD1.hg38.10000	10000	10	598
ZKSCAN1.hg38.10000	POU3F2.hg38.10000	10000	10	564
ZKSCAN1.hg38.10000	BCL11A.hg38.10000	10000	10	488
ZKSCAN1.hg38.10000	NR4A1.hg38.10000	10000	10	422
ZKSCAN1.hg38.10000	JUND.hg38.10000	10000	10	398
ZKSCAN1.hg38.10000	PPARD.hg38.10000	10000	10	364
ZKSCAN1.hg38.10000	NFE2L2.hg38.10000	10000	10	297
ZKSCAN1.hg38.10000	EBF3.hg38.10000	10000	10	232
ZKSCAN1.hg38.10000	ZNF680.hg38.10000	10000	10	216
ZKSCAN1.hg38.10000	NRF1.hg38.10000	10000	9	941
ZKSCAN1.hg38.10000	ZNF217.hg38.10000	10000	9	791
ZKSCAN1.hg38.10000	KLF15.hg38.10000	10000	9	741
ZKSCAN1.hg38.10000	LEF1.hg38.10000	10000	9	732
ZKSCAN1.hg38.10000	GLIS2.hg38.10000	10000	9	720
ZKSCAN1.hg38.10000	BACH1.hg38.10000	10000	9	644
ZKSCAN1.hg38.10000	MYB.hg38.10000	10000	9	630
ZKSCAN1.hg38.10000	PLAG1.hg38.10000	10000	9	619
ZKSCAN1.hg38.10000	MAF.hg38.10000	10000	9	520
ZKSCAN1.hg38.10000	RELB.hg38.10000	10000	9	451
ZKSCAN1.hg38.10000	TCF7L2.hg38.10000	10000	9	443
ZKSCAN1.hg38.10000	NFKB2.hg38.10000	10000	9	373
ZKSCAN1.hg38.10000	SMAD3.hg38.10000	10000	9	282
ZKSCAN1.hg38.10000	HEY1.hg38.10000	10000	8	1071
ZKSCAN1.hg38.10000	ELF4.hg38.10000	10000	8	878
ZKSCAN1.hg38.10000	IKZF1.hg38.10000	10000	8	671
ZKSCAN1.hg38.10000	CLOCK.hg38.10000	10000	8	611
ZKSCAN1.hg38.10000	ZBTB6.hg38.10000	10000	8	465
ZKSCAN1.hg38.10000	RARG.hg38.10000	10000	8	427
ZKSCAN1.hg38.10000	SOX5.hg38.10000	10000	8	394
ZKSCAN1.hg38.10000	CDX2.hg38.10000	10000	8	307
ZKSCAN1.hg38.10000	ZNF264.hg38.10000	10000	8	268
ZKSCAN1.hg38.10000	SOX2.hg38.10000	10000	8	199
ZKSCAN1.hg38.10000	HOXA6.hg38.10000	10000	7	858
ZKSCAN1.hg38.10000	ZBTB48.hg38.10000	10000	7	836
ZKSCAN1.hg38.10000	VEZF1.hg38.10000	10000	7	731
ZKSCAN1.hg38.10000	NR2F1.hg38.10000	10000	7	566
ZKSCAN1.hg38.10000	ASCL2.hg38.10000	10000	7	546
ZKSCAN1.hg38.10000	MECOM.hg38.10000	10000	7	494
ZKSCAN1.hg38.10000	ZBTB42.hg38.10000	10000	7	435
ZKSCAN1.hg38.10000	TAL1.hg38.10000	10000	7	431
ZKSCAN1.hg38.10000	ARID3A.hg38.10000	10000	7	430
ZKSCAN1.hg38.10000	FOXA3.hg38.10000	10000	7	394
ZKSCAN1.hg38.10000	HNF4A.hg38.10000	10000	7	380
ZKSCAN1.hg38.10000	AHR.hg38.10000	10000	7	376
ZKSCAN1.hg38.10000	EPAS1.hg38.10000	10000	7	350
ZKSCAN1.hg38.10000	NFKB1.hg38.10000	10000	7	341
ZKSCAN1.hg38.10000	FOXA2.hg38.10000	10000	7	330
ZKSCAN1.hg38.10000	TCF7.hg38.10000	10000	7	323
ZKSCAN1.hg38.10000	PROX1.hg38.10000	10000	7	304
ZKSCAN1.hg38.10000	GATA2.hg38.10000	10000	7	260
ZKSCAN1.hg38.10000	CXXC1.hg38.10000	10000	6	991
ZKSCAN1.hg38.10000	REL.hg38.10000	10000	6	627
ZKSCAN1.hg38.10000	SREBF2.hg38.10000	10000	6	532
ZKSCAN1.hg38.10000	MYOD1.hg38.10000	10000	6	498
ZKSCAN1.hg38.10000	THRB.hg38.10000	10000	6	497
ZKSCAN1.hg38.10000	ZNF554.hg38.10000	10000	6	442
ZKSCAN1.hg38.10000	FOXO1.hg38.10000	10000	6	433
ZKSCAN1.hg38.10000	MYF5.hg38.10000	10000	6	398
