TF_a	TF_b	num_site_TF_b	exact	window
ZNF217.hg38.10000	ZNF217.hg38.10000	10000	10000	10000
ZNF217.hg38.10000	FOXM1.hg38.10000	10000	96	2963
ZNF217.hg38.10000	SIX5.hg38.10000	10000	76	2418
ZNF217.hg38.10000	GRHL2.hg38.10000	10000	76	2212
ZNF217.hg38.10000	ETS1.hg38.10000	10000	72	2359
ZNF217.hg38.10000	KLF10.hg38.10000	10000	66	2647
ZNF217.hg38.10000	ZNF701.hg38.10000	10000	66	2517
ZNF217.hg38.10000	ZNF143.hg38.10000	10000	60	2248
ZNF217.hg38.10000	THAP11.hg38.10000	10000	60	2204
ZNF217.hg38.10000	AHR.hg38.10000	10000	58	2004
ZNF217.hg38.10000	MBD2.hg38.10000	10000	58	1863
ZNF217.hg38.10000	TRPS1.hg38.10000	10000	51	1992
ZNF217.hg38.10000	ZNF574.hg38.10000	10000	50	1747
ZNF217.hg38.10000	CREM.hg38.10000	10000	48	2282
ZNF217.hg38.10000	NR2F2.hg38.10000	10000	47	1581
ZNF217.hg38.10000	NR1H2.hg38.10000	10000	45	1667
ZNF217.hg38.10000	ZEB2.hg38.10000	10000	44	1177
ZNF217.hg38.10000	ELF4.hg38.10000	10000	43	1870
ZNF217.hg38.10000	GMEB2.hg38.10000	10000	42	2292
ZNF217.hg38.10000	JUN.hg38.10000	10000	42	1802
ZNF217.hg38.10000	GABPA.hg38.10000	10000	40	2245
ZNF217.hg38.10000	ESR1.hg38.10000	10000	40	1648
ZNF217.hg38.10000	RBAK.hg38.10000	10000	40	1116
ZNF217.hg38.10000	CREB1.hg38.10000	10000	38	2496
ZNF217.hg38.10000	IRF2.hg38.10000	10000	38	1752
ZNF217.hg38.10000	YY1.hg38.10000	10000	37	2072
ZNF217.hg38.10000	SOX9.hg38.10000	10000	37	1975
ZNF217.hg38.10000	RELA.hg38.10000	10000	37	1721
ZNF217.hg38.10000	RXRA.hg38.10000	10000	36	1763
ZNF217.hg38.10000	HIF1A.hg38.10000	10000	35	1728
ZNF217.hg38.10000	ZBTB33.hg38.10000	10000	35	1639
ZNF217.hg38.10000	ESRRA.hg38.10000	10000	35	1432
ZNF217.hg38.10000	RBPJ.hg38.10000	10000	34	2110
ZNF217.hg38.10000	NFYC.hg38.10000	10000	34	1970
ZNF217.hg38.10000	ELK4.hg38.10000	10000	34	1830
ZNF217.hg38.10000	TCF12.hg38.10000	10000	34	1793
ZNF217.hg38.10000	GATA3.hg38.10000	10000	34	1252
