Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr19	5720188	5720208	P22415	USF1.hg38	16	83	5720198
chr6	31862912	31862969	P22415	USF1.hg38	16	83	31862940
chr21	44517409	44517464	P22415	USF1.hg38	16	82	44517436
chr19	48954764	48954805	P22415	USF1.hg38	16	80	48954784
chr5	131797083	131797122	P22415	USF1.hg38	16	79	131797102
chr14	20461658	20461705	P22415	USF1.hg38	16	79	20461681
chr14	20455160	20455197	P22415	USF1.hg38	16	78	20455178
chr10	67884553	67884600	P22415	USF1.hg38	16	78	67884576
chr15	43792048	43792083	P22415	USF1.hg38	16	77	43792065
chr16	4847338	4847359	P22415	USF1.hg38	16	77	4847348
chr12	120317740	120317783	P22415	USF1.hg38	16	77	120317761
chr17	37609479	37609518	P22415	USF1.hg38	16	77	37609498
chr16	28974712	28974752	P22415	USF1.hg38	16	76	28974732
chr1	154220669	154220716	P22415	USF1.hg38	16	76	154220692
chr14	67816587	67816608	P22415	USF1.hg38	16	76	67816597
chr17	8192305	8192336	P22415	USF1.hg38	16	75	8192320
chr22	39520403	39520478	P22415	USF1.hg38	16	74	39520440
chr3	184314508	184314551	P22415	USF1.hg38	16	74	184314529
chr19	12722713	12722740	P22415	USF1.hg38	16	72	12722726
chr17	82292864	82292897	P22415	USF1.hg38	16	72	82292880
chr19	18022317	18022350	P22415	USF1.hg38	16	72	18022333
chr11	126211714	126211749	P22415	USF1.hg38	16	72	126211731
chr3	20186263	20186298	P22415	USF1.hg38	16	71	20186280
chr10	50067890	50067926	P22415	USF1.hg38	16	71	50067908
chr1	38012500	38012546	P22415	USF1.hg38	16	71	38012523
chr1	154983162	154983217	P22415	USF1.hg38	16	71	154983189
chr22	17628777	17628824	P22415	USF1.hg38	16	71	17628800
chr20	38962169	38962203	P22415	USF1.hg38	16	71	38962186
chr7	876291	876336	P22415	USF1.hg38	16	70	876313
chr19	36054413	36054448	P22415	USF1.hg38	16	70	36054430
chr17	81472194	81472231	P22415	USF1.hg38	16	70	81472212
chr5	95646705	95646742	P22415	USF1.hg38	16	69	95646723
chr3	155854694	155854727	P22415	USF1.hg38	16	69	155854710
chr16	23149507	23149544	P22415	USF1.hg38	16	69	23149525
chr11	518904	518939	P22415	USF1.hg38	16	69	518921
chr18	49460695	49460740	P22415	USF1.hg38	16	69	49460717
chr19	40348522	40348551	P22415	USF1.hg38	16	69	40348536
chr4	47463695	47463720	P22415	USF1.hg38	16	68	47463707
chr17	7234582	7234606	P22415	USF1.hg38	16	67	7234594
chr19	47130700	47130733	P22415	USF1.hg38	16	67	47130716
chr17	80101499	80101529	P22415	USF1.hg38	16	67	80101514
chr17	40596784	40596843	P22415	USF1.hg38	15	67	40596813
chr2	215312004	215312043	P22415	USF1.hg38	16	67	215312023
chr5	10485214	10485249	P22415	USF1.hg38	16	67	10485231
chr20	47400848	47400884	P22415	USF1.hg38	16	66	47400866
chr19	2783550	2783574	P22415	USF1.hg38	16	66	2783562
chr3	23945958	23946009	P22415	USF1.hg38	16	66	23945983
chr17	60392129	60392150	P22415	USF1.hg38	16	66	60392139
chr17	5282244	5282263	P22415	USF1.hg38	16	66	5282253
chr22	35437235	35437284	P22415	USF1.hg38	15	66	35437259
chr5	141619206	141619260	P22415	USF1.hg38	16	66	141619233
chr1	25906464	25906490	P22415	USF1.hg38	16	66	25906477
chr12	124744842	124744875	P22415	USF1.hg38	16	66	124744858
chr17	43702849	43702882	P22415	USF1.hg38	16	65	43702865
chr16	86975538	86975557	P22415	USF1.hg38	16	65	86975547
chr1	15526803	15526824	P22415	USF1.hg38	16	65	15526813
chr9	96417425	96417444	P22415	USF1.hg38	16	65	96417434
chr12	50504953	50504984	P22415	USF1.hg38	16	65	50504968
chr16	4538848	4538867	P22415	USF1.hg38	16	65	4538857
chr10	45727174	45727209	P22415	USF1.hg38	16	65	45727191
chr1	11949279	11949317	P22415	USF1.hg38	15	65	11949298
chr5	151447565	151447588	P22415	USF1.hg38	16	65	151447576
chr20	36051076	36051120	P22415	USF1.hg38	16	65	36051098
chr3	126156732	126156781	P22415	USF1.hg38	15	65	126156756
chr3	45842155	45842180	P22415	USF1.hg38	16	65	45842167
chr16	69407117	69407151	P22415	USF1.hg38	16	65	69407134
chr1	156457389	156457430	P22415	USF1.hg38	16	65	156457409
chr19	40750533	40750558	P22415	USF1.hg38	16	65	40750545
chr16	70114201	70114224	P22415	USF1.hg38	16	65	70114212
chr11	68974839	68974858	P22415	USF1.hg38	16	64	68974848
chr11	61733559	61733578	P22415	USF1.hg38	16	64	61733568
chr3	141370388	141370410	P22415	USF1.hg38	16	64	141370399
chr3	5122257	5122294	P22415	USF1.hg38	16	64	5122275
chr5	138633156	138633178	P22415	USF1.hg38	16	64	138633167
chr19	35268929	35268952	P22415	USF1.hg38	16	64	35268940
chr19	2977368	2977405	P22415	USF1.hg38	16	64	2977386
chr17	17750135	17750151	P22415	USF1.hg38	16	64	17750143
chr17	3636686	3636705	P22415	USF1.hg38	16	64	3636695
chr2	118197485	118197506	P22415	USF1.hg38	16	64	118197495
chr16	3024335	3024375	P22415	USF1.hg38	16	64	3024355
chr5	112737832	112737850	P22415	USF1.hg38	16	64	112737841
chr16	1408304	1408321	P22415	USF1.hg38	16	64	1408312
chr19	18093643	18093674	P22415	USF1.hg38	16	64	18093658
chr15	72376022	72376043	P22415	USF1.hg38	16	64	72376032
chr1	155081054	155081086	P22415	USF1.hg38	16	64	155081070
chr5	142013052	142013087	P22415	USF1.hg38	16	64	142013069
chr18	63075314	63075335	P22415	USF1.hg38	16	64	63075324
chr6	166586935	166586952	P22415	USF1.hg38	16	64	166586943
chr20	48921685	48921717	P22415	USF1.hg38	16	64	48921701
chr11	36289436	36289453	P22415	USF1.hg38	16	64	36289444
chr13	21298129	21298156	P22415	USF1.hg38	16	64	21298142
chr3	128726090	128726129	P22415	USF1.hg38	16	64	128726109
chr6	157764661	157764688	P22415	USF1.hg38	16	64	157764674
chr20	18794030	18794047	P22415	USF1.hg38	16	64	18794038
chr11	64181710	64181727	P22415	USF1.hg38	16	64	64181718
chr1	40161343	40161374	P22415	USF1.hg38	16	64	40161358
chr19	7522582	7522607	P22415	USF1.hg38	16	64	7522594
chr1	12096147	12096197	P22415	USF1.hg38	15	64	12096172
chr3	122793834	122793855	P22415	USF1.hg38	16	64	122793844
chr9	114587705	114587736	P22415	USF1.hg38	16	64	114587720
chr10	32980662	32980679	P22415	USF1.hg38	16	63	32980670
chr17	18856294	18856312	P22415	USF1.hg38	16	63	18856303
chr19	47256506	47256526	P22415	USF1.hg38	16	63	47256516
chr8	53843290	53843306	P22415	USF1.hg38	16	63	53843298
chr17	7035819	7035837	P22415	USF1.hg38	16	63	7035828
chr22	46561675	46561696	P22415	USF1.hg38	16	63	46561685
chr1	155219043	155219064	P22415	USF1.hg38	16	63	155219053
chr17	81495226	81495251	P22415	USF1.hg38	16	63	81495238
chr8	108443584	108443620	P22415	USF1.hg38	16	63	108443602
chr19	5058063	5058081	P22415	USF1.hg38	16	63	5058072
chr17	7012348	7012366	P22415	USF1.hg38	16	63	7012357
chr10	70528971	70528992	P22415	USF1.hg38	16	63	70528981
chr19	3990390	3990409	P22415	USF1.hg38	16	63	3990399
chr9	94165936	94165954	P22415	USF1.hg38	16	63	94165945
chr20	48725688	48725737	P22415	USF1.hg38	15	63	48725712
chr19	14496458	14496492	P22415	USF1.hg38	16	63	14496475
chr1	150321461	150321479	P22415	USF1.hg38	16	63	150321470
chr11	69799680	69799697	P22415	USF1.hg38	16	63	69799688
chr17	19648700	19648717	P22415	USF1.hg38	16	63	19648708
chr11	58579701	58579719	P22415	USF1.hg38	16	63	58579710
chr13	23889422	23889439	P22415	USF1.hg38	16	63	23889430
chr19	49877517	49877540	P22415	USF1.hg38	16	63	49877528
chr19	4457872	4457895	P22415	USF1.hg38	16	63	4457883
chr16	9140099	9140116	P22415	USF1.hg38	16	63	9140107
chr19	6536278	6536298	P22415	USF1.hg38	16	63	6536288
chr20	50499563	50499583	P22415	USF1.hg38	16	63	50499573
chr4	151761002	151761023	P22415	USF1.hg38	16	63	151761012
chr12	120904411	120904430	P22415	USF1.hg38	16	63	120904420
chr1	11806168	11806185	P22415	USF1.hg38	16	63	11806176
chr1	18902936	18902959	P22415	USF1.hg38	16	63	18902947
chr19	4670398	4670425	P22415	USF1.hg38	16	63	4670411
chr18	13726634	13726653	P22415	USF1.hg38	16	63	13726643
chr6	43369789	43369806	P22415	USF1.hg38	16	63	43369797
chr16	23510501	23510521	P22415	USF1.hg38	16	63	23510511
chr19	13116743	13116762	P22415	USF1.hg38	16	63	13116752
chr19	58466987	58467004	P22415	USF1.hg38	16	63	58466995
chr1	10472612	10472633	P22415	USF1.hg38	16	63	10472622
chr15	75336026	75336045	P22415	USF1.hg38	16	63	75336035
chr5	1799881	1799900	P22415	USF1.hg38	16	63	1799890
chr1	155241280	155241300	P22415	USF1.hg38	16	63	155241290
chr17	18039310	18039327	P22415	USF1.hg38	16	63	18039318
chr22	36741600	36741623	P22415	USF1.hg38	16	63	36741611
chr11	7987237	7987288	P22415	USF1.hg38	16	63	7987262
chr19	45927859	45927876	P22415	USF1.hg38	16	63	45927867
chr15	74598416	74598433	P22415	USF1.hg38	16	63	74598424
chr9	129036500	129036528	P22415	USF1.hg38	16	63	129036514
chr7	1425764	1425781	P22415	USF1.hg38	16	63	1425772
chr17	21323147	21323165	P22415	USF1.hg38	16	63	21323156
chr16	1351919	1351936	P22415	USF1.hg38	16	63	1351927
chr4	6373099	6373115	P22415	USF1.hg38	16	63	6373107
chr8	70669206	70669227	P22415	USF1.hg38	16	63	70669216
chr20	32819750	32819771	P22415	USF1.hg38	16	63	32819760
chr18	48538983	48539002	P22415	USF1.hg38	16	63	48538992
chr11	121024057	121024077	P22415	USF1.hg38	16	63	121024067
chr17	78583331	78583354	P22415	USF1.hg38	16	63	78583342
chr22	32904220	32904238	P22415	USF1.hg38	16	63	32904229
chr21	34030235	34030254	P22415	USF1.hg38	16	63	34030244
chr8	97644135	97644164	P22415	USF1.hg38	16	63	97644149
chr19	1479236	1479257	P22415	USF1.hg38	16	63	1479246
chr19	55655332	55655381	P22415	USF1.hg38	16	63	55655356
chr19	11191554	11191579	P22415	USF1.hg38	16	63	11191566
chr15	91291874	91291895	P22415	USF1.hg38	16	63	91291884
chr1	28233023	28233042	P22415	USF1.hg38	16	63	28233032
chr12	124109898	124109915	P22415	USF1.hg38	16	63	124109906
chr1	20440947	20440966	P22415	USF1.hg38	16	63	20440956
chr4	1511802	1511842	P22415	USF1.hg38	16	63	1511822
chr11	127056580	127056601	P22415	USF1.hg38	16	63	127056590
chr20	47181479	47181497	P22415	USF1.hg38	16	63	47181488
chr17	21253474	21253494	P22415	USF1.hg38	16	63	21253484
chr5	69234775	69234796	P22415	USF1.hg38	16	63	69234785
chr19	49331771	49331789	P22415	USF1.hg38	16	63	49331780
chr11	69630223	69630248	P22415	USF1.hg38	16	63	69630235
chr1	63322496	63322521	P22415	USF1.hg38	16	63	63322508
chr19	3500674	3500693	P22415	USF1.hg38	16	63	3500683
chr5	69332817	69332834	P22415	USF1.hg38	16	63	69332825
chr1	151198446	151198467	P22415	USF1.hg38	16	63	151198456
chr4	7073762	7073784	P22415	USF1.hg38	16	63	7073773
chr19	14366819	14366840	P22415	USF1.hg38	16	63	14366829
chr3	39383319	39383336	P22415	USF1.hg38	16	63	39383327
chr1	155262364	155262401	P22415	USF1.hg38	16	63	155262382
chr11	117098568	117098585	P22415	USF1.hg38	16	63	117098576
chr1	149899522	149899542	P22415	USF1.hg38	16	63	149899532
chr5	32585500	32585519	P22415	USF1.hg38	16	63	32585509
chr16	84266549	84266570	P22415	USF1.hg38	16	63	84266559
chr9	129317713	129317732	P22415	USF1.hg38	16	63	129317722
chr16	29645856	29645877	P22415	USF1.hg38	16	63	29645866
chr5	179819107	179819127	P22415	USF1.hg38	16	63	179819117
chr2	36618528	36618548	P22415	USF1.hg38	16	63	36618538
chr6	36423440	36423459	P22415	USF1.hg38	16	62	36423449
chr2	129877563	129877587	P22415	USF1.hg38	16	62	129877575
chr6	136822537	136822556	P22415	USF1.hg38	16	62	136822546
chr16	2603343	2603363	P22415	USF1.hg38	16	62	2603353
chr17	62065990	62066007	P22415	USF1.hg38	16	62	62065998
chr2	219219103	219219121	P22415	USF1.hg38	16	62	219219112
chr9	93071738	93071755	P22415	USF1.hg38	16	62	93071746
chr11	1763943	1763962	P22415	USF1.hg38	16	62	1763952
chr11	57741404	57741445	P22415	USF1.hg38	16	62	57741424
chr17	7243035	7243062	P22415	USF1.hg38	16	62	7243048
chr7	98106849	98106870	P22415	USF1.hg38	16	62	98106859
chr3	40309638	40309657	P22415	USF1.hg38	16	62	40309647
chr20	48467770	48467787	P22415	USF1.hg38	16	62	48467778
chr1	22428805	22428823	P22415	USF1.hg38	16	62	22428814
chr19	13557947	13557967	P22415	USF1.hg38	16	62	13557957
chr11	57515799	57515819	P22415	USF1.hg38	16	62	57515809
chr8	144462913	144462934	P22415	USF1.hg38	16	62	144462923
chr14	44962172	44962194	P22415	USF1.hg38	16	62	44962183
chr1	40097240	40097265	P22415	USF1.hg38	16	62	40097252
chr5	1112105	1112125	P22415	USF1.hg38	16	62	1112115
chr12	123571411	123571429	P22415	USF1.hg38	16	62	123571420
chr20	18138040	18138075	P22415	USF1.hg38	16	62	18138057
chr17	43938185	43938206	P22415	USF1.hg38	16	62	43938195
chr17	64919482	64919503	P22415	USF1.hg38	16	62	64919492
chr1	30854312	30854330	P22415	USF1.hg38	16	62	30854321
chr19	797156	797181	P22415	USF1.hg38	16	62	797168
chr20	17525828	17525846	P22415	USF1.hg38	16	62	17525837
chr10	69179947	69179969	P22415	USF1.hg38	16	62	69179958
chr5	134371064	134371104	P22415	USF1.hg38	16	62	134371084
chr20	13638988	13639006	P22415	USF1.hg38	16	62	13638997
chr9	130240777	130240794	P22415	USF1.hg38	16	62	130240785
chr20	10511752	10511773	P22415	USF1.hg38	16	62	10511762
chr10	75235958	75235985	P22415	USF1.hg38	16	62	75235971
chr12	6891230	6891248	P22415	USF1.hg38	16	62	6891239
chr7	107044550	107044569	P22415	USF1.hg38	16	62	107044559
chr9	129584245	129584263	P22415	USF1.hg38	16	62	129584254
chr12	121352495	121352526	P22415	USF1.hg38	16	62	121352510
chr1	89820905	89820926	P22415	USF1.hg38	16	62	89820915
chr2	99181045	99181066	P22415	USF1.hg38	16	62	99181055
chr16	74368283	74368302	P22415	USF1.hg38	16	62	74368292
chr6	111259299	111259316	P22415	USF1.hg38	16	62	111259307
chr9	33290496	33290513	P22415	USF1.hg38	16	62	33290504
chr20	23358187	23358206	P22415	USF1.hg38	16	62	23358196
chr17	64145864	64145883	P22415	USF1.hg38	16	62	64145873
chr5	6633076	6633095	P22415	USF1.hg38	16	62	6633085
chr5	271567	271587	P22415	USF1.hg38	16	62	271577
chr19	4815758	4815780	P22415	USF1.hg38	16	62	4815769
chr16	31033264	31033300	P22415	USF1.hg38	16	62	31033282
chr19	4759918	4759937	P22415	USF1.hg38	16	62	4759927
chr17	62644650	62644687	P22415	USF1.hg38	16	62	62644668
chr6	53548193	53548214	P22415	USF1.hg38	16	62	53548203
chr15	73633541	73633558	P22415	USF1.hg38	16	62	73633549
chr8	103415324	103415345	P22415	USF1.hg38	16	62	103415334
chr19	4402569	4402588	P22415	USF1.hg38	16	62	4402578
chr2	227325204	227325221	P22415	USF1.hg38	16	62	227325212
chr11	47918085	47918102	P22415	USF1.hg38	16	62	47918093
chr19	4180318	4180334	P22415	USF1.hg38	16	62	4180326
chr16	48099619	48099638	P22415	USF1.hg38	16	62	48099628
chr22	30424218	30424258	P22415	USF1.hg38	16	62	30424238
chr22	31160166	31160185	P22415	USF1.hg38	16	62	31160175
chr10	49762343	49762364	P22415	USF1.hg38	16	62	49762353
chr1	26432142	26432161	P22415	USF1.hg38	16	62	26432151
chr20	34825757	34825781	P22415	USF1.hg38	16	62	34825769
chr11	119067767	119067788	P22415	USF1.hg38	16	62	119067777
chr11	119121386	119121407	P22415	USF1.hg38	16	62	119121396
chr1	203795507	203795524	P22415	USF1.hg38	16	62	203795515
chr15	40565199	40565218	P22415	USF1.hg38	16	62	40565208
chr16	1106421	1106446	P22415	USF1.hg38	16	62	1106433
chr4	6583300	6583331	P22415	USF1.hg38	16	62	6583315
chr12	49069941	49069963	P22415	USF1.hg38	16	62	49069952
chr19	6604182	6604199	P22415	USF1.hg38	16	62	6604190
chr16	71289439	71289455	P22415	USF1.hg38	16	62	71289447
chr8	123447933	123447952	P22415	USF1.hg38	16	62	123447942
chr12	112716653	112716671	P22415	USF1.hg38	16	62	112716662
chr12	109996409	109996428	P22415	USF1.hg38	16	62	109996418
chr1	182789708	182789726	P22415	USF1.hg38	16	62	182789717
chr19	49749545	49749566	P22415	USF1.hg38	16	62	49749555
chr2	206423372	206423390	P22415	USF1.hg38	16	62	206423381
chr19	15125703	15125722	P22415	USF1.hg38	16	62	15125712
chr7	101165613	101165632	P22415	USF1.hg38	16	62	101165622
chr6	151452208	151452225	P22415	USF1.hg38	16	62	151452216
chr4	781878	781899	P22415	USF1.hg38	16	62	781888
chr10	31928862	31928898	P22415	USF1.hg38	16	62	31928880
chr12	71754837	71754854	P22415	USF1.hg38	16	62	71754845
chr19	16168539	16168572	P22415	USF1.hg38	16	62	16168555
chr13	49110244	49110263	P22415	USF1.hg38	16	62	49110253
chr17	15498334	15498354	P22415	USF1.hg38	16	62	15498344
chr12	68746120	68746138	P22415	USF1.hg38	16	62	68746129
chr22	39490339	39490356	P22415	USF1.hg38	16	62	39490347
chr19	10316003	10316022	P22415	USF1.hg38	16	62	10316012
chr9	127608487	127608510	P22415	USF1.hg38	16	62	127608498
chr15	45705794	45705817	P22415	USF1.hg38	16	62	45705805
chr12	101280088	101280108	P22415	USF1.hg38	16	62	101280098
chr17	55238463	55238492	P22415	USF1.hg38	16	62	55238477
chr5	41904318	41904338	P22415	USF1.hg38	16	62	41904328
chr11	67006689	67006720	P22415	USF1.hg38	15	62	67006704
chr22	38181842	38181863	P22415	USF1.hg38	16	62	38181852
chr8	125091796	125091819	P22415	USF1.hg38	16	62	125091807
chr14	75176641	75176664	P22415	USF1.hg38	16	62	75176652
chr1	14970319	14970338	P22415	USF1.hg38	16	62	14970328
chr11	66222882	66222903	P22415	USF1.hg38	16	62	66222892
chr5	135559505	135559539	P22415	USF1.hg38	16	62	135559522
chr12	103957246	103957269	P22415	USF1.hg38	16	62	103957257
chr6	43229497	43229515	P22415	USF1.hg38	16	62	43229506
chr14	76812916	76812934	P22415	USF1.hg38	16	62	76812925
chr14	75259075	75259092	P22415	USF1.hg38	16	62	75259083
chr3	184812173	184812191	P22415	USF1.hg38	16	62	184812182
chr17	39730535	39730554	P22415	USF1.hg38	16	62	39730544
chr15	74100236	74100257	P22415	USF1.hg38	16	62	74100246
chr1	50960324	50960343	P22415	USF1.hg38	16	62	50960333
chr13	42271842	42271871	P22415	USF1.hg38	16	62	42271856
chr2	3303744	3303763	P22415	USF1.hg38	16	62	3303753
chr2	10412580	10412598	P22415	USF1.hg38	16	62	10412589
