Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr12	22544573	22544627	Q13105	ZBTB17	13	55	22544600	0.9785939994461834
chr3	143001510	143001553	Q13105	ZBTB17	13	54	143001531	0.9563419999442996
chr1	156751865	156751908	Q13105	ZBTB17	12	52	156751886	0.9565819998726248
chr20	18137798	18137831	Q13105	ZBTB17	12	52	18137814	0.9643999999187888
chr8	104589322	104589383	Q13105	ZBTB17	12	51	104589352	0.9834999998271464
chr12	118373035	118373074	Q13105	ZBTB17	12	50	118373054	0.987399999716878
chr15	101295279	101295316	Q13105	ZBTB17	13	50	101295297	0.9544999998569488
chr10	69869698	69869745	Q13105	ZBTB17	12	48	69869721	1.0
chr5	95555021	95555069	Q13105	ZBTB17	13	48	95555045	0.9606999999601394
chr14	31420710	31420749	Q13105	ZBTB17	12	48	31420729	0.9673000000447036
chr10	7818435	7818468	Q13105	ZBTB17	13	48	7818451	0.997600000154972
chr12	25250969	25251008	Q13105	ZBTB17	12	48	25250988	0.9578999998308718
chr1	183186215	183186270	Q13105	ZBTB17	11	47	183186242	0.9763999997004866
chr7	32490447	32490478	Q13105	ZBTB17	13	47	32490462	0.9728999998435378
chr6	136250401	136250446	Q13105	ZBTB17	13	47	136250423	0.971600000122562
chr17	36486526	36486567	Q13105	ZBTB17	13	47	36486546	0.9534139999419452
chr2	96557091	96557131	Q13105	ZBTB17	13	47	96557111	0.9501999996401368
chr16	2205443	2205470	Q13105	ZBTB17	13	47	2205456	0.9543999997988344
chr12	82358449	82358481	Q13105	ZBTB17	13	47	82358465	0.9784999998182058
chr1	36464382	36464409	Q13105	ZBTB17	13	47	36464395	0.9665000000581144
chr3	15099154	15099185	Q13105	ZBTB17	13	46	15099169	0.9506999998841434
chr18	75210785	75210814	Q13105	ZBTB17	13	46	75210799	1.0
chr3	158110041	158110078	Q13105	ZBTB17	13	46	158110059	0.9729139997020364
chr14	70359742	70359779	Q13105	ZBTB17	13	46	70359760	0.9792999999687076
chr21	29073765	29073797	Q13105	ZBTB17	13	46	29073781	0.9633000000163912
chr17	64263411	64263454	Q13105	ZBTB17	13	46	64263432	0.9585999998867512
chr20	16729955	16729982	Q13105	ZBTB17	13	46	16729968	0.9877000000283122
chr7	123557848	123557881	Q13105	ZBTB17	13	46	123557864	0.9900999998807908
chr20	44766164	44766209	Q13105	ZBTB17	12	46	44766186	0.9947999999403954
chr12	107761329	107761366	Q13105	ZBTB17	12	45	107761347	0.9958999997615814
chr17	2030103	2030129	Q13105	ZBTB17	13	45	2030116	0.966599999716878
chr17	82648521	82648563	Q13105	ZBTB17	12	45	82648542	0.9520000001955776
chr1	171742072	171742115	Q13105	ZBTB17	12	45	171742093	0.9987000000298024
chr10	69807905	69807942	Q13105	ZBTB17	12	45	69807923	0.9893000000953674
chr6	693136	693163	Q13105	ZBTB17	13	45	693149	0.964800000347197
chr12	2004595	2004630	Q13105	ZBTB17	13	45	2004612	0.9740999999824912
chr22	25747309	25747354	Q13105	ZBTB17	12	44	25747331	0.9550500000089408
chr3	81761523	81761563	Q13105	ZBTB17	13	44	81761543	0.9922380001664162
chr11	65615281	65615323	Q13105	ZBTB17	13	44	65615302	0.9948999999821186
chr5	141557762	141557803	Q13105	ZBTB17	12	44	141557782	0.9673999998357148
chr19	32581108	32581142	Q13105	ZBTB17	12	44	32581125	0.9716999995738268
chr20	56392580	56392613	Q13105	ZBTB17	13	44	56392596	0.973200000078976
chr14	92540921	92540954	Q13105	ZBTB17	12	43	92540937	0.9562999999977648
chr7	144836017	144836046	Q13105	ZBTB17	13	43	144836031	0.9732940002553164
chr11	69253111	69253152	Q13105	ZBTB17	12	43	69253131	0.988500000053644
chr1	169114037	169114072	Q13105	ZBTB17	12	43	169114054	0.9635000001315028
chr20	36399784	36399830	Q13105	ZBTB17	11	43	36399807	0.966700000052154
chr9	114224011	114224036	Q13105	ZBTB17	12	43	114224023	0.9899899998124688
chr5	54517641	54517666	Q13105	ZBTB17	11	42	54517653	0.9539000000163912
chr10	102421003	102421051	Q13105	ZBTB17	13	42	102421027	0.9957000001311302
chr9	131816108	131816139	Q13105	ZBTB17	12	42	131816123	0.9657000001382082
chr7	139778108	139778138	Q13105	ZBTB17	11	42	139778123	0.9937999999955296
chr11	118436335	118436396	Q13105	ZBTB17	10	42	118436365	0.9743999999180436
chr2	213151910	213151935	Q13105	ZBTB17	11	42	213151922	0.9956999999403954
chr8	30156321	30156350	Q13105	ZBTB17	11	41	30156335	0.9557999996304511
chr6	3258927	3258964	Q13105	ZBTB17	12	41	3258945	0.983099999961257
chr6	13712176	13712210	Q13105	ZBTB17	12	41	13712193	0.9900000001087784
chr1	229626129	229626156	Q13105	ZBTB17	11	41	229626142	0.9686999997586012
chr3	52061692	52061729	Q13105	ZBTB17	12	41	52061710	0.9982999998867512
chr2	149587765	149587796	Q13105	ZBTB17	12	41	149587780	0.9993000000715256
chr8	19345179	19345216	Q13105	ZBTB17	12	41	19345197	0.9891999997489156
chr11	45918202	45918237	Q13105	ZBTB17	13	41	45918219	0.9755999999694526
