Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr19	6292208	6292249	Q15047	SETDB1.hg38	7	26	6292228
chr2	171631497	171631581	Q15047	SETDB1.hg38	7	23	171631539
chr12	31682318	31682394	Q15047	SETDB1.hg38	7	23	31682356
chr3	15656462	15656569	Q15047	SETDB1.hg38	6	23	15656515
chr4	25223926	25223970	Q15047	SETDB1.hg38	7	23	25223948
chr21	38229440	38229489	Q15047	SETDB1.hg38	7	22	38229464
chr8	124976863	124976956	Q15047	SETDB1.hg38	6	22	124976909
chr3	128859723	128859757	Q15047	SETDB1.hg38	6	22	128859740
chr2	239917776	239917823	Q15047	SETDB1.hg38	7	22	239917799
chr1	246515459	246515564	Q15047	SETDB1.hg38	6	22	246515511
chr7	149529282	149529317	Q15047	SETDB1.hg38	7	22	149529299
chr12	111304740	111304801	Q15047	SETDB1.hg38	7	22	111304770
chr19	57566576	57566631	Q15047	SETDB1.hg38	7	21	57566603
chr20	38337854	38337913	Q15047	SETDB1.hg38	6	21	38337883
chr2	172525754	172525801	Q15047	SETDB1.hg38	6	21	172525777
chr18	80022835	80022888	Q15047	SETDB1.hg38	7	21	80022861
chr2	6845537	6845570	Q15047	SETDB1.hg38	6	21	6845553
chr16	75122083	75122156	Q15047	SETDB1.hg38	6	21	75122119
chr16	3408728	3408821	Q15047	SETDB1.hg38	6	21	3408774
chr19	21947958	21948007	Q15047	SETDB1.hg38	7	21	21947982
chr8	8358652	8358687	Q15047	SETDB1.hg38	6	20	8358669
chr7	111796857	111796892	Q15047	SETDB1.hg38	7	20	111796874
chr2	160088021	160088064	Q15047	SETDB1.hg38	6	20	160088042
chr7	99531431	99531506	Q15047	SETDB1.hg38	7	20	99531468
chr7	111942867	111942924	Q15047	SETDB1.hg38	6	20	111942895
chr12	48716840	48716931	Q15047	SETDB1.hg38	7	20	48716885
chr3	138768249	138768358	Q15047	SETDB1.hg38	7	20	138768303
chr7	87328488	87328520	Q15047	SETDB1.hg38	7	20	87328504
chr19	29691026	29691111	Q15047	SETDB1.hg38	7	20	29691068
chr22	19316869	19316930	Q15047	SETDB1.hg38	7	20	19316899
chr7	65404187	65404278	Q15047	SETDB1.hg38	7	20	65404232
chr3	101308320	101308373	Q15047	SETDB1.hg38	6	20	101308346
chr7	138527813	138527876	Q15047	SETDB1.hg38	7	20	138527844
chr22	44612063	44612116	Q15047	SETDB1.hg38	6	20	44612089
chr20	38243013	38243052	Q15047	SETDB1.hg38	7	20	38243032
chr8	143669252	143669291	Q15047	SETDB1.hg38	6	20	143669271
chr9	122905470	122905547	Q15047	SETDB1.hg38	6	20	122905508
chr22	49767424	49767471	Q15047	SETDB1.hg38	6	20	49767447
chr20	341939	342005	Q15047	SETDB1.hg38	7	20	341972
chr11	10044846	10044893	Q15047	SETDB1.hg38	6	20	10044869
chr3	128854546	128854612	Q15047	SETDB1.hg38	5	19	128854579
chr12	32044100	32044161	Q15047	SETDB1.hg38	6	19	32044130
chr17	77167887	77167920	Q15047	SETDB1.hg38	6	19	77167903
chr17	77174803	77174845	Q15047	SETDB1.hg38	6	19	77174824
chr12	82358500	82358543	Q15047	SETDB1.hg38	7	19	82358521
chr20	56200584	56200662	Q15047	SETDB1.hg38	5	19	56200623
chr15	79915939	79915990	Q15047	SETDB1.hg38	5	19	79915964
chr13	41148854	41148899	Q15047	SETDB1.hg38	7	19	41148876
chr18	21612256	21612293	Q15047	SETDB1.hg38	6	19	21612274
chr1	163321801	163321842	Q15047	SETDB1.hg38	6	19	163321821
chr19	9673980	9674033	Q15047	SETDB1.hg38	6	19	9674006
chr8	68895100	68895165	Q15047	SETDB1.hg38	6	19	68895132
chr14	106308918	106308959	Q15047	SETDB1.hg38	6	19	106308938
chr7	67076305	67076357	Q15047	SETDB1.hg38	6	19	67076331
chr19	22945743	22945784	Q15047	SETDB1.hg38	6	19	22945763
chr13	52067305	52067402	Q15047	SETDB1.hg38	6	19	52067353
chr7	46468940	46468976	Q15047	SETDB1.hg38	6	19	46468958
chr6	33101292	33101359	Q15047	SETDB1.hg38	7	19	33101325
chr6	18823951	18823992	Q15047	SETDB1.hg38	6	19	18823971
chr2	108719372	108719465	Q15047	SETDB1.hg38	6	19	108719418
chr2	113604233	113604282	Q15047	SETDB1.hg38	6	19	113604257
chr16	10408957	10409028	Q15047	SETDB1.hg38	6	19	10408992
chr5	171979766	171979802	Q15047	SETDB1.hg38	6	19	171979784
chr12	949690	949753	Q15047	SETDB1.hg38	6	19	949721
chr16	50671845	50671890	Q15047	SETDB1.hg38	6	19	50671867
chr17	39047100	39047125	Q15047	SETDB1.hg38	6	18	39047112
