Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr2	173449316	173449361	Q9UK33	ZNF580.hg38	2	8	173449338
chr8	143281671	143281759	Q9UK33	ZNF580.hg38	2	8	143281715
chr8	27311525	27311569	Q9UK33	ZNF580.hg38	2	8	27311547
chr6	34888054	34888083	Q9UK33	ZNF580.hg38	2	7	34888068
chr3	14651606	14651695	Q9UK33	ZNF580.hg38	2	7	14651650
chr20	63537890	63537979	Q9UK33	ZNF580.hg38	2	7	63537934
chr12	57431080	57431169	Q9UK33	ZNF580.hg38	2	7	57431124
chr1	150487239	150487284	Q9UK33	ZNF580.hg38	2	7	150487261
chr1	178032005	178032030	Q9UK33	ZNF580.hg38	2	7	178032017
chr15	55196939	55197060	Q9UK33	ZNF580.hg38	2	7	55196999
chr1	150293850	150293894	Q9UK33	ZNF580.hg38	2	7	150293872
chr11	118252200	118252289	Q9UK33	ZNF580.hg38	2	7	118252244
chr3	5122188	5122277	Q9UK33	ZNF580.hg38	2	7	5122232
chr1	100132960	100133048	Q9UK33	ZNF580.hg38	2	7	100133004
chr16	1420781	1420837	Q9UK33	ZNF580.hg38	2	7	1420809
chr6	131628200	131628312	Q9UK33	ZNF580.hg38	2	7	131628256
chr11	62653355	62653428	Q9UK33	ZNF580.hg38	2	7	62653391
chr12	45728816	45728905	Q9UK33	ZNF580.hg38	2	7	45728860
chr12	132762239	132762328	Q9UK33	ZNF580.hg38	2	7	132762283
chr1	154183182	154183299	Q9UK33	ZNF580.hg38	2	7	154183240
chr10	67788615	67788659	Q9UK33	ZNF580.hg38	2	7	67788637
chr8	100143929	100144018	Q9UK33	ZNF580.hg38	2	7	100143973
chr17	57850036	57850068	Q9UK33	ZNF580.hg38	2	7	57850052
chr19	3721425	3721514	Q9UK33	ZNF580.hg38	2	7	3721469
chr1	23019326	23019367	Q9UK33	ZNF580.hg38	2	6	23019346
chr16	785712	785804	Q9UK33	ZNF580.hg38	2	6	785758
chr1	153566647	153566736	Q9UK33	ZNF580.hg38	2	6	153566691
chr16	97091	97115	Q9UK33	ZNF580.hg38	2	6	97103
chr3	4976277	4976354	Q9UK33	ZNF580.hg38	2	6	4976315
chr21	29002793	29002845	Q9UK33	ZNF580.hg38	2	6	29002819
chr6	44313336	44313425	Q9UK33	ZNF580.hg38	2	6	44313380
chr8	37849917	37849966	Q9UK33	ZNF580.hg38	2	6	37849941
chr12	132144381	132144446	Q9UK33	ZNF580.hg38	2	6	132144413
chr19	1775059	1775148	Q9UK33	ZNF580.hg38	2	6	1775103
chr15	90265583	90265647	Q9UK33	ZNF580.hg38	2	6	90265615
chr16	71607891	71607979	Q9UK33	ZNF580.hg38	2	6	71607935
chr20	62301882	62301974	Q9UK33	ZNF580.hg38	2	6	62301928
chr11	93543563	93543672	Q9UK33	ZNF580.hg38	2	6	93543617
chr3	51995877	51995937	Q9UK33	ZNF580.hg38	2	6	51995907
chr13	60164036	60164125	Q9UK33	ZNF580.hg38	2	6	60164080
chr1	145287718	145287758	Q9UK33	ZNF580.hg38	2	6	145287738
chr19	2740185	2740269	Q9UK33	ZNF580.hg38	2	6	2740227
chr1	144419119	144419208	Q9UK33	ZNF580.hg38	2	6	144419163
chr1	121016874	121016903	Q9UK33	ZNF580.hg38	2	6	121016888
chr9	120793448	120793517	Q9UK33	ZNF580.hg38	2	6	120793482
chr7	2242145	2242234	Q9UK33	ZNF580.hg38	2	6	2242189
chr7	726544	726616	Q9UK33	ZNF580.hg38	2	6	726580
chr16	67872997	67873101	Q9UK33	ZNF580.hg38	2	6	67873049
chr20	64286071	64286107	Q9UK33	ZNF580.hg38	2	6	64286089
chr4	6917818	6917846	Q9UK33	ZNF580.hg38	2	6	6917832
chr1	161422127	161422172	Q9UK33	ZNF580.hg38	2	6	161422149
chr1	10679772	10679796	Q9UK33	ZNF580.hg38	2	6	10679784
chr1	161540251	161540328	Q9UK33	ZNF580.hg38	2	6	161540289
chr17	51153506	51153563	Q9UK33	ZNF580.hg38	2	6	51153534
chr12	38316683	38316736	Q9UK33	ZNF580.hg38	2	6	38316709
chr1	163321798	163321863	Q9UK33	ZNF580.hg38	2	6	163321830
chr3	47282697	47282786	Q9UK33	ZNF580.hg38	2	6	47282741
chr12	42326107	42326167	Q9UK33	ZNF580.hg38	2	6	42326137
chr3	15099137	15099210	Q9UK33	ZNF580.hg38	2	6	15099173
chr12	44948824	44948913	Q9UK33	ZNF580.hg38	2	6	44948868
chr3	169763202	169763298	Q9UK33	ZNF580.hg38	2	6	169763250
chr6	108835400	108835476	Q9UK33	ZNF580.hg38	2	6	108835438
chr12	48106039	48106128	Q9UK33	ZNF580.hg38	2	6	48106083
chr17	50397540	50397588	Q9UK33	ZNF580.hg38	2	6	50397564
chr19	58499479	58499568	Q9UK33	ZNF580.hg38	2	6	58499523
chr16	2047823	2047912	Q9UK33	ZNF580.hg38	2	6	2047867
chr4	4542062	4542115	Q9UK33	ZNF580.hg38	2	6	4542088
