Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr3	182212580	182212677	Q00444	HOXC5	2	9	182212628	0.9831999997913836
chr17	79011704	79011752	Q00444	HOXC5	2	7	79011728	0.9690000001758337
chr4	80127528	80127621	Q00444	HOXC5	2	7	80127574	0.9917000000715256
chr15	78322439	78322492	Q00444	HOXC5	2	7	78322465	0.9771000001363456
chr9	16337524	16337633	Q00444	HOXC5	2	7	16337578	0.9723000000581146
chr3	115822678	115822770	Q00444	HOXC5	2	7	115822724	0.9552999998431652
chr8	8270557	8270636	Q00444	HOXC5	2	7	8270596	0.9939000002443792
chr4	121690888	121690967	Q00444	HOXC5	2	7	121690927	0.9641999998562036
chr5	154406488	154406549	Q00444	HOXC5	2	7	154406518	0.9871000001095236
chr2	120397376	120397497	Q00444	HOXC5	2	7	120397436	0.9903999999016524
chr8	93068439	93068495	Q00444	HOXC5	2	7	93068467	0.995500000077486
chr11	130635226	130635266	Q00444	HOXC5	2	7	130635246	0.9830999998446552
chr6	144287259	144287380	Q00444	HOXC5	2	7	144287319	0.9557000000178814
chr3	156784266	156784323	Q00444	HOXC5	2	6	156784294	0.9815900000065564
chr1	205664469	205664542	Q00444	HOXC5	2	6	205664505	0.9842999998103829
chr17	81584083	81584120	Q00444	HOXC5	2	6	81584101	0.9546999993950128
chr12	106301847	106301887	Q00444	HOXC5	2	6	106301867	0.9609999999262392
chr15	69592084	69592140	Q00444	HOXC5	2	6	69592112	0.9923000001966952
chr8	127586261	127586366	Q00444	HOXC5	2	6	127586313	0.9694000002093612
chr2	138948127	138948206	Q00444	HOXC5	2	6	138948166	0.999600000077486
chr7	47576185	47576221	Q00444	HOXC5	2	6	47576203	0.9670999999135732
chr21	41958291	41958335	Q00444	HOXC5	2	6	41958313	0.9569299995381384
chr6	19892377	19892462	Q00444	HOXC5	2	6	19892419	0.9622400000426918
chr2	239007154	239007214	Q00444	HOXC5	2	6	239007184	0.982299999890849
chr13	74891777	74891809	Q00444	HOXC5	2	6	74891793	0.9965
chr3	57159391	57159512	Q00444	HOXC5	2	6	57159451	0.9761000000678004
chr8	128127951	128128035	Q00444	HOXC5	2	6	128127993	0.999799999898672
chr8	128153090	128153207	Q00444	HOXC5	2	6	128153148	0.9780899999529123
chr13	109743861	109743889	Q00444	HOXC5	2	6	109743875	0.977000000180304
chr3	194135975	194136054	Q00444	HOXC5	2	6	194136014	1.0
chr10	75111445	75111550	Q00444	HOXC5	2	6	75111497	0.959900000102818
chr8	29752378	29752457	Q00444	HOXC5	2	6	29752417	0.955199999878183
chr4	95465111	95465172	Q00444	HOXC5	2	6	95465141	0.9986999997794628
chr8	73358565	73358644	Q00444	HOXC5	2	6	73358604	0.9750000000346452
chr20	57695141	57695209	Q00444	HOXC5	2	6	57695175	1.0
chr20	4064731	4064808	Q00444	HOXC5	2	6	4064769	0.9877999997973442
chr14	64726664	64726748	Q00444	HOXC5	2	6	64726706	0.9848000000372528
chr12	45615462	45615562	Q00444	HOXC5	2	6	45615512	0.9809000001937151
chr2	65366726	65366805	Q00444	HOXC5	2	6	65366765	0.9665999997083098
chr4	104728579	104728656	Q00444	HOXC5	2	6	104728617	0.9786000000819564
chr15	66765944	66766023	Q00444	HOXC5	2	6	66765983	0.9793000002585353
chr6	37863187	37863220	Q00444	HOXC5	2	6	37863203	0.981399999851361
chr22	45969215	45969264	Q00444	HOXC5	2	6	45969239	1.0
chr1	207007476	207007555	Q00444	HOXC5	2	6	207007515	0.9745000000461936
chr3	185728003	185728082	Q00444	HOXC5	2	6	185728042	0.964400000023842
chr14	49946908	49947000	Q00444	HOXC5	2	6	49946954	0.9558999999213964
chr14	61992195	61992267	Q00444	HOXC5	2	6	61992231	0.987100000023842
chr7	7765613	7765662	Q00444	HOXC5	2	6	7765637	0.9740000000074506
chr12	79452102	79452219	Q00444	HOXC5	2	6	79452160	0.9928000000603496
chr1	85544826	85544914	Q00444	HOXC5	2	6	85544870	0.9726500000122934
chr7	7861394	7861473	Q00444	HOXC5	2	6	7861433	0.9902880001172424
chr17	19753180	19753224	Q00444	HOXC5	2	6	19753202	0.9763
chr2	71743027	71743107	Q00444	HOXC5	2	6	71743067	0.9776999998927116
chr9	72525261	72525340	Q00444	HOXC5	2	6	72525300	0.9501600001364946
chr14	61562064	61562137	Q00444	HOXC5	2	6	61562100	0.9926000000149012
chr3	18099118	18099150	Q00444	HOXC5	2	6	18099134	0.9771000000864268
chr3	44886680	44886760	Q00444	HOXC5	2	6	44886720	0.9834999998673796
chr5	73281607	73281675	Q00444	HOXC5	2	6	73281641	0.988100000078976
chr10	80158747	80158823	Q00444	HOXC5	2	6	80158785	0.9838000001192092
chr5	1152967	1153007	Q00444	HOXC5	2	6	1152987	0.956199999909848
chr16	22026511	22026547	Q00444	HOXC5	2	6	22026529	0.9751999999083578
chr5	75622817	75622882	Q00444	HOXC5	2	6	75622849	0.9615000000432132
chr7	36287541	36287597	Q00444	HOXC5	2	6	36287569	0.9660000000059604
chr18	27839318	27839359	Q00444	HOXC5	2	6	27839338	0.9999000000953674
chr2	1632046	1632091	Q00444	HOXC5	2	6	1632068	0.9942999995946884
chr8	133217931	133218035	Q00444	HOXC5	2	6	133217983	0.9874000000044704
chr8	133212403	133212476	Q00444	HOXC5	2	6	133212439	0.9889999999865888
chr6	163311973	163312054	Q00444	HOXC5	2	6	163312013	0.9706199999034404
chr1	198669283	198669343	Q00444	HOXC5	2	6	198669313	0.9890999996781348
chr21	44753058	44753137	Q00444	HOXC5	2	6	44753097	0.9777000000566244
chr6	119147465	119147542	Q00444	HOXC5	2	6	119147503	0.967799999806285
chr3	85560570	85560594	Q00444	HOXC5	2	6	85560582	0.9943000000454484
chr5	1113132	1113173	Q00444	HOXC5	2	6	1113152	0.984399999921024
chr12	28023649	28023753	Q00444	HOXC5	2	6	28023701	0.9858999999463558
chr10	126013643	126013756	Q00444	HOXC5	2	6	126013699	0.9930999998793006
chr3	123582383	123582462	Q00444	HOXC5	2	6	123582422	0.9674559998992832
chr1	45872325	45872349	Q00444	HOXC5	2	6	45872337	0.959899999767542
chr1	44283624	44283720	Q00444	HOXC5	2	6	44283672	0.985799999949336
chr2	214069409	214069498	Q00444	HOXC5	2	6	214069453	0.989800000021234
chr7	40673417	40673482	Q00444	HOXC5	2	6	40673449	0.9802000001773238
chr8	19034471	19034548	Q00444	HOXC5	2	6	19034509	0.9918279999554156
chr7	13981242	13981314	Q00444	HOXC5	2	6	13981278	1.0
chr4	122898634	122898658	Q00444	HOXC5	2	6	122898646	0.9939
chr10	110629814	110629893	Q00444	HOXC5	2	6	110629853	0.981100000090897
chr6	52517676	52517755	Q00444	HOXC5	2	6	52517715	0.9836999997466802
chr2	7031967	7032003	Q00444	HOXC5	2	6	7031985	0.9801000000700356
chr2	100780798	100780890	Q00444	HOXC5	2	6	100780844	0.963100000205636
chr17	43670266	43670346	Q00444	HOXC5	2	6	43670306	0.951000000154972
chr11	20035768	20035847	Q00444	HOXC5	2	6	20035807	0.985000000104308
chr11	94020820	94020924	Q00444	HOXC5	2	6	94020872	0.9834999998182058
chr10	92892513	92892542	Q00444	HOXC5	2	6	92892527	0.9677579999238252
chr2	236825007	236825080	Q00444	HOXC5	2	6	236825043	0.9696300000943244
chr10	93579178	93579257	Q00444	HOXC5	2	6	93579217	0.963800000005588
chr2	105650638	105650717	Q00444	HOXC5	2	6	105650677	0.9693999998353422
chr10	95221300	95221379	Q00444	HOXC5	2	6	95221339	0.9570999999128282
chr1	201605035	201605096	Q00444	HOXC5	2	6	201605065	0.9647999999832362
chr3	80190258	80190298	Q00444	HOXC5	2	6	80190278	0.9927000000178814
chr5	74064023	74064100	Q00444	HOXC5	2	6	74064061	0.9837000000104308
chr1	61244229	61244308	Q00444	HOXC5	2	6	61244268	1.0
chr9	115996631	115996683	Q00444	HOXC5	2	6	115996657	0.9999000000953674
chr8	118838038	118838138	Q00444	HOXC5	2	6	118838088	0.9873000000834464
chr13	70391840	70391869	Q00444	HOXC5	2	6	70391854	0.9944999999344348
chr15	79179265	79179298	Q00444	HOXC5	2	6	79179281	0.9787000001981856
chr1	58883439	58883487	Q00444	HOXC5	2	6	58883463	0.9956140000984072
chr5	74328305	74328384	Q00444	HOXC5	2	6	74328344	0.9719999999463558
chr8	29637622	29637701	Q00444	HOXC5	2	6	29637661	0.9621999997764826
chr1	33342400	33342479	Q00444	HOXC5	2	6	33342439	0.9849000001326204
chr9	127955576	127955637	Q00444	HOXC5	2	6	127955606	0.9543000001698732
chr7	55074040	55074132	Q00444	HOXC5	2	6	55074086	1.0
chr2	199379413	199379492	Q00444	HOXC5	2	6	199379452	0.9938999997496604
chr14	37436707	37436747	Q00444	HOXC5	2	6	37436727	0.9520459997184576
chr2	223549362	223549441	Q00444	HOXC5	2	6	223549401	0.9772999996840954
chr2	191377439	191377467	Q00444	HOXC5	2	6	191377453	0.959599999704957
chr17	64082271	64082375	Q00444	HOXC5	2	6	64082323	0.9716999999910592
chr18	73283953	73283997	Q00444	HOXC5	2	6	73283975	0.9721999998569488
chr18	73283236	73283300	Q00444	HOXC5	2	6	73283268	0.9721999998569488
chr11	46274005	46274065	Q00444	HOXC5	2	6	46274035	0.9692999998807909
chr12	52215636	52215737	Q00444	HOXC5	2	6	52215686	0.9868999999582768
chr17	57901484	57901600	Q00444	HOXC5	2	6	57901542	0.9538000003870576
chr7	26653751	26653816	Q00444	HOXC5	2	6	26653783	0.9794000000026076
chr2	42133130	42133198	Q00444	HOXC5	2	6	42133164	0.9655939996480942
chr20	10706102	10706186	Q00444	HOXC5	2	6	10706144	0.9770880001664162
chr22	39176324	39176365	Q00444	HOXC5	2	6	39176344	0.985099999910593
chr1	94255563	94255642	Q00444	HOXC5	2	6	94255602	0.9579000000275673
chr2	45939015	45939132	Q00444	HOXC5	2	6	45939073	0.9588999999362976
chr2	167134859	167134903	Q00444	HOXC5	2	6	167134881	0.9950999999165536
chr8	123182482	123182561	Q00444	HOXC5	2	6	123182521	0.9693000001758336
chr1	1763163	1763215	Q00444	HOXC5	2	6	1763189	0.9543000002108516
chr3	100047576	100047601	Q00444	HOXC5	2	6	100047588	0.958799999782443
chr12	93135431	93135476	Q00444	HOXC5	2	6	93135453	0.9824999999195336
chr6	85464315	85464394	Q00444	HOXC5	2	6	85464354	1.0
chr13	34469301	34469380	Q00444	HOXC5	2	6	34469340	0.984100000013411
chr7	133512755	133512823	Q00444	HOXC5	2	6	133512789	0.968600000026077
chr3	30259061	30259109	Q00444	HOXC5	2	6	30259085	0.9964000001072884
chr2	164968014	164968047	Q00444	HOXC5	2	6	164968030	0.9625000003010036
chr10	44978840	44978925	Q00444	HOXC5	2	6	44978882	1.0
chr6	83434600	83434712	Q00444	HOXC5	2	6	83434656	0.9765999998822807
chr17	50661947	50662026	Q00444	HOXC5	2	6	50661986	0.970579999998212
chr3	30286162	30286214	Q00444	HOXC5	2	6	30286188	0.9939839999958872
chr12	25829369	25829485	Q00444	HOXC5	2	5	25829427	0.994399999890104
chr21	34845889	34845974	Q00444	HOXC5	2	5	34845931	0.9833000000104308
chr7	92057455	92057534	Q00444	HOXC5	2	5	92057494	1.0
chr16	48961759	48961838	Q00444	HOXC5	2	5	48961798	0.9932900001376868
chr2	9179984	9180029	Q00444	HOXC5	2	5	9180006	0.9576000002030284
chr10	103599001	103599080	Q00444	HOXC5	2	5	103599040	0.9991999998867512
chr1	178238834	178238913	Q00444	HOXC5	2	5	178238873	0.9899999999821186
