Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr6	139375559	139375626	Q9Y261	FOXA2	41	172	139375592	0.9990000000417232
chr5	124661656	124661715	Q9Y261	FOXA2	39	170	124661685	0.9843999998390676
chr7	100100611	100100670	Q9Y261	FOXA2	39	164	100100640	0.9731999999165536
chr1	33342432	33342455	Q9Y261	FOXA2	43	160	33342443	0.9849000001326204
chr3	71208798	71208869	Q9Y261	FOXA2	38	159	71208833	0.9918999999672174
chr2	208025478	208025549	Q9Y261	FOXA2	41	158	208025513	0.9513999995928256
chr3	39051976	39052013	Q9Y261	FOXA2	42	157	39051994	0.9822999999389052
chr17	81394119	81394142	Q9Y261	FOXA2	43	157	81394130	1.0
chr8	125430246	125430265	Q9Y261	FOXA2	45	156	125430255	0.9769000000424684
chr7	4745000	4745043	Q9Y261	FOXA2	41	155	4745021	0.9516999995790422
chr11	108593918	108593965	Q9Y261	FOXA2	40	154	108593941	0.9843999998956918
chr3	177360055	177360092	Q9Y261	FOXA2	43	153	177360073	0.958406000156328
chr3	30258990	30259043	Q9Y261	FOXA2	35	152	30259016	0.9964000001072884
chr6	89940588	89940623	Q9Y261	FOXA2	43	151	89940605	0.9936999999642372
chr14	53614024	53614062	Q9Y261	FOXA2	40	150	53614043	0.9533000001251698
chr3	47282567	47282588	Q9Y261	FOXA2	43	150	47282577	0.9528400000337512
chr8	79963634	79963689	Q9Y261	FOXA2	38	150	79963661	1.0
chr3	172750472	172750499	Q9Y261	FOXA2	43	149	172750485	0.9580999999940396
chr14	77034326	77034359	Q9Y261	FOXA2	42	148	77034342	0.9776999996040016
chr3	4986976	4986997	Q9Y261	FOXA2	42	148	4986986	0.9806999997243284
chr4	76208553	76208579	Q9Y261	FOXA2	41	148	76208566	0.9894000000491738
chr2	219398983	219399026	Q9Y261	FOXA2	39	148	219399004	0.9532000000078232
chr4	139082962	139082987	Q9Y261	FOXA2	42	147	139082974	0.9718000001419336
chr11	119334400	119334425	Q9Y261	FOXA2	40	147	119334412	0.980200000075996
chr7	27663136	27663159	Q9Y261	FOXA2	43	147	27663147	0.9525000001251698
chr11	46274038	46274067	Q9Y261	FOXA2	42	146	46274052	0.9692999998807909
chr3	186109227	186109262	Q9Y261	FOXA2	41	146	186109244	0.984099999895692
chr2	70919958	70919979	Q9Y261	FOXA2	40	146	70919968	0.9531999997772276
chr1	3624779	3624802	Q9Y261	FOXA2	40	145	3624790	0.9696000001639128
chr8	6140092	6140117	Q9Y261	FOXA2	40	145	6140104	0.99249999999851
chr2	44087401	44087428	Q9Y261	FOXA2	43	144	44087414	0.9759999998286366
chr5	73792968	73792995	Q9Y261	FOXA2	41	144	73792981	0.995899999898672
chr14	61439198	61439225	Q9Y261	FOXA2	41	144	61439211	0.9795999999523164
chr18	3449179	3449208	Q9Y261	FOXA2	43	143	3449193	0.9585539995752276
chr3	45656969	45656997	Q9Y261	FOXA2	41	142	45656983	0.9527420003570616
chr8	51899148	51899173	Q9Y261	FOXA2	42	142	51899160	0.9895999998152256
chr7	1537341	1537362	Q9Y261	FOXA2	40	142	1537351	0.9991999998867512
chr10	103599025	103599054	Q9Y261	FOXA2	41	142	103599039	0.9991999998867512
chr8	141228641	141228665	Q9Y261	FOXA2	40	142	141228653	0.9979999998271464
chr17	42744989	42745014	Q9Y261	FOXA2	40	141	42745001	0.953900000166893
chr1	234975302	234975345	Q9Y261	FOXA2	36	141	234975323	0.9848000002592802
chr12	114684378	114684403	Q9Y261	FOXA2	42	140	114684390	1.0
chr4	152956799	152956826	Q9Y261	FOXA2	39	140	152956812	0.990499999654293
chr11	126116078	126116107	Q9Y261	FOXA2	39	139	126116092	0.972910000007227
chr15	60374799	60374846	Q9Y261	FOXA2	38	139	60374822	0.9559999999202788
chr12	56126357	56126388	Q9Y261	FOXA2	40	139	56126372	0.9786999998491256
chr6	37172394	37172423	Q9Y261	FOXA2	41	139	37172408	0.9820000000048428
chr18	58043648	58043675	Q9Y261	FOXA2	41	138	58043661	0.973400000178814
chr2	43634758	43634789	Q9Y261	FOXA2	38	138	43634773	0.9703999998278916
chr18	3447982	3448044	Q9Y261	FOXA2	36	138	3448013	0.955899999850616
chr9	72828517	72828588	Q9Y261	FOXA2	34	138	72828552	0.9643000002115965
chr8	274462	274493	Q9Y261	FOXA2	43	138	274477	1.0
chr14	89955804	89955827	Q9Y261	FOXA2	41	138	89955815	0.9975
chr4	140154196	140154219	Q9Y261	FOXA2	40	137	140154207	0.9877000000372528
chr5	72956033	72956056	Q9Y261	FOXA2	39	137	72956044	0.9679000000730156
chr15	69592075	69592126	Q9Y261	FOXA2	35	137	69592100	0.9923000001966952
chr11	128507234	128507261	Q9Y261	FOXA2	40	137	128507247	1.0
chr1	23562421	23562451	Q9Y261	FOXA2	41	137	23562436	0.9619000001206994
chr8	96928618	96928644	Q9Y261	FOXA2	36	136	96928631	0.972199999858439
chr6	151391904	151391935	Q9Y261	FOXA2	41	136	151391919	0.9738999999091028
chr17	8532268	8532317	Q9Y261	FOXA2	37	136	8532292	0.9838999999050052
chr1	65066821	65066842	Q9Y261	FOXA2	39	136	65066831	0.9669620000384748
chr14	74084750	74084773	Q9Y261	FOXA2	41	136	74084761	0.9542999996006488
chr1	145892292	145892315	Q9Y261	FOXA2	42	136	145892303	0.961999999647215
chr3	98593841	98593873	Q9Y261	FOXA2	40	136	98593857	0.9683999997738748
chr12	19131055	19131100	Q9Y261	FOXA2	42	135	19131077	0.9936999999463558
chr9	86405351	86405382	Q9Y261	FOXA2	36	135	86405366	0.9604080001126974
chr9	127955568	127955591	Q9Y261	FOXA2	39	134	127955579	0.9543000001698732
chr6	52725961	52726001	Q9Y261	FOXA2	38	134	52725981	0.9543000000022352
chr6	41568765	41568824	Q9Y261	FOXA2	37	134	41568794	0.994500000023842
chr10	90921389	90921452	Q9Y261	FOXA2	31	134	90921420	0.9984719999253748
chr1	21338840	21338871	Q9Y261	FOXA2	38	134	21338855	0.9756999999672176
chr11	134262180	134262205	Q9Y261	FOXA2	39	134	134262192	0.9535999999415128
