Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr5	57435893	57436014	P19484	TFEB.hg38	1	5	57435953
chr12	51394221	51394342	P19484	TFEB.hg38	1	5	51394281
chr18	25298993	25299114	P19484	TFEB.hg38	1	5	25299053
chr14	95531598	95531719	P19484	TFEB.hg38	1	5	95531658
chr6	169670011	169670132	P19484	TFEB.hg38	1	5	169670071
chr18	2516417	2516538	P19484	TFEB.hg38	1	5	2516477
chr2	237128400	237128521	P19484	TFEB.hg38	1	5	237128460
chr7	105097841	105097962	P19484	TFEB.hg38	1	5	105097901
chr12	69443003	69443124	P19484	TFEB.hg38	1	5	69443063
chr12	75781725	75781846	P19484	TFEB.hg38	1	5	75781785
chr17	59786537	59786658	P19484	TFEB.hg38	1	5	59786597
chr10	6722297	6722418	P19484	TFEB.hg38	1	5	6722357
chr10	119409994	119410115	P19484	TFEB.hg38	1	5	119410054
chr3	98730377	98730498	P19484	TFEB.hg38	1	5	98730437
chr2	196278676	196278797	P19484	TFEB.hg38	1	5	196278736
chr11	61348071	61348192	P19484	TFEB.hg38	1	5	61348131
chr1	234723691	234723812	P19484	TFEB.hg38	1	5	234723751
chr6	136077976	136078097	P19484	TFEB.hg38	1	5	136078036
chr6	134511038	134511159	P19484	TFEB.hg38	1	5	134511098
chr9	122821664	122821752	P19484	TFEB.hg38	1	5	122821708
chr6	134296010	134296131	P19484	TFEB.hg38	1	5	134296070
chr10	78256194	78256315	P19484	TFEB.hg38	1	5	78256254
chr13	114115357	114115478	P19484	TFEB.hg38	1	5	114115417
chr6	129353254	129353285	P19484	TFEB.hg38	1	5	129353269
chr4	21769511	21769632	P19484	TFEB.hg38	1	5	21769571
chr7	39589816	39589937	P19484	TFEB.hg38	1	5	39589876
chr12	19946637	19946758	P19484	TFEB.hg38	1	5	19946697
chr8	140114630	140114751	P19484	TFEB.hg38	1	5	140114690
chr14	57382337	57382458	P19484	TFEB.hg38	1	5	57382397
chr10	60425560	60425572	P19484	TFEB.hg38	1	5	60425566
chr9	5509645	5509766	P19484	TFEB.hg38	1	5	5509705
chr8	133540396	133540517	P19484	TFEB.hg38	1	5	133540456
chr14	52025533	52025654	P19484	TFEB.hg38	1	5	52025593
chr5	126884420	126884541	P19484	TFEB.hg38	1	5	126884480
chr12	27574057	27574178	P19484	TFEB.hg38	1	5	27574117
chr14	64280255	64280376	P19484	TFEB.hg38	1	5	64280315
chr10	36539091	36539212	P19484	TFEB.hg38	1	5	36539151
chr7	50826833	50826954	P19484	TFEB.hg38	1	5	50826893
chr4	5753948	5754036	P19484	TFEB.hg38	1	5	5753992
chr16	31869607	31869728	P19484	TFEB.hg38	1	5	31869667
chr4	13907404	13907525	P19484	TFEB.hg38	1	5	13907464
chr4	17614438	17614559	P19484	TFEB.hg38	1	5	17614498
chr7	66952662	66952783	P19484	TFEB.hg38	1	5	66952722
chr14	74983400	74983521	P19484	TFEB.hg38	1	5	74983460
chr15	99455076	99455197	P19484	TFEB.hg38	1	5	99455136
chr1	94067296	94067417	P19484	TFEB.hg38	1	5	94067356
chr3	40971781	40971902	P19484	TFEB.hg38	1	5	40971841
chr8	23763453	23763574	P19484	TFEB.hg38	1	5	23763513
chr6	121520763	121520884	P19484	TFEB.hg38	1	5	121520823
chr20	33859259	33859380	P19484	TFEB.hg38	1	4	33859319
chr5	96881813	96881934	P19484	TFEB.hg38	1	4	96881873
chr12	52010393	52010514	P19484	TFEB.hg38	1	4	52010453
chr5	96601307	96601428	P19484	TFEB.hg38	1	4	96601367
chr12	53006376	53006497	P19484	TFEB.hg38	1	4	53006436
chr5	96562817	96562938	P19484	TFEB.hg38	1	4	96562877
chr20	32746457	32746578	P19484	TFEB.hg38	1	4	32746517
chr12	54411531	54411652	P19484	TFEB.hg38	1	4	54411591
chr5	96408323	96408444	P19484	TFEB.hg38	1	4	96408383
chr17	1423033	1423154	P19484	TFEB.hg38	1	4	1423093
chr5	95760325	95760446	P19484	TFEB.hg38	1	4	95760385
chr12	51886004	51886125	P19484	TFEB.hg38	1	4	51886064
chr5	95632179	95632300	P19484	TFEB.hg38	1	4	95632239
chr17	27446970	27447091	P19484	TFEB.hg38	1	4	27447030
chr12	55729065	55729186	P19484	TFEB.hg38	1	4	55729125
chr5	95142312	95142433	P19484	TFEB.hg38	1	4	95142372
