Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr7	69232820	69232891	Q9H9S0	NANOG.hg38	18	82	69232855
chr16	25950851	25950958	Q9H9S0	NANOG.hg38	17	77	25950904
chr18	66272107	66272174	Q9H9S0	NANOG.hg38	16	75	66272140
chr15	32899403	32899468	Q9H9S0	NANOG.hg38	18	75	32899435
chr10	90925728	90925788	Q9H9S0	NANOG.hg38	16	74	90925758
chr10	80894435	80894505	Q9H9S0	NANOG.hg38	15	74	80894470
chr13	25911179	25911260	Q9H9S0	NANOG.hg38	16	74	25911219
chr12	62659589	62659642	Q9H9S0	NANOG.hg38	16	73	62659615
chr13	77853825	77853892	Q9H9S0	NANOG.hg38	16	72	77853858
chr12	11609127	11609177	Q9H9S0	NANOG.hg38	16	72	11609152
chr5	68922503	68922586	Q9H9S0	NANOG.hg38	15	72	68922544
chr3	30549763	30549824	Q9H9S0	NANOG.hg38	15	72	30549793
chr10	26214249	26214328	Q9H9S0	NANOG.hg38	16	72	26214288
chr13	27966118	27966178	Q9H9S0	NANOG.hg38	18	71	27966148
chr14	78985867	78985929	Q9H9S0	NANOG.hg38	16	71	78985898
chr16	77967412	77967521	Q9H9S0	NANOG.hg38	16	70	77967466
chr6	113777139	113777193	Q9H9S0	NANOG.hg38	16	70	113777166
chr10	53599044	53599143	Q9H9S0	NANOG.hg38	17	70	53599093
chr8	69977445	69977508	Q9H9S0	NANOG.hg38	16	70	69977476
chr12	122872266	122872331	Q9H9S0	NANOG.hg38	17	70	122872298
chr4	183183380	183183446	Q9H9S0	NANOG.hg38	16	70	183183413
chr4	130026362	130026415	Q9H9S0	NANOG.hg38	16	70	130026388
chr5	88664708	88664769	Q9H9S0	NANOG.hg38	16	69	88664738
chr11	85349149	85349234	Q9H9S0	NANOG.hg38	15	69	85349191
chr2	143892001	143892092	Q9H9S0	NANOG.hg38	16	69	143892046
chr7	31466204	31466260	Q9H9S0	NANOG.hg38	16	69	31466232
chr8	9264412	9264477	Q9H9S0	NANOG.hg38	17	69	9264444
chr4	186688276	186688353	Q9H9S0	NANOG.hg38	16	69	186688314
chr7	96143798	96143861	Q9H9S0	NANOG.hg38	16	68	96143829
chr13	84655040	84655101	Q9H9S0	NANOG.hg38	15	68	84655070
chr17	43483948	43483977	Q9H9S0	NANOG.hg38	19	68	43483962
chr14	54362268	54362337	Q9H9S0	NANOG.hg38	15	68	54362302
chr5	87787830	87787894	Q9H9S0	NANOG.hg38	16	68	87787862
chr8	127043867	127043928	Q9H9S0	NANOG.hg38	16	68	127043897
chr4	86483047	86483134	Q9H9S0	NANOG.hg38	16	68	86483090
chr7	157310490	157310534	Q9H9S0	NANOG.hg38	16	68	157310512
chr7	150402094	150402181	Q9H9S0	NANOG.hg38	15	68	150402137
chr11	30546495	30546558	Q9H9S0	NANOG.hg38	16	68	30546526
chr12	3944881	3944946	Q9H9S0	NANOG.hg38	16	68	3944913
chr2	223618440	223618509	Q9H9S0	NANOG.hg38	15	68	223618474
chr13	39385676	39385741	Q9H9S0	NANOG.hg38	16	68	39385708
chr6	73349459	73349522	Q9H9S0	NANOG.hg38	16	68	73349490
chr13	59793275	59793356	Q9H9S0	NANOG.hg38	15	68	59793315
chr10	117159559	117159613	Q9H9S0	NANOG.hg38	17	67	117159586
chr11	94650115	94650168	Q9H9S0	NANOG.hg38	17	67	94650141
chr2	121680356	121680401	Q9H9S0	NANOG.hg38	16	67	121680378
chr10	110169276	110169330	Q9H9S0	NANOG.hg38	16	67	110169303
chr6	158468152	158468204	Q9H9S0	NANOG.hg38	17	67	158468178
chr14	46322266	46322339	Q9H9S0	NANOG.hg38	15	67	46322302
chr11	113629161	113629214	Q9H9S0	NANOG.hg38	15	67	113629187
chr1	185646456	185646526	Q9H9S0	NANOG.hg38	18	67	185646491
chr11	56659864	56659925	Q9H9S0	NANOG.hg38	16	67	56659894
chr14	58769144	58769204	Q9H9S0	NANOG.hg38	16	67	58769174
chr4	73985391	73985469	Q9H9S0	NANOG.hg38	15	67	73985430
chr15	64430441	64430494	Q9H9S0	NANOG.hg38	16	67	64430467
chr11	99926112	99926171	Q9H9S0	NANOG.hg38	15	67	99926141
chr5	124980647	124980710	Q9H9S0	NANOG.hg38	15	67	124980678
chr6	101614999	101615066	Q9H9S0	NANOG.hg38	15	67	101615032
chr2	148578277	148578323	Q9H9S0	NANOG.hg38	17	66	148578300
chr2	100119407	100119479	Q9H9S0	NANOG.hg38	16	66	100119443
chr19	33032562	33032624	Q9H9S0	NANOG.hg38	17	66	33032593
chr1	5225835	5225912	Q9H9S0	NANOG.hg38	14	66	5225873
chr3	117399893	117399954	Q9H9S0	NANOG.hg38	15	66	117399923
chr13	100510345	100510405	Q9H9S0	NANOG.hg38	16	66	100510375
chr16	3553330	3553397	Q9H9S0	NANOG.hg38	16	66	3553363
chr10	88703222	88703323	Q9H9S0	NANOG.hg38	15	66	88703272
chr3	57130984	57131061	Q9H9S0	NANOG.hg38	16	66	57131022
chr21	20790274	20790339	Q9H9S0	NANOG.hg38	15	66	20790306
chr2	233329867	233329934	Q9H9S0	NANOG.hg38	17	66	233329900
chr13	59448394	59448457	Q9H9S0	NANOG.hg38	16	66	59448425
chr3	87727967	87728030	Q9H9S0	NANOG.hg38	15	66	87727998
chr15	59354102	59354152	Q9H9S0	NANOG.hg38	16	66	59354127
chr1	182101632	182101711	Q9H9S0	NANOG.hg38	16	66	182101671
chr13	67736936	67737023	Q9H9S0	NANOG.hg38	15	66	67736979
chr10	22810826	22810903	Q9H9S0	NANOG.hg38	15	66	22810864
chr1	221715700	221715729	Q9H9S0	NANOG.hg38	15	66	221715714
chr9	126676924	126676964	Q9H9S0	NANOG.hg38	17	66	126676944
chr10	96309930	96310005	Q9H9S0	NANOG.hg38	16	66	96309967
chr5	97400675	97400734	Q9H9S0	NANOG.hg38	16	65	97400704
chr9	37251532	37251604	Q9H9S0	NANOG.hg38	15	65	37251568
chr9	123863315	123863371	Q9H9S0	NANOG.hg38	16	65	123863343
chr5	76499728	76499785	Q9H9S0	NANOG.hg38	15	65	76499756
chr5	94355183	94355248	Q9H9S0	NANOG.hg38	15	65	94355215
chr11	94657131	94657204	Q9H9S0	NANOG.hg38	16	65	94657167
chr6	91298751	91298796	Q9H9S0	NANOG.hg38	16	65	91298773
chr16	85083353	85083409	Q9H9S0	NANOG.hg38	16	65	85083381
chr17	67520019	67520086	Q9H9S0	NANOG.hg38	15	65	67520052
chr16	24099074	24099139	Q9H9S0	NANOG.hg38	15	65	24099106
chr8	81896071	81896136	Q9H9S0	NANOG.hg38	16	65	81896103
chr20	56736485	56736552	Q9H9S0	NANOG.hg38	16	65	56736518
chr21	16241775	16241830	Q9H9S0	NANOG.hg38	17	65	16241802
chr9	131531265	131531290	Q9H9S0	NANOG.hg38	18	65	131531277
chr18	69706292	69706327	Q9H9S0	NANOG.hg38	16	65	69706309
chr5	17146056	17146125	Q9H9S0	NANOG.hg38	15	65	17146090
chr5	142702111	142702188	Q9H9S0	NANOG.hg38	15	65	142702149
chr6	128744108	128744157	Q9H9S0	NANOG.hg38	16	65	128744132
chr6	136956961	136957020	Q9H9S0	NANOG.hg38	16	65	136956990
chr6	57423731	57423790	Q9H9S0	NANOG.hg38	15	65	57423760
chr10	123459541	123459616	Q9H9S0	NANOG.hg38	15	65	123459578
