Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr16	85291692	85291745	P10588	NR2F6.hg38	3	14	85291718
chr3	31288915	31288950	P10588	NR2F6.hg38	3	14	31288932
chr2	21056497	21056612	P10588	NR2F6.hg38	3	14	21056554
chr10	77849231	77849330	P10588	NR2F6.hg38	3	13	77849280
chr12	56752381	56752458	P10588	NR2F6.hg38	3	13	56752419
chr5	151126309	151126382	P10588	NR2F6.hg38	3	13	151126345
chr2	137964128	137964227	P10588	NR2F6.hg38	3	13	137964177
chr2	128309497	128309568	P10588	NR2F6.hg38	3	13	128309532
chr8	128167666	128167709	P10588	NR2F6.hg38	3	13	128167687
chr9	137023361	137023430	P10588	NR2F6.hg38	3	13	137023395
chr19	45873936	45873997	P10588	NR2F6.hg38	3	13	45873966
chr11	65418830	65418907	P10588	NR2F6.hg38	3	13	65418868
chr17	1467929	1467994	P10588	NR2F6.hg38	3	13	1467961
chr2	9703847	9703917	P10588	NR2F6.hg38	3	12	9703882
chr22	43078654	43078693	P10588	NR2F6.hg38	3	12	43078673
chr1	155179035	155179070	P10588	NR2F6.hg38	3	12	155179052
chr8	127820156	127820212	P10588	NR2F6.hg38	3	12	127820184
chr7	129785206	129785251	P10588	NR2F6.hg38	3	12	129785228
chr19	46411635	46411668	P10588	NR2F6.hg38	3	12	46411651
chr11	93487357	93487442	P10588	NR2F6.hg38	3	12	93487399
chr1	31573998	31574047	P10588	NR2F6.hg38	3	12	31574022
chr10	22760203	22760230	P10588	NR2F6.hg38	3	12	22760216
chr11	74019435	74019488	P10588	NR2F6.hg38	3	12	74019461
chr19	19634373	19634426	P10588	NR2F6.hg38	3	12	19634399
chr1	30892822	30892895	P10588	NR2F6.hg38	3	12	30892858
chr2	15766522	15766558	P10588	NR2F6.hg38	3	12	15766540
chr7	135144075	135144116	P10588	NR2F6.hg38	3	12	135144095
chr22	39246961	39247024	P10588	NR2F6.hg38	3	12	39246992
chr1	37951909	37951958	P10588	NR2F6.hg38	3	12	37951933
chr8	100726549	100726600	P10588	NR2F6.hg38	3	12	100726574
chr12	56038180	56038249	P10588	NR2F6.hg38	3	12	56038214
chr5	95857464	95857495	P10588	NR2F6.hg38	3	12	95857479
chr2	112692709	112692764	P10588	NR2F6.hg38	3	12	112692736
chr6	26475261	26475341	P10588	NR2F6.hg38	3	12	26475301
chr16	83814369	83814404	P10588	NR2F6.hg38	3	12	83814386
chr9	129666710	129666735	P10588	NR2F6.hg38	3	12	129666722
chr16	1291021	1291058	P10588	NR2F6.hg38	3	12	1291039
chr2	85587715	85587790	P10588	NR2F6.hg38	3	12	85587752
chr8	122760378	122760453	P10588	NR2F6.hg38	3	12	122760415
chr6	36682415	36682450	P10588	NR2F6.hg38	3	12	36682432
chr2	55109723	55109756	P10588	NR2F6.hg38	3	12	55109739
chr2	46555202	46555229	P10588	NR2F6.hg38	3	12	46555215
chr8	141161073	141161106	P10588	NR2F6.hg38	3	12	141161089
chr2	37103887	37103924	P10588	NR2F6.hg38	3	12	37103905
chr8	38154134	38154173	P10588	NR2F6.hg38	3	12	38154153
chr11	1825191	1825276	P10588	NR2F6.hg38	3	12	1825233
chr14	73783422	73783484	P10588	NR2F6.hg38	3	12	73783453
chr4	128518086	128518151	P10588	NR2F6.hg38	3	12	128518118
chr3	119241648	119241675	P10588	NR2F6.hg38	3	12	119241661
chr4	6753216	6753265	P10588	NR2F6.hg38	3	12	6753240
chr9	122099453	122099486	P10588	NR2F6.hg38	3	12	122099469
chr17	81101781	81101865	P10588	NR2F6.hg38	3	12	81101823
chr9	110194458	110194483	P10588	NR2F6.hg38	3	12	110194470
chr14	95364974	95365029	P10588	NR2F6.hg38	3	12	95365001
chr10	5528559	5528598	P10588	NR2F6.hg38	3	12	5528578
chr8	143734088	143734121	P10588	NR2F6.hg38	3	12	143734104
chr12	123383684	123383761	P10588	NR2F6.hg38	3	12	123383722
chr7	98211897	98211975	P10588	NR2F6.hg38	3	12	98211936
chr3	53499440	53499471	P10588	NR2F6.hg38	3	12	53499455
chr8	27459366	27459441	P10588	NR2F6.hg38	3	12	27459403
chr19	14023698	14023799	P10588	NR2F6.hg38	3	12	14023748
chr14	55122278	55122313	P10588	NR2F6.hg38	3	12	55122295
chr3	72145017	72145052	P10588	NR2F6.hg38	3	12	72145034
chr17	57459501	57459556	P10588	NR2F6.hg38	3	12	57459528
chr1	95122467	95122498	P10588	NR2F6.hg38	3	12	95122482
chr17	56910374	56910441	P10588	NR2F6.hg38	3	12	56910407
chr4	88162776	88162849	P10588	NR2F6.hg38	3	12	88162812
chr7	56007239	56007336	P10588	NR2F6.hg38	3	12	56007287
chr11	67406157	67406200	P10588	NR2F6.hg38	3	12	67406178
chr9	121424174	121424229	P10588	NR2F6.hg38	3	12	121424201
chr16	3163585	3163648	P10588	NR2F6.hg38	3	11	3163616
chr21	38293959	38294022	P10588	NR2F6.hg38	3	11	38293990
chr14	102830658	102830711	P10588	NR2F6.hg38	3	11	102830684
chr3	155605132	155605199	P10588	NR2F6.hg38	3	11	155605165
chr10	71343449	71343494	P10588	NR2F6.hg38	3	11	71343471
chr21	36210242	36210301	P10588	NR2F6.hg38	3	11	36210271
chr21	43857648	43857707	P10588	NR2F6.hg38	3	11	43857677
chr22	24525562	24525603	P10588	NR2F6.hg38	3	11	24525582
chr3	128171130	128171181	P10588	NR2F6.hg38	3	11	128171155
chr10	96677618	96677675	P10588	NR2F6.hg38	3	11	96677646
chr1	111733447	111733486	P10588	NR2F6.hg38	3	11	111733466
chr20	63969066	63969125	P10588	NR2F6.hg38	3	11	63969095
chr1	109438968	109439017	P10588	NR2F6.hg38	3	11	109438992
chr1	181043192	181043253	P10588	NR2F6.hg38	3	11	181043222
chr16	48603811	48603844	P10588	NR2F6.hg38	3	11	48603827
chr8	99637504	99637561	P10588	NR2F6.hg38	3	11	99637532
