Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr2	197499967	197500001	P43268	ETV4	3	11	197499984	0.967599999883771
chr12	6280180	6280257	P43268	ETV4	3	10	6280218	0.957399999737367
chr14	61562051	61562153	P43268	ETV4	3	10	61562102	0.9926000000149012
chr1	53107780	53107802	P43268	ETV4	3	10	53107791	0.9815999998319894
chr12	46473790	46473871	P43268	ETV4	3	10	46473830	0.9892000003933906
chr16	56607206	56607285	P43268	ETV4	3	10	56607245	0.978801999759674
chr20	38605024	38605127	P43268	ETV4	3	10	38605075	0.9883999997407198
chr17	64082297	64082354	P43268	ETV4	3	10	64082325	0.9716999999910592
chr17	40516914	40517008	P43268	ETV4	3	10	40516961	0.9580999999850988
chr3	177345750	177345831	P43268	ETV4	4	10	177345790	0.9587699996776878
chr3	4986937	4987016	P43268	ETV4	3	10	4986976	0.9806999997243284
chr12	89352672	89352731	P43268	ETV4	3	9	89352701	1.0
chr11	8688924	8688993	P43268	ETV4	4	9	8688958	0.953699999897182
chr8	102657472	102657506	P43268	ETV4	3	9	102657489	0.9648999999292196
chr7	43649906	43649971	P43268	ETV4	3	9	43649938	0.982000000018999
chr8	22604572	22604651	P43268	ETV4	3	9	22604611	0.9853000000208616
chr2	42133109	42133203	P43268	ETV4	3	9	42133156	0.965817999625206
chr7	17600433	17600526	P43268	ETV4	4	9	17600479	0.977799999986589
chr15	65869332	65869411	P43268	ETV4	3	9	65869371	0.960649999627471
chr1	20476544	20476577	P43268	ETV4	2	9	20476560	0.9878619998693466
chr9	79489768	79489838	P43268	ETV4	3	9	79489803	0.9735200000099836
chr7	130373927	130374016	P43268	ETV4	2	9	130373971	0.9724000001221896
chr6	2246393	2246410	P43268	ETV4	2	8	2246401	0.9850000001531094
chr3	34012208	34012289	P43268	ETV4	3	8	34012248	0.974599999885261
chr6	133953010	133953089	P43268	ETV4	2	8	133953049	0.9964999998033048
chr7	129055063	129055140	P43268	ETV4	4	8	129055101	0.9602060000225902
chr12	57112106	57112185	P43268	ETV4	3	8	57112145	0.9634000001162292
chr1	62783898	62783977	P43268	ETV4	3	8	62783937	0.9655999998215586
chr12	45728823	45728900	P43268	ETV4	2	8	45728861	0.9999000000953674
chr1	8212093	8212122	P43268	ETV4	2	8	8212107	0.964100000052154
chr5	81301520	81301599	P43268	ETV4	3	8	81301559	0.9844400001049042
chr9	92115391	92115408	P43268	ETV4	2	8	92115399	0.9625999999552964
chr3	190566580	190566659	P43268	ETV4	3	8	190566619	0.9949999999523162
chr7	141738225	141738304	P43268	ETV4	2	8	141738264	0.9794999997481704
chr21	41958284	41958382	P43268	ETV4	3	8	41958333	0.9568999995250256
chr1	36088811	36088890	P43268	ETV4	2	8	36088850	0.9949000000178814
chr21	26167057	26167136	P43268	ETV4	3	8	26167096	0.9665260001473128
chr6	135251561	135251640	P43268	ETV4	2	8	135251600	0.9546999998904764
chr2	85327949	85328028	P43268	ETV4	2	8	85327988	0.9687119997039436
chr1	33433888	33433993	P43268	ETV4	2	8	33433940	0.9856000002026558
chr11	46273908	46273938	P43268	ETV4	3	8	46273923	0.9692999998807909
chr3	131502924	131503034	P43268	ETV4	2	8	131502979	0.9762000000864268
chr8	125430215	125430264	P43268	ETV4	3	8	125430239	0.9769000000424684
chr5	160316110	160316189	P43268	ETV4	3	8	160316149	0.9640999997653068
chr22	39176289	39176368	P43268	ETV4	2	8	39176328	0.985099999910593
chr14	81221316	81221395	P43268	ETV4	2	8	81221355	0.9726499998562038
chr17	73068545	73068642	P43268	ETV4	2	8	73068593	0.9715000001452864
chr2	7031937	7032026	P43268	ETV4	3	8	7031981	0.9801000000700356
chr20	31968488	31968567	P43268	ETV4	2	8	31968527	0.983999999878928
chr1	27322210	27322289	P43268	ETV4	4	8	27322249	0.9530999998554588
chr11	121466665	121466682	P43268	ETV4	4	8	121466673	0.9653000001996755
chr5	39100948	39101027	P43268	ETV4	3	8	39100987	0.9638000000245868
chr3	9172937	9172974	P43268	ETV4	3	8	9172955	0.990900000205636
chr3	113555336	113555362	P43268	ETV4	2	7	113555349	0.9778999999210238
chr1	147717150	147717219	P43268	ETV4	3	7	147717184	0.9664999999314546
chr14	37546922	37547001	P43268	ETV4	3	7	37546961	0.9785999999109656
chr8	8429539	8429617	P43268	ETV4	2	7	8429578	0.9676999999597669
chr6	21111489	21111568	P43268	ETV4	3	7	21111528	0.9585999999441206
chr19	6273821	6273900	P43268	ETV4	3	7	6273860	1.0
chr14	70359736	70359761	P43268	ETV4	3	7	70359748	0.9792999999687076
chr3	188036513	188036591	P43268	ETV4	2	7	188036552	0.994300000090897
chr1	157138480	157138534	P43268	ETV4	2	7	157138507	0.98469999999851
chr2	178112387	178112466	P43268	ETV4	2	7	178112426	0.9727000000312924
chr17	72684225	72684250	P43268	ETV4	3	7	72684237	0.9568000002481044
chr3	157175091	157175112	P43268	ETV4	2	7	157175101	0.9589399999186397
chr8	61760217	61760296	P43268	ETV4	2	7	61760256	0.9935999998241662
chr11	66694918	66694960	P43268	ETV4	2	7	66694939	0.9724999999500812
chr1	234960854	234960933	P43268	ETV4	2	7	234960893	0.9781000000499188
chr1	234724082	234724161	P43268	ETV4	4	7	234724121	0.9892000000286848
chr11	45917836	45917915	P43268	ETV4	2	7	45917875	0.9755999999694526
chr3	146544550	146544629	P43268	ETV4	2	7	146544589	0.9923000001430512
chr17	80454693	80454762	P43268	ETV4	2	7	80454727	1.0
chr1	16143990	16144069	P43268	ETV4	2	7	16144029	0.981799999985844
chr10	79380372	79380469	P43268	ETV4	2	7	79380420	1.0
chr5	173766463	173766542	P43268	ETV4	2	7	173766502	0.9684000001087784
chr19	32405430	32405509	P43268	ETV4	2	7	32405469	0.9945519998252392
chr17	74203626	74203705	P43268	ETV4	2	7	74203665	0.974079999852553
chr6	168895219	168895298	P43268	ETV4	2	7	168895258	0.9637999998658896
chr3	193712382	193712451	P43268	ETV4	2	7	193712416	0.989499999606982
chr3	151770352	151770381	P43268	ETV4	2	7	151770366	0.984399999921024
chr12	62602616	62602695	P43268	ETV4	2	7	62602655	1.0
chr11	65888468	65888547	P43268	ETV4	3	7	65888507	0.9681999999742956
chr1	58815324	58815361	P43268	ETV4	2	7	58815342	0.9997680000901222
chr7	54996139	54996177	P43268	ETV4	2	7	54996158	0.9746000000156462
chr5	159263260	159263358	P43268	ETV4	2	7	159263309	0.9556999997939916
chr14	51534729	51534763	P43268	ETV4	3	7	51534746	0.9652999999266118
chr16	69565857	69565947	P43268	ETV4	2	7	69565902	0.9662840002898128
chr12	49018675	49018754	P43268	ETV4	2	7	49018714	0.9850000000089408
chr12	118376310	118376389	P43268	ETV4	2	7	118376349	0.962909999807179
chr10	95694170	95694249	P43268	ETV4	2	7	95694209	0.9848999997854232
chr3	149277635	149277714	P43268	ETV4	3	7	149277674	0.9906999998003244
chr12	56126271	56126350	P43268	ETV4	2	7	56126310	0.9786999998491256
chr1	152048224	152048282	P43268	ETV4	3	7	152048253	0.9925999996364115
chr11	64855124	64855193	P43268	ETV4	2	7	64855158	0.9582399999886752
chr8	8288601	8288706	P43268	ETV4	2	7	8288653	0.9794000001482666
chr2	128091130	128091209	P43268	ETV4	2	7	128091169	0.9629999998643994
chr3	45689052	45689131	P43268	ETV4	2	7	45689091	0.9549999999672174
chr2	189226091	189226204	P43268	ETV4	2	7	189226147	0.995499999973178
chr6	138231731	138231810	P43268	ETV4	2	7	138231770	0.975000000179559
chr11	78961258	78961324	P43268	ETV4	2	7	78961291	0.9638999998912215
chr12	112839511	112839548	P43268	ETV4	3	7	112839529	0.9967000000715256
chr11	78576591	78576670	P43268	ETV4	2	7	78576630	0.956299999795854
chr10	32958430	32958461	P43268	ETV4	3	7	32958445	0.9993000000715256
chr11	96207870	96207916	P43268	ETV4	2	7	96207893	0.9795999998807908
chr7	157555521	157555539	P43268	ETV4	2	7	157555530	0.9691999999672174
chr1	167059282	167059361	P43268	ETV4	2	7	167059321	0.9531999998241664
chr20	12929240	12929261	P43268	ETV4	2	7	12929250	0.988899999961257
chr1	200369843	200369936	P43268	ETV4	2	7	200369889	0.9676999997921288
chr8	133217946	133218047	P43268	ETV4	2	7	133217996	0.9874000000044704
chr4	158723388	158723467	P43268	ETV4	2	7	158723427	0.9693999999552964
chr8	133216651	133216685	P43268	ETV4	3	7	133216668	0.9874000000044704
chr20	58252212	58252249	P43268	ETV4	2	7	58252230	0.9676999997463076
chr9	112750519	112750596	P43268	ETV4	2	7	112750557	0.9659000000327824
chr7	112423090	112423169	P43268	ETV4	3	7	112423129	0.9597939999692142
chr3	85560577	85560607	P43268	ETV4	2	7	85560592	0.9943000000454484
chr10	100535842	100535921	P43268	ETV4	2	7	100535881	0.952099999826029
chr10	63269248	63269317	P43268	ETV4	3	7	63269282	0.9809999997869134
chr9	133348241	133348338	P43268	ETV4	2	7	133348289	0.9550000002302228
chr14	88044255	88044334	P43268	ETV4	2	7	88044294	0.9596999999850988
chr9	133336233	133336271	P43268	ETV4	2	7	133336252	0.958299999924004
chr5	142740627	142740720	P43268	ETV4	2	7	142740673	0.9832999998301268
chr4	52712908	52712987	P43268	ETV4	2	7	52712947	0.9889999998301268
chr19	55259290	55259369	P43268	ETV4	2	7	55259329	0.9715999999389052
chr1	93345821	93345886	P43268	ETV4	3	7	93345853	0.997099999973178
chr3	38496380	38496459	P43268	ETV4	2	7	38496419	0.9875999999389052
chr2	45938956	45939058	P43268	ETV4	2	7	45939007	0.9588999999362976
chr2	240136294	240136311	P43268	ETV4	2	7	240136302	1.0
chr15	80743359	80743385	P43268	ETV4	2	7	80743372	0.9998000001907348
chr1	93079096	93079182	P43268	ETV4	2	7	93079139	0.9571999999623746
chr1	46183322	46183343	P43268	ETV4	3	7	46183332	0.957489999961853
chr8	120809701	120809780	P43268	ETV4	2	7	120809740	0.9948000000655652
chr2	11830292	11830371	P43268	ETV4	3	7	11830331	0.9708999999426304
chr2	24076382	24076484	P43268	ETV4	2	7	24076433	0.9640200001914054
chr3	124837881	124837894	P43268	ETV4	2	7	124837887	0.964500000116974
chr14	95157499	95157578	P43268	ETV4	2	7	95157538	0.9750000001173468
chr9	81587795	81587874	P43268	ETV4	3	7	81587834	0.961700000140071
chr22	21629369	21629448	P43268	ETV4	2	7	21629408	0.9746999999657272
chr19	56121407	56121486	P43268	ETV4	2	7	56121446	0.95389999996908
chr12	69470296	69470375	P43268	ETV4	2	7	69470335	0.9543000002682208
chr2	43634842	43634904	P43268	ETV4	2	7	43634873	0.9657999998241664
chr5	141849832	141849942	P43268	ETV4	2	7	141849887	0.955624000068754
chr3	129161280	129161359	P43268	ETV4	4	7	129161319	0.9510459999203682
chr5	115841556	115841657	P43268	ETV4	2	7	115841606	0.9725999998912216
chr15	67915714	67915820	P43268	ETV4	3	7	67915767	0.9848320001095532
chr4	41935116	41935195	P43268	ETV4	2	7	41935155	0.9921939999401568
chr22	31343977	31344056	P43268	ETV4	2	7	31344016	0.9764000000968576
chr12	82358465	82358544	P43268	ETV4	3	7	82358504	0.9784999998182058
chr2	7749241	7749278	P43268	ETV4	2	7	7749259	0.9947000000834464
chr15	69594670	69594687	P43268	ETV4	3	7	69594678	0.9947999999403954
chr17	56772595	56772674	P43268	ETV4	3	7	56772634	0.998300000101328
chr9	129607598	129607677	P43268	ETV4	2	7	129607637	0.9611579999681562
chr4	73259126	73259205	P43268	ETV4	3	7	73259165	0.9708999998807908
chr11	40329291	40329404	P43268	ETV4	3	7	40329347	0.9668999999087304
chr1	85329107	85329186	P43268	ETV4	2	7	85329146	0.996833999925852
chr3	194140912	194140991	P43268	ETV4	3	7	194140951	0.967899999943003
chr1	37479827	37479884	P43268	ETV4	3	7	37479855	0.9957000001490116
chr8	124772358	124772427	P43268	ETV4	2	7	124772392	0.9699000000625848
chr1	213372344	213372423	P43268	ETV4	2	7	213372383	0.998299999845028
chr3	16060466	16060545	P43268	ETV4	3	7	16060505	0.9583000000089408
chr2	18800508	18800587	P43268	ETV4	2	7	18800547	0.999799999898672
chr17	58352167	58352246	P43268	ETV4	3	7	58352206	0.9581000001400708
chr9	137578907	137578986	P43268	ETV4	3	7	137578946	0.9592180000424384
chr2	53786950	53787029	P43268	ETV4	2	7	53786989	0.9746800002794712
chr7	144836072	144836146	P43268	ETV4	2	7	144836109	0.9705400002293288
chr5	127934946	127935056	P43268	ETV4	3	7	127935001	0.9679580001868308
