Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr16	18801630	18801687	Q08050	FOXM1.hg38	25	102	18801658
chr19	3506075	3506100	Q08050	FOXM1.hg38	25	92	3506087
chr1	214603073	214603130	Q08050	FOXM1.hg38	25	90	214603101
chr14	54396834	54396873	Q08050	FOXM1.hg38	26	86	54396853
chr12	50025490	50025557	Q08050	FOXM1.hg38	24	84	50025523
chr17	76264997	76265076	Q08050	FOXM1.hg38	24	84	76265036
chr20	45812540	45812592	Q08050	FOXM1.hg38	25	83	45812566
chr11	119334407	119334438	Q08050	FOXM1.hg38	25	83	119334422
chr5	69167068	69167095	Q08050	FOXM1.hg38	26	83	69167081
chr10	60778399	60778429	Q08050	FOXM1.hg38	24	83	60778414
chr1	211675656	211675689	Q08050	FOXM1.hg38	25	82	211675672
chr20	38926330	38926370	Q08050	FOXM1.hg38	24	82	38926350
chr19	10569113	10569178	Q08050	FOXM1.hg38	23	81	10569145
chr15	40382936	40382957	Q08050	FOXM1.hg38	24	80	40382946
chr15	69414296	69414317	Q08050	FOXM1.hg38	24	78	69414306
chr1	202342057	202342080	Q08050	FOXM1.hg38	24	78	202342068
chr1	108876910	108876937	Q08050	FOXM1.hg38	24	78	108876923
chr20	32358268	32358319	Q08050	FOXM1.hg38	23	78	32358293
chr12	98491171	98491192	Q08050	FOXM1.hg38	24	77	98491181
chr2	233854649	233854680	Q08050	FOXM1.hg38	26	77	233854664
chr16	23678797	23678828	Q08050	FOXM1.hg38	24	77	23678812
chr2	26785976	26786005	Q08050	FOXM1.hg38	24	77	26785990
chr20	31739211	31739251	Q08050	FOXM1.hg38	24	77	31739231
chr5	172641089	172641120	Q08050	FOXM1.hg38	24	77	172641104
chr2	112764658	112764681	Q08050	FOXM1.hg38	24	76	112764669
chr4	121823920	121823949	Q08050	FOXM1.hg38	24	76	121823934
chr9	137241029	137241066	Q08050	FOXM1.hg38	24	76	137241047
chr1	197146722	197146775	Q08050	FOXM1.hg38	24	75	197146748
chr8	116874826	116874847	Q08050	FOXM1.hg38	23	75	116874836
chr11	46846326	46846355	Q08050	FOXM1.hg38	24	75	46846340
chr22	46296831	46296856	Q08050	FOXM1.hg38	24	74	46296843
chr13	72727780	72727827	Q08050	FOXM1.hg38	24	74	72727803
chr1	20786733	20786753	Q08050	FOXM1.hg38	24	74	20786743
chr12	6764421	6764450	Q08050	FOXM1.hg38	23	74	6764435
chr8	25458975	25459046	Q08050	FOXM1.hg38	23	74	25459010
chr12	14365662	14365698	Q08050	FOXM1.hg38	24	73	14365680
chr3	172750594	172750643	Q08050	FOXM1.hg38	24	72	172750618
chr3	120417453	120417500	Q08050	FOXM1.hg38	24	72	120417476
chr12	102120152	102120179	Q08050	FOXM1.hg38	25	72	102120165
chr20	833648	833701	Q08050	FOXM1.hg38	24	72	833674
chr6	26123074	26123123	Q08050	FOXM1.hg38	23	72	26123098
chr11	119095662	119095693	Q08050	FOXM1.hg38	23	72	119095677
chr3	160449926	160449957	Q08050	FOXM1.hg38	23	72	160449941
chr5	160421832	160421855	Q08050	FOXM1.hg38	23	72	160421843
chr20	36835752	36835783	Q08050	FOXM1.hg38	23	71	36835767
chr10	128126443	128126474	Q08050	FOXM1.hg38	21	71	128126458
chr11	62123973	62124012	Q08050	FOXM1.hg38	24	71	62123992
chr1	44739811	44739840	Q08050	FOXM1.hg38	23	71	44739825
chr5	126776686	126776717	Q08050	FOXM1.hg38	21	71	126776701
chr17	44947800	44947827	Q08050	FOXM1.hg38	24	70	44947813
chr19	55408110	55408147	Q08050	FOXM1.hg38	24	69	55408128
chr16	2429201	2429228	Q08050	FOXM1.hg38	23	69	2429214
chr12	49264909	49264940	Q08050	FOXM1.hg38	22	69	49264924
chr1	35193342	35193377	Q08050	FOXM1.hg38	24	69	35193359
chr1	163321925	163321992	Q08050	FOXM1.hg38	23	69	163321958
chr13	52455315	52455364	Q08050	FOXM1.hg38	23	69	52455339
chr15	59105078	59105125	Q08050	FOXM1.hg38	22	69	59105101
chr19	2463091	2463140	Q08050	FOXM1.hg38	24	69	2463115
chr9	121121689	121121718	Q08050	FOXM1.hg38	23	69	121121703
chr15	30626061	30626088	Q08050	FOXM1.hg38	21	68	30626074
chr20	47360850	47360893	Q08050	FOXM1.hg38	23	68	47360871
chr11	63974501	63974530	Q08050	FOXM1.hg38	23	67	63974515
chr4	173334629	173334670	Q08050	FOXM1.hg38	24	67	173334649
chr15	64825668	64825709	Q08050	FOXM1.hg38	24	67	64825688
chr20	3796241	3796274	Q08050	FOXM1.hg38	23	67	3796257
chr15	67125641	67125670	Q08050	FOXM1.hg38	19	66	67125655
chr16	15650108	15650139	Q08050	FOXM1.hg38	22	65	15650123
chr11	28108180	28108212	Q08050	FOXM1.hg38	24	65	28108196
chr17	40418032	40418069	Q08050	FOXM1.hg38	23	65	40418050
chr5	177312430	177312451	Q08050	FOXM1.hg38	22	64	177312440
chr12	49323227	49323274	Q08050	FOXM1.hg38	23	64	49323250
chr14	64800228	64800251	Q08050	FOXM1.hg38	19	64	64800239
chr12	98516546	98516580	Q08050	FOXM1.hg38	22	64	98516563
chr4	129093564	129093593	Q08050	FOXM1.hg38	22	64	129093578
chr1	26126513	26126541	Q08050	FOXM1.hg38	21	63	26126527
chr12	120495979	120496002	Q08050	FOXM1.hg38	19	63	120495990
chr2	10122619	10122659	Q08050	FOXM1.hg38	23	63	10122639
chr1	43358888	43358917	Q08050	FOXM1.hg38	22	63	43358902
chr19	39125612	39125657	Q08050	FOXM1.hg38	23	62	39125634
chr12	100573640	100573675	Q08050	FOXM1.hg38	22	62	100573657
chr1	155244805	155244833	Q08050	FOXM1.hg38	22	62	155244819
chr14	70817764	70817815	Q08050	FOXM1.hg38	21	62	70817789
chr12	31749378	31749455	Q08050	FOXM1.hg38	18	62	31749416
chr6	27894511	27894538	Q08050	FOXM1.hg38	22	62	27894524
chr1	225428184	225428205	Q08050	FOXM1.hg38	22	61	225428194
chr1	205750276	205750323	Q08050	FOXM1.hg38	25	61	205750299
chr14	99604575	99604601	Q08050	FOXM1.hg38	22	61	99604588
chr2	96335793	96335830	Q08050	FOXM1.hg38	21	61	96335811
chr19	45927875	45927900	Q08050	FOXM1.hg38	20	60	45927887
chr2	191020354	191020385	Q08050	FOXM1.hg38	20	60	191020369
chr6	37172268	37172305	Q08050	FOXM1.hg38	20	60	37172286
chr6	30617331	30617375	Q08050	FOXM1.hg38	22	60	30617353
chr9	33813828	33813855	Q08050	FOXM1.hg38	19	60	33813841
chr1	148522721	148522762	Q08050	FOXM1.hg38	20	59	148522741
chr10	93496594	93496621	Q08050	FOXM1.hg38	21	59	93496607
chr15	90191899	90191922	Q08050	FOXM1.hg38	20	59	90191910
chr15	90955291	90955314	Q08050	FOXM1.hg38	22	59	90955302
chr9	120876537	120876566	Q08050	FOXM1.hg38	21	59	120876551
chr7	43648067	43648130	Q08050	FOXM1.hg38	18	59	43648098
chr17	43483862	43483919	Q08050	FOXM1.hg38	21	59	43483890
chr2	121531007	121531086	Q08050	FOXM1.hg38	19	58	121531046
chr19	4639357	4639384	Q08050	FOXM1.hg38	19	58	4639370
chr1	156751667	156751700	Q08050	FOXM1.hg38	21	58	156751683
chr6	152983084	152983115	Q08050	FOXM1.hg38	23	58	152983099
chr22	38756099	38756126	Q08050	FOXM1.hg38	21	58	38756112
chr17	81394077	81394122	Q08050	FOXM1.hg38	19	58	81394099
chr12	116738263	116738301	Q08050	FOXM1.hg38	22	58	116738282
chr1	37554389	37554421	Q08050	FOXM1.hg38	20	58	37554405
chr1	224356772	224356795	Q08050	FOXM1.hg38	19	58	224356783
chr6	28080142	28080177	Q08050	FOXM1.hg38	20	57	28080159
chr12	103930334	103930361	Q08050	FOXM1.hg38	23	57	103930347
chr6	26271431	26271478	Q08050	FOXM1.hg38	17	56	26271454
chr7	73811834	73811869	Q08050	FOXM1.hg38	18	56	73811851
chr20	40690096	40690134	Q08050	FOXM1.hg38	19	56	40690115
chr17	78187108	78187139	Q08050	FOXM1.hg38	20	56	78187123
chr2	200526142	200526173	Q08050	FOXM1.hg38	18	55	200526157
chr1	144412675	144412716	Q08050	FOXM1.hg38	17	55	144412695
chr12	122501103	122501140	Q08050	FOXM1.hg38	20	55	122501121
chr12	98566932	98566973	Q08050	FOXM1.hg38	21	55	98566952
chr4	15681589	15681628	Q08050	FOXM1.hg38	20	55	15681608
chr12	123383928	123383955	Q08050	FOXM1.hg38	20	55	123383941
chr10	14954155	14954198	Q08050	FOXM1.hg38	22	55	14954176
chr16	23735385	23735410	Q08050	FOXM1.hg38	20	55	23735397
chr16	58495252	58495295	Q08050	FOXM1.hg38	18	54	58495273
chr17	59786656	59786703	Q08050	FOXM1.hg38	20	54	59786679
chr5	138331820	138331855	Q08050	FOXM1.hg38	22	54	138331837
chr19	11344560	11344617	Q08050	FOXM1.hg38	19	54	11344588
chr12	53268239	53268271	Q08050	FOXM1.hg38	20	54	53268255
chr1	37692464	37692507	Q08050	FOXM1.hg38	20	54	37692485
chr6	26032137	26032204	Q08050	FOXM1.hg38	22	54	26032170
chr12	12725748	12725781	Q08050	FOXM1.hg38	20	54	12725764
chr7	37032037	37032074	Q08050	FOXM1.hg38	18	54	37032055
chr6	136250376	136250411	Q08050	FOXM1.hg38	20	54	136250393
chr1	231604173	231604207	Q08050	FOXM1.hg38	17	54	231604190
chr1	150236310	150236347	Q08050	FOXM1.hg38	22	54	150236328
chr17	3723856	3723890	Q08050	FOXM1.hg38	19	54	3723873
chr6	80004633	80004678	Q08050	FOXM1.hg38	20	54	80004655
chr3	44761734	44761756	Q08050	FOXM1.hg38	19	54	44761745
chr18	75209347	75209374	Q08050	FOXM1.hg38	19	54	75209360
chr12	6493974	6494013	Q08050	FOXM1.hg38	21	53	6493993
chr17	59829484	59829577	Q08050	FOXM1.hg38	17	53	59829530
chr6	37169706	37169742	Q08050	FOXM1.hg38	18	53	37169724
chr5	134905845	134905877	Q08050	FOXM1.hg38	20	53	134905861
chr7	32490409	32490447	Q08050	FOXM1.hg38	21	53	32490428
chr1	68497076	68497120	Q08050	FOXM1.hg38	20	53	68497098
chr10	89701615	89701654	Q08050	FOXM1.hg38	21	53	89701634
chr11	32313052	32313080	Q08050	FOXM1.hg38	18	53	32313066
chr20	45319741	45319766	Q08050	FOXM1.hg38	20	53	45319753
chr2	110678159	110678200	Q08050	FOXM1.hg38	19	52	110678179
chr2	241686833	241686860	Q08050	FOXM1.hg38	19	52	241686846
chr17	68035650	68035681	Q08050	FOXM1.hg38	25	52	68035665
chr9	35665193	35665232	Q08050	FOXM1.hg38	17	52	35665212
chr14	75278619	75278668	Q08050	FOXM1.hg38	19	52	75278643
chr12	27703797	27703828	Q08050	FOXM1.hg38	17	52	27703812
chr18	3448340	3448371	Q08050	FOXM1.hg38	20	52	3448355
chr17	28599016	28599050	Q08050	FOXM1.hg38	20	52	28599033
chr17	63842757	63842799	Q08050	FOXM1.hg38	19	52	63842778
chr3	160399607	160399633	Q08050	FOXM1.hg38	20	52	160399620
chr11	9566249	9566340	Q08050	FOXM1.hg38	17	51	9566294
chr18	2571531	2571570	Q08050	FOXM1.hg38	19	51	2571550
chr17	58659123	58659194	Q08050	FOXM1.hg38	19	51	58659158
chr17	47067537	47067569	Q08050	FOXM1.hg38	19	51	47067553
chr3	142578830	142578866	Q08050	FOXM1.hg38	19	51	142578848
chr1	117059952	117059977	Q08050	FOXM1.hg38	19	51	117059964
chr22	28741849	28741884	Q08050	FOXM1.hg38	19	51	28741866
chr1	146387559	146387588	Q08050	FOXM1.hg38	18	51	146387573
chr17	8210601	8210639	Q08050	FOXM1.hg38	22	51	8210620
chr6	33391786	33391817	Q08050	FOXM1.hg38	22	50	33391801
chr13	33818078	33818105	Q08050	FOXM1.hg38	19	50	33818091
chr10	29784565	29784594	Q08050	FOXM1.hg38	17	50	29784579
chr16	29805540	29805595	Q08050	FOXM1.hg38	19	50	29805567
chr19	51394465	51394496	Q08050	FOXM1.hg38	20	50	51394480
chr14	45253233	45253268	Q08050	FOXM1.hg38	21	50	45253250
chr12	14257917	14257988	Q08050	FOXM1.hg38	19	50	14257952
chr12	15276247	15276276	Q08050	FOXM1.hg38	18	50	15276261
chr11	3797646	3797671	Q08050	FOXM1.hg38	17	50	3797658
chr3	49120868	49120909	Q08050	FOXM1.hg38	17	50	49120888
chr17	59756406	59756503	Q08050	FOXM1.hg38	12	50	59756454
chr21	46323871	46323904	Q08050	FOXM1.hg38	21	50	46323887
chr5	60700163	60700192	Q08050	FOXM1.hg38	20	49	60700177
chr1	50968747	50968787	Q08050	FOXM1.hg38	19	49	50968767
chr12	44948836	44948881	Q08050	FOXM1.hg38	16	49	44948858
chr20	58651176	58651198	Q08050	FOXM1.hg38	18	49	58651187
chr17	47947142	47947201	Q08050	FOXM1.hg38	18	49	47947171
chr17	78214243	78214274	Q08050	FOXM1.hg38	18	48	78214258
chr4	177309859	177309892	Q08050	FOXM1.hg38	17	48	177309875
chr4	184734243	184734270	Q08050	FOXM1.hg38	19	48	184734256
chr2	199911139	199911174	Q08050	FOXM1.hg38	22	48	199911156
chr6	53410796	53410835	Q08050	FOXM1.hg38	15	48	53410815
chr7	26201012	26201045	Q08050	FOXM1.hg38	21	48	26201028
chr5	138179045	138179079	Q08050	FOXM1.hg38	23	48	138179062
chr18	12991185	12991212	Q08050	FOXM1.hg38	22	48	12991198
chr2	170928977	170929012	Q08050	FOXM1.hg38	18	48	170928994
chr21	37366769	37366814	Q08050	FOXM1.hg38	18	48	37366791
chr2	223957406	223957434	Q08050	FOXM1.hg38	15	48	223957420
chr6	26474254	26474296	Q08050	FOXM1.hg38	18	48	26474275
chr10	103367859	103367912	Q08050	FOXM1.hg38	17	48	103367885
chr1	44775518	44775556	Q08050	FOXM1.hg38	17	48	44775537
chr14	55191641	55191683	Q08050	FOXM1.hg38	20	48	55191662
chr15	64460466	64460504	Q08050	FOXM1.hg38	17	48	64460485
chr11	65919336	65919369	Q08050	FOXM1.hg38	18	48	65919352
chr12	68808956	68808984	Q08050	FOXM1.hg38	19	47	68808970
chr11	19712542	19712575	Q08050	FOXM1.hg38	18	47	19712558
chr1	205122271	205122310	Q08050	FOXM1.hg38	19	47	205122290
chr1	115642703	115642741	Q08050	FOXM1.hg38	20	47	115642722
chr8	27837814	27837849	Q08050	FOXM1.hg38	18	47	27837831
chr11	32894271	32894303	Q08050	FOXM1.hg38	18	47	32894287
chr11	9573593	9573622	Q08050	FOXM1.hg38	19	47	9573607
chr17	63600833	63600856	Q08050	FOXM1.hg38	18	47	63600844
chr15	41332778	41332870	Q08050	FOXM1.hg38	20	47	41332824
chr17	75154584	75154627	Q08050	FOXM1.hg38	20	47	75154605
chr17	76839878	76839903	Q08050	FOXM1.hg38	17	47	76839890
chr8	22141877	22141910	Q08050	FOXM1.hg38	19	47	22141893
chr3	177360050	177360079	Q08050	FOXM1.hg38	21	47	177360064
chr7	148884775	148884803	Q08050	FOXM1.hg38	18	47	148884789
chr10	3785438	3785463	Q08050	FOXM1.hg38	17	47	3785450
chr14	55103384	55103413	Q08050	FOXM1.hg38	17	47	55103398
chr2	177263538	177263573	Q08050	FOXM1.hg38	18	47	177263555
chr15	40161011	40161044	Q08050	FOXM1.hg38	17	47	40161027
chr11	108593588	108593656	Q08050	FOXM1.hg38	15	47	108593622
chr15	56246165	56246202	Q08050	FOXM1.hg38	16	47	56246183
chr14	70359753	70359788	Q08050	FOXM1.hg38	16	47	70359770
chr12	64549770	64549803	Q08050	FOXM1.hg38	17	46	64549786
chr12	49741402	49741455	Q08050	FOXM1.hg38	18	46	49741428
chr2	38377285	38377308	Q08050	FOXM1.hg38	18	46	38377296
chr4	143399522	143399556	Q08050	FOXM1.hg38	15	46	143399539
chr1	26306677	26306702	Q08050	FOXM1.hg38	19	46	26306689
chr11	125887594	125887627	Q08050	FOXM1.hg38	18	46	125887610
chr3	193872480	193872523	Q08050	FOXM1.hg38	14	46	193872501
chr12	751359	751416	Q08050	FOXM1.hg38	19	46	751387
chr17	59155684	59155725	Q08050	FOXM1.hg38	21	46	59155704
chr6	43630027	43630054	Q08050	FOXM1.hg38	19	46	43630040
chr9	137070626	137070669	Q08050	FOXM1.hg38	18	46	137070647
chr1	200620752	200620787	Q08050	FOXM1.hg38	21	46	200620769
chr16	70523717	70523771	Q08050	FOXM1.hg38	18	46	70523744
chr22	21982826	21982855	Q08050	FOXM1.hg38	17	46	21982840
chr5	140647771	140647799	Q08050	FOXM1.hg38	18	46	140647785
chr2	65432732	65432763	Q08050	FOXM1.hg38	16	46	65432747
chr17	7836966	7837003	Q08050	FOXM1.hg38	17	46	7836984
chr5	81751402	81751453	Q08050	FOXM1.hg38	20	45	81751427
chr4	17810922	17810943	Q08050	FOXM1.hg38	19	45	17810932
chr10	120851271	120851319	Q08050	FOXM1.hg38	17	45	120851295
chr17	18087872	18087899	Q08050	FOXM1.hg38	16	45	18087885
chr7	72924972	72925007	Q08050	FOXM1.hg38	16	45	72924989
chr2	168890463	168890494	Q08050	FOXM1.hg38	16	45	168890478
chr2	48344314	48344353	Q08050	FOXM1.hg38	17	45	48344333
chr1	93079159	93079192	Q08050	FOXM1.hg38	17	45	93079175
chr6	35368790	35368827	Q08050	FOXM1.hg38	14	45	35368808
chr12	49060801	49060848	Q08050	FOXM1.hg38	16	45	49060824
chr6	27131980	27132020	Q08050	FOXM1.hg38	17	45	27132000
chr4	120066795	120066832	Q08050	FOXM1.hg38	19	45	120066813
chr22	21652073	21652102	Q08050	FOXM1.hg38	20	45	21652087
chr14	58427568	58427615	Q08050	FOXM1.hg38	17	45	58427591
chr12	109052500	109052539	Q08050	FOXM1.hg38	19	45	109052519
chr11	7987152	7987195	Q08050	FOXM1.hg38	16	45	7987173
chr3	20186197	20186232	Q08050	FOXM1.hg38	19	45	20186214
chr17	39461323	39461383	Q08050	FOXM1.hg38	15	45	39461353
chr1	149636853	149636896	Q08050	FOXM1.hg38	16	45	149636874
chr6	131628266	131628311	Q08050	FOXM1.hg38	17	44	131628288
chr7	116218275	116218333	Q08050	FOXM1.hg38	16	44	116218304
chr8	94719792	94719831	Q08050	FOXM1.hg38	18	44	94719811
chr4	67545509	67545543	Q08050	FOXM1.hg38	16	44	67545526
chr3	49295670	49295711	Q08050	FOXM1.hg38	15	44	49295690
chr2	11466241	11466270	Q08050	FOXM1.hg38	19	44	11466255
chr12	119877487	119877526	Q08050	FOXM1.hg38	18	44	119877506
chr3	9649383	9649428	Q08050	FOXM1.hg38	19	44	9649405
chr19	49547090	49547141	Q08050	FOXM1.hg38	16	44	49547115
