Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr2	152335062	152335217	O15535	ZSCAN9.hg38	1	5	152335139
chr19	51553299	51553454	O15535	ZSCAN9.hg38	1	4	51553376
chr13	33126186	33126341	O15535	ZSCAN9.hg38	1	4	33126263
chr13	26529546	26529701	O15535	ZSCAN9.hg38	1	4	26529623
chr13	26867579	26867734	O15535	ZSCAN9.hg38	1	4	26867656
chr13	26983129	26983284	O15535	ZSCAN9.hg38	1	4	26983206
chr13	27792422	27792577	O15535	ZSCAN9.hg38	1	4	27792499
chr13	27960790	27960945	O15535	ZSCAN9.hg38	1	4	27960867
chr13	32139378	32139533	O15535	ZSCAN9.hg38	1	4	32139455
chr13	32143014	32143169	O15535	ZSCAN9.hg38	1	4	32143091
chr13	32261069	32261224	O15535	ZSCAN9.hg38	1	4	32261146
chr13	33679458	33679613	O15535	ZSCAN9.hg38	1	4	33679535
chr13	21696969	21697124	O15535	ZSCAN9.hg38	1	4	21697046
chr13	33818012	33818167	O15535	ZSCAN9.hg38	1	4	33818089
chr13	41961098	41961253	O15535	ZSCAN9.hg38	1	4	41961175
chr6	45445951	45446106	O15535	ZSCAN9.hg38	1	4	45446028
chr6	44655597	44655752	O15535	ZSCAN9.hg38	1	4	44655674
chr6	44313272	44313427	O15535	ZSCAN9.hg38	1	4	44313349
chr13	49856079	49856234	O15535	ZSCAN9.hg38	1	4	49856156
chr13	50245060	50245215	O15535	ZSCAN9.hg38	1	4	50245137
chr13	52194409	52194564	O15535	ZSCAN9.hg38	1	4	52194486
chr13	73090570	73090725	O15535	ZSCAN9.hg38	1	4	73090647
chr13	23629575	23629730	O15535	ZSCAN9.hg38	1	4	23629652
chr6	63590081	63590236	O15535	ZSCAN9.hg38	1	4	63590158
chr6	43369710	43369865	O15535	ZSCAN9.hg38	1	4	43369787
chr6	87436534	87436689	O15535	ZSCAN9.hg38	1	4	87436611
chr6	95815544	95815699	O15535	ZSCAN9.hg38	1	4	95815621
chr6	95693213	95693368	O15535	ZSCAN9.hg38	1	4	95693290
chr12	121129148	121129303	O15535	ZSCAN9.hg38	1	4	121129225
chr12	121797130	121797285	O15535	ZSCAN9.hg38	1	4	121797207
chr6	88538236	88538391	O15535	ZSCAN9.hg38	1	4	88538313
chr6	88220640	88220795	O15535	ZSCAN9.hg38	1	4	88220717
chr6	88119851	88120006	O15535	ZSCAN9.hg38	1	4	88119928
chr12	122226443	122226598	O15535	ZSCAN9.hg38	1	4	122226520
chr6	87798955	87799110	O15535	ZSCAN9.hg38	1	4	87799032
chr12	124900371	124900526	O15535	ZSCAN9.hg38	1	4	124900448
chr13	20950466	20950621	O15535	ZSCAN9.hg38	1	4	20950543
chr12	124904831	124904986	O15535	ZSCAN9.hg38	1	4	124904908
chr6	79234618	79234773	O15535	ZSCAN9.hg38	1	4	79234695
chr12	129050024	129050179	O15535	ZSCAN9.hg38	1	4	129050101
chr12	130526941	130527096	O15535	ZSCAN9.hg38	1	4	130527018
chr12	132144364	132144519	O15535	ZSCAN9.hg38	1	4	132144441
chr12	132426414	132426569	O15535	ZSCAN9.hg38	1	4	132426491
chr13	19596987	19597142	O15535	ZSCAN9.hg38	1	4	19597064
chr6	69232981	69233136	O15535	ZSCAN9.hg38	1	4	69233058
chr6	67095761	67095916	O15535	ZSCAN9.hg38	1	4	67095838
chr13	75695931	75696086	O15535	ZSCAN9.hg38	1	4	75696008
chr13	78589345	78589500	O15535	ZSCAN9.hg38	1	4	78589422
chr12	120641473	120641628	O15535	ZSCAN9.hg38	1	4	120641550
chr14	58272595	58272750	O15535	ZSCAN9.hg38	1	4	58272672
chr6	31293432	31293587	O15535	ZSCAN9.hg38	1	4	31293509
chr14	49304053	49304208	O15535	ZSCAN9.hg38	1	4	49304130
chr6	30557219	30557374	O15535	ZSCAN9.hg38	1	4	30557296
chr6	30528073	30528228	O15535	ZSCAN9.hg38	1	4	30528150
chr6	30378443	30378598	O15535	ZSCAN9.hg38	1	4	30378520
chr14	52458049	52458204	O15535	ZSCAN9.hg38	1	4	52458126
chr14	52808222	52808377	O15535	ZSCAN9.hg38	1	4	52808299
chr6	30170112	30170267	O15535	ZSCAN9.hg38	1	4	30170189
chr14	54138705	54138860	O15535	ZSCAN9.hg38	1	4	54138782
chr14	59013714	59013869	O15535	ZSCAN9.hg38	1	4	59013791
chr6	33613417	33613572	O15535	ZSCAN9.hg38	1	4	33613494
chr6	28658185	28658340	O15535	ZSCAN9.hg38	1	4	28658262
chr14	60091920	60092075	O15535	ZSCAN9.hg38	1	4	60091997
chr14	60734663	60734818	O15535	ZSCAN9.hg38	1	4	60734740
chr14	61561925	61562080	O15535	ZSCAN9.hg38	1	4	61562002
chr6	27670537	27670692	O15535	ZSCAN9.hg38	1	4	27670614
chr6	27631343	27631498	O15535	ZSCAN9.hg38	1	4	27631420
chr14	69741182	69741337	O15535	ZSCAN9.hg38	1	4	69741259
chr14	70053115	70053270	O15535	ZSCAN9.hg38	1	4	70053192
chr14	70074049	70074204	O15535	ZSCAN9.hg38	1	4	70074126
chr6	32118941	32119096	O15535	ZSCAN9.hg38	1	4	32119018
chr6	34238096	34238251	O15535	ZSCAN9.hg38	1	4	34238173
chr13	93690311	93690466	O15535	ZSCAN9.hg38	1	4	93690388
chr13	112757254	112757409	O15535	ZSCAN9.hg38	1	4	112757331
chr13	94292215	94292370	O15535	ZSCAN9.hg38	1	4	94292292
chr6	42939495	42939650	O15535	ZSCAN9.hg38	1	4	42939572
chr13	95314515	95314670	O15535	ZSCAN9.hg38	1	4	95314592
chr13	97495830	97495985	O15535	ZSCAN9.hg38	1	4	97495907
chr6	41787539	41787694	O15535	ZSCAN9.hg38	1	4	41787616
chr13	100734453	100734608	O15535	ZSCAN9.hg38	1	4	100734530
chr6	41568749	41568904	O15535	ZSCAN9.hg38	1	4	41568826
chr13	107864663	107864818	O15535	ZSCAN9.hg38	1	4	107864740
chr13	110485644	110485799	O15535	ZSCAN9.hg38	1	4	110485721
chr6	40714918	40715073	O15535	ZSCAN9.hg38	1	4	40714995
chr6	35146513	35146668	O15535	ZSCAN9.hg38	1	4	35146590
chr6	40599727	40599882	O15535	ZSCAN9.hg38	1	4	40599804
chr6	39934378	39934533	O15535	ZSCAN9.hg38	1	4	39934455
chr13	113022854	113023009	O15535	ZSCAN9.hg38	1	4	113022931
chr13	113296997	113297152	O15535	ZSCAN9.hg38	1	4	113297074
chr6	37799455	37799610	O15535	ZSCAN9.hg38	1	4	37799532
chr13	114234741	114234896	O15535	ZSCAN9.hg38	1	4	114234818
chr14	20633068	20633223	O15535	ZSCAN9.hg38	1	4	20633145
chr6	35805229	35805384	O15535	ZSCAN9.hg38	1	4	35805306
chr6	35297709	35297864	O15535	ZSCAN9.hg38	1	4	35297786
chr6	96116788	96116943	O15535	ZSCAN9.hg38	1	4	96116865
chr12	120293084	120293239	O15535	ZSCAN9.hg38	1	4	120293161
