Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr11	10933933	10933994	P17029	ZKSCAN1.hg38	3	14	10933963
chr1	54016987	54017044	P17029	ZKSCAN1.hg38	3	13	54017015
chr2	111288376	111288427	P17029	ZKSCAN1.hg38	3	12	111288401
chr11	75532466	75532551	P17029	ZKSCAN1.hg38	3	12	75532508
chr5	80654843	80654884	P17029	ZKSCAN1.hg38	3	12	80654863
chr1	201541186	201541237	P17029	ZKSCAN1.hg38	3	11	201541211
chr3	10783516	10783551	P17029	ZKSCAN1.hg38	3	11	10783533
chr1	93874263	93874290	P17029	ZKSCAN1.hg38	3	11	93874276
chr1	203220117	203220144	P17029	ZKSCAN1.hg38	3	11	203220130
chr9	133589602	133589653	P17029	ZKSCAN1.hg38	3	11	133589627
chr10	72081937	72082004	P17029	ZKSCAN1.hg38	3	11	72081970
chr10	103884941	103884976	P17029	ZKSCAN1.hg38	3	11	103884958
chr2	181466858	181466911	P17029	ZKSCAN1.hg38	3	11	181466884
chr7	75615087	75615168	P17029	ZKSCAN1.hg38	3	11	75615127
chr19	16143515	16143572	P17029	ZKSCAN1.hg38	3	11	16143543
chr4	7076162	7076239	P17029	ZKSCAN1.hg38	3	11	7076200
chr8	27311542	27311569	P17029	ZKSCAN1.hg38	3	11	27311555
chr5	156836059	156836094	P17029	ZKSCAN1.hg38	3	11	156836076
chr6	53065276	53065329	P17029	ZKSCAN1.hg38	3	11	53065302
chr2	231605184	231605243	P17029	ZKSCAN1.hg38	3	11	231605213
chr1	193031672	193031717	P17029	ZKSCAN1.hg38	3	11	193031694
chr20	37578097	37578182	P17029	ZKSCAN1.hg38	3	11	37578139
chr15	41978078	41978155	P17029	ZKSCAN1.hg38	3	11	41978116
chr7	8365694	8365779	P17029	ZKSCAN1.hg38	3	11	8365736
chr11	64356598	64356675	P17029	ZKSCAN1.hg38	3	11	64356636
chr12	110602265	110602290	P17029	ZKSCAN1.hg38	3	11	110602277
chr20	63090247	63090278	P17029	ZKSCAN1.hg38	3	11	63090262
chr22	39176084	39176143	P17029	ZKSCAN1.hg38	3	11	39176113
chr22	30408743	30408812	P17029	ZKSCAN1.hg38	3	11	30408777
chr6	44313462	44313521	P17029	ZKSCAN1.hg38	3	11	44313491
chr7	88546896	88546927	P17029	ZKSCAN1.hg38	3	11	88546911
chr20	47784442	47784473	P17029	ZKSCAN1.hg38	3	11	47784457
chr2	96533082	96533141	P17029	ZKSCAN1.hg38	3	11	96533111
chr14	99753685	99753754	P17029	ZKSCAN1.hg38	3	11	99753719
chr19	10720786	10720821	P17029	ZKSCAN1.hg38	3	11	10720803
chr16	17235299	17235354	P17029	ZKSCAN1.hg38	3	11	17235326
chr11	35362866	35362929	P17029	ZKSCAN1.hg38	3	11	35362897
chr6	75563269	75563314	P17029	ZKSCAN1.hg38	3	10	75563291
chr12	111370018	111370047	P17029	ZKSCAN1.hg38	3	10	111370032
chr19	2489639	2489762	P17029	ZKSCAN1.hg38	3	10	2489700
chr9	95763146	95763235	P17029	ZKSCAN1.hg38	3	10	95763190
chr19	11277688	11277757	P17029	ZKSCAN1.hg38	3	10	11277722
chr22	25081465	25081494	P17029	ZKSCAN1.hg38	3	10	25081479
chr16	85718855	85718924	P17029	ZKSCAN1.hg38	3	10	85718889
chr9	16266845	16266906	P17029	ZKSCAN1.hg38	3	10	16266875
chr9	133022538	133022605	P17029	ZKSCAN1.hg38	3	10	133022571
chr19	1482654	1482705	P17029	ZKSCAN1.hg38	3	10	1482679
chr17	72702302	72702339	P17029	ZKSCAN1.hg38	3	10	72702320
chr20	50113817	50113866	P17029	ZKSCAN1.hg38	3	10	50113841
chr19	37982370	37982415	P17029	ZKSCAN1.hg38	3	10	37982392
chr17	1997519	1997560	P17029	ZKSCAN1.hg38	3	10	1997539
chr8	80168880	80168929	P17029	ZKSCAN1.hg38	3	10	80168904
chr17	34420349	34420390	P17029	ZKSCAN1.hg38	3	10	34420369
chr19	50164357	50164420	P17029	ZKSCAN1.hg38	3	10	50164388
chr4	91113342	91113385	P17029	ZKSCAN1.hg38	3	10	91113363
chr11	113305783	113305846	P17029	ZKSCAN1.hg38	3	10	113305814
chr19	50223496	50223551	P17029	ZKSCAN1.hg38	3	10	50223523
chr3	9799815	9799857	P17029	ZKSCAN1.hg38	3	10	9799836
chr4	41360055	41360122	P17029	ZKSCAN1.hg38	3	10	41360088
chr2	98913154	98913188	P17029	ZKSCAN1.hg38	3	10	98913171
chr19	47722131	47722181	P17029	ZKSCAN1.hg38	3	10	47722156
chr6	42266705	42266762	P17029	ZKSCAN1.hg38	3	10	42266733
chr20	51564236	51564285	P17029	ZKSCAN1.hg38	3	10	51564260
chr16	83993542	83993621	P17029	ZKSCAN1.hg38	3	10	83993581
chr20	57832136	57832218	P17029	ZKSCAN1.hg38	3	10	57832177
chr2	99325547	99325624	P17029	ZKSCAN1.hg38	3	10	99325585
chr4	56051219	56051284	P17029	ZKSCAN1.hg38	3	10	56051251
chr18	12394683	12394708	P17029	ZKSCAN1.hg38	3	10	12394695
chr15	34343279	34343314	P17029	ZKSCAN1.hg38	3	10	34343296
chr10	103716623	103716676	P17029	ZKSCAN1.hg38	3	10	103716649
chr1	243257342	243257385	P17029	ZKSCAN1.hg38	3	10	243257363
chr2	87662505	87662554	P17029	ZKSCAN1.hg38	3	10	87662529
chr11	61670805	61670858	P17029	ZKSCAN1.hg38	3	10	61670831
chr2	26605660	26605697	P17029	ZKSCAN1.hg38	3	10	26605678
chr19	5287985	5288042	P17029	ZKSCAN1.hg38	3	10	5288013
chr15	77020512	77020549	P17029	ZKSCAN1.hg38	3	10	77020530
chr4	152998230	152998261	P17029	ZKSCAN1.hg38	3	10	152998245
chr14	94966091	94966190	P17029	ZKSCAN1.hg38	3	10	94966140
chr14	59582939	59582962	P17029	ZKSCAN1.hg38	3	10	59582950
chr19	8006168	8006225	P17029	ZKSCAN1.hg38	3	10	8006196
chr20	50417899	50417922	P17029	ZKSCAN1.hg38	3	10	50417910
chr11	2898979	2899022	P17029	ZKSCAN1.hg38	3	10	2899000
chr6	33623099	33623172	P17029	ZKSCAN1.hg38	3	10	33623135
chr22	37492956	37492985	P17029	ZKSCAN1.hg38	3	10	37492970
chr19	48574949	48574978	P17029	ZKSCAN1.hg38	3	10	48574963
chr7	127760809	127760848	P17029	ZKSCAN1.hg38	3	10	127760828
chr17	41767828	41767863	P17029	ZKSCAN1.hg38	3	10	41767845
chr19	1655812	1655847	P17029	ZKSCAN1.hg38	3	10	1655829
chr17	41415890	41415927	P17029	ZKSCAN1.hg38	3	10	41415908
chr5	173314212	173314239	P17029	ZKSCAN1.hg38	3	10	173314225
chr12	130464450	130464477	P17029	ZKSCAN1.hg38	3	10	130464463
chr19	43785507	43785590	P17029	ZKSCAN1.hg38	3	10	43785548
chr9	126804741	126804830	P17029	ZKSCAN1.hg38	3	10	126804785
chr8	108248705	108248766	P17029	ZKSCAN1.hg38	3	10	108248735
chr4	173420393	173420424	P17029	ZKSCAN1.hg38	3	10	173420408
chr3	156825665	156825712	P17029	ZKSCAN1.hg38	3	10	156825688
chr21	33559004	33559055	P17029	ZKSCAN1.hg38	3	10	33559029
chr14	99275379	99275409	P17029	ZKSCAN1.hg38	3	10	99275394
chr6	26285534	26285588	P17029	ZKSCAN1.hg38	3	10	26285561
chr21	43786945	43786966	P17029	ZKSCAN1.hg38	3	10	43786955
chr10	23096773	23096814	P17029	ZKSCAN1.hg38	3	10	23096793
chr9	107137691	107137720	P17029	ZKSCAN1.hg38	3	10	107137705
chr1	56578253	56578298	P17029	ZKSCAN1.hg38	3	10	56578275
chr15	88824436	88824466	P17029	ZKSCAN1.hg38	3	10	88824451
chr1	62435798	62435865	P17029	ZKSCAN1.hg38	3	10	62435831
chr16	89443589	89443612	P17029	ZKSCAN1.hg38	3	10	89443600
chr11	120230027	120230084	P17029	ZKSCAN1.hg38	3	10	120230055
chr6	3383784	3383829	P17029	ZKSCAN1.hg38	3	10	3383806
chr21	45364025	45364076	P17029	ZKSCAN1.hg38	3	10	45364050
chr16	67529697	67529736	P17029	ZKSCAN1.hg38	3	10	67529716
chr5	172440179	172440264	P17029	ZKSCAN1.hg38	3	10	172440221
chr8	130017075	130017158	P17029	ZKSCAN1.hg38	3	10	130017116
chr15	52018889	52018982	P17029	ZKSCAN1.hg38	3	10	52018935
chr2	3317225	3317282	P17029	ZKSCAN1.hg38	3	10	3317253
chr4	169613253	169613302	P17029	ZKSCAN1.hg38	3	10	169613277
chr1	31396813	31396864	P17029	ZKSCAN1.hg38	3	10	31396838
chr1	16082537	16082602	P17029	ZKSCAN1.hg38	3	10	16082569
chr20	63708596	63708645	P17029	ZKSCAN1.hg38	3	10	63708620
chr19	55149518	55149540	P17029	ZKSCAN1.hg38	3	10	55149529
chr4	13627136	13627223	P17029	ZKSCAN1.hg38	3	10	13627179
chr1	183060684	183060721	P17029	ZKSCAN1.hg38	3	10	183060702
chr12	124683185	124683222	P17029	ZKSCAN1.hg38	3	10	124683203
chr9	124309787	124309842	P17029	ZKSCAN1.hg38	3	10	124309814
chr9	126421243	126421280	P17029	ZKSCAN1.hg38	3	10	126421261
chr1	201507333	201507364	P17029	ZKSCAN1.hg38	3	10	201507348
chr3	113626890	113626915	P17029	ZKSCAN1.hg38	3	10	113626902
chr17	46822418	46822459	P17029	ZKSCAN1.hg38	3	10	46822438
chr10	50512043	50512076	P17029	ZKSCAN1.hg38	3	10	50512059
chr19	14217301	14217362	P17029	ZKSCAN1.hg38	3	10	14217331
chr6	37381660	37381687	P17029	ZKSCAN1.hg38	3	10	37381673
chr22	38000123	38000152	P17029	ZKSCAN1.hg38	3	9	38000137
chr12	111599967	111600026	P17029	ZKSCAN1.hg38	3	9	111599996
chr14	73730607	73730632	P17029	ZKSCAN1.hg38	3	9	73730619
chr14	76435453	76435506	P17029	ZKSCAN1.hg38	3	9	76435479
chr1	29416555	29416610	P17029	ZKSCAN1.hg38	3	9	29416582
chr1	29415720	29415778	P17029	ZKSCAN1.hg38	3	9	29415749
chr17	75519319	75519369	P17029	ZKSCAN1.hg38	3	9	75519344
chr11	63593079	63593128	P17029	ZKSCAN1.hg38	3	9	63593103
chr8	125699702	125699744	P17029	ZKSCAN1.hg38	3	9	125699723
