Chrom	Start	End	Peak_Name	baseMean	log2FoldChange	lfcSE	pvalue	padj	position	neg_log2_padj
chr1	119961695	119962196	BRCA_10001	67.8099928713489	-2.60449191497005	0.373141835889459	5.284411613593829e-13	9.27048777884155e-12	119961945	36.65049188851362
chr1	119962228	119962729	BRCA_10002	35.3281956743471	-2.91551264876716	0.332716756087447	0.0023525086504871	0.0054356607071892	119962478	7.523328878470755
chr8	86828269	86828770	BRCA_100089	40.8318749690966	-1.34810504222976	0.337959693160966	2.05239771934548e-05	7.5153521630063e-05	86828519	13.699799765249415
chr8	87937950	87938451	BRCA_100115	41.4390536985653	-1.18177185270443	0.281078516813964	9.64496957348599e-06	3.78831253630622e-05	87938200	14.6880851161809
chr8	87973950	87974451	BRCA_100117	83.7854618381022	-3.30464450881283	0.391570466156728	5.88132713302077e-18	3.0202973344273197e-16	87974200	51.55615893494269
chr8	87999904	88000405	BRCA_100119	32.5085578813911	-2.34681890046232	0.407057554902113	1.38673026320734e-09	1.19959525928016e-08	88000154	26.31287703320218
chr8	88078388	88078889	BRCA_100125	30.2201830425058	-1.35224340928384	0.366030885648722	6.34184455545739e-05	0.0002091429140439	88078638	12.223223260586883
chr8	88078934	88079435	BRCA_100126	84.6040144848863	-2.48459204373479	0.396063688012453	6.56857430441016e-11	7.46210602984606e-10	88079184	30.319698089168366
chr8	88079455	88079956	BRCA_100127	50.6766849778081	-1.03026529996791	0.378774911620174	0.0026202905750995	0.0059857415513053	88079705	7.384254296287094
chr8	88111848	88112349	BRCA_100131	36.9684361005262	-1.22102412523602	0.343879293748645	0.0001307118124212	0.0004028326319751	88112098	11.277531824104967
chr8	88243549	88244050	BRCA_100134	75.8279734273549	-2.46607611615677	0.332172924097939	2.32830834319873e-14	5.498128285691939e-13	88243799	40.72612466444905
chr8	88437137	88437638	BRCA_100150	39.777153288768	-1.39206167883291	0.354602482051933	2.58310610937772e-05	9.2585547540892e-05	88437387	13.398853465814838
chr8	88506046	88506547	BRCA_100153	35.2819807098126	-1.03619892468334	0.324525179664246	0.0005937841254138	0.0015773660721962	88506296	9.30826676768297
chr8	89100642	89101143	BRCA_100165	27.8995110374499	-1.22709966584017	0.331337004172708	7.22506320586975e-05	0.0002353403383834	89100892	12.052963753428896
chr1	120414737	120415238	BRCA_10017	117.315117572791	-1.08717983006631	0.261278052040804	1.32319097535125e-05	5.04242468639742e-05	120414987	14.275522843515756
chr8	89611904	89612405	BRCA_100172	52.5574616940575	-1.37774715432485	0.315907178131044	3.99373335972365e-06	1.70039748642595e-05	89612154	15.84376844297676
chr8	89668612	89669113	BRCA_100173	44.0923351977334	-2.04661235431512	0.327697415671402	8.4134411165118e-11	9.36123416291095e-10	89668862	29.992582205033287
chr1	120415532	120416033	BRCA_10018	81.9905451956117	-1.05308372159089	0.261458164789208	2.4234887174694e-05	8.73563875372945e-05	120415782	13.482727276944946
chr8	89726561	89727062	BRCA_100182	61.0058512425448	-1.75676869229556	0.240930852816995	7.42147030468894e-14	1.5621129937781e-12	89726811	39.21963832558626
chr8	89729044	89729545	BRCA_100183	131.237974359561	-1.04814927037033	0.287794393842533	0.0001163132638955	0.0003622725880066	89729294	11.430636733689532
chr8	89755033	89755534	BRCA_100185	37.5490934585062	-1.68164958318216	0.282299577391672	6.54798069659567e-10	6.047437392692571e-09	89755283	27.301028925493256
chr8	89816680	89817181	BRCA_100202	32.2932100507054	-1.87466576891337	0.332473917425358	3.5752924893172e-09	2.84341003265004e-08	89816930	25.06780260189967
chr8	89824159	89824660	BRCA_100203	41.3426503300855	-1.19111045610805	0.286797101935246	1.17271751171585e-05	4.52036818649462e-05	89824409	14.433200188699704
chr8	89849196	89849697	BRCA_100209	200.782542845356	-2.31843173220395	0.255248882585258	2.22452933889739e-20	1.91457575846742e-18	89849446	58.8576809601883
chr8	89852180	89852681	BRCA_100210	47.3666187162197	-2.03091873321221	0.250489455614435	1.0250150516013001e-16	3.983125045953e-15	89852430	47.835020651028756
chr8	89856694	89857195	BRCA_100212	221.815640063512	-1.87358734697804	0.270399877323932	1.01789239777232e-12	1.6826306762270498e-11	89856944	35.79049049219499
chr8	89857273	89857774	BRCA_100213	64.3019081311903	-1.6774630452814	0.271818086762378	1.6494037199324101e-10	1.7265339338916101e-09	89857523	29.1094741642919
chr8	89857781	89858282	BRCA_100214	111.994237020529	-1.85705995750719	0.406702041231228	1.07773860756199e-06	5.18074270247618e-06	89858031	17.558409634274923
chr8	90363497	90363998	BRCA_100257	30.0579002094183	-1.71051487684767	0.366715618292797	7.20855060212e-07	3.58579964679179e-06	90363747	18.089273688104758
chr8	90521055	90521556	BRCA_100260	38.1505912078892	-1.60038516923206	0.361307694712863	2.47473967489159e-06	1.10117862107322e-05	90521305	16.47059196844541
chr8	90536710	90537211	BRCA_100261	34.3690655133329	-1.07827597128451	0.386363346218577	0.0020682808252362	0.0048440983251254	90536960	7.689556135622592
chr8	90660285	90660786	BRCA_100271	46.7399865405367	-2.59167610446248	0.305475283409908	3.7960552706058396e-18	2.02142804507955e-16	90660535	52.13547466796661
chr8	90670147	90670648	BRCA_100272	145.383610261931	-2.45670531166911	0.375177402213882	1.18461881001261e-11	1.56902194744919e-10	90670397	32.569415416035646
chr8	90670864	90671365	BRCA_100273	234.003213307165	-1.9387894745838	0.342040656194031	3.3012954470111e-09	2.64415537753161e-08	90671114	25.17261780320337
chr8	90676018	90676519	BRCA_100274	135.744900436547	-1.44754392372121	0.404020836695502	9.66978508751269e-05	0.0003065151311154	90676268	11.67175408525384
chr8	90770172	90770673	BRCA_100278	32.6892543135767	-1.35666144951632	0.324683856879068	8.93286922722273e-06	3.53317116728712e-05	90770422	14.788676831006565
chr8	90859032	90859533	BRCA_100282	77.4212227666326	-1.99013145645015	0.337591054200527	8.60724168051435e-10	7.76090868872517e-09	90859282	26.941127273227547
chr8	90883381	90883882	BRCA_100284	34.4892490836831	-1.22604443033533	0.301077176743747	1.64328657155958e-05	6.13732654419077e-05	90883631	13.992030128512049
chr8	90888568	90889069	BRCA_100285	81.0677539421317	-1.51145393475216	0.329713586888782	1.28720447858137e-06	6.08510757453554e-06	90888818	17.326285801721713
chr8	90898941	90899442	BRCA_100286	63.791199797027	-2.08709174395027	0.328865995575308	4.5357669377463294e-11	5.33167705630661e-10	90899191	30.80469155092515
chr8	91178993	91179494	BRCA_100302	24.4946415284709	-2.71667404460385	0.331166588061078	0.0006919958426221	0.0018111342096354	91179243	9.1088908270536
chr8	91228309	91228810	BRCA_100308	40.6838814210034	-3.00662431208508	0.329711430567016	3.77830612404386e-05	0.0001307267395833	91228559	12.901158111265618
chr8	91228818	91229319	BRCA_100309	31.3876370149152	-1.43178144767707	0.359217510993684	1.8893340267795e-05	6.96639946706788e-05	91229068	13.809227272164751
chr8	91249575	91250076	BRCA_100312	74.1460303793147	-1.80858935692187	0.366704923379475	1.94067376183138e-07	1.08385821580853e-06	91249825	19.815392525481514
chr8	91250086	91250587	BRCA_100313	47.5819768188762	-1.13467290890984	0.331804179468147	0.0002417691896681	0.0007027564154524	91250336	10.474687660543097
chr8	91318515	91319016	BRCA_100317	47.6473135519443	-1.58629589364159	0.352374474092807	1.74055407251472e-06	8.0012482435499e-06	91318765	16.931343482536505
chr8	91319334	91319835	BRCA_100318	48.3484262256787	-1.68067220397975	0.334618127890262	1.2456637581578e-07	7.23158532819589e-07	91319584	20.39918471075424
chr1	121418243	121418744	BRCA_10036	22.5172060693884	-1.39132625521092	0.301444180341233	1.12814424943443e-06	5.40038478422178e-06	121418493	17.49850636454596
chr8	92767035	92767536	BRCA_100367	52.1874234328877	-2.22762643021062	0.381273164584306	1.03936867888624e-09	9.21025710021291e-09	92767285	26.694111424919907
chr8	92819117	92819618	BRCA_100369	30.2367299962079	-1.05563576226977	0.316095194619274	0.0003446505106807	0.0009669650507366	92819367	10.014248632598285
chr8	93794548	93795049	BRCA_100462	54.9682808274758	-2.91272951291501	0.347317516996013	8.45244115852717e-18	4.17574236423294e-16	93794798	51.08881681522428
chr8	93874767	93875268	BRCA_100473	46.2036755901901	-1.25951627814466	0.302850623853629	1.11222513556926e-05	4.30937423733597e-05	93875017	14.50216208313532
chr8	93899204	93899705	BRCA_100479	36.0044728989906	-1.01076207313229	0.305486474741942	0.0004108390252688	0.001132325075587	93899454	9.786496088319904
chr8	94058245	94058746	BRCA_100519	68.2882966555572	-1.79794010687074	0.290783731938452	1.41840437644599e-10	1.50600564468318e-09	94058495	29.306625676578566
chr8	94060954	94061455	BRCA_100521	150.214980054081	-1.82144975015577	0.348189520033865	3.99479874557694e-08	2.5582403883973e-07	94061204	21.8983448288997
chr8	94077472	94077973	BRCA_100525	89.9559711676534	-2.66545328473978	0.379180261493924	3.97160112803737e-13	7.15090646397065e-12	94077722	37.02501100610207
chr8	94078364	94078865	BRCA_100526	68.6626913579411	-1.95920960177404	0.325493143538742	3.80809657939541e-10	3.6819360074995604e-09	94078614	28.016888301297712
chr8	94169375	94169876	BRCA_100537	52.3221843675058	-2.44354465662963	0.357074299357496	1.4722061199130899e-12	2.3582225126002697e-11	94169625	35.30350919199145
chr8	94286897	94287398	BRCA_100551	131.735516092857	-1.86004544758926	0.385720525481112	3.19708695222104e-07	1.71025067386815e-06	94287147	19.15736077085529
chr8	94290496	94290997	BRCA_100552	62.2103883799656	-1.81394859568323	0.292885104932886	1.32764486616876e-10	1.41739275399725e-09	94290746	29.39411327517127
chr8	94310862	94311363	BRCA_100556	173.907803290856	-1.19775523406579	0.310399831629364	4.18896308501487e-05	0.0001436152024186	94311112	12.765503905506518
chr8	94325820	94326321	BRCA_100557	72.5842642370466	-3.03624841388313	0.328863120906358	4.70104076192567e-21	4.71523510175581e-19	94326070	60.87930409735054
chr8	94343020	94343521	BRCA_100559	52.5902824751575	-2.26269853484622	0.378446323890489	4.44286052698486e-10	4.239581154291381e-09	94343270	27.813431111951264
chr8	94373111	94373612	BRCA_100563	45.8540162723625	-1.21974089180061	0.317450474964294	4.38913916648654e-05	0.0001498164591755	94373361	12.70451624930117
chr8	94678133	94678634	BRCA_100614	75.6453635577882	-1.94552916865041	0.336311887590334	1.60505861958066e-09	1.37039404470324e-08	94678383	26.120833972044625
chr8	94679149	94679650	BRCA_100615	40.3119492498262	-1.54186781574238	0.287383088417642	2.15349525759518e-08	1.45784482034116e-07	94679399	22.70965950342122
chr8	94930296	94930797	BRCA_100642	84.8967879028091	-2.92660364593767	0.369051631374193	4.13449484170359e-16	1.41308912717461e-14	94930546	46.00814086538555
chr1	143764790	143765291	BRCA_10069	115.215433755087	-2.13224942620033	0.569063703452393	3.51702461419003e-05	0.0001224763658695	143765040	12.995208998749945
chr1	8885543	8886044	BRCA_1007	42.8851256780583	-1.44448302352384	0.274136273702826	4.16908700601608e-08	2.65908682741291e-07	8885793	21.842565777789613
chr8	95510929	95511430	BRCA_100840	31.0080609484947	-1.73670733300339	0.374360887278031	7.92734032354376e-07	3.91012998857573e-06	95511179	17.964351999961277
chr8	95648114	95648615	BRCA_100845	52.7923097969418	-1.04516152134939	0.320402122594492	0.0004638823471048	0.0012629656348685	95648364	9.628968900547944
chr8	95658642	95659143	BRCA_100846	64.5760036908296	-1.08462514665796	0.35842173495969	0.0009857854831315	0.0024927267965247	95658892	8.648059512902714
chr1	145128916	145129417	BRCA_10092	34.9633581773801	-1.63802282557108	0.368238895158915	1.9513747678449e-06	8.87794922859429e-06	145129166	16.781342111152796
chr8	96496646	96497147	BRCA_100925	66.9715027644736	-1.47617384124951	0.331106114704232	2.31712880496806e-06	1.03720963243146e-05	96496896	16.556932964948846
chr8	96523682	96524183	BRCA_100927	51.8845874002011	-1.84927534139258	0.309486147966265	4.82025857615388e-10	4.56558796081919e-09	96523932	27.70655219015428
chr8	96584064	96584565	BRCA_100934	76.0308180506312	-1.88801608341268	0.367897575700771	6.15748050065692e-08	3.79825397970844e-07	96584314	21.328160286103024
chr8	96590162	96590663	BRCA_100936	123.154108999803	-2.12702950636798	0.37864148121128	3.97717289629709e-09	3.13502461894378e-08	96590412	24.926947986729115
chr8	96596000	96596501	BRCA_100939	35.1010581359793	-2.17944779417356	0.328349789373396	0.0004073568820937	0.0011236922970829	96596250	9.797537251102336
chr8	96610676	96611177	BRCA_100940	71.3345186240159	-1.40504821901416	0.349486264582362	1.7588209836361e-05	6.52532705046549e-05	96610926	13.903590262829342
chr8	96611361	96611862	BRCA_100941	89.3674076742865	-2.61084812570565	0.378192023069122	1.0130671490584199e-12	1.6758306699745797e-11	96611611	35.79633266079141
chr8	96647970	96648471	BRCA_100947	158.427338739178	-3.57508668099262	0.458368494656361	1.31766254088081e-15	4.05728263241605e-14	96648220	44.48647952349225
chr8	96658562	96659063	BRCA_100948	24.5936136138958	-1.14900518847219	0.314225198941574	9.25196668111792e-05	0.0002944872440433	96658812	11.729507235660222
chr8	96662984	96663485	BRCA_100949	88.4055126983619	-1.95732419004342	0.408565204004316	3.60595621114796e-07	1.90811731618465e-06	96663234	18.999418694482486
chr8	96671242	96671743	BRCA_100951	32.8083470366705	-2.40661600024854	0.333361835547275	9.677314169462931e-14	1.99144636415927e-12	96671492	38.86932051468487
chr8	96701502	96702003	BRCA_100952	35.315555783277	-1.30989779729407	0.369997576064802	0.0001216829832958	0.0003774275653639	96701752	11.371512585753848
chr8	96866835	96867336	BRCA_100963	18.0622394187154	-1.8389074735489	0.303051191234928	0.0106972864777496	0.0210021538089403	96867085	5.573318903305105
chr8	96927807	96928308	BRCA_100970	106.481834942691	-1.26737548714094	0.344471340496016	7.96365267727501e-05	0.0002571230792275	96928057	11.92525326804498
chr8	96939564	96940065	BRCA_100972	313.589285180302	-1.16895572086428	0.441883705677072	0.0028548580898224	0.0064612722129875	96939814	7.273966027690077
chr8	97082184	97082685	BRCA_100999	63.685671307545	-1.50618023806686	0.392447864072269	3.39806563404837e-05	0.0001186671776349	97082434	13.040791426974305
chr8	97196878	97197379	BRCA_101008	92.9278847887043	-2.95094988663148	0.36890651804189	2.41865915537357e-16	8.70150711375937e-15	97197128	46.70765612381581
chr8	97245584	97246085	BRCA_101012	38.372099472867	-1.63757293426437	0.334974177747533	2.57221874244821e-07	1.40202889652802e-06	97245834	19.44405248499129
chr1	145535434	145535935	BRCA_10102	43.9993665557689	-1.90402463214617	0.353554225698272	1.56313045840894e-08	1.08793387111843e-07	145535684	23.13190579761313
chr8	97302203	97302704	BRCA_101026	44.7696203568933	-1.36468106649597	0.324865622479999	8.28972711022847e-06	3.29966792053263e-05	97302453	14.887319635877173
chr8	97374736	97375237	BRCA_101033	74.909854075567	-1.59276610917587	0.388749676224407	1.08914363455904e-05	4.22813722425858e-05	97374986	14.529618274266664
chr8	97375631	97376132	BRCA_101034	181.84268897378	-2.24787520216418	0.448915396588499	1.11528832486838e-07	6.54353118500552e-07	97375881	20.543427274931883
chr8	97446015	97446516	BRCA_101041	35.4064682284665	-1.7221095032156	0.341908019052699	1.10372677248907e-07	6.48018296603104e-07	97446265	20.557462116462883
chr8	97446588	97447089	BRCA_101042	59.6387266855356	-2.68734594439464	0.407706462114987	8.31222387883244e-12	1.13854112431263e-10	97446838	33.032094546050494
chr8	97465005	97465506	BRCA_101045	44.6204238978046	-2.13835948701954	0.409773863028274	3.65953399807085e-08	2.3632478639908e-07	97465255	22.012725713106693
chr8	97475464	97475965	BRCA_101046	58.0062931124042	-2.03725531837225	0.350589654295648	1.3548783434249101e-09	1.17463064038611e-08	97475714	26.3432175827808
chr8	97539667	97540168	BRCA_101054	48.2430053898525	-2.2865453880026	0.371684739986919	1.51279266675048e-10	1.5959891094915802e-09	97539917	29.22290204687218
chr8	97748759	97749260	BRCA_101077	79.7275150353391	-1.04129593460277	0.313004656415915	0.0003762478806679	0.0010461432532143	97749009	9.900703864672806
chr8	97750122	97750623	BRCA_101078	27.7143388315866	-1.58686844226181	0.295508428445261	2.1048445602271e-08	1.42750894849732e-07	97750372	22.739996874902058
chr8	97750730	97751231	BRCA_101079	46.6846826207541	-1.88938618709845	0.298781062328549	5.8913834603705e-11	6.75653694709959e-10	97750980	30.462996964112666
chr8	97753230	97753731	BRCA_101080	38.574852736316	-1.53144073376236	0.291103695091572	4.0175578207345e-08	2.57149422991915e-07	97753480	21.89088974772761
chr8	97755334	97755835	BRCA_101081	60.369343471563	-1.57030191226232	0.357127307088793	2.99359592104036e-06	1.3089678818103e-05	97755584	16.221210776176942
chr8	97756583	97757084	BRCA_101082	53.6277066437565	-1.23658843049169	0.284535298808373	4.84977571140368e-06	2.02720108223078e-05	97756833	15.59015127465575
chr8	97791402	97791903	BRCA_101092	40.9981766981206	-1.99415794859279	0.336460134849967	6.35138626083932e-10	5.882180604643131e-09	97791652	27.34100177302158
chr8	97811424	97811925	BRCA_101094	43.7593862288369	-1.77394375192566	0.295555923658076	4.61781530809977e-10	4.3915038174999906e-09	97811674	27.76263779610738
chr8	97830322	97830823	BRCA_101096	49.8341143091624	-1.34437408953306	0.320783876944243	8.5992180190456e-06	3.41138008499795e-05	97830572	14.83928497008854
chr8	97831457	97831958	BRCA_101097	159.447022428517	-1.38006554940177	0.359175704249857	3.74151819485384e-05	0.0001295765941436	97831707	12.91390723665517
chr8	97890447	97890948	BRCA_101109	15.6999457349037	-3.41951175248715	0.32098801706137	7.24171093949058e-05	0.000235841631553	97890697	12.049893969401387
chr1	145713595	145714096	BRCA_10111	55.8000749590947	-1.51638575897977	0.331722345990224	1.35006438381508e-06	6.35293735156197e-06	145713845	17.264144777013193
