Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr11	65499003	65499076	P19544	WT1.hg38	3	9	65499039
chr19	44753428	44753548	P19544	WT1.hg38	3	9	44753488
chr2	102658049	102658114	P19544	WT1.hg38	2	8	102658081
chr17	80565549	80565644	P19544	WT1.hg38	3	8	80565596
chr21	38985781	38985825	P19544	WT1.hg38	3	8	38985803
chr17	8164318	8164399	P19544	WT1.hg38	3	8	8164358
chr10	62049231	62049280	P19544	WT1.hg38	3	8	62049255
chr15	74546295	74546332	P19544	WT1.hg38	3	8	74546313
chr6	27754227	27754318	P19544	WT1.hg38	3	8	27754272
chr12	94616541	94616610	P19544	WT1.hg38	3	8	94616575
chr14	68763179	68763260	P19544	WT1.hg38	3	8	68763219
chr4	186079203	186079227	P19544	WT1.hg38	2	7	186079215
chr20	18685497	18685537	P19544	WT1.hg38	2	7	18685517
chr1	44238195	44238255	P19544	WT1.hg38	3	7	44238225
chr12	2801201	2801262	P19544	WT1.hg38	2	7	2801231
chr3	194256195	194256232	P19544	WT1.hg38	2	7	194256213
chr2	95230630	95230651	P19544	WT1.hg38	2	7	95230640
chr10	8103179	8103231	P19544	WT1.hg38	3	7	8103205
chr11	94860565	94860613	P19544	WT1.hg38	2	7	94860589
chr18	48781253	48781333	P19544	WT1.hg38	2	7	48781293
chr8	41737529	41737573	P19544	WT1.hg38	2	7	41737551
chr3	124859220	124859313	P19544	WT1.hg38	2	7	124859266
chr13	113860681	113860770	P19544	WT1.hg38	2	7	113860725
chr5	8473189	8473213	P19544	WT1.hg38	2	7	8473201
chr14	23645188	23645269	P19544	WT1.hg38	2	7	23645228
chr3	33914819	33914900	P19544	WT1.hg38	2	7	33914859
chr15	34366432	34366500	P19544	WT1.hg38	3	7	34366466
chr20	36574890	36574926	P19544	WT1.hg38	2	7	36574908
chr16	60971326	60971443	P19544	WT1.hg38	2	7	60971384
chr10	102964998	102965087	P19544	WT1.hg38	2	7	102965042
chr8	83602081	83602142	P19544	WT1.hg38	2	7	83602111
chr1	47174823	47174903	P19544	WT1.hg38	2	7	47174863
chr2	70670760	70670828	P19544	WT1.hg38	2	7	70670794
chr11	46281561	46281636	P19544	WT1.hg38	3	7	46281598
chr6	7673168	7673219	P19544	WT1.hg38	3	7	7673193
chr19	30253693	30253717	P19544	WT1.hg38	3	7	30253705
chr1	234316614	234316722	P19544	WT1.hg38	2	7	234316668
chr20	17890484	17890565	P19544	WT1.hg38	2	7	17890524
chr14	103901249	103901321	P19544	WT1.hg38	3	7	103901285
chr1	38816211	38816316	P19544	WT1.hg38	3	7	38816263
chr19	14363729	14363810	P19544	WT1.hg38	3	7	14363769
chr1	23558433	23558462	P19544	WT1.hg38	3	7	23558447
chr8	80367132	80367233	P19544	WT1.hg38	3	7	80367182
chr4	180589749	180589798	P19544	WT1.hg38	2	7	180589773
chr17	50808588	50808669	P19544	WT1.hg38	2	7	50808628
chr1	22517364	22517428	P19544	WT1.hg38	2	7	22517396
chr9	129406511	129406580	P19544	WT1.hg38	3	7	129406545
chr17	50631698	50631786	P19544	WT1.hg38	3	7	50631742
chr10	11227382	11227435	P19544	WT1.hg38	2	7	11227408
chr5	12718163	12718207	P19544	WT1.hg38	2	7	12718185
chr20	4042043	4042092	P19544	WT1.hg38	3	7	4042067
chr7	96118696	96118780	P19544	WT1.hg38	2	7	96118738
chr8	95067678	95067759	P19544	WT1.hg38	2	7	95067718
chr22	46774055	46774108	P19544	WT1.hg38	3	7	46774081
