Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	131007663	131007727	P78545	ELF3	5	17	131007695	0.9503000001654028
chr15	62115938	62116015	P78545	ELF3	4	17	62115976	0.9581999998852612
chr1	233244343	233244386	P78545	ELF3	5	17	233244364	0.9666000001572072
chr14	55271210	55271262	P78545	ELF3	5	17	55271236	0.976400000058487
chr7	95431080	95431131	P78545	ELF3	5	17	95431105	0.9525000001657754
chr3	104628322	104628379	P78545	ELF3	4	16	104628350	0.9826999999389052
chr7	22443518	22443577	P78545	ELF3	4	16	22443547	1.0
chr18	44895593	44895620	P78545	ELF3	4	16	44895606	0.9926999998778104
chr9	38069724	38069831	P78545	ELF3	4	16	38069777	0.9732000002015382
chr6	43334585	43334657	P78545	ELF3	5	16	43334621	0.9601459997683764
chr1	99707692	99707730	P78545	ELF3	4	16	99707711	0.9658000000044704
chr12	46473731	46473784	P78545	ELF3	5	16	46473757	0.9895320004165172
chr3	65952349	65952387	P78545	ELF3	4	16	65952368	0.9673999997332692
chr11	705009	705078	P78545	ELF3	4	16	705043	0.9757999997444452
chr21	34965570	34965674	P78545	ELF3	4	16	34965622	0.9634999999821188
chr8	37691445	37691516	P78545	ELF3	4	16	37691480	0.9596999999299646
chr2	176652480	176652522	P78545	ELF3	4	16	176652501	0.9952000000461936
chr19	41884188	41884223	P78545	ELF3	4	16	41884205	0.963399999910593
chr13	112721323	112721379	P78545	ELF3	4	16	112721351	0.9690999997794628
chr6	143940205	143940245	P78545	ELF3	4	16	143940225	0.9980999997556208
chr4	141679057	141679114	P78545	ELF3	4	16	141679085	0.969899999961257
chr3	13895501	13895547	P78545	ELF3	4	16	13895524	0.9891000000059604
chr5	172355309	172355370	P78545	ELF3	4	16	172355339	0.9610000000998378
chr11	69298580	69298682	P78545	ELF3	4	16	69298631	0.9951999999582768
chr3	146506844	146506912	P78545	ELF3	4	16	146506878	0.9956859999597072
chr15	59276772	59276839	P78545	ELF3	4	16	59276805	0.98070000003092
chr19	57633106	57633145	P78545	ELF3	4	16	57633125	0.9529500000074506
chr14	104078165	104078226	P78545	ELF3	4	16	104078195	0.9550999997206032
chr17	33725893	33725946	P78545	ELF3	4	16	33725919	0.989899999795854
chr8	42843496	42843567	P78545	ELF3	4	16	42843531	0.959813999633491
chr6	133745893	133745950	P78545	ELF3	5	16	133745921	0.97812799975276
chr1	214123213	214123240	P78545	ELF3	4	16	214123226	0.9926000000476836
chr7	47576153	47576229	P78545	ELF3	5	16	47576191	0.9670999999135732
chr4	82865776	82865827	P78545	ELF3	4	16	82865801	0.9563000002257526
chr3	188362541	188362631	P78545	ELF3	4	16	188362586	0.9671000000685454
chr1	115807980	115808035	P78545	ELF3	4	16	115808007	0.968099999949336
chr2	162430543	162430581	P78545	ELF3	4	16	162430562	0.9939999999791383
chr8	47525022	47525070	P78545	ELF3	5	16	47525046	0.9682000002294778
chr15	58333088	58333183	P78545	ELF3	4	16	58333135	0.9978000000357627
chr4	74659911	74659982	P78545	ELF3	5	16	74659946	0.9877699999794364
