Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	225999453	225999508	Q9UHF7	TRPS1	17	62	225999480	0.9796000001657754
chr5	174532664	174532719	Q9UHF7	TRPS1	16	57	174532691	0.9704979998975992
chr6	143450696	143450758	Q9UHF7	TRPS1	16	56	143450727	0.950799999832362
chr7	155070166	155070227	Q9UHF7	TRPS1	18	56	155070196	0.9796999999951572
chr2	30218033	30218102	Q9UHF7	TRPS1	15	56	30218067	0.9954999998748304
chr11	111328057	111328160	Q9UHF7	TRPS1	16	56	111328108	0.9955999999135732
chr6	7975228	7975296	Q9UHF7	TRPS1	14	55	7975262	0.988299999922514
chr2	223957370	223957434	Q9UHF7	TRPS1	16	54	223957402	0.9892999999389052
chr12	52217466	52217521	Q9UHF7	TRPS1	17	54	52217493	0.9868999999582768
chr5	59563050	59563121	Q9UHF7	TRPS1	13	54	59563085	0.9931999998122454
chr6	131628258	131628321	Q9UHF7	TRPS1	15	54	131628289	0.9801879999808968
chr3	193872438	193872493	Q9UHF7	TRPS1	14	53	193872465	0.976700000046566
chr17	37609376	37609438	Q9UHF7	TRPS1	18	53	37609407	0.9750999999247492
chr12	111405430	111405469	Q9UHF7	TRPS1	17	52	111405449	0.9615999998643996
chr4	138911020	138911099	Q9UHF7	TRPS1	14	52	138911059	0.9897999998569488
chr12	13135806	13135891	Q9UHF7	TRPS1	16	52	13135848	0.952500000308454
chr5	143246055	143246130	Q9UHF7	TRPS1	14	52	143246092	0.9854000000417232
chr8	128176960	128177029	Q9UHF7	TRPS1	16	52	128176994	0.990700000004098
chr20	56392448	56392526	Q9UHF7	TRPS1	17	52	56392487	0.973200000078976
chr20	25017547	25017606	Q9UHF7	TRPS1	15	51	25017576	0.9813000002101064
chr3	72628261	72628337	Q9UHF7	TRPS1	14	51	72628299	0.9876000000029802
chr8	101437222	101437290	Q9UHF7	TRPS1	15	51	101437256	0.9671999999806284
chr19	12832583	12832638	Q9UHF7	TRPS1	17	50	12832610	0.9731979999363424
chr10	17201649	17201734	Q9UHF7	TRPS1	15	50	17201691	0.976399999948591
chr1	209747805	209747884	Q9UHF7	TRPS1	17	50	209747844	0.9870999999985098
chr10	114697345	114697424	Q9UHF7	TRPS1	15	50	114697384	0.9788999998867512
chr5	43043192	43043283	Q9UHF7	TRPS1	15	50	43043237	0.9908000003278256
chr9	114908321	114908406	Q9UHF7	TRPS1	14	50	114908363	0.9924999998867512
chr4	140154202	140154251	Q9UHF7	TRPS1	15	50	140154226	0.9877000000372528
chr2	11744259	11744310	Q9UHF7	TRPS1	16	50	11744284	0.9968999999761582
chr14	50003463	50003508	Q9UHF7	TRPS1	17	49	50003485	0.9696999999582768
