Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr15	43106014	43106087	P10074	ZBTB48.hg38	6	27	43106050
chr18	21740835	21740878	P10074	ZBTB48.hg38	6	22	21740856
chr16	370645	370736	P10074	ZBTB48.hg38	6	22	370690
chr12	45727655	45727720	P10074	ZBTB48.hg38	6	22	45727687
chr13	50208937	50209019	P10074	ZBTB48.hg38	6	21	50208978
chr11	65027364	65027431	P10074	ZBTB48.hg38	6	21	65027397
chr3	127590644	127590731	P10074	ZBTB48.hg38	6	21	127590687
chr16	75148387	75148452	P10074	ZBTB48.hg38	6	20	75148419
chr11	3642406	3642467	P10074	ZBTB48.hg38	6	20	3642436
chr19	55647971	55648048	P10074	ZBTB48.hg38	6	20	55648009
chr3	119463339	119463450	P10074	ZBTB48.hg38	6	20	119463394
chr20	50309092	50309152	P10074	ZBTB48.hg38	6	20	50309122
chr12	132687477	132687543	P10074	ZBTB48.hg38	6	20	132687510
chr12	45728811	45728880	P10074	ZBTB48.hg38	6	19	45728845
chr20	57473486	57473553	P10074	ZBTB48.hg38	6	19	57473519
chr17	40054613	40054674	P10074	ZBTB48.hg38	6	19	40054643
chr7	91264340	91264421	P10074	ZBTB48.hg38	6	19	91264380
chr1	7117746	7117843	P10074	ZBTB48.hg38	6	19	7117794
chr14	35292486	35292585	P10074	ZBTB48.hg38	6	19	35292535
chr12	47783560	47783653	P10074	ZBTB48.hg38	6	18	47783606
chr8	41713047	41713128	P10074	ZBTB48.hg38	6	18	41713087
chr7	23105835	23105913	P10074	ZBTB48.hg38	6	18	23105874
chr8	79768775	79768821	P10074	ZBTB48.hg38	6	18	79768798
chr5	80488292	80488395	P10074	ZBTB48.hg38	6	18	80488343
chr10	969931	969998	P10074	ZBTB48.hg38	6	18	969964
chr12	57520203	57520327	P10074	ZBTB48.hg38	6	18	57520265
chr6	15245865	15245954	P10074	ZBTB48.hg38	6	18	15245909
chr20	48846622	48846677	P10074	ZBTB48.hg38	6	17	48846649
chr11	66421723	66421795	P10074	ZBTB48.hg38	6	17	66421759
chr21	33491807	33491866	P10074	ZBTB48.hg38	6	17	33491836
chr9	34379667	34379759	P10074	ZBTB48.hg38	6	17	34379713
chr1	40258115	40258224	P10074	ZBTB48.hg38	6	17	40258169
chr11	75340709	75340788	P10074	ZBTB48.hg38	6	17	75340748
chr20	31968561	31968597	P10074	ZBTB48.hg38	6	17	31968579
