Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr11	2400393	2400453	Q06546	GABPA	36	187	2400423	0.9974999999582768
chr19	56121411	56121470	Q06546	GABPA	35	180	56121440	0.95389999996908
chr5	172006859	172006918	Q06546	GABPA	36	176	172006888	0.9718339997947216
chr22	39532902	39532961	Q06546	GABPA	36	175	39532931	0.9848999999910591
chr11	118252181	118252236	Q06546	GABPA	36	173	118252208	0.959700000077486
chr2	27663741	27663802	Q06546	GABPA	36	172	27663771	0.9675999997936188
chr11	112074190	112074243	Q06546	GABPA	36	168	112074216	0.9588339999139308
chr11	77994790	77994857	Q06546	GABPA	35	167	77994823	0.9600999999016524
chr7	129055085	129055145	Q06546	GABPA	36	166	129055115	0.960348000012338
chr22	26672866	26672935	Q06546	GABPA	35	165	26672900	0.9811159999355674
chr1	27322132	27322181	Q06546	GABPA	36	165	27322156	0.9530999998554588
chr19	44164983	44165033	Q06546	GABPA	34	165	44165008	0.9530479996994138
chr16	69339638	69339686	Q06546	GABPA	36	164	69339662	0.9571219998613
chr12	131711011	131711064	Q06546	GABPA	36	163	131711037	0.9756999998643996
chr7	141738294	141738330	Q06546	GABPA	36	162	141738312	0.9794999997481704
chr11	7987180	7987229	Q06546	GABPA	36	162	7987204	0.9613999999597668
chr3	119498442	119498483	Q06546	GABPA	36	162	119498462	0.9794000001206994
chr1	100133043	100133092	Q06546	GABPA	36	162	100133067	0.979762000066042
chr13	45464830	45464875	Q06546	GABPA	36	161	45464852	0.9586999994657932
chr2	199955567	199955631	Q06546	GABPA	35	160	199955599	0.9515999998360872
chr17	7239792	7239837	Q06546	GABPA	35	160	7239814	0.9812999998599292
chr11	8688994	8689029	Q06546	GABPA	35	160	8689011	0.9537899999007584
chr2	201071918	201071984	Q06546	GABPA	35	159	201071951	0.9506479997131974
chr7	134646696	134646747	Q06546	GABPA	35	159	134646721	0.9593000003643334
chr5	83077470	83077525	Q06546	GABPA	36	158	83077497	0.9611999998912216
chr14	44962010	44962059	Q06546	GABPA	36	158	44962034	0.9790999999124556
chr6	31959056	31959095	Q06546	GABPA	36	157	31959075	0.9722000000461936
chr11	6481405	6481448	Q06546	GABPA	36	156	6481426	0.9915000000134112
chr1	156741210	156741247	Q06546	GABPA	35	156	156741228	0.9847999999538064
chr2	24076392	24076429	Q06546	GABPA	36	156	24076410	0.9617500001907348
chr16	72093680	72093738	Q06546	GABPA	35	156	72093709	0.9833000000312924
chr2	117814624	117814653	Q06546	GABPA	36	155	117814638	0.9744199998483062
chr9	134164873	134164913	Q06546	GABPA	36	155	134164893	0.9670000001527368
chr2	233251610	233251645	Q06546	GABPA	36	155	233251627	0.9646919995818288
chr5	173888189	173888246	Q06546	GABPA	36	155	173888217	0.9943999999821186
chr8	27311452	27311504	Q06546	GABPA	34	154	27311478	0.9844099999919532
chr20	63981046	63981077	Q06546	GABPA	36	154	63981061	0.9650840002223848
chr6	30067152	30067216	Q06546	GABPA	33	153	30067184	0.9933999999940396
chr9	35732272	35732312	Q06546	GABPA	36	152	35732292	0.9993000000596046
chr9	137618656	137618709	Q06546	GABPA	35	152	137618682	0.9534999997820706
chr6	170554272	170554308	Q06546	GABPA	36	152	170554290	0.9694999997824432
chr1	2391730	2391771	Q06546	GABPA	36	152	2391750	0.9780999998867512
chr8	22604617	22604659	Q06546	GABPA	36	151	22604638	0.9853000000208616
chr5	40835257	40835290	Q06546	GABPA	36	151	40835273	0.9676999999724328
chr5	34915639	34915676	Q06546	GABPA	36	151	34915657	0.9612699998464436
chr6	169751606	169751637	Q06546	GABPA	34	151	169751621	0.9931000000119208
chr19	55675130	55675166	Q06546	GABPA	35	151	55675148	0.9687999999284744
chr19	58305299	58305346	Q06546	GABPA	35	151	58305322	0.9868779999375344
chr4	112231466	112231529	Q06546	GABPA	34	151	112231497	0.9582000000968576
chr10	123154236	123154282	Q06546	GABPA	35	150	123154259	0.996699999922514
chr1	43969837	43969886	Q06546	GABPA	35	150	43969861	0.9987999999523164
chr13	72782071	72782120	Q06546	GABPA	36	150	72782095	0.9758000000342728
chr11	65712190	65712262	Q06546	GABPA	36	150	65712226	0.950100000171736
chr5	31532208	31532263	Q06546	GABPA	36	149	31532235	0.9755999999321996
chr19	58555000	58555043	Q06546	GABPA	35	149	58555021	0.9773999995384364
chr17	58352215	58352240	Q06546	GABPA	36	149	58352227	0.9581000001400708
chr17	63550406	63550437	Q06546	GABPA	36	148	63550421	0.958400000077486
chr1	63523352	63523417	Q06546	GABPA	35	148	63523384	0.9875859997726976
chr18	41955157	41955208	Q06546	GABPA	34	148	41955182	0.9814999999932944
chr1	163321787	163321826	Q06546	GABPA	36	147	163321806	0.9963999998569488
chr3	49120826	49120872	Q06546	GABPA	35	147	49120849	0.9903000000927598
chr5	140691407	140691445	Q06546	GABPA	36	147	140691426	0.9500399997904896
chr17	50373177	50373229	Q06546	GABPA	36	147	50373203	0.9740320000633598
chr3	157175004	157175055	Q06546	GABPA	35	146	157175029	0.9586999999091028
chr10	15860539	15860574	Q06546	GABPA	36	146	15860556	0.9887999999329448
chr17	75667268	75667311	Q06546	GABPA	35	146	75667289	0.9538000001627952
chr11	62591595	62591626	Q06546	GABPA	36	146	62591610	0.951600000121072
chr3	129161336	129161379	Q06546	GABPA	36	146	129161357	0.9539059999242424
chr9	101533771	101533806	Q06546	GABPA	35	146	101533788	0.9635999998472632
chr6	87590027	87590062	Q06546	GABPA	36	146	87590044	0.9548000001061708
chr4	76148501	76148536	Q06546	GABPA	35	145	76148518	0.9703239999637008
chr1	35931186	35931235	Q06546	GABPA	36	145	35931210	0.9882000001832842
chr11	65888513	65888552	Q06546	GABPA	34	145	65888532	0.9681699999731034
chr20	62302812	62302859	Q06546	GABPA	36	145	62302835	0.9953999999403954
chr16	1706093	1706136	Q06546	GABPA	36	145	1706114	0.9763000001162292
chr6	153002751	153002792	Q06546	GABPA	35	145	153002771	0.978200000013411
chr10	1056752	1056790	Q06546	GABPA	36	145	1056771	0.973678000099212
chr16	1782809	1782851	Q06546	GABPA	36	145	1782830	0.9663000000625848
chr5	148383930	148383960	Q06546	GABPA	36	144	148383945	0.9906000000149012
chr20	50115998	50116037	Q06546	GABPA	35	144	50116017	0.9632000002644956
chr9	135961453	135961488	Q06546	GABPA	36	144	135961470	0.9764000000264496
chr1	161202292	161202330	Q06546	GABPA	36	144	161202311	0.9839999999880792
chr5	159263231	159263281	Q06546	GABPA	36	144	159263256	0.9556999997939916
chr11	65570404	65570449	Q06546	GABPA	35	143	65570426	0.9692739999551326
chr19	2783422	2783457	Q06546	GABPA	36	143	2783439	0.9640000002890824
chr1	209784667	209784712	Q06546	GABPA	36	143	209784689	0.9812999996617436
chr20	5950557	5950597	Q06546	GABPA	35	143	5950577	0.971499999908358
chr12	75511630	75511655	Q06546	GABPA	36	143	75511642	0.9913000000834464
chr14	76151835	76151876	Q06546	GABPA	35	142	76151855	0.9764999999850988
chr6	131628250	131628279	Q06546	GABPA	36	142	131628264	0.9801999999694526
chr16	8797662	8797714	Q06546	GABPA	34	142	8797688	0.9552000002063812
chr2	112584426	112584475	Q06546	GABPA	33	142	112584450	0.9729199999541044
chr13	33542699	33542746	Q06546	GABPA	35	142	33542722	0.9646999997973442
chr4	108620529	108620562	Q06546	GABPA	36	142	108620545	0.9627099996637551
chr7	99919591	99919626	Q06546	GABPA	35	141	99919608	0.9638999999046326
chr1	42846515	42846558	Q06546	GABPA	35	141	42846536	1.0
chr6	52284893	52284950	Q06546	GABPA	34	141	52284921	0.9885
chr5	154038928	154038957	Q06546	GABPA	36	141	154038942	0.9932000000029804
chr19	44113322	44113373	Q06546	GABPA	32	141	44113347	0.9574999997451902
chr3	132660242	132660302	Q06546	GABPA	36	140	132660272	0.9844000000365078
chr1	54053461	54053528	Q06546	GABPA	36	140	54053494	0.9710999999582768
chr12	50085197	50085255	Q06546	GABPA	33	140	50085226	0.975700000052154
chr11	66052288	66052331	Q06546	GABPA	36	140	66052309	0.9616999997116624
chr2	73926834	73926869	Q06546	GABPA	35	139	73926851	0.9613999999389052
chr20	24992791	24992830	Q06546	GABPA	36	139	24992810	0.9973000000178814
chr21	37267579	37267624	Q06546	GABPA	36	139	37267601	0.9727000001121312
chr3	50359603	50359642	Q06546	GABPA	34	139	50359622	0.9771000000771136
chr12	14803543	14803578	Q06546	GABPA	34	138	14803560	0.981099999949336
chr5	133051709	133051773	Q06546	GABPA	34	138	133051741	0.969800000102818
chr9	133336216	133336249	Q06546	GABPA	36	138	133336232	0.958299999924004
chr19	51108441	51108472	Q06546	GABPA	35	138	51108456	0.9562280001800508
chr2	197500063	197500116	Q06546	GABPA	33	138	197500089	0.967599999883771
chr16	3235188	3235253	Q06546	GABPA	34	138	3235220	0.9513000000528992
chr8	143281703	143281736	Q06546	GABPA	36	138	143281719	0.9848000001326204
chr7	87152331	87152376	Q06546	GABPA	34	137	87152353	1.0
chr10	13586929	13586958	Q06546	GABPA	36	137	13586943	0.9580999997649342
chr1	110964162	110964207	Q06546	GABPA	36	137	110964184	0.9694999999806284
chr5	150000589	150000628	Q06546	GABPA	35	137	150000608	0.9658000001847744
chr6	43053884	43053923	Q06546	GABPA	35	137	43053903	0.9591380000583828
chr10	94362974	94362999	Q06546	GABPA	36	137	94362986	0.9519100003398956
chr12	49018811	49018846	Q06546	GABPA	36	137	49018828	0.9850000000089408
chr1	217631076	217631143	Q06546	GABPA	34	137	217631109	0.9782479997739196
chr19	44072073	44072118	Q06546	GABPA	34	137	44072095	0.9553119995877146
chr5	177351677	177351716	Q06546	GABPA	36	136	177351696	0.9525000001236796
chr11	65858234	65858269	Q06546	GABPA	36	136	65858251	0.9995999997973444
chr16	30355315	30355354	Q06546	GABPA	36	136	30355334	0.9991999998867512
chr11	43880741	43880768	Q06546	GABPA	36	136	43880754	0.9612999998554588
chr20	45416074	45416109	Q06546	GABPA	36	136	45416091	0.9958000000178814
chr16	67227095	67227118	Q06546	GABPA	36	136	67227106	0.9763579999685288
chr2	148020899	148020938	Q06546	GABPA	34	136	148020918	0.9856999999716878
chr8	42843396	42843436	Q06546	GABPA	34	136	42843416	0.9555359996881336
chr1	53238545	53238572	Q06546	GABPA	36	136	53238558	0.95419999993369
chr10	5890060	5890102	Q06546	GABPA	35	136	5890081	0.9716999997749924
chr11	112086808	112086843	Q06546	GABPA	36	136	112086825	0.9587799998275937
chr17	4555456	4555497	Q06546	GABPA	34	136	4555476	0.9647000000059603
chr14	75002902	75002931	Q06546	GABPA	36	136	75002916	0.962300000051409
chr11	126268913	126268940	Q06546	GABPA	36	136	126268926	0.9892999999925496
chr9	34620563	34620598	Q06546	GABPA	36	136	34620580	0.9819000000223518
chr19	57599851	57599880	Q06546	GABPA	36	136	57599865	0.9719999999828636
chr7	92528727	92528769	Q06546	GABPA	36	136	92528748	0.9669320001065732
chr11	60906575	60906627	Q06546	GABPA	34	136	60906601	0.9903999998852612
chr19	57614193	57614222	Q06546	GABPA	36	135	57614207	0.9807000000372528
chr8	55773404	55773437	Q06546	GABPA	36	135	55773420	0.963500000154972
chr19	52189840	52189893	Q06546	GABPA	33	135	52189866	0.9632499999970198
chr7	32490396	32490421	Q06546	GABPA	36	135	32490408	0.9728999998435378
chr15	49620972	49621021	Q06546	GABPA	35	135	49620996	0.989299999897182
chr13	40771199	40771227	Q06546	GABPA	36	135	40771213	0.957299999935925
chr14	21384032	21384091	Q06546	GABPA	36	135	21384061	0.969174000025168
chr20	1393203	1393238	Q06546	GABPA	36	134	1393220	0.987800000064075
chr3	196287758	196287787	Q06546	GABPA	35	134	196287772	0.9531999998431652
chr15	82540473	82540524	Q06546	GABPA	35	134	82540498	0.9751420001182706
chr1	165768887	165768916	Q06546	GABPA	36	134	165768901	0.9522219998821616
chr22	46335668	46335701	Q06546	GABPA	36	134	46335684	0.9617499999389052
chr17	76671746	76671795	Q06546	GABPA	35	134	76671770	0.9548999998793006
chr9	35103171	35103196	Q06546	GABPA	35	134	35103183	0.9888000003054738
chr14	20989940	20989973	Q06546	GABPA	36	134	20989956	0.9732000000797212
chr5	81301565	81301592	Q06546	GABPA	36	134	81301578	0.9850860000550749
chr14	57268913	57268956	Q06546	GABPA	34	133	57268934	0.9866999999068676
chr1	227735320	227735349	Q06546	GABPA	36	133	227735334	0.9838999999854714
chr21	45287883	45287922	Q06546	GABPA	33	133	45287902	0.9994999998867512
chr2	127294149	127294188	Q06546	GABPA	36	133	127294168	0.9544000002726912
chr19	7629689	7629735	Q06546	GABPA	34	133	7629712	0.9780999999597668
chr20	5113102	5113127	Q06546	GABPA	36	133	5113114	0.9508999995402992
chr5	94618614	94618641	Q06546	GABPA	36	133	94618627	0.9977999999940396
chr16	690423	690458	Q06546	GABPA	36	133	690440	0.9730000000793488
chr4	105708730	105708762	Q06546	GABPA	35	133	105708746	0.9925999998271464
chr7	91880724	91880749	Q06546	GABPA	36	133	91880736	0.9780659998565912
chr10	99732077	99732149	Q06546	GABPA	34	133	99732113	0.9535999998804182
chr9	120793432	120793461	Q06546	GABPA	36	133	120793446	0.9644000002935528
chr9	97633560	97633611	Q06546	GABPA	36	132	97633585	0.9882000000596046
chr3	19947069	19947104	Q06546	GABPA	34	132	19947086	0.9938260001957416
chr22	38681932	38681953	Q06546	GABPA	35	132	38681942	0.9527999993421136
chr2	223957406	223957435	Q06546	GABPA	36	132	223957420	0.9892999999389052
chr1	204516366	204516389	Q06546	GABPA	36	132	204516377	0.9573999997898937
chr11	59810804	59810831	Q06546	GABPA	36	132	59810817	0.9668999997667967
chr3	64023499	64023526	Q06546	GABPA	35	132	64023512	0.9724999999821186
chr3	131502991	131503022	Q06546	GABPA	36	132	131503006	0.9762000000864268
chr11	124954035	124954068	Q06546	GABPA	34	132	124954051	0.9888559998169542
chr1	151399497	151399523	Q06546	GABPA	35	132	151399510	0.9522559997756034
chr3	179347640	179347677	Q06546	GABPA	35	132	179347658	0.963099999819696
chr15	68277693	68277734	Q06546	GABPA	33	132	68277713	0.986399999986589
chr16	19718226	19718248	Q06546	GABPA	36	132	19718237	0.959899999795109
chr20	13638949	13638984	Q06546	GABPA	34	132	13638966	0.9626999999150634
chr19	50511367	50511404	Q06546	GABPA	34	132	50511385	0.9613319999352098
chr4	1289765	1289807	Q06546	GABPA	33	132	1289786	0.9581999997686594
chr13	102845759	102845802	Q06546	GABPA	33	132	102845780	0.984799999782443
chr11	31369815	31369834	Q06546	GABPA	36	132	31369824	0.9938000002205372
chr17	58518231	58518270	Q06546	GABPA	34	132	58518250	0.9798999999329449
chr7	44490669	44490698	Q06546	GABPA	36	132	44490683	0.9629999997660518
chr8	42541582	42541608	Q06546	GABPA	33	131	42541595	0.9626999997567386
chr16	67192116	67192143	Q06546	GABPA	36	131	67192129	0.9771000003203748
chr21	44939957	44939986	Q06546	GABPA	36	131	44939971	0.9660000001695008
chr8	81842634	81842697	Q06546	GABPA	33	131	81842665	0.982500000141561
chr14	74713106	74713133	Q06546	GABPA	36	131	74713119	0.9571420001529156
chr9	124415449	124415472	Q06546	GABPA	36	131	124415460	0.9551999999735504
chr1	84479213	84479245	Q06546	GABPA	36	131	84479229	0.9626179997265338
chr20	33401546	33401579	Q06546	GABPA	36	131	33401562	0.9515579998429864
chr2	128091139	128091181	Q06546	GABPA	35	131	128091160	0.9629999998643994
chr5	138543240	138543274	Q06546	GABPA	35	131	138543257	0.9640000001698732
chr16	27268807	27268840	Q06546	GABPA	35	131	27268823	0.972600000077486
chr19	35748408	35748443	Q06546	GABPA	33	131	35748425	0.959922000043094
chr17	44186933	44186973	Q06546	GABPA	35	131	44186953	0.9527999998446554
chr10	93702622	93702655	Q06546	GABPA	34	131	93702638	0.986399999794364
chr2	98608500	98608529	Q06546	GABPA	36	131	98608514	0.9869000001087784
chr8	22010254	22010279	Q06546	GABPA	36	131	22010266	0.9848000001102686
chr6	43516923	43516966	Q06546	GABPA	35	131	43516944	0.960600000207126
chr19	44094323	44094357	Q06546	GABPA	35	131	44094340	0.95749999961555
chr19	57477588	57477610	Q06546	GABPA	35	130	57477599	0.9775280000239612
chr5	131170714	131170739	Q06546	GABPA	36	130	131170726	0.9608999998982996
chr1	109548546	109548587	Q06546	GABPA	35	130	109548566	0.968000000024587
chr4	75990949	75990970	Q06546	GABPA	35	130	75990959	0.9727999996908008
chr1	44213409	44213442	Q06546	GABPA	36	130	44213425	0.999399999976158
chr4	118685352	118685381	Q06546	GABPA	36	130	118685366	0.9770999995723366
chr3	45842200	45842233	Q06546	GABPA	35	130	45842216	0.9851999998532236
chr19	12933763	12933796	Q06546	GABPA	34	130	12933779	0.9513999997075648
chr16	4734280	4734322	Q06546	GABPA	34	130	4734301	0.9618000002354384
chr3	154324486	154324509	Q06546	GABPA	35	130	154324497	0.9678999996237456
chr19	43935311	43935342	Q06546	GABPA	35	130	43935326	0.960899999840185
chr7	726636	726657	Q06546	GABPA	36	130	726646	0.959989999929443
chr1	54715813	54715844	Q06546	GABPA	36	130	54715828	0.9691999997559936
chr20	58651197	58651227	Q06546	GABPA	36	130	58651212	0.9765999999716878
chr2	200526061	200526097	Q06546	GABPA	33	130	200526079	0.9687999999210238
