Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr15	97960472	97960531	P48436	SOX9.hg38	5	12	97960501
chr11	67508283	67508310	P48436	SOX9.hg38	5	11	67508296
chr19	35702487	35702514	P48436	SOX9.hg38	4	11	35702500
chr14	77616890	77616917	P48436	SOX9.hg38	3	10	77616903
chr16	3004069	3004096	P48436	SOX9.hg38	3	10	3004082
chr9	129081031	129081068	P48436	SOX9.hg38	3	10	129081049
chr20	45812523	45812542	P48436	SOX9.hg38	4	10	45812532
chr14	23286229	23286268	P48436	SOX9.hg38	3	10	23286248
chr2	10122639	10122668	P48436	SOX9.hg38	3	10	10122653
chr8	144104385	144104420	P48436	SOX9.hg38	3	10	144104402
chr17	49789186	49789233	P48436	SOX9.hg38	3	9	49789209
chr7	75915049	75915088	P48436	SOX9.hg38	3	9	75915068
chr22	40044671	40044722	P48436	SOX9.hg38	4	9	40044696
chr7	150379235	150379276	P48436	SOX9.hg38	3	9	150379255
chr19	58278841	58278876	P48436	SOX9.hg38	4	9	58278858
chr19	38850016	38850055	P48436	SOX9.hg38	5	9	38850035
chr19	14117923	14117948	P48436	SOX9.hg38	3	9	14117935
chr22	21642204	21642233	P48436	SOX9.hg38	3	9	21642218
chr19	6372633	6372670	P48436	SOX9.hg38	4	9	6372651
chr9	137240994	137241045	P48436	SOX9.hg38	4	9	137241019
chr8	11802521	11802552	P48436	SOX9.hg38	3	9	11802536
chr6	159762377	159762414	P48436	SOX9.hg38	4	8	159762395
chr19	19063899	19063922	P48436	SOX9.hg38	3	8	19063910
chr17	81239165	81239258	P48436	SOX9.hg38	4	8	81239211
chr19	19385559	19385622	P48436	SOX9.hg38	4	8	19385590
chr6	113971354	113971386	P48436	SOX9.hg38	2	8	113971370
chr19	6425012	6425081	P48436	SOX9.hg38	3	8	6425046
chr19	48720792	48720817	P48436	SOX9.hg38	3	8	48720804
chr15	68820968	68821019	P48436	SOX9.hg38	4	8	68820993
chr2	96858139	96858168	P48436	SOX9.hg38	3	8	96858153
chr11	17276640	17276665	P48436	SOX9.hg38	3	8	17276652
chr1	40709253	40709290	P48436	SOX9.hg38	3	8	40709271
chr5	43313742	43313791	P48436	SOX9.hg38	3	8	43313766
chr19	40222145	40222194	P48436	SOX9.hg38	3	8	40222169
chr22	29268080	29268139	P48436	SOX9.hg38	3	8	29268109
chr6	152983137	152983166	P48436	SOX9.hg38	3	8	152983151
chr17	59155260	59155289	P48436	SOX9.hg38	4	8	59155274
chr19	12801862	12801933	P48436	SOX9.hg38	2	8	12801897
