Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr11	74255994	74256025	P11473	VDR.hg38	31	102	74256009
chr6	32177715	32177744	P11473	VDR.hg38	30	91	32177729
chr7	39701117	39701152	P11473	VDR.hg38	26	89	39701134
chr17	1717249	1717282	P11473	VDR.hg38	29	85	1717265
chr4	147684062	147684129	P11473	VDR.hg38	23	83	147684095
chr7	101085200	101085235	P11473	VDR.hg38	26	81	101085217
chr7	2956882	2956915	P11473	VDR.hg38	25	81	2956898
chr6	170554350	170554383	P11473	VDR.hg38	27	81	170554366
chr6	143397574	143397603	P11473	VDR.hg38	24	77	143397588
chr8	100720913	100720946	P11473	VDR.hg38	23	76	100720929
chr15	51228614	51228650	P11473	VDR.hg38	24	75	51228632
chr11	117597279	117597310	P11473	VDR.hg38	24	74	117597294
chr8	69946341	69946372	P11473	VDR.hg38	26	73	69946356
chr11	125070858	125070903	P11473	VDR.hg38	22	73	125070880
chr18	12420353	12420385	P11473	VDR.hg38	21	72	12420369
chr2	230416630	230416665	P11473	VDR.hg38	23	72	230416647
chr1	2562057	2562092	P11473	VDR.hg38	23	71	2562074
chr12	124382166	124382211	P11473	VDR.hg38	22	70	124382188
chr19	44113330	44113363	P11473	VDR.hg38	24	70	44113346
chr2	121699563	121699596	P11473	VDR.hg38	24	70	121699579
chr16	30055162	30055201	P11473	VDR.hg38	21	70	30055181
chr15	74937764	74937817	P11473	VDR.hg38	21	69	74937790
chr21	15222201	15222239	P11473	VDR.hg38	23	69	15222220
chr11	73377111	73377176	P11473	VDR.hg38	23	68	73377143
chr12	26298837	26298898	P11473	VDR.hg38	22	68	26298867
chr1	158149759	158149802	P11473	VDR.hg38	23	68	158149780
chr9	35477470	35477510	P11473	VDR.hg38	22	67	35477490
chr7	41985054	41985081	P11473	VDR.hg38	22	66	41985067
chr8	96235539	96235580	P11473	VDR.hg38	20	65	96235559
chr2	73780187	73780221	P11473	VDR.hg38	21	64	73780204
chr11	69685983	69686029	P11473	VDR.hg38	23	64	69686006
chr10	69065924	69065963	P11473	VDR.hg38	19	64	69065943
chr18	3593967	3594022	P11473	VDR.hg38	22	64	3593994
chr10	71938748	71938801	P11473	VDR.hg38	20	64	71938774
chr15	64883303	64883354	P11473	VDR.hg38	20	63	64883328
chr8	60904317	60904352	P11473	VDR.hg38	18	63	60904334
chr19	14381180	14381220	P11473	VDR.hg38	22	63	14381200
chr19	50025110	50025148	P11473	VDR.hg38	19	62	50025129
chr19	18502737	18502802	P11473	VDR.hg38	19	62	18502769
chr10	119271562	119271593	P11473	VDR.hg38	23	62	119271577
chr3	42012932	42012977	P11473	VDR.hg38	23	62	42012954
chr10	87862417	87862460	P11473	VDR.hg38	21	62	87862438
chr7	22615264	22615305	P11473	VDR.hg38	21	62	22615284
chr20	23334160	23334225	P11473	VDR.hg38	21	62	23334192
chr6	33161505	33161545	P11473	VDR.hg38	22	62	33161525
chr3	142225639	142225682	P11473	VDR.hg38	21	61	142225660
chr2	62216181	62216212	P11473	VDR.hg38	23	61	62216196
chr9	128882949	128882982	P11473	VDR.hg38	23	60	128882965
chr20	44610039	44610075	P11473	VDR.hg38	22	60	44610057
chr12	24909814	24909863	P11473	VDR.hg38	19	60	24909838
chr1	167663025	167663078	P11473	VDR.hg38	21	60	167663051
chr8	123922159	123922200	P11473	VDR.hg38	19	59	123922179
chr14	35336846	35336889	P11473	VDR.hg38	19	59	35336867
chr14	20613714	20613766	P11473	VDR.hg38	21	59	20613740
chr20	31738911	31738992	P11473	VDR.hg38	20	59	31738951
chr8	128948843	128948886	P11473	VDR.hg38	20	59	128948864
chr21	39349502	39349545	P11473	VDR.hg38	19	58	39349523
chr6	162032816	162032875	P11473	VDR.hg38	17	58	162032845
chr12	133037544	133037592	P11473	VDR.hg38	20	58	133037568
chr1	31701147	31701180	P11473	VDR.hg38	20	58	31701163
chr14	96100762	96100795	P11473	VDR.hg38	19	58	96100778
chr2	28445985	28446030	P11473	VDR.hg38	19	58	28446007
chr1	38990870	38990922	P11473	VDR.hg38	21	57	38990896
chr9	130834861	130834903	P11473	VDR.hg38	21	57	130834882
chr3	47380934	47380967	P11473	VDR.hg38	22	57	47380950
chr4	185143099	185143140	P11473	VDR.hg38	19	57	185143119
chr14	24090665	24090696	P11473	VDR.hg38	20	57	24090680
chr20	54123802	54123843	P11473	VDR.hg38	16	56	54123822
chr3	14651603	14651652	P11473	VDR.hg38	19	56	14651627
chr7	134432921	134432978	P11473	VDR.hg38	20	55	134432949
chr14	61103748	61103787	P11473	VDR.hg38	20	55	61103767
chr7	873504	873537	P11473	VDR.hg38	19	55	873520
chr1	150922671	150922710	P11473	VDR.hg38	19	55	150922690
chr16	68402446	68402486	P11473	VDR.hg38	18	54	68402466
chr12	53451947	53451998	P11473	VDR.hg38	19	54	53451972
chr3	157088785	157088829	P11473	VDR.hg38	19	54	157088807
chr10	26487715	26487766	P11473	VDR.hg38	19	54	26487740
chr9	96218418	96218461	P11473	VDR.hg38	20	54	96218439
chr20	38460373	38460406	P11473	VDR.hg38	17	53	38460389
chr13	48038066	48038099	P11473	VDR.hg38	20	53	48038082
chr22	21452000	21452043	P11473	VDR.hg38	17	53	21452021
chr17	16286039	16286090	P11473	VDR.hg38	18	53	16286064
chr10	79084448	79084495	P11473	VDR.hg38	19	53	79084471
chr17	44503645	44503695	P11473	VDR.hg38	20	53	44503670
chr1	110338415	110338478	P11473	VDR.hg38	19	53	110338446
chr5	76038090	76038147	P11473	VDR.hg38	20	53	76038118
chr18	59402634	59402678	P11473	VDR.hg38	19	53	59402656
chr1	186102686	186102715	P11473	VDR.hg38	16	53	186102700
chr7	150405382	150405409	P11473	VDR.hg38	21	52	150405395
chr6	121400856	121400890	P11473	VDR.hg38	19	52	121400873
chr1	150613532	150613589	P11473	VDR.hg38	18	52	150613560
chr1	71081357	71081408	P11473	VDR.hg38	19	52	71081382
chr19	17110153	17110194	P11473	VDR.hg38	15	52	17110173
chr7	155951890	155951927	P11473	VDR.hg38	19	52	155951908
chr10	119664002	119664035	P11473	VDR.hg38	16	52	119664018
chr15	82262039	82262068	P11473	VDR.hg38	18	52	82262053
chr5	140322050	140322102	P11473	VDR.hg38	15	51	140322076
chr1	209660060	209660097	P11473	VDR.hg38	15	51	209660078
chr2	12007435	12007472	P11473	VDR.hg38	19	51	12007453
chr3	48222878	48222908	P11473	VDR.hg38	20	51	48222893
chr19	40140013	40140052	P11473	VDR.hg38	20	50	40140032
chr8	124476388	124476421	P11473	VDR.hg38	20	50	124476404
chr13	90718014	90718049	P11473	VDR.hg38	15	50	90718031
chr20	1813274	1813307	P11473	VDR.hg38	17	50	1813290
chr16	87383925	87383962	P11473	VDR.hg38	17	50	87383943
chr11	85948044	85948081	P11473	VDR.hg38	17	50	85948062
chr8	98944692	98944744	P11473	VDR.hg38	20	50	98944718
chr2	152176019	152176055	P11473	VDR.hg38	18	50	152176037
chr5	91162911	91162940	P11473	VDR.hg38	19	50	91162925
chr20	45363037	45363116	P11473	VDR.hg38	20	50	45363076
chr19	40798818	40798865	P11473	VDR.hg38	19	49	40798841
chr3	44984497	44984529	P11473	VDR.hg38	16	49	44984513
chr1	211515495	211515534	P11473	VDR.hg38	18	49	211515514
chr4	143513582	143513631	P11473	VDR.hg38	19	49	143513606
chr17	30300249	30300287	P11473	VDR.hg38	19	49	30300268
chr7	12211346	12211408	P11473	VDR.hg38	17	49	12211377
chr22	28800724	28800778	P11473	VDR.hg38	17	48	28800751
