Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr3	127075076	127075171	Q02548	PAX5.hg38	11	51	127075123
chr16	21517386	21517421	Q02548	PAX5.hg38	11	42	21517403
chr3	186653214	186653251	Q02548	PAX5.hg38	11	42	186653232
chr14	101366037	101366102	Q02548	PAX5.hg38	11	42	101366069
chr1	174276282	174276327	Q02548	PAX5.hg38	11	41	174276304
chr7	113118642	113118691	Q02548	PAX5.hg38	11	41	113118666
chr4	143404682	143404733	Q02548	PAX5.hg38	11	40	143404707
chr8	23421551	23421584	Q02548	PAX5.hg38	11	40	23421567
chr2	237669655	237669694	Q02548	PAX5.hg38	11	40	237669674
chr1	120176482	120176514	Q02548	PAX5.hg38	11	40	120176498
chr7	98200530	98200578	Q02548	PAX5.hg38	11	40	98200554
chr11	6434411	6434448	Q02548	PAX5.hg38	11	40	6434429
chr2	68789772	68789837	Q02548	PAX5.hg38	11	40	68789804
chr2	38607911	38607946	Q02548	PAX5.hg38	11	39	38607928
chr10	95295352	95295381	Q02548	PAX5.hg38	10	39	95295366
chr9	76472313	76472392	Q02548	PAX5.hg38	11	39	76472352
chr5	78294693	78294738	Q02548	PAX5.hg38	11	39	78294715
chr1	206541587	206541639	Q02548	PAX5.hg38	11	39	206541613
chr1	20213079	20213126	Q02548	PAX5.hg38	11	39	20213102
chr1	167803445	167803493	Q02548	PAX5.hg38	11	39	167803469
chr10	32942252	32942310	Q02548	PAX5.hg38	11	39	32942281
chr2	63976276	63976329	Q02548	PAX5.hg38	11	39	63976302
chr18	26190702	26190745	Q02548	PAX5.hg38	11	39	26190723
chr1	186082487	186082524	Q02548	PAX5.hg38	11	39	186082505
chr3	31952398	31952461	Q02548	PAX5.hg38	10	39	31952429
chr8	115452281	115452322	Q02548	PAX5.hg38	11	38	115452301
chr2	8545107	8545158	Q02548	PAX5.hg38	11	38	8545132
chr1	112664172	112664239	Q02548	PAX5.hg38	10	38	112664205
chr17	4892731	4892782	Q02548	PAX5.hg38	11	38	4892756
chr9	109418975	109419006	Q02548	PAX5.hg38	10	38	109418990
chr7	152341208	152341251	Q02548	PAX5.hg38	11	38	152341229
chr19	344941	344998	Q02548	PAX5.hg38	11	38	344969
chr15	31230988	31231025	Q02548	PAX5.hg38	11	38	31231006
chr11	130023365	130023411	Q02548	PAX5.hg38	11	38	130023388
chr8	69556427	69556461	Q02548	PAX5.hg38	11	38	69556444
chr3	149808389	149808424	Q02548	PAX5.hg38	11	38	149808406
chr16	13390224	13390285	Q02548	PAX5.hg38	11	38	13390254
chr19	57443470	57443511	Q02548	PAX5.hg38	11	38	57443490
chr3	99012216	99012295	Q02548	PAX5.hg38	11	38	99012255
chr7	47979696	47979749	Q02548	PAX5.hg38	11	38	47979722
chr1	30940425	30940476	Q02548	PAX5.hg38	11	38	30940450
chr8	127916092	127916149	Q02548	PAX5.hg38	11	38	127916120
chr7	65916064	65916102	Q02548	PAX5.hg38	10	38	65916083
chr4	306665	306728	Q02548	PAX5.hg38	11	37	306696
chr3	11297313	11297350	Q02548	PAX5.hg38	11	37	11297331
chr4	4944167	4944209	Q02548	PAX5.hg38	11	37	4944188
chr5	6188514	6188542	Q02548	PAX5.hg38	11	37	6188528
chr2	134918157	134918206	Q02548	PAX5.hg38	11	37	134918181
chr15	81866290	81866337	Q02548	PAX5.hg38	11	37	81866313
chr1	155244858	155244896	Q02548	PAX5.hg38	11	37	155244877
chr17	30715264	30715307	Q02548	PAX5.hg38	11	37	30715285
chr7	41662	41711	Q02548	PAX5.hg38	11	37	41686
chr13	40445689	40445770	Q02548	PAX5.hg38	11	37	40445729
chr11	123325681	123325725	Q02548	PAX5.hg38	11	37	123325703
chr10	43454855	43454894	Q02548	PAX5.hg38	11	37	43454874
chr19	37923222	37923269	Q02548	PAX5.hg38	11	37	37923245
chr3	58306247	58306294	Q02548	PAX5.hg38	11	37	58306270
chr14	25132957	25133011	Q02548	PAX5.hg38	11	37	25132984
chr3	16374862	16374897	Q02548	PAX5.hg38	10	37	16374879
chr11	132581108	132581151	Q02548	PAX5.hg38	11	37	132581129
chr3	197664879	197664917	Q02548	PAX5.hg38	11	37	197664898
chr9	6429467	6429506	Q02548	PAX5.hg38	11	37	6429486
chr2	234500558	234500596	Q02548	PAX5.hg38	11	37	234500577
chr13	59734522	59734570	Q02548	PAX5.hg38	10	37	59734546
chr10	22599233	22599270	Q02548	PAX5.hg38	11	37	22599251
chr6	2750150	2750182	Q02548	PAX5.hg38	11	37	2750166
chr19	37962452	37962551	Q02548	PAX5.hg38	10	37	37962501
chr20	36846159	36846214	Q02548	PAX5.hg38	11	37	36846186
chr14	88754057	88754109	Q02548	PAX5.hg38	11	37	88754083
chr1	109112798	109112831	Q02548	PAX5.hg38	11	37	109112814
chr17	32772631	32772669	Q02548	PAX5.hg38	11	37	32772650
chr5	141734638	141734669	Q02548	PAX5.hg38	11	37	141734653
chr22	50191585	50191618	Q02548	PAX5.hg38	11	37	50191601
chr2	202666679	202666734	Q02548	PAX5.hg38	10	37	202666706
chr19	35899881	35899914	Q02548	PAX5.hg38	11	37	35899897
chr7	130898301	130898338	Q02548	PAX5.hg38	11	37	130898319
chr17	32819312	32819385	Q02548	PAX5.hg38	10	37	32819348
chr22	33299772	33299803	Q02548	PAX5.hg38	11	37	33299787
chr13	110712337	110712387	Q02548	PAX5.hg38	11	37	110712362
chr5	141530010	141530069	Q02548	PAX5.hg38	11	37	141530039
chr19	42203913	42203951	Q02548	PAX5.hg38	10	36	42203932
chr12	113075363	113075432	Q02548	PAX5.hg38	11	36	113075397
chr19	10968687	10968732	Q02548	PAX5.hg38	11	36	10968709
chr12	53324876	53324917	Q02548	PAX5.hg38	11	36	53324896
chr7	76592087	76592128	Q02548	PAX5.hg38	11	36	76592107
chr2	8313370	8313399	Q02548	PAX5.hg38	11	36	8313384
chr3	197562160	197562195	Q02548	PAX5.hg38	11	36	197562177
chr3	184249722	184249775	Q02548	PAX5.hg38	11	36	184249748
chr4	152595685	152595716	Q02548	PAX5.hg38	11	36	152595700
chr10	5840444	5840479	Q02548	PAX5.hg38	10	36	5840461
chr2	64730593	64730646	Q02548	PAX5.hg38	11	36	64730619
chr16	89844196	89844245	Q02548	PAX5.hg38	11	36	89844220
chr21	42536040	42536071	Q02548	PAX5.hg38	11	36	42536055
chr3	79651565	79651622	Q02548	PAX5.hg38	11	36	79651593
chr7	121441076	121441119	Q02548	PAX5.hg38	11	36	121441097
chr8	18911401	18911448	Q02548	PAX5.hg38	11	36	18911424
