Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr11	10933933	10933994	P17029	ZKSCAN1	3	14	10933963	0.9959999998807908
chr11	75532466	75532551	P17029	ZKSCAN1	3	12	75532508	0.9759000000163912
chr1	201541186	201541237	P17029	ZKSCAN1	3	11	201541211	0.9950000000417232
chr7	8365694	8365779	P17029	ZKSCAN1	3	11	8365736	0.9718579998344185
chr5	156836059	156836094	P17029	ZKSCAN1	3	11	156836076	0.9830999995931984
chr2	96533082	96533141	P17029	ZKSCAN1	3	11	96533111	1.0
chr20	63090247	63090278	P17029	ZKSCAN1	3	11	63090262	0.9835000000879168
chr14	99753685	99753754	P17029	ZKSCAN1	3	11	99753719	0.9977000000596048
chr6	44313462	44313521	P17029	ZKSCAN1	3	11	44313491	0.9565739998809992
chr1	93874263	93874290	P17029	ZKSCAN1	3	11	93874276	0.9990000000417232
chr20	47784442	47784473	P17029	ZKSCAN1	3	11	47784457	0.981199999974668
chr16	17235299	17235354	P17029	ZKSCAN1	3	11	17235326	0.9901000001445412
chr6	53065276	53065329	P17029	ZKSCAN1	3	11	53065302	0.9858000000942498
chr2	181466858	181466911	P17029	ZKSCAN1	3	11	181466884	0.9562999998390674
chr10	72081937	72082004	P17029	ZKSCAN1	3	11	72081970	0.9847999998688698
chr9	133589602	133589653	P17029	ZKSCAN1	3	11	133589627	0.9954000000447036
chr11	35362866	35362929	P17029	ZKSCAN1	3	11	35362897	0.995500000026822
chr8	27311542	27311569	P17029	ZKSCAN1	3	11	27311555	0.987629999987781
chr10	103884941	103884976	P17029	ZKSCAN1	3	11	103884958	0.976875999893248
chr22	39176084	39176143	P17029	ZKSCAN1	3	11	39176113	0.9866939999163152
chr1	203220117	203220144	P17029	ZKSCAN1	3	11	203220130	1.0
chr3	10783516	10783551	P17029	ZKSCAN1	3	11	10783533	1.0
chr11	64356598	64356675	P17029	ZKSCAN1	3	11	64356636	0.989899999897182
chr15	41978078	41978155	P17029	ZKSCAN1	3	11	41978116	0.9811000000961124
chr4	7076162	7076239	P17029	ZKSCAN1	3	11	7076200	0.961199999846518
chr17	34420349	34420390	P17029	ZKSCAN1	3	10	34420369	0.9547000000722706
chr5	172440179	172440264	P17029	ZKSCAN1	3	10	172440221	0.9921999998822808
chr20	50113817	50113866	P17029	ZKSCAN1	3	10	50113841	0.9564600000195204
chr3	113626890	113626915	P17029	ZKSCAN1	3	10	113626902	0.9583999999776482
chr6	26285534	26285588	P17029	ZKSCAN1	3	10	26285561	0.9774999999389052
chr5	173314212	173314239	P17029	ZKSCAN1	3	10	173314225	1.0
chr10	103716623	103716676	P17029	ZKSCAN1	3	10	103716649	0.9850999999694526
chr14	94966091	94966190	P17029	ZKSCAN1	3	10	94966140	0.981915999765694
chr14	99275379	99275409	P17029	ZKSCAN1	3	10	99275394	1.0
chr16	83993542	83993621	P17029	ZKSCAN1	3	10	83993581	0.9809000001564622
chr6	3383784	3383829	P17029	ZKSCAN1	3	10	3383806	0.9823499999068678
chr12	130464450	130464477	P17029	ZKSCAN1	3	10	130464463	0.9961000003457068
chr1	243257342	243257385	P17029	ZKSCAN1	3	10	243257363	0.9531799999035896
chr20	57832136	57832218	P17029	ZKSCAN1	3	10	57832177	0.96299999980703
chr9	126421243	126421280	P17029	ZKSCAN1	3	10	126421261	0.9980999999165536
chr16	67529697	67529736	P17029	ZKSCAN1	3	10	67529716	0.9594999999448656
chr1	201507333	201507364	P17029	ZKSCAN1	3	10	201507348	0.9740000002659858
chr4	152998230	152998261	P17029	ZKSCAN1	3	10	152998245	0.9763799999266864
chr10	23096773	23096814	P17029	ZKSCAN1	3	10	23096793	0.9823999999247492
chr4	169613253	169613302	P17029	ZKSCAN1	3	10	169613277	0.956699999922514
chr4	173420393	173420424	P17029	ZKSCAN1	3	10	173420408	0.9885999999463558
chr9	107137691	107137720	P17029	ZKSCAN1	3	10	107137705	0.9806999998316168
chr1	183060684	183060721	P17029	ZKSCAN1	3	10	183060702	0.9824720000952484
chr4	91113342	91113385	P17029	ZKSCAN1	3	10	91113363	0.956499999864772
chr15	77020512	77020549	P17029	ZKSCAN1	3	10	77020530	0.995400000050664
chr10	50512043	50512076	P17029	ZKSCAN1	3	10	50512059	1.0
chr15	88824436	88824466	P17029	ZKSCAN1	3	10	88824451	0.954600000039488
chr9	16266845	16266906	P17029	ZKSCAN1	3	10	16266875	0.9956000000476836
chr12	124683185	124683222	P17029	ZKSCAN1	3	10	124683203	0.9791000001680106
chr22	25081465	25081494	P17029	ZKSCAN1	3	10	25081479	0.9868999998264014
chr21	45364025	45364076	P17029	ZKSCAN1	3	10	45364050	0.9677299997374416
chr4	56051219	56051284	P17029	ZKSCAN1	3	10	56051251	0.9872000002101065
chr21	33559004	33559055	P17029	ZKSCAN1	3	10	33559029	0.9813999998606742
chr9	124309787	124309842	P17029	ZKSCAN1	3	10	124309814	0.956399999602884
chr8	130017075	130017158	P17029	ZKSCAN1	3	10	130017116	0.9914999998658895
chr17	46822418	46822459	P17029	ZKSCAN1	3	10	46822438	0.965399999821186
chr20	51564236	51564285	P17029	ZKSCAN1	3	10	51564260	0.9771999999672174
chr8	108248705	108248766	P17029	ZKSCAN1	3	10	108248735	0.9777999997757376
chr4	41360055	41360122	P17029	ZKSCAN1	3	10	41360088	0.9514499997995792
chr17	41415890	41415927	P17029	ZKSCAN1	3	10	41415908	0.9833999999400228
chr16	89443589	89443612	P17029	ZKSCAN1	3	10	89443600	0.9503979997560382
chr2	26605660	26605697	P17029	ZKSCAN1	3	10	26605678	0.988199999976158
chr19	5287985	5288042	P17029	ZKSCAN1	3	10	5288013	0.9739999997343868
chr2	98913154	98913188	P17029	ZKSCAN1	3	10	98913171	0.9820000000733882
chr1	62435798	62435865	P17029	ZKSCAN1	3	10	62435831	0.973600000159815
chr11	120230027	120230084	P17029	ZKSCAN1	3	10	120230055	0.991099999821186
chr6	75563269	75563314	P17029	ZKSCAN1	3	10	75563291	0.9851000001236796
chr6	33623099	33623172	P17029	ZKSCAN1	3	10	33623135	0.959399999891594
chr7	127760809	127760848	P17029	ZKSCAN1	3	10	127760828	0.998199999922514
chr19	1655812	1655847	P17029	ZKSCAN1	3	10	1655829	0.9818499997906388
chr6	42266705	42266762	P17029	ZKSCAN1	3	10	42266733	0.9643999998748304
