Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr14	90396980	90397013	P20226	TBP	7	26	90396996	0.96266600009799
chr16	22195798	22195823	P20226	TBP	7	26	22195810	0.9538419997915626
chr21	29073634	29073707	P20226	TBP	7	26	29073670	0.961410000027716
chr1	181088664	181088715	P20226	TBP	7	26	181088689	0.9626799999918788
chr9	134164597	134164644	P20226	TBP	7	25	134164620	0.9670000001527368
chr5	61332214	61332249	P20226	TBP	7	25	61332231	0.9937000002503396
chr14	35404753	35404814	P20226	TBP	7	25	35404783	0.9695500000163912
chr17	74203648	74203693	P20226	TBP	7	25	74203670	0.974029999840632
chr17	29294142	29294189	P20226	TBP	7	25	29294165	0.951400000243634
chr3	129316294	129316322	P20226	TBP	7	25	129316308	1.0
chr6	28658286	28658331	P20226	TBP	7	25	28658308	0.9593999997034668
chr14	20632969	20633008	P20226	TBP	7	25	20632988	0.9683999998524784
chr10	3172785	3172835	P20226	TBP	7	24	3172810	0.9796999995216727
chr11	76444620	76444661	P20226	TBP	7	24	76444640	0.9764000002257526
chr2	130337214	130337243	P20226	TBP	6	24	130337228	0.9922000000476836
chr12	65169570	65169614	P20226	TBP	7	24	65169592	0.9669000000614671
chr6	129710191	129710228	P20226	TBP	7	24	129710209	0.9561999998606742
chr3	119463766	119463811	P20226	TBP	7	24	119463788	0.9764380000390112
chr14	20469386	20469413	P20226	TBP	7	23	20469399	0.9612999997094274
chr13	91347650	91347687	P20226	TBP	7	23	91347668	1.0
chr6	30744549	30744587	P20226	TBP	7	23	30744568	0.9714019999444484
chr8	123157312	123157335	P20226	TBP	7	23	123157323	0.9573000000078232
chr7	23182043	23182090	P20226	TBP	7	23	23182066	0.975100000115484
chr13	30674020	30674083	P20226	TBP	7	23	30674051	0.9539239995613694
chr5	54310673	54310706	P20226	TBP	7	23	54310689	0.9775999999195336
chr6	170553295	170553360	P20226	TBP	7	23	170553327	0.9758999998375774
chr9	132944605	132944662	P20226	TBP	7	23	132944633	0.9867999999888242
chr6	136289835	136289892	P20226	TBP	7	23	136289863	0.9609000001601876
chr3	53130501	53130591	P20226	TBP	7	23	53130546	0.9675099996998906
chr6	26571936	26571973	P20226	TBP	7	23	26571954	0.9759999996781348
chr6	26204563	26204618	P20226	TBP	7	23	26204590	0.9795000000685452
chr3	4493307	4493342	P20226	TBP	7	23	4493324	1.0
chr6	28474620	28474651	P20226	TBP	6	23	28474635	0.9668999997869134
chr3	41199448	41199495	P20226	TBP	7	23	41199471	1.0
chr1	114581623	114581747	P20226	TBP	7	23	114581685	0.953699999947846
chr19	55385889	55385943	P20226	TBP	7	23	55385916	0.9820999999091028
chr13	94549733	94549764	P20226	TBP	7	23	94549748	0.973419999898225
chr14	20631224	20631269	P20226	TBP	7	23	20631246	0.9812879999041556
chr12	120534305	120534340	P20226	TBP	6	23	120534322	0.9551999997012316
chr5	181218346	181218390	P20226	TBP	7	23	181218368	0.9524999999336898
chr6	27791430	27791450	P20226	TBP	6	23	27791440	0.9738999999716876
chr22	40177903	40177926	P20226	TBP	7	23	40177914	0.9560000001374632
chr10	73096862	73096885	P20226	TBP	7	23	73096873	0.9545000000927596
chr8	95269758	95269785	P20226	TBP	7	23	95269771	0.959099999931082
chr6	31862828	31862871	P20226	TBP	7	23	31862849	0.9580000000044704
