Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr20	56392176	56392260	P10244	MYBL2	5	18	56392218	0.9651500000037252
chr4	173334575	173334653	P10244	MYBL2	5	14	173334614	0.96679999980703
chr7	36389837	36389944	P10244	MYBL2	5	14	36389890	0.9815999997586012
chr11	9573604	9573642	P10244	MYBL2	4	13	9573623	0.986899999845773
chr6	26032058	26032163	P10244	MYBL2	5	12	26032110	0.9865999999418856
chr2	110678145	110678169	P10244	MYBL2	4	12	110678157	0.9734999996334316
chr3	160399602	160399647	P10244	MYBL2	4	12	160399624	0.9941199999570848
chr6	28136816	28136873	P10244	MYBL2	4	12	28136844	0.9888999999254942
chr1	37692484	37692555	P10244	MYBL2	4	11	37692519	0.9660000002533198
chr11	119334388	119334437	P10244	MYBL2	4	11	119334412	0.980200000075996
chr18	2571500	2571615	P10244	MYBL2	5	11	2571557	0.9941000000804664
chr6	27894494	27894551	P10244	MYBL2	4	11	27894522	0.9751999999757855
chr4	17810913	17811004	P10244	MYBL2	4	11	17810958	0.9853999998357148
chr14	54396826	54396863	P10244	MYBL2	5	11	54396844	0.9569000000033528
chr7	26200979	26201067	P10244	MYBL2	5	11	26201023	0.9851179998785258
chr1	163321896	163321928	P10244	MYBL2	4	11	163321912	0.9963999998569488
chr9	35665193	35665249	P10244	MYBL2	4	11	35665221	0.9811999998264016
chr1	110339229	110339258	P10244	MYBL2	4	11	110339243	0.9969999999403952
chr2	200526132	200526197	P10244	MYBL2	3	11	200526164	0.9687999999210238
chr2	233854684	233854781	P10244	MYBL2	4	11	233854732	0.9777000000581144
chr15	40160991	40161062	P10244	MYBL2	5	11	40161026	0.9819999999143184
chr6	30717222	30717310	P10244	MYBL2	4	11	30717266	0.963521999919787
chr13	26983140	26983241	P10244	MYBL2	3	10	26983190	0.9632999999411404
chr16	23678771	23678876	P10244	MYBL2	4	10	23678823	0.9532000002659856
chr5	75717385	75717474	P10244	MYBL2	3	10	75717429	0.9603999999910592
chr10	60778398	60778462	P10244	MYBL2	4	10	60778430	0.9896000000461936
chr4	74659972	74660013	P10244	MYBL2	3	10	74659992	0.9851499999798834
chr11	28108161	28108210	P10244	MYBL2	5	10	28108185	0.9956999999552966
chr2	47176751	47176795	P10244	MYBL2	3	10	47176773	0.9817999999679624
chr9	89311185	89311224	P10244	MYBL2	4	9	89311204	0.988899999833107
chr13	72727753	72727802	P10244	MYBL2	4	9	72727777	0.9615999997213482
chr11	119095660	119095709	P10244	MYBL2	4	9	119095684	0.9694979998007416
chr12	12725735	12725834	P10244	MYBL2	4	9	12725784	0.9828999999735504
chr17	58391554	58391667	P10244	MYBL2	3	9	58391610	0.9585999999046324
chr5	177312417	177312456	P10244	MYBL2	4	9	177312436	0.959299999928102
chr7	23470627	23470671	P10244	MYBL2	4	9	23470649	0.9793999999910592
chr6	26103854	26103917	P10244	MYBL2	3	9	26103885	0.953799999973923
chr15	69414316	69414357	P10244	MYBL2	4	9	69414336	0.95240000003092
chr6	110816040	110816151	P10244	MYBL2	3	8	110816095	0.954399999987334
chr11	62123909	62123996	P10244	MYBL2	4	8	62123952	0.960969999715686
chr4	15681561	15681632	P10244	MYBL2	4	8	15681596	0.9832999999508262
chr6	27753363	27753471	P10244	MYBL2	3	8	27753417	0.9686999997511506
chr1	197146589	197146674	P10244	MYBL2	3	8	197146631	0.9929999998986722
chr6	27838374	27838431	P10244	MYBL2	4	8	27838402	0.964500000178814
chr6	142147094	142147157	P10244	MYBL2	4	8	142147125	0.9755000001247972
chr4	83285257	83285289	P10244	MYBL2	3	8	83285273	0.9809899995684624
chr12	119877485	119877532	P10244	MYBL2	3	8	119877508	0.9605999997675418
chr2	112764662	112764683	P10244	MYBL2	3	8	112764672	0.9783999999418854
chr21	46323820	46323869	P10244	MYBL2	4	8	46323844	0.9538000002503396
chr3	177358544	177358568	P10244	MYBL2	4	8	177358556	0.967800000096485
chr5	160421828	160421916	P10244	MYBL2	3	8	160421872	0.9926519998803734
chr3	14651552	14651637	P10244	MYBL2	4	8	14651594	0.9743000000879168
chr13	52455387	52455456	P10244	MYBL2	3	8	52455421	0.9538999999325722
chr5	60700127	60700160	P10244	MYBL2	4	8	60700143	0.9706000000484288
chr6	26123059	26123130	P10244	MYBL2	3	8	26123094	0.979338000304997
chr18	3448343	3448403	P10244	MYBL2	3	8	3448373	0.955899999850616
chr17	47947140	47947233	P10244	MYBL2	4	8	47947186	0.9628000001072884
chr11	19241079	19241128	P10244	MYBL2	3	8	19241103	0.9833999999001622
chr15	59105078	59105195	P10244	MYBL2	3	8	59105136	0.9550000000040978
chr8	27837796	27837860	P10244	MYBL2	3	7	27837828	0.9527000001206994
chr1	108876921	108876942	P10244	MYBL2	3	7	108876931	0.953900000280142
chr14	45253241	45253270	P10244	MYBL2	3	7	45253255	0.9775720000118016
chr1	111449353	111449438	P10244	MYBL2	3	7	111449395	0.9951000001728536
