Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr2	90392632	90392675	Q9H4W6	EBF3.hg38	4	17	90392653
chr5	49601557	49601632	Q9H4W6	EBF3.hg38	4	16	49601594
chr12	35614984	35615009	Q9H4W6	EBF3.hg38	4	16	35614996
chr13	17144830	17144857	Q9H4W6	EBF3.hg38	4	16	17144843
chr1	143236997	143237034	Q9H4W6	EBF3.hg38	4	16	143237015
chr11	53354098	53354129	Q9H4W6	EBF3.hg38	4	16	53354113
chr1	143273106	143273135	Q9H4W6	EBF3.hg38	4	16	143273120
chr13	16141535	16141618	Q9H4W6	EBF3.hg38	4	16	16141576
chr1	124562441	124562467	Q9H4W6	EBF3.hg38	4	16	124562454
chr1	124450852	124450875	Q9H4W6	EBF3.hg38	4	16	124450863
chr17	22521400	22521425	Q9H4W6	EBF3.hg38	4	16	22521412
chr13	17730112	17730146	Q9H4W6	EBF3.hg38	4	16	17730129
chr17	25920203	25920226	Q9H4W6	EBF3.hg38	4	16	25920214
chr17	26594885	26594909	Q9H4W6	EBF3.hg38	4	16	26594897
chr1	123195724	123195747	Q9H4W6	EBF3.hg38	4	16	123195735
chr1	122897635	122897668	Q9H4W6	EBF3.hg38	4	16	122897651
chr7	58434561	58434584	Q9H4W6	EBF3.hg38	4	16	58434572
chr4	49121006	49121042	Q9H4W6	EBF3.hg38	4	16	49121024
chr7	60310857	60310883	Q9H4W6	EBF3.hg38	4	16	60310870
chr10	133689410	133689436	Q9H4W6	EBF3.hg38	4	16	133689423
chr4	49711535	49711560	Q9H4W6	EBF3.hg38	4	16	49711547
chr1	629949	629980	Q9H4W6	EBF3.hg38	4	16	629964
chr1	634013	634039	Q9H4W6	EBF3.hg38	4	16	634026
chr1	143210899	143210939	Q9H4W6	EBF3.hg38	4	16	143210919
chr1	124421038	124421067	Q9H4W6	EBF3.hg38	4	15	124421052
chr1	143247048	143247072	Q9H4W6	EBF3.hg38	4	15	143247060
chr17	26885769	26885795	Q9H4W6	EBF3.hg38	4	15	26885782
chr13	16689010	16689051	Q9H4W6	EBF3.hg38	4	15	16689030
chr10	42070561	42070591	Q9H4W6	EBF3.hg38	4	15	42070576
chr4	49097708	49097735	Q9H4W6	EBF3.hg38	4	15	49097721
chr1	143245815	143245841	Q9H4W6	EBF3.hg38	4	15	143245828
chr1	143258901	143258943	Q9H4W6	EBF3.hg38	4	15	143258922
chr4	49149440	49149473	Q9H4W6	EBF3.hg38	4	15	49149456
chr1	143264243	143264270	Q9H4W6	EBF3.hg38	4	15	143264256
chr9	137328385	137328414	Q9H4W6	EBF3.hg38	4	15	137328399
chr4	49657568	49657605	Q9H4W6	EBF3.hg38	4	15	49657586
chr13	16136981	16137040	Q9H4W6	EBF3.hg38	4	15	16137010
chr10	42096330	42096360	Q9H4W6	EBF3.hg38	4	15	42096345
chr1	123720144	123720169	Q9H4W6	EBF3.hg38	4	15	123720156
chr21	10692850	10692876	Q9H4W6	EBF3.hg38	4	15	10692863
chr21	8234500	8234525	Q9H4W6	EBF3.hg38	4	15	8234512
chr20	28513625	28513656	Q9H4W6	EBF3.hg38	4	15	28513640
chr7	62454759	62454785	Q9H4W6	EBF3.hg38	4	15	62454772
chr5	134927754	134927778	Q9H4W6	EBF3.hg38	4	15	134927766
chr7	58275848	58275875	Q9H4W6	EBF3.hg38	4	15	58275861
chr8	85769606	85769639	Q9H4W6	EBF3.hg38	4	15	85769622
chr1	143222249	143222296	Q9H4W6	EBF3.hg38	4	15	143222272
chr2	90390719	90390750	Q9H4W6	EBF3.hg38	4	14	90390734
chr4	49092801	49092834	Q9H4W6	EBF3.hg38	4	14	49092817
chr1	125170134	125170165	Q9H4W6	EBF3.hg38	4	14	125170149
chr17	43232481	43232581	Q9H4W6	EBF3.hg38	4	14	43232531
chr1	143221778	143221835	Q9H4W6	EBF3.hg38	4	14	143221806
chr1	143263438	143263468	Q9H4W6	EBF3.hg38	4	14	143263453
chr10	41850700	41850733	Q9H4W6	EBF3.hg38	4	14	41850716
chr11	53307753	53307790	Q9H4W6	EBF3.hg38	4	14	53307771
chr10	42087248	42087319	Q9H4W6	EBF3.hg38	4	14	42087283
chr11	51097949	51097983	Q9H4W6	EBF3.hg38	4	14	51097966
chr16	46380846	46380901	Q9H4W6	EBF3.hg38	4	14	46380873
chr1	143222702	143222734	Q9H4W6	EBF3.hg38	4	14	143222718
chr1	143244982	143245013	Q9H4W6	EBF3.hg38	4	14	143244997
chr17	26620018	26620045	Q9H4W6	EBF3.hg38	4	14	26620031
chr1	143231906	143231944	Q9H4W6	EBF3.hg38	4	14	143231925
chr10	41914672	41914706	Q9H4W6	EBF3.hg38	4	14	41914689
chr4	49709423	49709456	Q9H4W6	EBF3.hg38	4	13	49709439
chr17	26603900	26603923	Q9H4W6	EBF3.hg38	4	13	26603911
chr16	46387909	46387946	Q9H4W6	EBF3.hg38	4	13	46387927
chr10	42088070	42088104	Q9H4W6	EBF3.hg38	4	13	42088087
chr5	49602450	49602485	Q9H4W6	EBF3.hg38	4	13	49602467
chr4	49153232	49153260	Q9H4W6	EBF3.hg38	4	13	49153246
chr5	17526707	17526735	Q9H4W6	EBF3.hg38	4	13	17526721
chr10	41875425	41875452	Q9H4W6	EBF3.hg38	4	13	41875438
chr1	123682124	123682148	Q9H4W6	EBF3.hg38	4	13	123682136
chr10	42080606	42080640	Q9H4W6	EBF3.hg38	4	13	42080623
chr7	59167661	59167686	Q9H4W6	EBF3.hg38	4	13	59167673
chr1	143238120	143238150	Q9H4W6	EBF3.hg38	4	13	143238135
chr13	18212110	18212137	Q9H4W6	EBF3.hg38	4	13	18212123
chr1	143239255	143239293	Q9H4W6	EBF3.hg38	4	13	143239274
chr5	49666203	49666226	Q9H4W6	EBF3.hg38	4	13	49666214
chr13	16607771	16607799	Q9H4W6	EBF3.hg38	4	13	16607785
chr1	124731344	124731377	Q9H4W6	EBF3.hg38	4	13	124731360
chr1	124568565	124568602	Q9H4W6	EBF3.hg38	4	12	124568583
chr16	34581450	34581479	Q9H4W6	EBF3.hg38	4	12	34581464
chr5	49661467	49661490	Q9H4W6	EBF3.hg38	4	12	49661478
chr2	90382621	90382656	Q9H4W6	EBF3.hg38	4	12	90382638
chr10	41859924	41859955	Q9H4W6	EBF3.hg38	4	12	41859939
chr2	89840316	89840345	Q9H4W6	EBF3.hg38	4	12	89840330
chr21	10655580	10655618	Q9H4W6	EBF3.hg38	4	12	10655599
chr5	49602058	49602090	Q9H4W6	EBF3.hg38	4	12	49602074
chr1	143234437	143234468	Q9H4W6	EBF3.hg38	4	12	143234452
chr1	143251729	143251763	Q9H4W6	EBF3.hg38	4	12	143251746
chr1	143248209	143248232	Q9H4W6	EBF3.hg38	4	12	143248220
chr1	124277937	124277964	Q9H4W6	EBF3.hg38	4	12	124277950
chr17	24421463	24421489	Q9H4W6	EBF3.hg38	4	12	24421476
chr7	60019525	60019590	Q9H4W6	EBF3.hg38	4	12	60019557
chr11	52395427	52395492	Q9H4W6	EBF3.hg38	4	12	52395459
chr2	90385910	90385971	Q9H4W6	EBF3.hg38	4	12	90385940
chr11	54236381	54236409	Q9H4W6	EBF3.hg38	4	12	54236395
chr16	34583099	34583128	Q9H4W6	EBF3.hg38	4	12	34583113
chr5	49659866	49659895	Q9H4W6	EBF3.hg38	4	12	49659880
chr10	42078582	42078647	Q9H4W6	EBF3.hg38	4	12	42078614
chr20	31074215	31074260	Q9H4W6	EBF3.hg38	4	11	31074237
chr5	49661056	49661093	Q9H4W6	EBF3.hg38	4	11	49661074
chr16	34586826	34586867	Q9H4W6	EBF3.hg38	4	11	34586846
chr2	90383811	90383841	Q9H4W6	EBF3.hg38	4	11	90383826
chr2	90395664	90395733	Q9H4W6	EBF3.hg38	4	11	90395698
chr7	58033189	58033210	Q9H4W6	EBF3.hg38	4	11	58033199
chr7	58445053	58445085	Q9H4W6	EBF3.hg38	3	11	58445069
chr10	41859300	41859324	Q9H4W6	EBF3.hg38	4	11	41859312
chr16	34573058	34573088	Q9H4W6	EBF3.hg38	4	11	34573073
chr1	143184707	143184738	Q9H4W6	EBF3.hg38	4	11	143184722
chr1	143216546	143216577	Q9H4W6	EBF3.hg38	4	11	143216561
chr11	54132964	54132997	Q9H4W6	EBF3.hg38	3	11	54132980
chr1	122701139	122701172	Q9H4W6	EBF3.hg38	4	11	122701155
chr1	123743251	123743280	Q9H4W6	EBF3.hg38	4	11	123743265
chr4	49102559	49102595	Q9H4W6	EBF3.hg38	4	11	49102577
chr2	90381122	90381146	Q9H4W6	EBF3.hg38	4	11	90381134
chr17	43251717	43251746	Q9H4W6	EBF3.hg38	3	11	43251731
chr2	90385253	90385282	Q9H4W6	EBF3.hg38	4	11	90385267
chr1	143193506	143193535	Q9H4W6	EBF3.hg38	4	11	143193520
chr1	143253173	143253226	Q9H4W6	EBF3.hg38	4	11	143253199
chr10	42078943	42078978	Q9H4W6	EBF3.hg38	4	11	42078960
chr4	49709732	49709761	Q9H4W6	EBF3.hg38	4	11	49709746
chr13	35903219	35903284	Q9H4W6	EBF3.hg38	4	11	35903251
