Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr12	124513220	124513245	P48431	SOX2	27	94	124513232	0.9939999999910591
chr15	31306705	31306730	P48431	SOX2	25	86	31306717	0.9677000000096856
chr12	23757715	23757755	P48431	SOX2	25	81	23757735	0.9987999999523164
chr1	156673883	156673906	P48431	SOX2	22	80	156673894	1.0
chr17	66474427	66474458	P48431	SOX2	23	79	66474442	0.9550000001497568
chr1	93079140	93079167	P48431	SOX2	25	78	93079153	0.9571999999623746
chr22	38506442	38506483	P48431	SOX2	23	78	38506462	0.9722999997749924
chr9	137302309	137302336	P48431	SOX2	24	77	137302322	0.981300000025332
chr16	56281707	56281756	P48431	SOX2	22	77	56281731	0.9934359999656676
chr2	110688997	110689025	P48431	SOX2	22	76	110689011	0.9664999999426306
chr13	94948172	94948217	P48431	SOX2	23	76	94948194	0.963000000057742
chr2	157932931	157932975	P48431	SOX2	23	75	157932953	0.9622999997526408
chr1	204108792	204108849	P48431	SOX2	22	75	204108820	0.9662000002123416
chr8	79963633	79963670	P48431	SOX2	21	69	79963651	1.0
chr11	128532831	128532864	P48431	SOX2	19	68	128532847	0.9884999997243286
chr5	77848151	77848196	P48431	SOX2	19	66	77848173	1.0
chr10	99914085	99914114	P48431	SOX2	20	66	99914099	0.9596999996945262
chr20	61436851	61436894	P48431	SOX2	23	66	61436872	0.9879999999180435
chr17	29042919	29042950	P48431	SOX2	21	66	29042934	0.9761000001206994
chr1	210251589	210251617	P48431	SOX2	22	66	210251603	0.9984999999523164
chr6	21186147	21186174	P48431	SOX2	20	65	21186160	0.9822000001333654
chr3	181716126	181716159	P48431	SOX2	19	65	181716142	0.9928000000372528
chr1	109229954	109229985	P48431	SOX2	18	64	109229969	0.9534000002790244
chr11	65498966	65499001	P48431	SOX2	20	63	65498983	0.96730000006482
chr7	84277849	84277882	P48431	SOX2	19	63	84277865	0.995200000178814
chr6	19804765	19804816	P48431	SOX2	20	63	19804790	0.978399999666214
chr6	14785118	14785193	P48431	SOX2	20	62	14785155	0.9731999999143184
chr3	176506165	176506208	P48431	SOX2	22	62	176506186	0.9763000000908972
chr13	23433227	23433254	P48431	SOX2	20	62	23433240	0.9608000001329928
chr13	59448441	59448488	P48431	SOX2	18	62	59448464	0.9947999997764826
chr7	18495653	18495684	P48431	SOX2	20	61	18495668	1.0
chr16	62665484	62665508	P48431	SOX2	17	61	62665496	0.9799999997556208
chr6	155120255	155120312	P48431	SOX2	17	61	155120283	0.9546659998118876
chr17	71828426	71828453	P48431	SOX2	18	60	71828439	0.9858000000622124
chr7	12715938	12715997	P48431	SOX2	20	60	12715967	0.9616999998938291
chr3	8499317	8499357	P48431	SOX2	19	60	8499337	0.9936000001847743
chr15	32899434	32899510	P48431	SOX2	16	60	32899472	0.9946560001373292
chr14	99664221	99664304	P48431	SOX2	17	60	99664262	0.9776999998755752
chr15	63972927	63972966	P48431	SOX2	18	59	63972946	0.9886999999538064
chr3	59128899	59128946	P48431	SOX2	17	59	59128922	0.9554000001728534
chr7	2524129	2524167	P48431	SOX2	20	59	2524148	1.0
chr6	14381437	14381480	P48431	SOX2	18	59	14381458	0.9872999998837708
chr20	48751425	48751450	P48431	SOX2	16	59	48751437	0.996299999988079
chr11	20027320	20027357	P48431	SOX2	19	59	20027338	0.9855999999716878
chr16	51359281	51359366	P48431	SOX2	15	58	51359323	0.979699999950826
chr12	115508105	115508166	P48431	SOX2	15	58	115508135	0.9963999998569488
chr20	47586880	47586907	P48431	SOX2	17	57	47586893	0.9662999999836088
chr8	38440741	38440776	P48431	SOX2	17	57	38440758	0.97359999968037
chr5	14728554	14728583	P48431	SOX2	15	57	14728568	0.9747000000543892
chr18	8942541	8942572	P48431	SOX2	18	57	8942556	0.9603560000687836
chr14	54677512	54677548	P48431	SOX2	22	57	54677530	0.9603999997645616
chr3	3801629	3801688	P48431	SOX2	17	57	3801658	0.9820999999985098
chr8	28513961	28514046	P48431	SOX2	18	56	28514003	0.9743000000275672
chr3	195119700	195119773	P48431	SOX2	18	56	195119736	0.9910000000983477
chr7	112423084	112423111	P48431	SOX2	19	56	112423097	0.9569899999685586
chr3	190041596	190041635	P48431	SOX2	18	56	190041615	0.9672999998938292
chr6	141105635	141105664	P48431	SOX2	17	56	141105649	0.9879000001989304
chr5	166166219	166166254	P48431	SOX2	17	56	166166236	0.982099999833107
chr9	136546355	136546388	P48431	SOX2	20	56	136546371	0.9977999997615814
chr8	38530900	38530934	P48431	SOX2	21	56	38530917	0.9640499998673796
chr15	67254711	67254756	P48431	SOX2	19	56	67254733	0.9669999994695186
chr9	86940966	86940994	P48431	SOX2	17	56	86940980	0.9953999998807908
chr8	71219127	71219156	P48431	SOX2	16	55	71219141	0.9994999998927117
chr8	64370530	64370583	P48431	SOX2	16	55	64370556	0.9987999999523164
chr1	162249023	162249071	P48431	SOX2	16	55	162249047	0.9980000000715256
chr6	18336679	18336712	P48431	SOX2	17	55	18336695	0.9540000000871718
chr6	143973209	143973240	P48431	SOX2	16	55	143973224	0.998200000178814
chr2	239291881	239291917	P48431	SOX2	17	55	239291899	0.9734000000044704
chr20	37229507	37229541	P48431	SOX2	17	54	37229524	0.9898999999329448
chr3	111957529	111957604	P48431	SOX2	18	54	111957566	0.988100000075996
chr7	138243667	138243698	P48431	SOX2	17	54	138243682	0.958100000146404
chr4	27123645	27123701	P48431	SOX2	16	54	27123673	0.9795000002756716
chr12	23640969	23641024	P48431	SOX2	17	54	23640996	0.97339999999851
chr18	57438009	57438044	P48431	SOX2	18	54	57438026	1.0
chr10	113054169	113054206	P48431	SOX2	19	54	113054187	0.9952999999314548
chr1	200048433	200048475	P48431	SOX2	16	54	200048454	0.9634000000234694
chr2	188303809	188303894	P48431	SOX2	15	53	188303851	0.9866999999389052
chr1	44543386	44543429	P48431	SOX2	15	53	44543407	0.9762000001810492
chr13	77853824	77853889	P48431	SOX2	16	53	77853856	0.9569000000432134
chr5	9222529	9222556	P48431	SOX2	16	53	9222542	0.952200000159815
chr12	97131716	97131755	P48431	SOX2	15	53	97131735	1.0
chr15	98801350	98801391	P48431	SOX2	17	53	98801370	0.9889000000528992
chr5	146789111	146789138	P48431	SOX2	15	53	146789124	0.9879000000610948
chr5	93421652	93421693	P48431	SOX2	16	53	93421672	0.9805000000953674
chr11	2721314	2721348	P48431	SOX2	14	53	2721331	1.0
chr5	141560854	141560906	P48431	SOX2	20	53	141560880	0.99100000003241
chr1	230277487	230277519	P48431	SOX2	14	53	230277503	0.991300000075996
chr17	71032919	71032958	P48431	SOX2	15	53	71032938	0.975499999954924
chr6	15264969	15265019	P48431	SOX2	18	52	15264994	0.9753000000327824
chr1	170146105	170146138	P48431	SOX2	16	52	170146121	0.9912999999448656
chr19	12836432	12836464	P48431	SOX2	18	52	12836448	0.994399999794364
chr12	32455065	32455114	P48431	SOX2	16	52	32455089	0.9768659999281168
chr7	5424062	5424105	P48431	SOX2	17	52	5424083	1.0
chr18	56986969	56987010	P48431	SOX2	16	52	56986989	0.9849000000596048
chr9	15422659	15422694	P48431	SOX2	20	52	15422676	0.956299999885261
chr4	125357790	125357882	P48431	SOX2	14	52	125357836	0.9990999999642372
chr1	15384516	15384551	P48431	SOX2	17	52	15384533	0.9629019999518992
chr6	75334772	75334813	P48431	SOX2	19	52	75334792	0.99469999999851
chr1	182101579	182101632	P48431	SOX2	17	52	182101605	0.9582999999061228
chr11	128733826	128733875	P48431	SOX2	16	52	128733850	0.998799999922514
chr13	87128199	87128228	P48431	SOX2	15	52	87128213	0.9930000003159046
chr3	30549756	30549809	P48431	SOX2	16	52	30549782	0.993500000026822
chr9	37251561	37251664	P48431	SOX2	15	52	37251612	0.988300000039488
chr1	16116119	16116158	P48431	SOX2	16	52	16116138	0.9673999996814876
chr4	96736663	96736706	P48431	SOX2	15	52	96736684	0.9901999999433756
chr1	94688770	94688799	P48431	SOX2	15	51	94688784	0.955800000244379
chr3	110577096	110577137	P48431	SOX2	18	51	110577116	0.9676999997243284
chr11	12843126	12843151	P48431	SOX2	18	51	12843138	0.9732999999910592
chr18	37393976	37394009	P48431	SOX2	15	51	37393992	0.9998000000536442
chr6	148819103	148819135	P48431	SOX2	16	51	148819119	0.9558999999754132
chr9	136052275	136052320	P48431	SOX2	19	51	136052297	1.0
chr7	130441162	130441201	P48431	SOX2	18	51	130441181	0.9637339998662472
chr6	113587469	113587510	P48431	SOX2	19	51	113587489	0.9797999999448656
chr4	123505819	123505873	P48431	SOX2	16	51	123505846	0.9503999996054916
chr2	41937562	41937599	P48431	SOX2	17	51	41937580	0.9789000002525748
chr9	76888115	76888152	P48431	SOX2	16	51	76888133	0.970099999762699
chr6	170007306	170007335	P48431	SOX2	17	51	170007320	0.9627499997682868
chr16	52874202	52874231	P48431	SOX2	16	51	52874216	0.9755999999381602
chr2	122927299	122927396	P48431	SOX2	16	51	122927347	0.9915000000476836
chr5	169164680	169164714	P48431	SOX2	16	50	169164697	0.9695219999469816
chr3	88912422	88912479	P48431	SOX2	15	50	88912450	1.0
chr6	140436622	140436653	P48431	SOX2	17	50	140436637	0.9904999997615814
chr3	38641065	38641098	P48431	SOX2	14	50	38641081	0.9941000000715255
chr14	101223243	101223306	P48431	SOX2	18	50	101223274	0.9852000000149012
chr16	30923352	30923390	P48431	SOX2	20	50	30923371	0.9726999999243766
chr8	40320113	40320152	P48431	SOX2	15	50	40320132	0.9692059998705984
chr9	72680774	72680837	P48431	SOX2	15	50	72680805	0.9822000000968576
chr22	26661169	26661216	P48431	SOX2	18	50	26661192	0.9615319997601212
chr18	31225767	31225794	P48431	SOX2	17	50	31225780	0.9594999999448656
chr2	44135483	44135527	P48431	SOX2	16	50	44135505	0.9510000001046808
chr2	43101013	43101052	P48431	SOX2	17	50	43101032	0.977999999819696
chr15	89197807	89197888	P48431	SOX2	18	50	89197847	0.9595000000912696
chr7	138169551	138169629	P48431	SOX2	16	50	138169590	0.9602000000298024
chr9	136572306	136572337	P48431	SOX2	17	50	136572321	0.9716000002115964
chr9	444712	444747	P48431	SOX2	19	50	444729	0.9841000000640748
chr14	95948747	95948783	P48431	SOX2	16	50	95948765	0.9735999998301268
chr4	114495845	114495890	P48431	SOX2	15	50	114495867	0.994500000232458
chr17	43530909	43530958	P48431	SOX2	16	50	43530933	0.9705739997565748
chr17	72603041	72603076	P48431	SOX2	16	49	72603058	0.9668999996446072
chr20	56925320	56925397	P48431	SOX2	16	49	56925358	0.9902999996885656
chr5	91978657	91978690	P48431	SOX2	15	49	91978673	0.9995379999995232
chr1	24286923	24286957	P48431	SOX2	16	49	24286940	0.9837999995216729
chr1	151717067	151717098	P48431	SOX2	15	49	151717082	1.0
chr4	23161949	23162010	P48431	SOX2	14	49	23161979	0.9857999997019768
chr7	121924450	121924487	P48431	SOX2	15	49	121924468	0.9858999999970196
chr14	78985856	78985944	P48431	SOX2	16	49	78985900	0.958699999908358
chr5	141816742	141816773	P48431	SOX2	16	49	141816757	0.9500999998062848
chr2	84855907	84855980	P48431	SOX2	14	49	84855943	0.9936999998927116
chr2	126700202	126700261	P48431	SOX2	15	49	126700231	0.9811000000715256
chr15	66774462	66774495	P48431	SOX2	18	49	66774478	0.9775999999541788
chr16	54651667	54651703	P48431	SOX2	16	49	54651685	0.9939000000029802
chr2	128639048	128639078	P48431	SOX2	16	49	128639063	0.9707999998979272
chr15	67030532	67030569	P48431	SOX2	15	49	67030550	0.9551900000073016
chr10	101818549	101818596	P48431	SOX2	19	49	101818572	0.9524059999484568
chr9	12916256	12916289	P48431	SOX2	15	49	12916272	0.9938999998927116
chr5	177426365	177426402	P48431	SOX2	19	48	177426383	0.9641999998502432
chr13	94706753	94706828	P48431	SOX2	23	48	94706790	1.0
chr6	113777164	113777203	P48431	SOX2	15	48	113777183	0.9565999996066094
chr1	210373999	210374034	P48431	SOX2	17	48	210374016	0.960217999975756
chr2	150736044	150736079	P48431	SOX2	14	48	150736061	0.9858999999195336
chr3	111047211	111047276	P48431	SOX2	16	48	111047243	0.9947000003993512
chr15	84600999	84601032	P48431	SOX2	19	48	84601015	0.969500000295043
chr12	124833920	124833956	P48431	SOX2	13	48	124833938	0.9500919997356831
chr20	9572890	9572959	P48431	SOX2	15	48	9572924	0.9969999999940397
chr1	58006846	58006877	P48431	SOX2	14	48	58006861	0.9991839999973774
chr8	64079885	64079922	P48431	SOX2	15	48	64079903	0.9516740000881254
chr7	2524909	2524943	P48431	SOX2	16	48	2524926	1.0
chr2	19228885	19228916	P48431	SOX2	16	48	19228900	0.9891000000685454
chr5	158869302	158869335	P48431	SOX2	15	48	158869318	0.9931999999463558
chr7	25733086	25733123	P48431	SOX2	15	48	25733104	0.972399999813363
chr18	56873975	56874008	P48431	SOX2	14	48	56873991	1.0
chr7	80127941	80127974	P48431	SOX2	15	48	80127957	0.9747999999016524
chr4	41432994	41433049	P48431	SOX2	16	48	41433021	0.9953000002205372
chr4	86959977	86960024	P48431	SOX2	18	48	86960000	0.9566999998927116
chr5	141521409	141521440	P48431	SOX2	15	47	141521424	0.9883000000275672
chr2	3266159	3266203	P48431	SOX2	16	47	3266181	0.9828999999489636
chr13	25911176	25911225	P48431	SOX2	15	47	25911200	0.9897000000908972
chr2	148578282	148578329	P48431	SOX2	15	47	148578305	0.9723999999932944
chr7	93337221	93337253	P48431	SOX2	14	47	93337237	0.981070000167191
chr1	160169665	160169700	P48431	SOX2	14	47	160169682	0.951550000139326
chr12	118981366	118981399	P48431	SOX2	14	47	118981382	0.9955999999821186
chr20	31712810	31712839	P48431	SOX2	19	47	31712824	0.9692999999005348
chr1	204455238	204455275	P48431	SOX2	15	47	204455256	0.9542999997790904
chr6	103872834	103872875	P48431	SOX2	15	47	103872854	0.9865000000223516
chr2	58866226	58866256	P48431	SOX2	14	47	58866241	0.9936999999150634
chr21	25658656	25658721	P48431	SOX2	15	47	25658688	0.9688000001758336
chr1	35886202	35886248	P48431	SOX2	14	47	35886225	0.9610999999955296
chr13	106100742	106100777	P48431	SOX2	18	47	106100759	0.9965999998629094
chr7	51950307	51950334	P48431	SOX2	14	47	51950320	0.9793759997025132
chr21	25998273	25998302	P48431	SOX2	16	47	25998287	0.9935000000819564
chr20	17531534	17531577	P48431	SOX2	14	47	17531555	0.9549999997004868
chr20	22430195	22430244	P48431	SOX2	14	47	22430219	0.991600000039488
chr13	99892381	99892424	P48431	SOX2	14	47	99892402	0.9751999999247492
chr12	45728931	45728971	P48431	SOX2	18	46	45728951	0.9999000000953674
chr17	81394030	81394065	P48431	SOX2	18	46	81394047	1.0
chr16	50463337	50463394	P48431	SOX2	14	46	50463365	0.9908999997988344
chr13	95154187	95154231	P48431	SOX2	14	46	95154209	0.9812000003371388
chr5	34483664	34483707	P48431	SOX2	15	46	34483685	0.9794000000596046
chr11	64566539	64566578	P48431	SOX2	15	46	64566558	0.9831079998880624
chr1	172360620	172360649	P48431	SOX2	17	46	172360634	0.9914999998912216
chr17	62705995	62706042	P48431	SOX2	16	46	62706018	0.9631999999374152
chr18	27661911	27661954	P48431	SOX2	18	46	27661932	0.9865999997973444
chr4	182560597	182560638	P48431	SOX2	14	46	182560617	0.9933000001311302
chr5	10103252	10103282	P48431	SOX2	15	46	10103267	0.9566999997388572
chr12	62659600	62659663	P48431	SOX2	16	46	62659631	0.9775999998763204
chr12	71663916	71663944	P48431	SOX2	18	46	71663930	0.9706000000931324
chr3	113753548	113753582	P48431	SOX2	15	46	113753565	0.971199999962002
chr10	49831500	49831525	P48431	SOX2	15	46	49831512	0.996100000411272
chr5	114312135	114312178	P48431	SOX2	14	46	114312156	0.992899999950826
chr2	222272791	222272834	P48431	SOX2	15	46	222272812	0.9968939998328684
chr11	34051430	34051462	P48431	SOX2	18	46	34051446	0.9563039997331798
chr9	95448212	95448253	P48431	SOX2	13	46	95448232	0.9963999999135732
chr20	32780959	32780996	P48431	SOX2	15	46	32780977	0.9560999999780208
chr1	242829019	242829062	P48431	SOX2	15	46	242829040	0.9933000000700356
chr6	147503703	147503730	P48431	SOX2	13	46	147503716	0.9915000000029802
chr1	52976385	52976436	P48431	SOX2	14	45	52976410	0.9614999996688216
chr11	122307259	122307302	P48431	SOX2	13	45	122307280	0.992281999951601
chr11	116445933	116445986	P48431	SOX2	14	45	116445959	0.9604880000829696
chr2	201972983	201973024	P48431	SOX2	14	45	201973003	0.983200000154972
chr4	144649793	144649819	P48431	SOX2	15	45	144649806	1.0
chr3	168812401	168812444	P48431	SOX2	16	45	168812422	0.9766999999672176
chr1	9253258	9253309	P48431	SOX2	13	45	9253283	0.9881000000208616
chr11	16403290	16403327	P48431	SOX2	15	45	16403308	0.996299999910593
chr16	8866634	8866663	P48431	SOX2	14	45	8866648	0.9756999996691942
chr11	87083222	87083266	P48431	SOX2	14	45	87083244	0.9636999998666346
chr20	23533344	23533383	P48431	SOX2	14	45	23533363	0.9661499997768552
chr7	23116139	23116174	P48431	SOX2	13	45	23116156	0.9709000002987684
chr16	17083780	17083811	P48431	SOX2	13	45	17083795	0.9591000001773238
chr6	155599734	155599779	P48431	SOX2	16	45	155599756	0.9929939997076987
chr14	61524370	61524419	P48431	SOX2	16	45	61524394	0.9955999998599292
chr7	13991442	13991485	P48431	SOX2	17	45	13991463	0.9647999998666346
chr3	194286948	194286981	P48431	SOX2	14	45	194286964	1.0
chr15	93477471	93477526	P48431	SOX2	15	45	93477498	0.9641999996248632
chr10	33773038	33773076	P48431	SOX2	16	45	33773057	0.9806999999567866
chr8	32487991	32488061	P48431	SOX2	15	45	32488026	0.9723999999016524
chr16	85083383	85083446	P48431	SOX2	13	45	85083414	0.9622999997593462
chr7	150379165	150379196	P48431	SOX2	16	45	150379180	0.9670000000108032
chr21	20790319	20790365	P48431	SOX2	12	45	20790342	0.9805000000163911
chr3	62884196	62884266	P48431	SOX2	15	45	62884231	0.9903000000283122
chr2	58540102	58540157	P48431	SOX2	14	45	58540129	0.992499999910593
chr8	42140322	42140366	P48431	SOX2	17	45	42140344	0.9743999999254942
chr3	53286902	53286932	P48431	SOX2	15	45	53286917	0.9586999998420476
chr12	93741980	93742019	P48431	SOX2	15	45	93741999	1.0
chr4	28683021	28683066	P48431	SOX2	12	45	28683043	0.990400000102818
chr3	50241282	50241319	P48431	SOX2	13	45	50241300	0.9547999999970198
chr7	13017488	13017542	P48431	SOX2	17	44	13017515	0.9978000000059604
chr18	8662397	8662444	P48431	SOX2	16	44	8662420	0.9763999999891968
chr6	163396988	163397043	P48431	SOX2	15	44	163397015	0.9999000000953674
chr9	89604841	89604894	P48431	SOX2	16	44	89604867	0.9891999999377876
chr2	195810833	195810887	P48431	SOX2	15	44	195810860	0.9761999999150632
chr6	104957471	104957502	P48431	SOX2	14	44	104957486	0.9669999995101244
chr14	103542884	103542929	P48431	SOX2	15	44	103542906	0.9861000000104309
chr20	290407	290433	P48431	SOX2	18	44	290420	0.9631999998778104
chr6	33781554	33781592	P48431	SOX2	17	44	33781573	1.0
chr2	48694384	48694443	P48431	SOX2	14	44	48694413	0.9672000001836568
chr11	36110096	36110145	P48431	SOX2	15	44	36110120	0.9562999997656793
chr16	72722769	72722803	P48431	SOX2	15	44	72722786	0.968299999819696
chr3	89165803	89165844	P48431	SOX2	14	44	89165823	0.9968000000476838
chr12	75722831	75722864	P48431	SOX2	14	44	75722847	0.973800000116229
chr2	44479607	44479644	P48431	SOX2	18	44	44479625	0.9804999998513608
chr10	68988623	68988666	P48431	SOX2	17	44	68988644	0.9811280000582338
chr1	75342954	75342991	P48431	SOX2	13	44	75342972	1.0
chr14	54362301	54362336	P48431	SOX2	13	44	54362318	0.9743000002264977
chr20	62915127	62915164	P48431	SOX2	15	44	62915145	0.9783000001292677
chr5	158135841	158135886	P48431	SOX2	12	44	158135863	0.9838000000163912
chr10	104076916	104076947	P48431	SOX2	15	44	104076931	0.9787999999925494
chr6	143958929	143958970	P48431	SOX2	13	44	143958949	1.0
chr12	23896103	23896162	P48431	SOX2	17	44	23896132	0.9769999998874962
chr2	44803036	44803070	P48431	SOX2	14	44	44803053	0.9848000000678004
chr3	69288418	69288455	P48431	SOX2	16	44	69288436	0.9818999998629092
chr9	122135037	122135077	P48431	SOX2	16	44	122135057	0.9738000000461936
chr11	65497595	65497634	P48431	SOX2	18	44	65497614	0.9670000000528992
chr4	7861554	7861605	P48431	SOX2	15	44	7861579	0.9597999997630716
chr4	101115197	101115238	P48431	SOX2	16	44	101115217	0.9905999999970198
chr1	81920565	81920638	P48431	SOX2	16	44	81920601	1.0
chr3	64109748	64109790	P48431	SOX2	15	44	64109769	0.9977999998867512
chr2	101893890	101893921	P48431	SOX2	14	44	101893905	0.98779999999851
chr12	79874818	79874864	P48431	SOX2	12	44	79874841	0.9666119999982415
chr14	33475777	33475810	P48431	SOX2	15	44	33475793	1.0
chr3	189806322	189806361	P48431	SOX2	14	43	189806341	0.9820999999828636
chr8	105583679	105583734	P48431	SOX2	12	43	105583706	0.968299999833107
chr12	106582845	106582882	P48431	SOX2	14	43	106582863	1.0
chr5	97400677	97400722	P48431	SOX2	13	43	97400699	0.9834999999344348
chr20	5969704	5969752	P48431	SOX2	14	43	5969728	0.9690000001288952
chr10	104328565	104328633	P48431	SOX2	16	43	104328599	0.9999000000953674
chr5	54018534	54018607	P48431	SOX2	12	43	54018570	0.968700000043586
chr1	162092110	162092198	P48431	SOX2	13	43	162092154	0.9939999999701976
chr3	65597408	65597449	P48431	SOX2	16	43	65597428	1.0
chr11	44559484	44559524	P48431	SOX2	14	43	44559504	0.9660000001136212
chr1	205314048	205314083	P48431	SOX2	16	43	205314065	0.9875000001192092
chr12	105740520	105740564	P48431	SOX2	15	43	105740542	0.9859999999970198
chr9	38017364	38017425	P48431	SOX2	16	43	38017394	0.9832999997936188
chr17	77810623	77810656	P48431	SOX2	13	43	77810639	0.9887000000044704
chr6	105398206	105398250	P48431	SOX2	15	43	105398228	0.983900000140071
chr9	137667040	137667062	P48431	SOX2	13	43	137667051	0.9752500001348556
chr6	3075453	3075488	P48431	SOX2	13	43	3075470	0.9829599997594952
chr2	118319406	118319451	P48431	SOX2	14	43	118319428	0.9845000000074504
chr1	184498134	184498165	P48431	SOX2	13	43	184498149	0.9837000000178814
chr9	89604267	89604302	P48431	SOX2	15	43	89604284	0.9891999999377876
chr6	71478977	71479010	P48431	SOX2	16	43	71478993	0.9993000000476836
chr18	51168243	51168290	P48431	SOX2	14	43	51168266	0.9895999997735024
chr11	103625445	103625536	P48431	SOX2	16	43	103625490	0.9888000001847744
chr9	92970445	92970499	P48431	SOX2	18	43	92970472	0.9573999999966472
chr19	54420372	54420425	P48431	SOX2	16	43	54420398	0.9728000004187226
chr4	92520769	92520812	P48431	SOX2	15	43	92520790	0.9983999997735024
chr15	53625506	53625555	P48431	SOX2	13	43	53625530	0.9872819994688034
chr3	194750566	194750605	P48431	SOX2	14	43	194750585	0.9682000000044704
chr7	155510099	155510134	P48431	SOX2	13	43	155510116	0.989800000064075
chr7	129258839	129258885	P48431	SOX2	13	43	129258862	0.9709000001497566
chr6	121897608	121897657	P48431	SOX2	15	43	121897632	0.9893000000283122
chr7	123440323	123440370	P48431	SOX2	13	43	123440346	0.960849999857694
chr2	66541837	66541890	P48431	SOX2	13	43	66541863	0.9837999999836088
chr22	26751441	26751478	P48431	SOX2	14	42	26751459	0.9654000000644476
chr3	182140191	182140220	P48431	SOX2	14	42	182140205	0.9779999999448656
chr18	44946216	44946260	P48431	SOX2	15	42	44946238	0.9768999994978308
chr5	124662518	124662566	P48431	SOX2	16	42	124662542	0.9857999999523164
chr8	20275695	20275732	P48431	SOX2	12	42	20275713	0.9838000001624226
chr22	26648314	26648345	P48431	SOX2	13	42	26648329	0.9772999996095896
chr5	147568161	147568227	P48431	SOX2	15	42	147568194	0.9535999999403952
chr6	79545164	79545215	P48431	SOX2	17	42	79545189	0.962221999740228
chr20	57710617	57710655	P48431	SOX2	14	42	57710636	1.0
chr8	90671093	90671155	P48431	SOX2	17	42	90671124	1.0
chr3	187275090	187275131	P48431	SOX2	15	42	187275110	0.9983999997615814
chr3	60669858	60669891	P48431	SOX2	12	42	60669874	0.9547999997124076
chr9	116286454	116286495	P48431	SOX2	12	42	116286474	0.9863999998301268
chr7	37987195	37987259	P48431	SOX2	12	42	37987227	0.9863000001370908
chr3	41363006	41363065	P48431	SOX2	15	42	41363035	0.9853000000402332
chr1	59670046	59670093	P48431	SOX2	16	42	59670069	0.9591999998368322
chr2	78304898	78304943	P48431	SOX2	14	42	78304920	0.979999999897182
chr7	108246326	108246425	P48431	SOX2	14	42	108246375	0.9941000000476836
chr3	61699732	61699785	P48431	SOX2	13	42	61699758	0.9562000000029802
chr1	94937024	94937083	P48431	SOX2	14	42	94937053	0.9797000000685452
chr13	112162080	112162110	P48431	SOX2	13	42	112162095	0.9774999999836088
chr5	142881941	142881974	P48431	SOX2	13	42	142881957	0.9923000000089408
chr12	122872271	122872324	P48431	SOX2	14	42	122872297	0.9781000002339484
chr4	122100678	122100719	P48431	SOX2	13	42	122100698	0.9895000000271946
chr3	150806526	150806569	P48431	SOX2	13	42	150806547	0.9841999997884036
chr3	14329564	14329603	P48431	SOX2	14	42	14329583	0.981999999538064
chr11	10352322	10352363	P48431	SOX2	15	42	10352342	0.9900999999642373
chr18	54247201	54247242	P48431	SOX2	15	42	54247221	0.9507999999377876
chr6	90485024	90485073	P48431	SOX2	14	42	90485048	0.9907000001057984
chr11	96055633	96055683	P48431	SOX2	17	42	96055658	0.987399999921024
chr2	16166760	16166792	P48431	SOX2	14	42	16166776	0.9714000000383703
chr5	95895983	95896058	P48431	SOX2	17	41	95896020	0.9634999998778104
chr1	82485895	82485936	P48431	SOX2	14	41	82485915	0.9902000000849366
chr20	20464054	20464125	P48431	SOX2	15	41	20464089	0.9986000001192092
chr4	84379182	84379230	P48431	SOX2	13	41	84379206	0.9996000000834464
chr7	150383980	150384035	P48431	SOX2	14	41	150384007	0.978899999845028
chr7	105773143	105773184	P48431	SOX2	17	41	105773163	0.9679999997124076
chr9	118473722	118473757	P48431	SOX2	12	41	118473739	0.9725000000372528
chr11	20000643	20000710	P48431	SOX2	12	41	20000676	0.9762999999850988
chr5	52078601	52078674	P48431	SOX2	13	41	52078637	0.9886000001691282
chr5	114308193	114308234	P48431	SOX2	12	41	114308213	0.9860000000298024
chr15	72474296	72474329	P48431	SOX2	14	41	72474312	0.9722280001804232
chr22	19881409	19881468	P48431	SOX2	16	41	19881438	0.994899999845028
chr7	29288682	29288715	P48431	SOX2	13	41	29288698	0.9895000000461937
chr5	152511666	152511729	P48431	SOX2	12	41	152511697	0.954100000023842
chr12	24216095	24216131	P48431	SOX2	16	41	24216113	0.9889999999091028
chr20	13492102	13492131	P48431	SOX2	15	41	13492116	0.988699999950826
chr5	87787900	87787939	P48431	SOX2	11	41	87787919	1.0
chr2	238289002	238289075	P48431	SOX2	17	41	238289038	0.9773999998867512
chr6	11161500	11161575	P48431	SOX2	14	41	11161537	0.9653999999187888
chr6	22025812	22025847	P48431	SOX2	16	41	22025829	0.999399999976158
chr2	37676467	37676498	P48431	SOX2	14	41	37676482	0.9915999999176712
chr10	105657073	105657099	P48431	SOX2	13	41	105657086	0.9729999999672174
chr7	131605517	131605582	P48431	SOX2	14	41	131605549	0.9731999996051192
