Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr18	63367771	63367836	O75626	PRDM1.hg38	9	31	63367803
chr8	125091820	125091876	O75626	PRDM1.hg38	8	30	125091848
chr17	42323002	42323050	O75626	PRDM1.hg38	8	29	42323026
chr11	77820910	77820943	O75626	PRDM1.hg38	8	28	77820926
chr1	100065537	100065608	O75626	PRDM1.hg38	7	27	100065572
chr7	103812124	103812159	O75626	PRDM1.hg38	8	27	103812141
chr6	30877773	30877842	O75626	PRDM1.hg38	8	27	30877807
chr1	85202050	85202083	O75626	PRDM1.hg38	8	27	85202066
chr20	5120264	5120303	O75626	PRDM1.hg38	8	27	5120283
chr3	66972034	66972090	O75626	PRDM1.hg38	8	27	66972062
chr10	5684783	5684816	O75626	PRDM1.hg38	8	26	5684799
chr3	71584513	71584577	O75626	PRDM1.hg38	9	26	71584545
chr22	36239568	36239611	O75626	PRDM1.hg38	8	26	36239589
chr6	73521112	73521153	O75626	PRDM1.hg38	9	26	73521132
chr2	174395486	174395537	O75626	PRDM1.hg38	8	26	174395511
chr2	226791958	226792001	O75626	PRDM1.hg38	8	26	226791979
chr20	49694632	49694703	O75626	PRDM1.hg38	7	26	49694667
chr6	3258922	3258952	O75626	PRDM1.hg38	8	26	3258937
chr9	34646621	34646681	O75626	PRDM1.hg38	7	26	34646651
chr2	191020430	191020468	O75626	PRDM1.hg38	8	26	191020449
chr14	76962135	76962178	O75626	PRDM1.hg38	9	25	76962156
chr6	105992511	105992544	O75626	PRDM1.hg38	8	25	105992527
chr1	222644308	222644333	O75626	PRDM1.hg38	8	24	222644320
chr14	76743163	76743210	O75626	PRDM1.hg38	7	24	76743186
chr5	96807929	96807973	O75626	PRDM1.hg38	8	24	96807951
chr6	6688423	6688492	O75626	PRDM1.hg38	8	24	6688457
chr12	95072827	95072886	O75626	PRDM1.hg38	8	24	95072856
chr2	148020831	148020870	O75626	PRDM1.hg38	7	24	148020850
chr9	35732553	35732628	O75626	PRDM1.hg38	7	24	35732590
