Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr6	4358773	4358835	P01100	FOS.hg38	16	66	4358804
chr21	45364118	45364177	P01100	FOS.hg38	16	65	45364147
chr2	172253357	172253394	P01100	FOS.hg38	16	64	172253375
chr16	15591029	15591086	P01100	FOS.hg38	16	64	15591057
chr2	233974765	233974832	P01100	FOS.hg38	16	63	233974798
chr13	110965451	110965493	P01100	FOS.hg38	17	62	110965472
chr8	125513230	125513277	P01100	FOS.hg38	17	61	125513253
chr2	11744181	11744236	P01100	FOS.hg38	16	60	11744208
chr20	50166205	50166263	P01100	FOS.hg38	16	60	50166234
chr12	89756851	89756910	P01100	FOS.hg38	17	60	89756880
chr3	197031613	197031670	P01100	FOS.hg38	15	60	197031641
chr16	4944928	4944984	P01100	FOS.hg38	15	59	4944956
chr1	151311714	151311755	P01100	FOS.hg38	15	59	151311734
chr11	9566134	9566169	P01100	FOS.hg38	16	59	9566151
chr4	72112714	72112743	P01100	FOS.hg38	18	59	72112728
chr17	56915987	56916066	P01100	FOS.hg38	15	59	56916026
chr14	22537092	22537111	P01100	FOS.hg38	17	58	22537101
chr19	16279372	16279412	P01100	FOS.hg38	15	58	16279392
chr1	218377467	218377504	P01100	FOS.hg38	16	58	218377485
chr1	200483667	200483705	P01100	FOS.hg38	16	58	200483686
chr4	14856608	14856643	P01100	FOS.hg38	17	58	14856625
chr8	143948591	143948626	P01100	FOS.hg38	16	58	143948608
chr3	12405913	12405984	P01100	FOS.hg38	15	57	12405948
chr11	36149866	36149887	P01100	FOS.hg38	17	57	36149876
chr2	113240988	113241055	P01100	FOS.hg38	15	57	113241021
chr1	153566700	153566727	P01100	FOS.hg38	17	57	153566713
chr11	119218638	119218681	P01100	FOS.hg38	15	57	119218659
chr9	127919502	127919543	P01100	FOS.hg38	17	57	127919522
chr6	136610430	136610484	P01100	FOS.hg38	15	57	136610457
chr8	141026892	141026943	P01100	FOS.hg38	16	57	141026917
chr12	26274882	26274916	P01100	FOS.hg38	15	57	26274899
chr8	125430264	125430293	P01100	FOS.hg38	16	56	125430278
chr16	9047961	9047990	P01100	FOS.hg38	17	56	9047975
chr6	37630538	37630611	P01100	FOS.hg38	15	56	37630574
chr13	110870344	110870393	P01100	FOS.hg38	16	56	110870368
chr11	64335259	64335315	P01100	FOS.hg38	15	56	64335287
chr7	37032109	37032144	P01100	FOS.hg38	16	56	37032126
chr10	63707484	63707529	P01100	FOS.hg38	14	56	63707506
chr7	73715782	73715840	P01100	FOS.hg38	14	56	73715811
chr2	102227862	102227917	P01100	FOS.hg38	15	56	102227889
chr22	30649596	30649619	P01100	FOS.hg38	16	56	30649607
chr4	1043777	1043809	P01100	FOS.hg38	16	56	1043793
chr17	48972478	48972533	P01100	FOS.hg38	15	56	48972505
chr5	133240680	133240699	P01100	FOS.hg38	15	56	133240689
chr8	66124042	66124070	P01100	FOS.hg38	17	55	66124056
chr3	194089689	194089746	P01100	FOS.hg38	14	55	194089717
chr11	9364435	9364500	P01100	FOS.hg38	15	55	9364467
chr1	33433933	33433960	P01100	FOS.hg38	16	55	33433946
chr8	631060	631101	P01100	FOS.hg38	15	55	631080
chr3	39147172	39147195	P01100	FOS.hg38	15	55	39147183
chr6	20877560	20877619	P01100	FOS.hg38	13	55	20877589
chr5	34924118	34924135	P01100	FOS.hg38	16	55	34924126
chr13	100132289	100132314	P01100	FOS.hg38	16	55	100132301
chr20	35305873	35305916	P01100	FOS.hg38	16	55	35305894
chr9	99433754	99433771	P01100	FOS.hg38	15	55	99433762
chr1	201714784	201714824	P01100	FOS.hg38	16	55	201714804
chr6	33840226	33840261	P01100	FOS.hg38	16	55	33840243
chr13	100392906	100392925	P01100	FOS.hg38	16	54	100392915
chr3	57060556	57060587	P01100	FOS.hg38	15	54	57060571
chr5	17118829	17118876	P01100	FOS.hg38	15	54	17118852
chr2	54904218	54904259	P01100	FOS.hg38	16	54	54904238
chr11	117072728	117072757	P01100	FOS.hg38	16	54	117072742
chr5	57693265	57693284	P01100	FOS.hg38	16	54	57693274
chr8	144767522	144767551	P01100	FOS.hg38	16	54	144767536
chr2	55051316	55051369	P01100	FOS.hg38	13	54	55051342
chr19	13261249	13261280	P01100	FOS.hg38	16	54	13261264
chr12	31749324	31749389	P01100	FOS.hg38	15	54	31749356
chr1	41870293	41870328	P01100	FOS.hg38	16	54	41870310
chr8	131856953	131856978	P01100	FOS.hg38	15	54	131856965
chr10	113087511	113087552	P01100	FOS.hg38	14	54	113087531
chr2	27720288	27720323	P01100	FOS.hg38	15	54	27720305
chr11	65472237	65472261	P01100	FOS.hg38	14	54	65472249
chr15	40266998	40267023	P01100	FOS.hg38	16	54	40267010
chr11	8329001	8329043	P01100	FOS.hg38	15	54	8329022
chr12	6345525	6345574	P01100	FOS.hg38	13	54	6345549
chr17	66275783	66275817	P01100	FOS.hg38	14	53	66275800
chr20	25237961	25237984	P01100	FOS.hg38	15	53	25237972
chr21	29217912	29217947	P01100	FOS.hg38	14	53	29217929
chr3	112676965	112676990	P01100	FOS.hg38	16	53	112676977
chr1	156114251	156114278	P01100	FOS.hg38	15	53	156114264
chr1	39192281	39192312	P01100	FOS.hg38	16	53	39192296
chr13	97141758	97141778	P01100	FOS.hg38	15	53	97141768
chr12	32051695	32051774	P01100	FOS.hg38	15	53	32051734
chr12	124917259	124917283	P01100	FOS.hg38	16	53	124917271
chr8	125219443	125219470	P01100	FOS.hg38	15	53	125219456
chr1	42967274	42967301	P01100	FOS.hg38	16	53	42967287
chr2	111699042	111699073	P01100	FOS.hg38	15	53	111699057
chr1	172934053	172934076	P01100	FOS.hg38	15	53	172934064
chr9	122402569	122402596	P01100	FOS.hg38	15	53	122402582
chr1	28885095	28885134	P01100	FOS.hg38	14	53	28885114
chr17	45705595	45705614	P01100	FOS.hg38	15	53	45705604
chr8	133217982	133218033	P01100	FOS.hg38	14	53	133218007
chr12	122400649	122400678	P01100	FOS.hg38	15	53	122400663
chr6	90369174	90369193	P01100	FOS.hg38	16	53	90369183
chr11	9759839	9759904	P01100	FOS.hg38	15	53	9759871
chr7	48085120	48085145	P01100	FOS.hg38	16	52	48085132
chr3	198072085	198072113	P01100	FOS.hg38	14	52	198072099
chr13	30430403	30430429	P01100	FOS.hg38	14	52	30430416
chr9	93091626	93091649	P01100	FOS.hg38	15	52	93091637
chr7	28037425	28037476	P01100	FOS.hg38	14	52	28037450
chr9	122991550	122991613	P01100	FOS.hg38	14	52	122991581
chr1	225508687	225508716	P01100	FOS.hg38	14	52	225508701
chr6	158040450	158040481	P01100	FOS.hg38	15	52	158040465
chr3	42684064	42684095	P01100	FOS.hg38	13	52	42684079
chr18	34979292	34979327	P01100	FOS.hg38	16	52	34979309
chr11	35337393	35337443	P01100	FOS.hg38	16	52	35337418
chr9	114552136	114552165	P01100	FOS.hg38	16	52	114552150
chr20	4135732	4135779	P01100	FOS.hg38	15	52	4135755
chr6	31911545	31911566	P01100	FOS.hg38	15	52	31911555
