Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	78620301	78620326	O00712	NFIB	2	10	78620313	0.9843000000357628
chr2	74010199	74010256	O00712	NFIB	2	9	74010227	0.9670999998390676
chr4	30068438	30068470	O00712	NFIB	3	9	30068454	0.9607999997325242
chr19	46374064	46374156	O00712	NFIB	2	9	46374110	0.9560999997299164
chr6	149235266	149235310	O00712	NFIB	3	9	149235288	0.9934999999523164
chr11	16925948	16926025	O00712	NFIB	2	9	16925986	0.9803999998688698
chr3	9098929	9098973	O00712	NFIB	2	9	9098951	0.992799999898672
chr10	85901316	85901356	O00712	NFIB	2	8	85901336	0.9838999999713152
chr6	2108865	2108894	O00712	NFIB	2	8	2108879	0.9742999999821186
chr14	21583690	21583727	O00712	NFIB	2	8	21583708	0.9505000000417232
chr5	172437656	172437680	O00712	NFIB	2	8	172437668	0.9809999999068676
chr2	241361717	241361742	O00712	NFIB	2	8	241361729	0.9749999997228384
chr5	174397342	174397371	O00712	NFIB	2	8	174397356	0.9950000000476836
chr10	85618976	85619009	O00712	NFIB	2	8	85618992	0.9993000000596046
chr2	238911069	238911094	O00712	NFIB	2	8	238911081	0.9968000000357627
chr5	174425389	174425421	O00712	NFIB	2	8	174425405	0.9752380000710488
chr5	175288235	175288280	O00712	NFIB	2	8	175288257	0.9795999996818602
chr2	238591913	238591950	O00712	NFIB	2	8	238591931	0.9729999999091028
chr10	91526291	91526320	O00712	NFIB	2	8	91526305	0.9532219998780638
chr2	237041373	237041461	O00712	NFIB	2	8	237041417	0.9841999998748302
chr5	176854633	176854661	O00712	NFIB	2	8	176854647	0.9584199999235572
chr5	177404323	177404346	O00712	NFIB	2	8	177404334	0.9684000001430512
chr2	234722358	234722386	O00712	NFIB	2	8	234722372	0.9634000001832844
chr5	170755855	170755880	O00712	NFIB	2	8	170755867	0.968000000037253
chr10	88093156	88093192	O00712	NFIB	2	8	88093174	1.0
chr5	180474673	180474717	O00712	NFIB	2	8	180474695	0.9505999998804182
chr10	87586401	87586430	O00712	NFIB	2	8	87586415	0.97800000006482
chr5	180624800	180624837	O00712	NFIB	2	8	180624818	0.9939000000976026
chr10	86681181	86681249	O00712	NFIB	2	8	86681215	0.9748999998368324
chr2	233168686	233168711	O00712	NFIB	2	8	233168698	0.9663
chr6	508772	508800	O00712	NFIB	2	8	508786	1.0
chr2	232473567	232473603	O00712	NFIB	2	8	232473585	0.9717000002339482
chr10	85994355	85994391	O00712	NFIB	2	8	85994373	0.9800999999046326
chr20	272942	272963	O00712	NFIB	2	8	272952	0.9523279998812824
chr11	80903660	80903685	O00712	NFIB	2	8	80903672	0.95089999980554
chr10	84407827	84407859	O00712	NFIB	2	8	84407843	0.97510000006333
chr5	163033827	163033867	O00712	NFIB	2	8	163033847	0.9761999997079372
chr5	156635632	156635660	O00712	NFIB	2	8	156635646	0.9656999997384846
chr13	109362708	109362761	O00712	NFIB	2	8	109362734	0.9999000000953674
chr5	158120514	158120547	O00712	NFIB	2	8	158120530	0.9944000000417232
chr5	158320472	158320496	O00712	NFIB	2	8	158320484	0.984699999960512
chr20	8997017	8997042	O00712	NFIB	2	8	8997029	0.9874000002786516
chr5	158712090	158712115	O00712	NFIB	2	8	158712102	0.9991000002503396
chr10	102068397	102068426	O00712	NFIB	2	8	102068411	0.9524999998625368
chr13	110356408	110356441	O00712	NFIB	2	8	110356424	0.9675000000879168
chr5	159095016	159095048	O00712	NFIB	2	8	159095032	1.0
chr5	159419790	159419822	O00712	NFIB	2	8	159419806	0.9911999998033046
chr10	101015155	101015179	O00712	NFIB	2	8	101015167	0.9663700000099836
chr5	161167550	161167582	O00712	NFIB	2	8	161167566	0.9644999996565282
chr5	161296702	161296727	O00712	NFIB	2	8	161296714	0.9573000000067056
chr20	4572326	4572351	O00712	NFIB	2	8	4572338	0.9668999999299646
chr5	163758320	163758345	O00712	NFIB	2	8	163758332	0.9888000000461936
chr10	96061422	96061451	O00712	NFIB	2	8	96061436	0.9608999998047948
chr5	166200721	166200746	O00712	NFIB	2	8	166200733	0.9733000001177192
chr5	166476291	166476323	O00712	NFIB	2	8	166476307	1.0
chr5	167525088	167525124	O00712	NFIB	2	8	167525106	1.0
chr13	112376205	112376229	O00712	NFIB	2	8	112376217	0.9532999999325722
chr20	3666407	3666428	O00712	NFIB	2	8	3666417	0.9564999998904764
chr13	112849699	112849732	O00712	NFIB	2	8	112849715	0.96760000025481
chr20	3603290	3603318	O00712	NFIB	2	8	3603304	0.9508999999597668
chr20	2985167	2985211	O00712	NFIB	2	8	2985189	0.9500999998182058
chr5	168409630	168409658	O00712	NFIB	2	8	168409644	0.9626000001698732
chr20	2562478	2562510	O00712	NFIB	2	8	2562494	0.9500999999824912
chr20	2485272	2485296	O00712	NFIB	2	8	2485284	0.9944000001609326
chr20	709594	709618	O00712	NFIB	2	8	709606	0.9660999996237456
chr5	170614406	170614427	O00712	NFIB	2	8	170614416	0.9934999999321996
chr10	96076161	96076193	O00712	NFIB	2	8	96076177	0.989599999976158
chr10	84589121	84589157	O00712	NFIB	2	8	84589139	0.975599999950826
chr10	83190800	83190829	O00712	NFIB	2	8	83190814	0.9569999998390676
chr6	2257555	2257576	O00712	NFIB	2	8	2257565	0.9617479999773204
chr6	16873865	16873890	O00712	NFIB	2	8	16873877	0.9655999997317792
chr10	77510856	77510884	O00712	NFIB	2	8	77510870	0.9930999997615816
chr10	77494232	77494260	O00712	NFIB	2	8	77494246	0.9824000000491738
chr10	77480211	77480248	O00712	NFIB	2	8	77480229	0.9734000000715256
chr6	20252496	20252528	O00712	NFIB	2	8	20252512	0.9660899996951222
chr6	20931283	20931304	O00712	NFIB	2	8	20931293	0.9750499999023974
chr6	21095641	21095677	O00712	NFIB	2	8	21095659	0.961799999792874
chr10	75973097	75973138	O00712	NFIB	2	8	75973117	0.9835000000819564
chr14	33943239	33943260	O00712	NFIB	2	8	33943249	0.9542999998994172
chr6	22650570	22650595	O00712	NFIB	2	8	22650582	0.9758999999843536
chr6	23137791	23137815	O00712	NFIB	2	8	23137803	0.992499999910593
chr2	216773215	216773244	O00712	NFIB	2	8	216773229	0.9831000000223518
chr6	24283800	24283885	O00712	NFIB	2	8	24283842	0.9709999998897314
chr6	25629325	25629354	O00712	NFIB	2	8	25629339	0.975199999871105
chr6	26280563	26280600	O00712	NFIB	2	8	26280581	0.968399999974668
chr10	72331982	72332014	O00712	NFIB	2	8	72331998	0.960788000074029
chr2	214696020	214696045	O00712	NFIB	2	8	214696032	0.9733000000029802
chr6	27392809	27392849	O00712	NFIB	2	8	27392829	0.977149999474734
chr14	36099783	36099808	O00712	NFIB	2	8	36099795	0.9562999998494984
chr6	31123124	31123148	O00712	NFIB	2	8	31123136	0.9679000001974404
chr2	214543803	214543840	O00712	NFIB	2	8	214543821	1.0
chr6	33958654	33958691	O00712	NFIB	2	8	33958672	0.988800000018254
chr10	71191575	71191611	O00712	NFIB	2	8	71191593	0.9706999999523164
chr10	71082195	71082220	O00712	NFIB	2	8	71082207	1.0
chr2	213725734	213725766	O00712	NFIB	2	8	213725750	0.9575000002242624
chr14	37712256	37712281	O00712	NFIB	2	8	37712268	0.986099999910593
chr14	37889210	37889246	O00712	NFIB	2	8	37889228	0.966099999884516
chr2	209347089	209347114	O00712	NFIB	2	8	209347101	0.9679800001777707
chr14	41891798	41891819	O00712	NFIB	2	8	41891808	0.9731000001221896
chr6	37240380	37240408	O00712	NFIB	2	8	37240394	0.9590060000117868
chr6	19317772	19317801	O00712	NFIB	2	8	19317786	0.9653999998372048
chr10	77618450	77618471	O00712	NFIB	2	8	77618460	0.9884500001057982
chr20	9141256	9141285	O00712	NFIB	2	8	9141270	1.0
chr6	16372214	16372258	O00712	NFIB	2	8	16372236	0.9863999998442828
chr2	227576986	227577027	O00712	NFIB	2	8	227577006	0.984899999848008
chr6	2770401	2770434	O00712	NFIB	2	8	2770417	1.0
chr2	227376957	227376990	O00712	NFIB	2	8	227376973	0.9664000003952532
chr6	4675306	4675330	O00712	NFIB	2	8	4675318	0.9859900001436472
chr14	24612333	24612361	O00712	NFIB	2	8	24612347	0.967499999767542
chr6	6125679	6125712	O00712	NFIB	2	8	6125695	0.9918999999761582
chr2	226301052	226301073	O00712	NFIB	2	8	226301062	0.9918999999374152
chr14	26370365	26370390	O00712	NFIB	2	8	26370377	0.9709999999135732
chr14	26405757	26405793	O00712	NFIB	2	8	26405775	0.9928000000849366
chr6	9177899	9177927	O00712	NFIB	2	8	9177913	0.9842000000581144
chr14	28217934	28217971	O00712	NFIB	2	8	28217952	0.9999000000953674
chr10	79084323	79084352	O00712	NFIB	2	8	79084337	0.99030000012964
chr2	222952385	222952422	O00712	NFIB	2	8	222952403	0.9537199998322874
chr6	9747038	9747099	O00712	NFIB	2	8	9747068	0.9611000000473112
chr6	10195127	10195204	O00712	NFIB	2	8	10195165	0.9615000000804664
chr6	11522998	11523019	O00712	NFIB	2	8	11523008	0.9738999999452382
chr2	222086751	222086787	O00712	NFIB	2	8	222086769	0.9508000000499188
chr2	221741995	221742016	O00712	NFIB	2	8	221742005	0.9802999999850988
chr10	78861586	78861611	O00712	NFIB	2	8	78861598	0.9929000000089409
chr14	30532411	30532435	O00712	NFIB	2	8	30532423	0.9965999999523164
chr2	219706897	219706929	O00712	NFIB	2	8	219706913	0.9853999999299644
chr6	12861788	12861812	O00712	NFIB	2	8	12861800	0.9580999999135732
chr10	78713833	78713861	O00712	NFIB	2	8	78713847	0.9815999998584388
chr10	78700620	78700649	O00712	NFIB	2	8	78700634	1.0
chr2	219424201	219424229	O00712	NFIB	2	8	219424215	0.9559999997198582
chr6	13563041	13563065	O00712	NFIB	2	8	13563053	0.9775999999053776
chr14	32572950	32572983	O00712	NFIB	2	8	32572966	0.9951000000059604
chr14	33565421	33565453	O00712	NFIB	2	8	33565437	0.9993000000536442
chr14	33631705	33631738	O00712	NFIB	2	8	33631721	0.9787000001579524
chr5	155933732	155933772	O00712	NFIB	2	8	155933752	1.0
chr20	9286891	9286919	O00712	NFIB	2	8	9286905	1.0
chr10	103766173	103766194	O00712	NFIB	2	8	103766183	0.9868999999791384
chr20	9224617	9224686	O00712	NFIB	2	8	9224651	0.99299999993816
chr13	54018737	54018761	O00712	NFIB	2	8	54018749	0.9537999998927116
chr13	54423195	54423243	O00712	NFIB	2	8	54423219	0.9883999999266118
chr20	40640863	40640891	O00712	NFIB	2	8	40640877	0.9909999999165536
chr5	118451888	118451912	O00712	NFIB	2	8	118451900	1.0
chr10	122740845	122740877	O00712	NFIB	2	8	122740861	0.9609000000447034
chr20	39966101	39966141	O00712	NFIB	2	8	39966121	0.959699999820441
chr5	121503662	121503683	O00712	NFIB	2	8	121503672	0.9863999999821186
chr5	122286227	122286263	O00712	NFIB	2	8	122286245	0.9729999999590218
chr5	122430252	122430285	O00712	NFIB	2	8	122430268	0.9871000000476836
chr10	122442939	122442968	O00712	NFIB	2	8	122442953	0.9709000000178812
chr20	39328540	39328580	O00712	NFIB	2	8	39328560	0.9945000001102686
chr13	62256366	62256407	O00712	NFIB	2	8	62256386	0.992500000077486
chr13	62537780	62537804	O00712	NFIB	2	8	62537792	0.9726000001117588
chr5	123997270	123997295	O00712	NFIB	2	8	123997282	0.9970999999642371
chr20	38326085	38326121	O00712	NFIB	2	8	38326103	0.9823000001370908
chr13	67224381	67224410	O00712	NFIB	2	8	67224395	1.0
chr5	124115294	124115330	O00712	NFIB	2	8	124115312	0.9957999999642372
chr5	124206728	124206752	O00712	NFIB	2	8	124206740	0.984299999678135
chr5	124668526	124668558	O00712	NFIB	2	8	124668542	0.987799999794364
chr13	69044823	69044844	O00712	NFIB	2	8	69044833	0.9799000001981856
chr5	124948652	124948688	O00712	NFIB	2	8	124948670	0.9548999999292196
chr13	69234797	69234826	O00712	NFIB	2	8	69234811	0.9773000000745058
chr10	118970866	118970899	O00712	NFIB	2	8	118970882	0.9785999998047948
chr5	126138598	126138619	O00712	NFIB	2	8	126138608	0.9835999997995792
chr20	34045522	34045570	O00712	NFIB	2	8	34045546	0.9583999999348074
chr13	73364887	73364919	O00712	NFIB	2	8	73364903	0.9833999999471008
chr13	74210858	74210899	O00712	NFIB	2	8	74210878	0.98130000019148
chr10	118333149	118333173	O00712	NFIB	2	8	118333161	0.976700000038743
chr13	74751954	74751986	O00712	NFIB	2	8	74751970	0.9593000001065431
chr13	53112720	53112749	O00712	NFIB	2	8	53112734	0.9867620000228284
chr20	40697644	40697680	O00712	NFIB	2	8	40697662	0.9924999998837708
chr5	113095952	113095997	O00712	NFIB	2	8	113095974	0.9794999998152256
chr5	105840965	105840989	O00712	NFIB	2	8	105840977	0.986600000244379
chr5	96718998	96719035	O00712	NFIB	2	8	96719016	0.9999000000953674
chr13	43384591	43384623	O00712	NFIB	2	8	43384607	0.9930999999940396
chr10	127979743	127979771	O00712	NFIB	2	8	127979757	0.9774000002138316
chr13	43473676	43473705	O00712	NFIB	2	8	43473690	0.9875999997630716
chr5	102314485	102314546	O00712	NFIB	2	8	102314515	0.9897000001400708
chr5	102601138	102601187	O00712	NFIB	2	8	102601162	0.9844900001570582
chr10	127756453	127756477	O00712	NFIB	2	8	127756465	0.9891000001221896
chr5	102961840	102961885	O00712	NFIB	2	8	102961862	0.9905999998018146
chr13	44810250	44810271	O00712	NFIB	2	8	44810260	0.9933999999582768
chr10	127483878	127483899	O00712	NFIB	2	8	127483888	0.9979999998271464
chr5	105475586	105475610	O00712	NFIB	2	8	105475598	0.9977999999642372
chr13	46120237	46120269	O00712	NFIB	2	8	46120253	0.9818999998893588
chr10	126779351	126779375	O00712	NFIB	2	8	126779363	0.9519000001780688
chr5	107155842	107155871	O00712	NFIB	2	8	107155856	0.9810000000551344
chr10	124056508	124056541	O00712	NFIB	2	8	124056524	0.9880000001907348
chr13	46383485	46383510	O00712	NFIB	2	8	46383497	0.96369999993816
chr10	126209114	126209142	O00712	NFIB	2	8	126209128	0.9961000000834463
chr20	46775350	46775375	O00712	NFIB	2	8	46775362	0.982923999799043
chr13	48127244	48127276	O00712	NFIB	2	8	48127260	0.9516999998569488
chr13	48793531	48793559	O00712	NFIB	2	8	48793545	0.980399999827519
chr20	46368602	46368631	O00712	NFIB	2	8	46368616	0.9871999999389052
chr20	46255629	46255657	O00712	NFIB	2	8	46255643	0.9879999999716876
chr20	44828801	44828826	O00712	NFIB	2	8	44828813	0.98710000012666
chr5	109612469	109612498	O00712	NFIB	2	8	109612483	0.9932000000298024
chr5	110054431	110054455	O00712	NFIB	2	8	110054443	0.9891000000163912
chr5	111197615	111197640	O00712	NFIB	2	8	111197627	0.9837079998418689
chr10	124204895	124204939	O00712	NFIB	2	8	124204917	0.957499999935925
chr5	113043767	113043799	O00712	NFIB	2	8	113043783	0.9598999999314548
chr20	32982877	32982901	O00712	NFIB	2	8	32982889	0.9774000000804662
chr13	75790772	75790808	O00712	NFIB	2	8	75790790	0.9646999999091028
chr13	75879848	75879873	O00712	NFIB	2	8	75879860	0.9846999999400228
chr10	108427346	108427379	O00712	NFIB	2	8	108427362	0.9713999995350838
chr13	98507379	98507411	O00712	NFIB	2	8	98507395	0.9951000001370908
chr20	15446555	15446583	O00712	NFIB	2	8	15446569	0.9924999997735025
chr20	13910675	13910699	O00712	NFIB	2	8	13910687	0.9683999999716878
chr13	102698116	102698149	O00712	NFIB	2	8	102698132	0.969399999974668
chr10	110619673	110619697	O00712	NFIB	2	8	110619685	0.9696999997809528
chr20	13402579	13402612	O00712	NFIB	2	8	13402595	0.966900000012666
chr5	150103844	150103873	O00712	NFIB	2	8	150103858	0.9562999999903142
chr13	102906088	102906137	O00712	NFIB	2	8	102906112	0.9893999999847264
chr20	12066899	12066928	O00712	NFIB	2	8	12066913	0.9597999998897314
chr10	110011876	110011920	O00712	NFIB	2	8	110011898	0.9658000000990928
chr5	151456715	151456739	O00712	NFIB	2	8	151456727	0.9564999999850988
chr13	103676567	103676596	O00712	NFIB	2	8	103676581	0.9982900000751018
chr10	108741142	108741190	O00712	NFIB	2	8	108741166	0.9854000000540168
chr10	108421458	108421487	O00712	NFIB	2	8	108421472	0.994200000077486
chr13	98386891	98386923	O00712	NFIB	2	8	98386907	0.9833000001341105
chr20	10664803	10664828	O00712	NFIB	2	8	10664815	1.0
chr5	151892622	151892663	O00712	NFIB	2	8	151892642	0.9634000001091512
chr20	10322608	10322629	O00712	NFIB	2	8	10322618	0.9826699999392032
chr10	105092223	105092259	O00712	NFIB	2	8	105092241	0.9763600001513958
chr20	10228553	10228582	O00712	NFIB	2	8	10228567	1.0
chr5	152072325	152072365	O00712	NFIB	2	8	152072345	0.9564500000365078
chr20	10170452	10170477	O00712	NFIB	2	8	10170464	0.9936600001066924
chr20	9951970	9952002	O00712	NFIB	2	8	9951986	0.9681120001234114
chr5	153866082	153866119	O00712	NFIB	2	8	153866100	0.9938000001132488
chr13	108313555	108313607	O00712	NFIB	2	8	108313581	0.9836999998822809
chr5	155026119	155026147	O00712	NFIB	2	8	155026133	0.9638999999374152
chr10	103856942	103856987	O00712	NFIB	2	8	103856964	1.0
chr6	37782506	37782551	O00712	NFIB	2	8	37782528	0.9798999997973442
chr10	111110042	111110067	O00712	NFIB	2	8	111110054	0.9986000000953674
chr5	145975716	145975744	O00712	NFIB	2	8	145975730	1.0
chr5	132225562	132225583	O00712	NFIB	2	8	132225572	0.980551999731362
chr13	82216344	82216385	O00712	NFIB	2	8	82216364	0.9990000000596048
chr5	132253613	132253642	O00712	NFIB	2	8	132253627	0.9987000000357628
chr10	116816381	116816414	O00712	NFIB	2	8	116816397	0.9634999998815358
chr5	132301125	132301157	O00712	NFIB	2	8	132301141	0.9684999999880792
chr10	116775087	116775127	O00712	NFIB	2	8	116775107	0.965800000075996
chr20	32798759	32798796	O00712	NFIB	2	8	32798777	0.9869999998390676
chr20	32629198	32629223	O00712	NFIB	2	8	32629210	0.9710999998301268
chr20	32525029	32525053	O00712	NFIB	2	8	32525041	0.9772519997179508
chr13	77449448	77449473	O00712	NFIB	2	8	77449460	0.9788000000089409
chr13	78803096	78803121	O00712	NFIB	2	8	78803108	0.9754999996192754
chr13	79933570	79933591	O00712	NFIB	2	8	79933580	0.9872999998435378
chr13	80716942	80716967	O00712	NFIB	2	8	80716954	0.997499999755621
chr5	136210448	136210473	O00712	NFIB	2	8	136210460	1.0
chr5	136622861	136622882	O00712	NFIB	2	8	136622871	0.988700000064075
chr10	115238352	115238373	O00712	NFIB	2	8	115238362	0.9846999998889864
chr5	145944016	145944041	O00712	NFIB	2	8	145944028	1.0
chr10	114920639	114920692	O00712	NFIB	2	8	114920665	0.9752999998942018
chr5	139383697	139383721	O00712	NFIB	2	8	139383709	0.9813999997124075
chr13	91492156	91492192	O00712	NFIB	2	8	91492174	0.9652000000230968
chr20	21808335	21808368	O00712	NFIB	2	8	21808351	0.9994999998867512
chr13	94914986	94915022	O00712	NFIB	2	8	94915004	0.985700000178814
chr5	142698642	142698675	O00712	NFIB	2	8	142698658	0.9569999996289612
chr5	143355912	143355944	O00712	NFIB	2	8	143355928	0.9717999999128282
chr10	113745559	113745587	O00712	NFIB	2	8	113745573	0.9577400000751018
chr13	96178937	96178961	O00712	NFIB	2	8	96178949	0.9696699999079108
chr13	96404645	96404674	O00712	NFIB	2	8	96404659	0.9753000000163912
chr5	143978073	143978118	O00712	NFIB	2	8	143978095	0.955907999818027
chr13	97191830	97191859	O00712	NFIB	2	8	97191844	0.9785999999973924
chr13	98157791	98157824	O00712	NFIB	2	8	98157807	0.9534999999206512
chr6	37644462	37644491	O00712	NFIB	2	8	37644476	0.9777999998912216
chr2	205270881	205270917	O00712	NFIB	2	8	205270899	0.972800000077486
chr6	38114003	38114028	O00712	NFIB	2	8	38114015	0.9990999999582768
chr6	140923228	140923257	O00712	NFIB	2	8	140923242	0.9902000000044704
chr6	122622735	122622756	O00712	NFIB	2	8	122622745	0.9868000000130384
chr6	124189725	124189777	O00712	NFIB	2	8	124189751	0.9783000000581146
chr2	149019944	149019973	O00712	NFIB	2	8	149019958	0.9786280002497136
chr2	148991167	148991191	O00712	NFIB	2	8	148991179	0.9706000002752988
chr6	126890230	126890270	O00712	NFIB	2	8	126890250	0.980799999795854
chr6	127008619	127008647	O00712	NFIB	2	8	127008633	0.9552999998874964
chr2	148866283	148866304	O00712	NFIB	2	8	148866293	0.9864999996960164
chr2	147911362	147911431	O00712	NFIB	2	8	147911396	0.9648000000298024
chr2	146092144	146092172	O00712	NFIB	2	8	146092158	0.9949999998360872
chr14	75560079	75560103	O00712	NFIB	2	8	75560091	0.9809000000059604
chr6	129304320	129304353	O00712	NFIB	2	8	129304336	0.9843000000424684
chr10	2853087	2853111	O00712	NFIB	2	8	2853099	0.98839999993369
chr6	130674787	130674815	O00712	NFIB	2	8	130674801	0.9956000001460312
chr10	2713027	2713096	O00712	NFIB	2	8	2713061	0.9723999999091028
chr2	144529177	144529221	O00712	NFIB	2	8	144529199	0.975200000104308
chr2	141869760	141869781	O00712	NFIB	2	8	141869770	0.9635759999826552
chr14	75733081	75733110	O00712	NFIB	2	8	75733095	0.9664699999839068
chr6	132286207	132286236	O00712	NFIB	2	8	132286221	1.0
chr2	140401716	140401772	O00712	NFIB	2	8	140401744	0.984899999604374
chr6	133685907	133685940	O00712	NFIB	2	8	133685923	0.9871999999001624
