Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr18	21612417	21612470	P01106	MYC.hg38	126	602	21612443
chr5	154754970	154754997	P01106	MYC.hg38	131	579	154754983
chr5	43120853	43120894	P01106	MYC.hg38	126	575	43120873
chr7	4642087	4642120	P01106	MYC.hg38	131	559	4642103
chr9	92293757	92293796	P01106	MYC.hg38	129	557	92293776
chr2	70086936	70086973	P01106	MYC.hg38	128	554	70086954
chr2	241701520	241701579	P01106	MYC.hg38	122	546	241701549
chr1	92832158	92832197	P01106	MYC.hg38	129	536	92832177
chr2	197499894	197499939	P01106	MYC.hg38	124	536	197499916
chr20	17968670	17968723	P01106	MYC.hg38	129	534	17968696
chr7	44986489	44986532	P01106	MYC.hg38	129	530	44986510
chr4	163494680	163494737	P01106	MYC.hg38	130	524	163494708
chr17	63773831	63773884	P01106	MYC.hg38	133	522	63773857
chr20	38435236	38435271	P01106	MYC.hg38	128	514	38435253
chr2	171999995	172000042	P01106	MYC.hg38	125	509	172000018
chr17	42833312	42833353	P01106	MYC.hg38	127	508	42833332
chr1	244863189	244863238	P01106	MYC.hg38	118	506	244863213
chr1	44775649	44775716	P01106	MYC.hg38	127	505	44775682
chr9	133336360	133336413	P01106	MYC.hg38	122	503	133336386
chr2	38751170	38751237	P01106	MYC.hg38	128	502	38751203
chr3	12841386	12841447	P01106	MYC.hg38	124	491	12841416
chr1	101025986	101026038	P01106	MYC.hg38	126	490	101026012
chr3	52686026	52686086	P01106	MYC.hg38	131	480	52686056
chr7	45111667	45111710	P01106	MYC.hg38	123	477	45111688
chr8	100722590	100722627	P01106	MYC.hg38	118	477	100722608
chr12	54280989	54281052	P01106	MYC.hg38	121	475	54281020
chr19	5790817	5790881	P01106	MYC.hg38	121	475	5790849
chr17	51153570	51153621	P01106	MYC.hg38	126	474	51153595
chr3	184314739	184314814	P01106	MYC.hg38	116	473	184314776
chr7	6009426	6009459	P01106	MYC.hg38	130	468	6009442
chr19	10106370	10106409	P01106	MYC.hg38	123	467	10106389
chr12	112409418	112409467	P01106	MYC.hg38	120	467	112409442
chr19	55655413	55655476	P01106	MYC.hg38	123	467	55655444
chr12	69585592	69585629	P01106	MYC.hg38	122	466	69585610
chr9	89318386	89318409	P01106	MYC.hg38	130	466	89318397
