Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr15	40953174	40953275	Q12830	BPTF	2	8	40953224	0.9695999998897314
chr12	130916310	130916351	Q12830	BPTF	2	7	130916330	0.9680999998122454
chr16	87853681	87853722	Q12830	BPTF	2	7	87853701	0.9540999998316168
chr5	145681826	145681903	Q12830	BPTF	2	7	145681864	0.99160000000149
chr6	45445991	45446032	Q12830	BPTF	2	6	45446011	0.983700000250712
chr1	207316748	207316789	Q12830	BPTF	2	6	207316768	0.968800000178814
chr10	99430774	99430894	Q12830	BPTF	2	6	99430834	0.9653999999824912
chr8	123662211	123662252	Q12830	BPTF	2	5	123662231	0.98449999974519
chr10	38579015	38579040	Q12830	BPTF	2	5	38579027	0.9790999995678664
chr3	169998868	169998909	Q12830	BPTF	2	5	169998888	0.9523000001989304
chr3	150268861	150268902	Q12830	BPTF	1	4	150268881	0.989300000205636
chr4	138242373	138242466	Q12830	BPTF	2	4	138242419	0.9744000001475216
chr17	40910723	40910764	Q12830	BPTF	1	4	40910743	0.9545999998684972
chr5	53560556	53560597	Q12830	BPTF	2	4	53560576	0.973999999858439
chr3	191391466	191391514	Q12830	BPTF	2	4	191391490	0.9929240001171828
chr17	35717223	35717264	Q12830	BPTF	1	4	35717243	0.9712899999607354
chr20	44728962	44729003	Q12830	BPTF	1	4	44728982	0.9641999997567384
chr5	102476054	102476095	Q12830	BPTF	1	4	102476074	0.9940999999642371
chr14	30450837	30450878	Q12830	BPTF	1	4	30450857	0.9776999999687076
chr7	16990105	16990177	Q12830	BPTF	2	4	16990141	0.9669999999076128
chr7	157152645	157152686	Q12830	BPTF	1	4	157152665	0.9723999998778105
chr17	79993597	79993638	Q12830	BPTF	1	4	79993617	0.9505959999460728
chr17	31072377	31072414	Q12830	BPTF	2	4	31072395	0.9533680001106112
chr20	51222093	51222194	Q12830	BPTF	2	4	51222143	0.9780000001847744
chr3	175245829	175245893	Q12830	BPTF	2	4	175245861	0.981657999664545
chr3	178443331	178443424	Q12830	BPTF	2	4	178443377	0.9850999998360872
chr1	201154559	201154600	Q12830	BPTF	2	4	201154579	1.0
chr15	55196975	55197008	Q12830	BPTF	2	4	55196991	0.9748000000879168
chr8	66173091	66173200	Q12830	BPTF	2	4	66173145	0.9973999998390676
chr1	214216846	214216887	Q12830	BPTF	1	4	214216866	0.9884000000998376
chr3	175893757	175893877	Q12830	BPTF	2	4	175893817	0.9717999999560416
chr5	82641461	82641497	Q12830	BPTF	2	4	82641479	0.9739999998673796
chr6	53465891	53465932	Q12830	BPTF	1	4	53465911	0.95969999990277
chr1	212608702	212608818	Q12830	BPTF	2	4	212608760	1.0
chr7	31165018	31165059	Q12830	BPTF	1	4	31165038	0.9903999999418854
chr7	30551367	30551408	Q12830	BPTF	1	4	30551387	0.9744000000670552
chr1	212486492	212486533	Q12830	BPTF	1	4	212486512	0.9648999999035148
chr12	25386296	25386389	Q12830	BPTF	2	4	25386342	0.9688339996829628
chr10	35495638	35495679	Q12830	BPTF	1	4	35495658	0.9721000000223518
chr10	91020852	91020908	Q12830	BPTF	2	4	91020880	0.9611899998374284
chr16	85720419	85720460	Q12830	BPTF	1	4	85720439	0.975900000122562
chr16	85472070	85472111	Q12830	BPTF	1	4	85472090	0.9895839997004716
chr11	114179467	114179508	Q12830	BPTF	1	4	114179487	0.9934999996960164
chr3	170125159	170125215	Q12830	BPTF	2	4	170125187	0.9563999996729196
chr7	54967632	54967673	Q12830	BPTF	1	4	54967652	0.9574599998638034
chr7	99408846	99408887	Q12830	BPTF	1	4	99408866	0.954499999961257
chr2	11483232	11483273	Q12830	BPTF	1	4	11483252	0.9799000003617256
chr3	186785802	186785898	Q12830	BPTF	2	4	186785850	0.9718000003576278
chr3	185823137	185823226	Q12830	BPTF	2	4	185823181	0.9961000000894068
chr2	76256916	76256957	Q12830	BPTF	1	4	76256936	0.9996999999880792
chr10	93435256	93435312	Q12830	BPTF	2	4	93435284	0.967299999698624
chr8	101438599	101438640	Q12830	BPTF	1	4	101438619	0.963999999858439
chr4	74123209	74123250	Q12830	BPTF	1	3	74123229	0.9756000000014902
chr3	170355654	170355747	Q12830	BPTF	2	3	170355700	0.9758000000208616
chr1	214506408	214506449	Q12830	BPTF	1	3	214506428	0.9613999997884036
chr11	131068396	131068437	Q12830	BPTF	1	3	131068416	1.0
chr1	214419593	214419686	Q12830	BPTF	2	3	214419639	0.9798259999543428
chr14	21946929	21946970	Q12830	BPTF	1	3	21946949	0.999399999976158
chr8	114797882	114797975	Q12830	BPTF	1	3	114797928	0.9709999998517336
chr1	226518659	226518700	Q12830	BPTF	1	3	226518679	0.9502999997437
chr2	177263466	177263559	Q12830	BPTF	2	3	177263512	0.961700000070408
chr3	170233636	170233677	Q12830	BPTF	1	3	170233656	0.9506999998547137
chr1	222634696	222634737	Q12830	BPTF	1	3	222634716	0.9837000002272428
chr4	159598304	159598345	Q12830	BPTF	1	3	159598324	0.9526999999850988
chr8	115565014	115565107	Q12830	BPTF	2	3	115565060	0.9984999999523164
chr3	164465181	164465234	Q12830	BPTF	2	3	164465207	0.9762999997809528
