Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr19	42397003	42397130	Q9BRP0	OVOL2	1	4	42397066	0.9594999999314546
chr10	128464474	128464601	Q9BRP0	OVOL2	1	4	128464537	0.9898000000119208
chr9	113275705	113275832	Q9BRP0	OVOL2	1	4	113275768	0.9685999999076128
chr1	43991664	43991791	Q9BRP0	OVOL2	1	4	43991727	0.9746000001266598
chr1	6490475	6490602	Q9BRP0	OVOL2	1	4	6490538	0.9753000002305956
chr2	232550583	232550710	Q9BRP0	OVOL2	1	4	232550646	0.9675999999284745
chr10	127873079	127873206	Q9BRP0	OVOL2	1	4	127873142	0.9980000000715256
chr2	65432769	65432896	Q9BRP0	OVOL2	1	4	65432832	0.9780000000670552
chr5	93581471	93581598	Q9BRP0	OVOL2	1	4	93581534	0.9949999999701976
chr9	6412942	6413069	Q9BRP0	OVOL2	1	4	6413005	0.9543000001460312
chr15	69557562	69557689	Q9BRP0	OVOL2	1	4	69557625	0.9996999999880792
chr3	14651512	14651639	Q9BRP0	OVOL2	1	4	14651575	0.9743000000879168
chr3	119323051	119323178	Q9BRP0	OVOL2	1	4	119323114	0.9582999996665864
chr11	33061473	33061600	Q9BRP0	OVOL2	1	4	33061536	0.9732999997623264
chr17	58391495	58391622	Q9BRP0	OVOL2	1	4	58391558	0.9585999999046324
chr7	135977297	135977424	Q9BRP0	OVOL2	1	4	135977360	0.9891999999955297
chr5	60700027	60700154	Q9BRP0	OVOL2	1	4	60700090	0.9706000000484288
chr5	178585623	178585750	Q9BRP0	OVOL2	1	4	178585686	0.9625000000789762
chr22	31212200	31212327	Q9BRP0	OVOL2	1	4	31212263	0.9719600000541656
chr1	45303963	45304090	Q9BRP0	OVOL2	1	4	45304026	0.9683240002088248
chr5	75717162	75717289	Q9BRP0	OVOL2	1	4	75717225	0.9603999999910592
chr8	144509062	144509189	Q9BRP0	OVOL2	1	4	144509125	0.98939999999851
chr14	91836530	91836657	Q9BRP0	OVOL2	1	4	91836593	0.9887999999813736
chr12	27523958	27524085	Q9BRP0	OVOL2	1	4	27524021	0.9684999999571592
chr2	219543949	219544076	Q9BRP0	OVOL2	1	4	219544012	0.9919999998167156
chr9	92293678	92293805	Q9BRP0	OVOL2	1	4	92293741	0.9862999999925496
chr20	35039283	35039388	Q9BRP0	OVOL2	2	4	35039335	0.9561639998562634
chr1	207053243	207053370	Q9BRP0	OVOL2	1	4	207053306	0.955799999884516
chr11	65497429	65497556	Q9BRP0	OVOL2	1	4	65497492	0.9670000000528992
chr9	95207215	95207248	Q9BRP0	OVOL2	2	4	95207231	0.9810999998822808
chr9	92765433	92765560	Q9BRP0	OVOL2	1	4	92765496	0.9849000001907348
chr7	124929812	124929939	Q9BRP0	OVOL2	1	4	124929875	0.9808999999262392
chr3	71542858	71542963	Q9BRP0	OVOL2	1	3	71542910	0.9836000000044705
chr10	68136177	68136282	Q9BRP0	OVOL2	1	3	68136229	0.969690000283718
chr4	155955131	155955236	Q9BRP0	OVOL2	1	3	155955183	0.976800000026822
chr2	27050969	27051074	Q9BRP0	OVOL2	1	3	27051021	0.9627999996896832
chr10	68988870	68988975	Q9BRP0	OVOL2	1	3	68988922	0.980000000013411
chr3	71152924	71153029	Q9BRP0	OVOL2	1	3	71152976	0.9892039999589324
chr2	25362248	25362353	Q9BRP0	OVOL2	1	3	25362300	0.9526400000736116
chr6	37172322	37172427	Q9BRP0	OVOL2	1	3	37172374	0.9820000000048428
chr16	14071064	14071169	Q9BRP0	OVOL2	1	3	14071116	0.9580999998882412
chr2	28751400	28751505	Q9BRP0	OVOL2	1	3	28751452	0.9889000000163912
chr2	27663892	27663997	Q9BRP0	OVOL2	1	3	27663944	0.9675999997936188
chr2	27771611	27771716	Q9BRP0	OVOL2	1	3	27771663	0.952900000133738
chr12	109097872	109097977	Q9BRP0	OVOL2	1	3	109097924	0.959799999973178
chr8	11802605	11802710	Q9BRP0	OVOL2	1	3	11802657	0.9658000002250076
chr10	63628814	63628919	Q9BRP0	OVOL2	1	3	63628866	0.9859000000029804
chr2	30146643	30146748	Q9BRP0	OVOL2	1	3	30146695	0.9518000001683832
chr12	108561222	108561327	Q9BRP0	OVOL2	1	3	108561274	0.9730999998286366
chr10	69458561	69458666	Q9BRP0	OVOL2	1	3	69458613	0.9611500000558794
chr16	11797649	11797754	Q9BRP0	OVOL2	1	3	11797701	0.9576000000357628
chr12	109093430	109093535	Q9BRP0	OVOL2	1	3	109093482	0.965700000308454
chr2	27930302	27930407	Q9BRP0	OVOL2	1	3	27930354	0.981000000328198
chr8	2000939	2001044	Q9BRP0	OVOL2	1	3	2000991	0.9913000000983476
chr12	107093804	107093909	Q9BRP0	OVOL2	1	3	107093856	0.9674999996244908
chr2	24971988	24972093	Q9BRP0	OVOL2	1	3	24972040	0.9650000001657756
chr12	102885131	102885220	Q9BRP0	OVOL2	2	3	102885175	0.990599999961257
chr16	23557305	23557410	Q9BRP0	OVOL2	1	3	23557357	0.962699999795109
chr6	44074748	44074853	Q9BRP0	OVOL2	1	3	44074800	0.9953999999955296
chr6	44072673	44072778	Q9BRP0	OVOL2	1	3	44072725	0.9950000000730156
chr12	103859203	103859308	Q9BRP0	OVOL2	1	3	103859255	0.9849999999672174
chr4	150378201	150378306	Q9BRP0	OVOL2	1	3	150378253	0.957299999833107
chr2	19538673	19538778	Q9BRP0	OVOL2	1	3	19538725	0.9870999999329448
chr2	19700575	19700680	Q9BRP0	OVOL2	2	3	19700627	0.9984000000178814
chr16	21599382	21599487	Q9BRP0	OVOL2	1	3	21599434	0.9593000000860542
chr12	104220088	104220193	Q9BRP0	OVOL2	1	3	104220140	0.9534439996145666
chr6	43770504	43770609	Q9BRP0	OVOL2	1	3	43770556	0.9977999999880792
chr2	20225466	20225571	Q9BRP0	OVOL2	1	3	20225518	0.989830000013113
chr10	75409343	75409448	Q9BRP0	OVOL2	1	3	75409395	0.997299999898672
chr2	20351157	20351262	Q9BRP0	OVOL2	1	3	20351209	0.9658000002324582
chr3	76702400	76702505	Q9BRP0	OVOL2	2	3	76702452	0.9766000000108034
chr8	688053	688158	Q9BRP0	OVOL2	1	3	688105	0.9677000000301748
chr6	43516942	43517047	Q9BRP0	OVOL2	1	3	43516994	0.960600000207126
chr4	151325645	151325750	Q9BRP0	OVOL2	1	3	151325697	0.9552999998673796
chr6	43278088	43278193	Q9BRP0	OVOL2	1	3	43278140	0.9889999999031424
chr16	10944559	10944664	Q9BRP0	OVOL2	1	3	10944611	0.9510999998927115
chr10	71377345	71377450	Q9BRP0	OVOL2	1	3	71377397	0.9961999999374151
chr10	71319426	71319531	Q9BRP0	OVOL2	1	3	71319478	0.990699999910593
chr6	42316563	42316668	Q9BRP0	OVOL2	1	3	42316615	0.956420000039786
chr16	19718093	19718198	Q9BRP0	OVOL2	1	3	19718145	0.959899999795109
chr6	41780186	41780291	Q9BRP0	OVOL2	1	3	41780238	0.9636999999631196
chr12	111405579	111405684	Q9BRP0	OVOL2	1	3	111405631	0.9615999998643996
chr2	36568018	36568123	Q9BRP0	OVOL2	1	3	36568070	0.9734999999381602
chr2	32946573	32946678	Q9BRP0	OVOL2	1	3	32946625	0.9738999998383224
chr12	121801079	121801184	Q9BRP0	OVOL2	1	3	121801131	0.9865999998241664
chr8	23246622	23246749	Q9BRP0	OVOL2	1	3	23246685	0.9780999999418856
chr8	23288078	23288183	Q9BRP0	OVOL2	1	3	23288130	0.9746999997526408
chr6	32968669	32968774	Q9BRP0	OVOL2	1	3	32968721	0.9746999999970196
chr12	122225929	122226034	Q9BRP0	OVOL2	1	3	122225981	0.9656999999973924
chr12	122863131	122863236	Q9BRP0	OVOL2	1	3	122863183	0.9658000000461936
chr16	5071872	5071977	Q9BRP0	OVOL2	1	3	5071924	0.9638919998034836
chr12	122895895	122896000	Q9BRP0	OVOL2	1	3	122895947	0.958699999846518
chr2	43005560	43005687	Q9BRP0	OVOL2	1	3	43005623	0.9816999999523164
chr3	58696210	58696315	Q9BRP0	OVOL2	1	3	58696262	0.9775000004738568
chr2	43041996	43042101	Q9BRP0	OVOL2	1	3	43042048	0.96190000006482
chr3	58668454	58668559	Q9BRP0	OVOL2	1	3	58668506	0.9778999999355524
chr6	32838779	32838884	Q9BRP0	OVOL2	1	3	32838831	0.9841999998256564
chr8	26513858	26513963	Q9BRP0	OVOL2	1	3	26513910	0.9919999998033048
chr6	32154672	32154777	Q9BRP0	OVOL2	1	3	32154724	0.9681999996323138
chr6	31959145	31959250	Q9BRP0	OVOL2	1	3	31959197	0.9722000000461936
chr16	3646322	3646427	Q9BRP0	OVOL2	1	3	3646374	0.9674000001862644
