Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr9	15422626	15422654	Q01196	RUNX1	72	250	15422640	0.956299999885261
chr6	43725283	43725326	Q01196	RUNX1	69	248	43725304	0.9735500000342728
chr7	10940458	10940541	Q01196	RUNX1	65	244	10940499	0.9730000000849366
chr9	15511139	15511180	Q01196	RUNX1	73	244	15511159	0.9719999995194376
chr15	59657480	59657517	Q01196	RUNX1	72	242	59657498	0.9785999999631196
chr18	3247734	3247781	Q01196	RUNX1	74	242	3247757	0.9670999998047948
chr11	69297465	69297518	Q01196	RUNX1	67	238	69297491	0.9963999999046326
chr1	163321818	163321847	Q01196	RUNX1	72	234	163321832	0.9963999998569488
chr4	77076236	77076293	Q01196	RUNX1	70	234	77076264	0.9923999999582768
chr1	234373505	234373553	Q01196	RUNX1	70	230	234373529	0.9688000000700354
chr3	9363047	9363078	Q01196	RUNX1	70	230	9363062	0.9543300002008676
chr1	207321538	207321565	Q01196	RUNX1	71	228	207321551	0.9676000001147388
chr14	22556507	22556550	Q01196	RUNX1	62	228	22556528	0.9695999999910592
chr19	44753475	44753507	Q01196	RUNX1	72	227	44753491	0.971699999788776
chr15	64163254	64163341	Q01196	RUNX1	65	226	64163297	0.9603999997794628
chr1	186375604	186375660	Q01196	RUNX1	68	223	186375632	0.964699999985844
chr19	35757961	35758010	Q01196	RUNX1	68	222	35757985	0.9660999999471008
chr1	165393186	165393209	Q01196	RUNX1	65	221	165393197	0.9851999997243284
chr1	30756731	30756789	Q01196	RUNX1	60	220	30756760	0.9950000000685454
chr4	2413192	2413229	Q01196	RUNX1	62	219	2413210	0.9756999998949468
chr8	144508808	144508883	Q01196	RUNX1	65	219	144508845	0.98939999999851
chr1	35268711	35268754	Q01196	RUNX1	67	218	35268732	0.9559000000834466
chr7	92133842	92133877	Q01196	RUNX1	70	218	92133859	0.9566999996602537
chr1	203626646	203626700	Q01196	RUNX1	60	218	203626673	0.9568999997533858
chr19	15418953	15419022	Q01196	RUNX1	62	218	15418987	0.956199999988824
chr2	86440843	86440914	Q01196	RUNX1	67	217	86440878	0.9981000002563
chr6	142147126	142147173	Q01196	RUNX1	63	217	142147149	0.9755000001247972
chr8	89984399	89984506	Q01196	RUNX1	59	217	89984452	0.9980000001132489
chr7	105012685	105012718	Q01196	RUNX1	69	216	105012701	0.984600000064075
chr2	96537224	96537267	Q01196	RUNX1	62	215	96537245	0.9789000000271946
