Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr11	18322219	18322244	Q9NZC4	EHF	5	16	18322231	0.9765999999359252
chr16	80540909	80540972	Q9NZC4	EHF	5	16	80540940	0.991022000093758
chr10	35635661	35635684	Q9NZC4	EHF	5	15	35635672	0.9892999996438624
chr11	65888467	65888516	Q9NZC4	EHF	5	15	65888491	0.9681999999742956
chr6	133953050	133953111	Q9NZC4	EHF	5	15	133953080	0.9964999998033048
chr1	203626683	203626714	Q9NZC4	EHF	5	15	203626698	0.9568999997533858
chr22	24402659	24402730	Q9NZC4	EHF	5	15	24402694	0.9805999999135732
chr6	136250294	136250321	Q9NZC4	EHF	5	15	136250307	0.971600000122562
chr13	97568085	97568166	Q9NZC4	EHF	5	14	97568125	0.9598999999344348
chr7	142104948	142105016	Q9NZC4	EHF	5	14	142104982	0.974500000023842
chr2	203811700	203811751	Q9NZC4	EHF	5	14	203811725	0.9879999999761582
chr3	42652891	42652924	Q9NZC4	EHF	5	14	42652907	0.991999999897182
chr12	107349349	107349384	Q9NZC4	EHF	4	14	107349366	0.9805999997895212
chr5	94111688	94111743	Q9NZC4	EHF	5	14	94111715	0.9800999996498228
chr1	156601466	156601503	Q9NZC4	EHF	5	14	156601484	0.9679999999668448
chr5	140700229	140700297	Q9NZC4	EHF	5	13	140700263	0.9764999999448656
chr4	139666815	139666854	Q9NZC4	EHF	5	13	139666834	0.9659200003772974
chr2	28894563	28894626	Q9NZC4	EHF	4	13	28894594	0.9750999999262392
chr6	11632382	11632427	Q9NZC4	EHF	4	13	11632404	0.9829999999672174
chr7	18667635	18667682	Q9NZC4	EHF	5	13	18667658	1.0
chr7	131007657	131007710	Q9NZC4	EHF	5	13	131007683	0.9503000001654028
chr4	173168206	173168233	Q9NZC4	EHF	5	13	173168219	0.9876999997898936
chr1	160607231	160607266	Q9NZC4	EHF	5	13	160607248	0.974294000107795
chr12	14554596	14554617	Q9NZC4	EHF	5	13	14554606	0.9632999998658895
chr5	131382567	131382620	Q9NZC4	EHF	5	13	131382593	0.972099999755621
chr9	110752929	110752962	Q9NZC4	EHF	4	13	110752945	0.993300000101328
chr16	77191163	77191195	Q9NZC4	EHF	4	13	77191179	0.9793999998420476
