Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr13	97433158	97433256	P48382	RFX5.hg38	7	29	97433207
chr1	28247249	28247287	P48382	RFX5.hg38	7	28	28247268
chr6	32971951	32972014	P48382	RFX5.hg38	7	28	32971982
chr19	40222082	40222143	P48382	RFX5.hg38	7	28	40222112
chr9	89311002	89311067	P48382	RFX5.hg38	7	28	89311034
chr6	116279997	116280062	P48382	RFX5.hg38	7	27	116280029
chr1	151347312	151347377	P48382	RFX5.hg38	7	27	151347344
chr11	83156873	83156916	P48382	RFX5.hg38	7	26	83156894
chr1	43649983	43650032	P48382	RFX5.hg38	7	26	43650007
chr6	32953186	32953221	P48382	RFX5.hg38	7	26	32953203
chr22	41448574	41448623	P48382	RFX5.hg38	7	26	41448598
chr2	182642502	182642539	P48382	RFX5.hg38	7	26	182642520
chr19	55503903	55503946	P48382	RFX5.hg38	7	26	55503924
chr19	19385758	19385807	P48382	RFX5.hg38	7	26	19385782
chr12	6764395	6764441	P48382	RFX5.hg38	7	26	6764418
chr17	61570394	61570446	P48382	RFX5.hg38	7	25	61570420
chr11	95254433	95254472	P48382	RFX5.hg38	7	25	95254452
chr11	47214385	47214420	P48382	RFX5.hg38	7	25	47214402
chr7	23181971	23182035	P48382	RFX5.hg38	7	25	23182003
chr15	77836551	77836596	P48382	RFX5.hg38	7	25	77836573
chr11	65487675	65487770	P48382	RFX5.hg38	7	25	65487722
chr6	32668492	32668525	P48382	RFX5.hg38	7	25	32668508
chr12	66234226	66234265	P48382	RFX5.hg38	7	25	66234245
chr16	15908236	15908297	P48382	RFX5.hg38	7	25	15908266
chr19	48574851	48574887	P48382	RFX5.hg38	7	25	48574869
chr2	217434248	217434275	P48382	RFX5.hg38	7	24	217434261
chr6	32941079	32941126	P48382	RFX5.hg38	7	24	32941102
chr3	120417438	120417527	P48382	RFX5.hg38	7	24	120417482
chr17	9817287	9817324	P48382	RFX5.hg38	7	24	9817305
chr2	9631247	9631278	P48382	RFX5.hg38	7	24	9631262
chr6	33112331	33112380	P48382	RFX5.hg38	7	24	33112355
chr6	33075867	33075896	P48382	RFX5.hg38	7	24	33075881
chr2	31980888	31980915	P48382	RFX5.hg38	7	24	31980901
chr11	72080788	72080827	P48382	RFX5.hg38	7	24	72080807
chr19	40750761	40750809	P48382	RFX5.hg38	7	24	40750785
chr6	31357253	31357308	P48382	RFX5.hg38	7	24	31357280
chr2	219642570	219642615	P48382	RFX5.hg38	7	24	219642592
chr9	33001649	33001674	P48382	RFX5.hg38	7	24	33001661
chr6	31463071	31463105	P48382	RFX5.hg38	7	24	31463088
chr11	10314865	10314890	P48382	RFX5.hg38	7	24	10314877
chr6	32473647	32473738	P48382	RFX5.hg38	7	24	32473692
