Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr12	97568809	97568890	Q14541	HNF4G.hg38	5	20	97568849
chr2	179574388	179574437	Q14541	HNF4G.hg38	5	18	179574412
chr5	96338787	96338860	Q14541	HNF4G.hg38	5	18	96338823
chr5	30605846	30605877	Q14541	HNF4G.hg38	5	18	30605861
chr21	36481765	36481802	Q14541	HNF4G.hg38	5	18	36481783
chr3	47443870	47443907	Q14541	HNF4G.hg38	6	17	47443888
chr5	150543101	150543185	Q14541	HNF4G.hg38	5	16	150543143
chr14	39024231	39024304	Q14541	HNF4G.hg38	6	16	39024267
chr21	15140676	15140721	Q14541	HNF4G.hg38	4	16	15140698
chr21	17523139	17523204	Q14541	HNF4G.hg38	5	16	17523171
chr16	87379438	87379489	Q14541	HNF4G.hg38	5	16	87379463
chr3	102671238	102671263	Q14541	HNF4G.hg38	5	16	102671250
chr3	157120692	157120721	Q14541	HNF4G.hg38	5	15	157120706
chr14	95339688	95339743	Q14541	HNF4G.hg38	5	15	95339715
chr2	233745592	233745662	Q14541	HNF4G.hg38	4	15	233745627
chr5	73678574	73678623	Q14541	HNF4G.hg38	6	15	73678598
chr6	145267272	145267355	Q14541	HNF4G.hg38	5	15	145267313
chr2	186533913	186533962	Q14541	HNF4G.hg38	5	15	186533937
chr10	73586836	73586875	Q14541	HNF4G.hg38	5	15	73586855
chr20	21564537	21564564	Q14541	HNF4G.hg38	5	15	21564550
chr14	49642002	49642045	Q14541	HNF4G.hg38	5	15	49642023
chr2	70514874	70514949	Q14541	HNF4G.hg38	5	15	70514911
chr12	80926109	80926128	Q14541	HNF4G.hg38	5	15	80926118
chr21	45525460	45525528	Q14541	HNF4G.hg38	5	14	45525494
chr6	51737735	51737806	Q14541	HNF4G.hg38	5	14	51737770
chr12	15629288	15629335	Q14541	HNF4G.hg38	5	14	15629311
chr7	12712442	12712473	Q14541	HNF4G.hg38	5	14	12712457
chr4	41077835	41077886	Q14541	HNF4G.hg38	5	14	41077860
chr3	119795993	119796050	Q14541	HNF4G.hg38	4	14	119796021
chr12	19913166	19913239	Q14541	HNF4G.hg38	5	14	19913202
chr6	142846029	142846070	Q14541	HNF4G.hg38	5	14	142846049
chr21	16080100	16080143	Q14541	HNF4G.hg38	5	14	16080121
chr11	111308337	111308378	Q14541	HNF4G.hg38	5	14	111308357
chr15	89121564	89121643	Q14541	HNF4G.hg38	5	14	89121603
chr9	90458654	90458691	Q14541	HNF4G.hg38	5	14	90458672
chr3	120682283	120682330	Q14541	HNF4G.hg38	5	14	120682306
chr16	22680861	22680908	Q14541	HNF4G.hg38	5	14	22680884
chr15	45387527	45387624	Q14541	HNF4G.hg38	4	14	45387575
chr5	15009606	15009629	Q14541	HNF4G.hg38	5	14	15009617
chr7	73612910	73612975	Q14541	HNF4G.hg38	5	14	73612942
chr2	112939616	112939678	Q14541	HNF4G.hg38	4	13	112939647
chr10	104288562	104288621	Q14541	HNF4G.hg38	4	13	104288591
chr8	9102767	9102826	Q14541	HNF4G.hg38	6	13	9102796
chr10	3810318	3810377	Q14541	HNF4G.hg38	5	13	3810347
chr8	141228634	141228688	Q14541	HNF4G.hg38	4	13	141228661
chr17	57938178	57938197	Q14541	HNF4G.hg38	4	13	57938187
chr11	77459489	77459554	Q14541	HNF4G.hg38	5	13	77459521
chr10	133378581	133378623	Q14541	HNF4G.hg38	5	13	133378602
chr1	148424290	148424331	Q14541	HNF4G.hg38	5	13	148424310
chr11	68298300	68298350	Q14541	HNF4G.hg38	4	13	68298325
chr21	39385775	39385804	Q14541	HNF4G.hg38	4	13	39385789
chr12	22044102	22044170	Q14541	HNF4G.hg38	4	13	22044136
chr7	130114017	130114089	Q14541	HNF4G.hg38	5	13	130114053
chr1	36269485	36269542	Q14541	HNF4G.hg38	5	13	36269513
chr19	44694935	44694970	Q14541	HNF4G.hg38	5	13	44694952
chr10	75733458	75733491	Q14541	HNF4G.hg38	5	13	75733474
chr14	39266584	39266631	Q14541	HNF4G.hg38	5	13	39266607
chr1	12528522	12528565	Q14541	HNF4G.hg38	5	13	12528543
chr17	61336182	61336231	Q14541	HNF4G.hg38	4	13	61336206
chr1	78222395	78222443	Q14541	HNF4G.hg38	4	13	78222419
chr14	24308004	24308036	Q14541	HNF4G.hg38	4	13	24308020
chr9	137301037	137301060	Q14541	HNF4G.hg38	4	13	137301048
chr19	40523422	40523450	Q14541	HNF4G.hg38	4	13	40523436
chr18	74282706	74282759	Q14541	HNF4G.hg38	5	13	74282732
chr9	109304530	109304593	Q14541	HNF4G.hg38	5	13	109304561
chr4	73275492	73275531	Q14541	HNF4G.hg38	5	13	73275511
chr6	3913690	3913756	Q14541	HNF4G.hg38	5	13	3913723
chr12	89632946	89633005	Q14541	HNF4G.hg38	5	13	89632975
chr4	154660222	154660343	Q14541	HNF4G.hg38	4	13	154660282
chr12	117803197	117803252	Q14541	HNF4G.hg38	5	13	117803224
chr5	74581191	74581260	Q14541	HNF4G.hg38	5	13	74581225
chr3	85007400	85007426	Q14541	HNF4G.hg38	4	13	85007413
chr6	167676242	167676291	Q14541	HNF4G.hg38	4	13	167676266
chr17	75309178	75309202	Q14541	HNF4G.hg38	4	12	75309190
chr7	130899914	130899946	Q14541	HNF4G.hg38	5	12	130899930
chr3	170331343	170331398	Q14541	HNF4G.hg38	4	12	170331370
chr17	38585407	38585440	Q14541	HNF4G.hg38	4	12	38585423
chr3	186612858	186612900	Q14541	HNF4G.hg38	4	12	186612879
chr1	8259216	8259329	Q14541	HNF4G.hg38	5	12	8259272
chr1	19436900	19436928	Q14541	HNF4G.hg38	4	12	19436914
chr21	43274618	43274647	Q14541	HNF4G.hg38	4	12	43274632
chr17	17406433	17406462	Q14541	HNF4G.hg38	5	12	17406447
chr5	154834249	154834282	Q14541	HNF4G.hg38	4	12	154834265
chr12	117519009	117519066	Q14541	HNF4G.hg38	5	12	117519037
chr1	86793174	86793233	Q14541	HNF4G.hg38	4	12	86793203
chr12	12403990	12404081	Q14541	HNF4G.hg38	4	12	12404035
chr19	2576289	2576348	Q14541	HNF4G.hg38	4	12	2576318
chr8	57808814	57808897	Q14541	HNF4G.hg38	4	12	57808855
chr9	4584828	4584905	Q14541	HNF4G.hg38	4	12	4584866
chr20	13424051	13424093	Q14541	HNF4G.hg38	4	12	13424072
chr1	226127947	226127984	Q14541	HNF4G.hg38	5	12	226127965
