Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr5	135456371	135456432	P11161	EGR2	3	12	135456401	0.9844000000193716
chr1	245464494	245464589	P11161	EGR2	3	12	245464541	0.9506999998398126
chr10	128066965	128066992	P11161	EGR2	3	12	128066978	0.989100000013411
chr1	30907661	30907720	P11161	EGR2	3	11	30907690	0.9856000001177192
chr2	676730	676785	P11161	EGR2	3	11	676757	0.9741499998800456
chr5	73312873	73312984	P11161	EGR2	2	11	73312928	0.9983999999940396
chr10	132332038	132332087	P11161	EGR2	3	11	132332062	0.9644999998796732
chr2	46877646	46877739	P11161	EGR2	3	11	46877692	0.9562999999120833
chr2	218396202	218396233	P11161	EGR2	3	11	218396217	0.972899999770522
chr2	119158906	119159001	P11161	EGR2	2	10	119158953	0.9882999998539688
chr5	178547477	178547524	P11161	EGR2	3	10	178547500	0.9643999998934568
chr19	1017395	1017473	P11161	EGR2	2	10	1017434	0.9781000003427268
chr19	49415256	49415347	P11161	EGR2	2	10	49415301	0.957999999792874
chr20	25321465	25321500	P11161	EGR2	4	10	25321482	0.9705000000625847
chr1	215567181	215567248	P11161	EGR2	3	10	215567214	0.9571599998187272
chr16	87173432	87173483	P11161	EGR2	2	10	87173457	0.9579140002366155
chr20	47258853	47258923	P11161	EGR2	2	10	47258888	0.9531000001143664
chr4	8199220	8199263	P11161	EGR2	3	10	8199241	1.0
chr9	114587731	114587762	P11161	EGR2	3	10	114587746	0.961196000079438
chr11	59769924	59769966	P11161	EGR2	2	10	59769945	0.984800000205636
chr19	16368441	16368552	P11161	EGR2	2	10	16368496	1.0
chr1	232793112	232793150	P11161	EGR2	2	10	232793131	0.982000000335276
chr9	114349082	114349158	P11161	EGR2	3	10	114349120	0.9556999997984618
chr20	47768578	47768658	P11161	EGR2	3	10	47768618	0.957299999845773
chr1	111592985	111593107	P11161	EGR2	3	10	111593046	0.9969999998867513
chr10	119682166	119682227	P11161	EGR2	3	10	119682196	0.9603999998413026
chr8	140551680	140551763	P11161	EGR2	2	10	140551721	0.9588999999810012
chr8	141626249	141626339	P11161	EGR2	2	10	141626294	0.9840560003325344
chr3	128726058	128726111	P11161	EGR2	3	10	128726084	0.9552999998677522
chr10	338783	338818	P11161	EGR2	2	10	338800	0.9561999998539686
