Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr21	34939873	34939944	P49716	CEBPD	4	17	34939908	0.9981999999165536
chr10	79127369	79127388	P49716	CEBPD	4	16	79127378	1.0
chr4	73704737	73704761	P49716	CEBPD	4	16	73704749	0.9751000000335276
chr9	87714996	87715033	P49716	CEBPD	4	16	87715014	0.9545000002622605
chr11	33266651	33266697	P49716	CEBPD	4	16	33266674	0.9548999997794628
chr11	69918930	69918953	P49716	CEBPD	4	16	69918941	0.98799999987334
chr4	162497772	162497810	P49716	CEBPD	4	16	162497791	0.9866940002948046
chr2	27010961	27010995	P49716	CEBPD	4	16	27010978	0.9563960000783204
chr1	201154572	201154597	P49716	CEBPD	4	16	201154584	1.0
chr6	26596848	26596874	P49716	CEBPD	4	16	26596861	0.9879999998681248
chr11	12802742	12802765	P49716	CEBPD	4	16	12802753	1.0
chr2	183124345	183124377	P49716	CEBPD	4	16	183124361	0.9600000000186264
chr5	82641491	82641517	P49716	CEBPD	4	16	82641504	0.9739999998673796
chr5	139475671	139475703	P49716	CEBPD	4	16	139475687	0.9659280005678534
chr12	130916320	130916373	P49716	CEBPD	4	16	130916346	0.9680999998122454
chr6	45445997	45446020	P49716	CEBPD	4	16	45446008	0.983700000250712
chr2	201406539	201406565	P49716	CEBPD	4	15	201406552	0.9822999998614192
chr5	143051726	143051753	P49716	CEBPD	4	15	143051739	0.9561000000204892
chr2	119122856	119122879	P49716	CEBPD	4	15	119122867	0.981099999794364
chr3	72938723	72938768	P49716	CEBPD	4	15	72938745	0.9641999999284744
chr12	26274895	26274929	P49716	CEBPD	4	15	26274912	0.9915999998927116
chr9	32554319	32554342	P49716	CEBPD	4	15	32554330	0.9618000001341104
chr4	1043826	1043854	P49716	CEBPD	4	15	1043840	0.9843799998044968
chr3	126472523	126472543	P49716	CEBPD	4	15	126472533	0.97260000006482
chr10	21724790	21724826	P49716	CEBPD	4	15	21724808	0.9821999999158084
chr12	93244312	93244344	P49716	CEBPD	4	15	93244328	0.9653799996737392
chr1	6260139	6260158	P49716	CEBPD	4	15	6260148	0.9558000000201166
chr20	63741012	63741030	P49716	CEBPD	4	15	63741021	1.0
chr16	87853730	87853770	P49716	CEBPD	4	15	87853750	0.95408799983114
chr12	25386312	25386335	P49716	CEBPD	4	15	25386323	0.969099999679625
chr14	35403872	35403893	P49716	CEBPD	4	15	35403882	0.9624420000106096
chr5	53560575	53560620	P49716	CEBPD	4	15	53560597	0.973999999858439
chr11	33258222	33258254	P49716	CEBPD	4	15	33258238	0.9800659998454152
chr9	91424641	91424674	P49716	CEBPD	4	15	91424657	0.9951999999925494
chr3	72270191	72270227	P49716	CEBPD	4	15	72270209	0.97420000000149
chr8	20200932	20201006	P49716	CEBPD	4	15	20200969	0.9970000001370908
chr2	177263501	177263528	P49716	CEBPD	4	15	177263514	0.961700000070408
chr4	77158136	77158164	P49716	CEBPD	4	15	77158150	0.9855000001132488
chr5	145681822	145681858	P49716	CEBPD	4	15	145681840	0.99160000000149
chr6	146857661	146857694	P49716	CEBPD	4	15	146857677	0.9775999999426306
chr16	76380	76409	P49716	CEBPD	4	15	76394	0.9784000000089408
chr1	58881736	58881769	P49716	CEBPD	4	15	58881752	0.993599999988079
chr3	152100676	152100705	P49716	CEBPD	4	15	152100690	0.9754000000011176
chr6	20573108	20573135	P49716	CEBPD	4	15	20573121	0.976000000116974
chr17	38559580	38559611	P49716	CEBPD	4	15	38559595	1.0
chr3	4904992	4905018	P49716	CEBPD	4	15	4905005	0.9884999999269845
chr12	94075515	94075544	P49716	CEBPD	4	14	94075529	0.983899999961257
chr3	52455425	52455448	P49716	CEBPD	4	14	52455436	0.976800000025332
chr6	52063657	52063685	P49716	CEBPD	4	14	52063671	0.988100000166893
chr13	26983152	26983173	P49716	CEBPD	4	14	26983162	0.9632999999411404
chr6	3409934	3409996	P49716	CEBPD	4	14	3409965	0.9909000000029804
chr12	93127901	93127937	P49716	CEBPD	4	14	93127919	0.973199999821186
chr15	48878068	48878108	P49716	CEBPD	4	14	48878088	0.9757999995008112
chr6	16334852	16334870	P49716	CEBPD	4	14	16334861	0.9785440000750124
chr17	81937363	81937409	P49716	CEBPD	4	14	81937386	0.9655000001035632
chr3	172130052	172130123	P49716	CEBPD	4	14	172130087	0.9853000001773238
chr15	66702185	66702208	P49716	CEBPD	4	14	66702196	0.9928999999374152
chr17	30344941	30344993	P49716	CEBPD	4	14	30344967	0.9632499997653068
chr4	81405998	81406037	P49716	CEBPD	4	14	81406017	0.985399999819696
chr10	80498961	80498982	P49716	CEBPD	4	14	80498971	0.9896999999791384
chr17	73308345	73308372	P49716	CEBPD	4	14	73308358	0.9579399999495596
chr6	109384619	109384640	P49716	CEBPD	4	14	109384629	0.9781999998688696
chr9	91419417	91419437	P49716	CEBPD	4	14	91419427	0.9793999999850987
chr14	105352359	105352388	P49716	CEBPD	4	14	105352373	0.967799999872595
chr16	11105123	11105136	P49716	CEBPD	4	14	11105129	0.9685000002518296
chr1	234601803	234601818	P49716	CEBPD	4	14	234601810	0.988700000019744
chr6	137904686	137904721	P49716	CEBPD	4	14	137904703	0.991899999872595
chr10	73875079	73875096	P49716	CEBPD	4	14	73875087	0.9841000000208616
chr3	142850908	142850947	P49716	CEBPD	4	14	142850927	0.9707999999418856
chr2	177164772	177164801	P49716	CEBPD	4	14	177164786	0.9642000000730157
chr1	234975255	234975281	P49716	CEBPD	4	14	234975268	0.9848000002592802
chr5	179622813	179622854	P49716	CEBPD	4	14	179622833	0.9534600003521888
chr7	2104407	2104435	P49716	CEBPD	4	14	2104421	0.9779999997720122
chr6	27748816	27748868	P49716	CEBPD	4	14	27748842	0.9533000000312924
chr10	16817780	16817808	P49716	CEBPD	4	14	16817794	0.9954999997973442
chr4	83630305	83630332	P49716	CEBPD	4	14	83630318	0.9911000000834465
chr8	12754132	12754157	P49716	CEBPD	4	14	12754144	0.9949999996781348
chr3	187745415	187745449	P49716	CEBPD	4	14	187745432	1.0
chr17	42311701	42311723	P49716	CEBPD	4	14	42311712	0.9625000001206994
chr2	54670014	54670039	P49716	CEBPD	4	14	54670026	0.99449999987334
chr8	9002740	9002761	P49716	CEBPD	4	14	9002750	0.9667419997364284
chr12	47770219	47770251	P49716	CEBPD	4	14	47770235	0.975400000023842
chr7	24904998	24905056	P49716	CEBPD	4	14	24905027	0.970600000315532
chr12	11648836	11648885	P49716	CEBPD	4	14	11648860	0.977499999948591
chr7	43363120	43363167	P49716	CEBPD	4	14	43363143	0.9750999998681248
chr11	33508133	33508164	P49716	CEBPD	4	14	33508148	0.9721999999579042
chr19	35748270	35748295	P49716	CEBPD	4	14	35748282	0.9586800000116228
chr11	63872281	63872310	P49716	CEBPD	4	14	63872295	0.9516619999602436
