Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr5	138178822	138178896	P10242	MYB.hg38	19	79	138178859
chr11	65497514	65497540	P10242	MYB.hg38	19	72	65497527
chr19	55259205	55259257	P10242	MYB.hg38	17	70	55259231
chr6	26123035	26123089	P10242	MYB.hg38	18	68	26123062
chr16	75075414	75075463	P10242	MYB.hg38	16	67	75075438
chr16	29805586	29805637	P10242	MYB.hg38	18	67	29805611
chr20	44646324	44646369	P10242	MYB.hg38	16	65	44646346
chr9	120580328	120580395	P10242	MYB.hg38	16	64	120580361
chr11	68751481	68751513	P10242	MYB.hg38	18	64	68751497
chr5	964068	964137	P10242	MYB.hg38	15	64	964102
chr9	81113633	81113663	P10242	MYB.hg38	12	64	81113648
chr11	2400423	2400456	P10242	MYB.hg38	17	63	2400439
chr1	203321072	203321127	P10242	MYB.hg38	13	62	203321099
chr7	73005804	73005836	P10242	MYB.hg38	17	62	73005820
chr6	22063165	22063226	P10242	MYB.hg38	16	61	22063195
chr1	199041674	199041724	P10242	MYB.hg38	16	60	199041699
chr12	57936087	57936114	P10242	MYB.hg38	17	60	57936100
chr17	47067476	47067531	P10242	MYB.hg38	18	60	47067503
chr8	101137257	101137280	P10242	MYB.hg38	17	59	101137268
chr9	127776489	127776582	P10242	MYB.hg38	14	59	127776535
chr6	137927907	137927978	P10242	MYB.hg38	14	59	137927942
chr9	26947323	26947394	P10242	MYB.hg38	14	59	26947358
chr17	58338062	58338121	P10242	MYB.hg38	17	59	58338091
chr1	145281227	145281308	P10242	MYB.hg38	15	58	145281267
chr16	30053022	30053048	P10242	MYB.hg38	16	58	30053035
chr9	95462788	95462839	P10242	MYB.hg38	14	58	95462813
chr12	122226163	122226210	P10242	MYB.hg38	14	58	122226186
chr17	38825315	38825337	P10242	MYB.hg38	14	58	38825326
chr2	200526138	200526171	P10242	MYB.hg38	16	58	200526154
chr3	196632344	196632393	P10242	MYB.hg38	16	58	196632368
chr2	239327056	239327106	P10242	MYB.hg38	16	57	239327081
chr2	181305877	181305920	P10242	MYB.hg38	16	57	181305898
chr6	29964940	29964997	P10242	MYB.hg38	15	57	29964968
chr1	113812605	113812637	P10242	MYB.hg38	18	57	113812621
chr14	72476988	72477054	P10242	MYB.hg38	14	57	72477021
chr8	143541580	143541627	P10242	MYB.hg38	16	57	143541603
chr2	231613851	231613896	P10242	MYB.hg38	16	57	231613873
chr2	231545599	231545628	P10242	MYB.hg38	16	57	231545613
chr19	18831808	18831852	P10242	MYB.hg38	16	57	18831830
chr3	136194478	136194551	P10242	MYB.hg38	14	56	136194514
chr6	26204473	26204534	P10242	MYB.hg38	16	56	26204503
chr18	26710691	26710714	P10242	MYB.hg38	17	56	26710702
chr15	74100248	74100272	P10242	MYB.hg38	16	56	74100260
chr2	55693926	55693951	P10242	MYB.hg38	15	56	55693938
chr12	31896766	31896841	P10242	MYB.hg38	14	56	31896803
chr14	55271308	55271329	P10242	MYB.hg38	18	56	55271318
chr19	13952293	13952368	P10242	MYB.hg38	14	56	13952330
chr2	64946402	64946421	P10242	MYB.hg38	17	56	64946411
chr7	74890451	74890488	P10242	MYB.hg38	17	56	74890469
chr10	102854273	102854298	P10242	MYB.hg38	15	56	102854285
chr16	19523836	19523856	P10242	MYB.hg38	16	56	19523846
chr2	60100219	60100252	P10242	MYB.hg38	15	55	60100235
chr19	10759823	10759904	P10242	MYB.hg38	14	55	10759863
chr6	142147119	142147147	P10242	MYB.hg38	17	55	142147133
chr3	196568596	196568687	P10242	MYB.hg38	14	55	196568641
chr10	100511149	100511186	P10242	MYB.hg38	14	55	100511167
chr8	141130094	141130115	P10242	MYB.hg38	15	55	141130104
chr22	17098612	17098656	P10242	MYB.hg38	15	55	17098634
chr9	129111298	129111327	P10242	MYB.hg38	16	55	129111312
chr3	44439913	44439980	P10242	MYB.hg38	14	55	44439946
chr3	58349986	58350009	P10242	MYB.hg38	14	55	58349997
chr14	77040462	77040524	P10242	MYB.hg38	16	55	77040493
chr12	104569917	104569969	P10242	MYB.hg38	15	55	104569943
chr22	49853478	49853509	P10242	MYB.hg38	18	55	49853493
chr1	120850798	120850873	P10242	MYB.hg38	15	54	120850835
chr12	51369044	51369121	P10242	MYB.hg38	13	54	51369082
chr16	30458887	30458915	P10242	MYB.hg38	17	54	30458901
chr20	63730859	63730902	P10242	MYB.hg38	15	54	63730880
chr14	58427436	58427499	P10242	MYB.hg38	15	54	58427467
chr15	75108713	75108759	P10242	MYB.hg38	14	54	75108736
chr11	46671147	46671200	P10242	MYB.hg38	13	54	46671173
chr2	136008404	136008443	P10242	MYB.hg38	17	54	136008423
chr10	11178932	11178953	P10242	MYB.hg38	16	54	11178942
chr5	126776897	126776978	P10242	MYB.hg38	14	54	126776937
chr6	27831634	27831675	P10242	MYB.hg38	16	54	27831654
chr2	100142600	100142648	P10242	MYB.hg38	15	54	100142624
chr1	167628241	167628265	P10242	MYB.hg38	16	54	167628253
chr1	9426494	9426533	P10242	MYB.hg38	14	54	9426513
chr19	3155230	3155257	P10242	MYB.hg38	14	54	3155243
chr19	43596377	43596440	P10242	MYB.hg38	14	54	43596408
chr5	150783683	150783746	P10242	MYB.hg38	14	54	150783714
chr11	18396180	18396203	P10242	MYB.hg38	16	54	18396191
chr9	129863254	129863305	P10242	MYB.hg38	13	54	129863279
chr16	87779165	87779217	P10242	MYB.hg38	14	54	87779191
chr2	191020518	191020555	P10242	MYB.hg38	17	54	191020536
chr10	68332084	68332115	P10242	MYB.hg38	15	54	68332099
chr1	150151563	150151602	P10242	MYB.hg38	14	54	150151582
chr10	79137963	79137990	P10242	MYB.hg38	16	54	79137976
chr6	2542926	2542975	P10242	MYB.hg38	13	54	2542950
chr17	17403976	17404062	P10242	MYB.hg38	12	54	17404019
chr2	213233261	213233328	P10242	MYB.hg38	13	54	213233294
chr21	42527918	42527979	P10242	MYB.hg38	14	53	42527948
chr2	54571092	54571163	P10242	MYB.hg38	14	53	54571127
chr6	134247366	134247433	P10242	MYB.hg38	13	53	134247399
chr22	29202944	29202969	P10242	MYB.hg38	14	53	29202956
chr9	110157051	110157077	P10242	MYB.hg38	16	53	110157064
chr9	110051191	110051212	P10242	MYB.hg38	15	53	110051201
chr4	139178094	139178119	P10242	MYB.hg38	16	53	139178106
chr18	63100242	63100267	P10242	MYB.hg38	15	53	63100254
chr9	129888595	129888646	P10242	MYB.hg38	14	53	129888620
chr19	44094248	44094277	P10242	MYB.hg38	15	53	44094262
chr19	48619311	48619357	P10242	MYB.hg38	14	53	48619334
chr1	26234183	26234230	P10242	MYB.hg38	15	53	26234206
chr5	177351911	177351942	P10242	MYB.hg38	14	53	177351926
chr5	100900978	100901028	P10242	MYB.hg38	15	53	100901003
chr1	148522709	148522789	P10242	MYB.hg38	15	53	148522749
chr1	221708201	221708232	P10242	MYB.hg38	14	53	221708216
chr6	14910847	14910875	P10242	MYB.hg38	16	53	14910861
chr12	45727635	45727660	P10242	MYB.hg38	16	53	45727647
chr5	131209651	131209710	P10242	MYB.hg38	15	53	131209680
chr15	74546363	74546446	P10242	MYB.hg38	13	53	74546404
chr17	45226211	45226258	P10242	MYB.hg38	14	53	45226234
chr3	160027965	160028007	P10242	MYB.hg38	16	53	160027986
chr10	103181435	103181466	P10242	MYB.hg38	16	53	103181450
chr12	14948925	14948958	P10242	MYB.hg38	14	52	14948941
chr7	101741113	101741140	P10242	MYB.hg38	14	52	101741126
chr8	124637662	124637727	P10242	MYB.hg38	13	52	124637694
chr9	96417438	96417509	P10242	MYB.hg38	14	52	96417473
chr7	105012617	105012658	P10242	MYB.hg38	15	52	105012637
chr5	139388690	139388711	P10242	MYB.hg38	14	52	139388700
chr16	17343243	17343270	P10242	MYB.hg38	16	52	17343256
chr2	8543865	8543892	P10242	MYB.hg38	16	52	8543878
chr18	47937198	47937221	P10242	MYB.hg38	15	52	47937209
chr1	89757769	89757796	P10242	MYB.hg38	15	52	89757782
chr13	79522690	79522721	P10242	MYB.hg38	15	52	79522705
chr6	42010565	42010628	P10242	MYB.hg38	12	52	42010596
chr4	86961826	86961861	P10242	MYB.hg38	16	52	86961843
chr13	41465350	41465398	P10242	MYB.hg38	14	52	41465374
chr2	219245444	219245463	P10242	MYB.hg38	14	52	219245453
chr12	50025625	50025656	P10242	MYB.hg38	14	52	50025640
chr2	128473247	128473284	P10242	MYB.hg38	13	52	128473265
chr19	11324410	11324439	P10242	MYB.hg38	15	52	11324424
chr1	174999454	174999540	P10242	MYB.hg38	14	52	174999497
chr8	144675640	144675721	P10242	MYB.hg38	12	52	144675680
chr19	16139946	16139981	P10242	MYB.hg38	16	52	16139963
chr10	72297316	72297375	P10242	MYB.hg38	14	52	72297345
chr18	77062664	77062723	P10242	MYB.hg38	14	52	77062693
chr17	2192707	2192760	P10242	MYB.hg38	14	51	2192733
chr6	28136814	28136853	P10242	MYB.hg38	14	51	28136833
chr16	74666886	74666931	P10242	MYB.hg38	14	51	74666908
chr5	392648	392676	P10242	MYB.hg38	14	51	392662
chr9	114898947	114898986	P10242	MYB.hg38	13	51	114898966
chr13	28268861	28268899	P10242	MYB.hg38	16	51	28268880
chr3	45915973	45916010	P10242	MYB.hg38	14	51	45915991
chr1	192516917	192516948	P10242	MYB.hg38	14	51	192516932
chr1	165871498	165871555	P10242	MYB.hg38	13	51	165871526
chr9	126469612	126469651	P10242	MYB.hg38	15	51	126469631
chr10	124791847	124791887	P10242	MYB.hg38	16	51	124791867
chr16	67833922	67833947	P10242	MYB.hg38	14	51	67833934
chr10	61961506	61961549	P10242	MYB.hg38	13	51	61961527
chr1	182300197	182300222	P10242	MYB.hg38	13	51	182300209
chr1	116769744	116769800	P10242	MYB.hg38	13	51	116769772
chr14	64540483	64540554	P10242	MYB.hg38	14	51	64540518
chr3	129440250	129440276	P10242	MYB.hg38	17	51	129440263
chr8	67064305	67064336	P10242	MYB.hg38	16	51	67064320
chr2	172153395	172153466	P10242	MYB.hg38	11	51	172153430
chr5	116135554	116135576	P10242	MYB.hg38	15	51	116135565
chr1	43707689	43707748	P10242	MYB.hg38	15	51	43707718
chr7	100436476	100436525	P10242	MYB.hg38	14	51	100436500
chr15	90657985	90658010	P10242	MYB.hg38	15	51	90657997
chr16	28492073	28492097	P10242	MYB.hg38	14	51	28492085
chr3	128845983	128846009	P10242	MYB.hg38	18	51	128845996
chr12	123233059	123233124	P10242	MYB.hg38	16	51	123233091
chr11	43869074	43869151	P10242	MYB.hg38	14	51	43869112
chr1	22019229	22019256	P10242	MYB.hg38	16	51	22019242
chr7	158824162	158824191	P10242	MYB.hg38	14	51	158824176
chr1	21454072	21454149	P10242	MYB.hg38	13	51	21454110
chr1	181088583	181088607	P10242	MYB.hg38	15	51	181088595
chr15	64430476	64430501	P10242	MYB.hg38	14	51	64430488
chr1	160540313	160540367	P10242	MYB.hg38	14	51	160540340
chr5	50635010	50635049	P10242	MYB.hg38	15	51	50635029
chr3	59451509	59451580	P10242	MYB.hg38	14	51	59451544
chr19	39997075	39997130	P10242	MYB.hg38	14	51	39997102
chr11	66345135	66345160	P10242	MYB.hg38	15	50	66345147
chr12	128915056	128915089	P10242	MYB.hg38	16	50	128915072
chr8	37736606	37736626	P10242	MYB.hg38	14	50	37736616
chr15	64095950	64095977	P10242	MYB.hg38	14	50	64095963
chr19	1853543	1853574	P10242	MYB.hg38	15	50	1853558
chr3	17906173	17906204	P10242	MYB.hg38	14	50	17906188
chr12	14365643	14365670	P10242	MYB.hg38	17	50	14365656
chr15	41490512	41490537	P10242	MYB.hg38	15	50	41490524
chr9	114373075	114373156	P10242	MYB.hg38	13	50	114373115
chr17	8295535	8295579	P10242	MYB.hg38	16	50	8295557
chr22	23216711	23216742	P10242	MYB.hg38	15	50	23216726
chr8	120749614	120749669	P10242	MYB.hg38	15	50	120749641
chr8	65946275	65946306	P10242	MYB.hg38	15	50	65946290
chr15	75336020	75336042	P10242	MYB.hg38	16	50	75336031
chr11	121417330	121417379	P10242	MYB.hg38	13	50	121417354
chr6	67889227	67889284	P10242	MYB.hg38	13	50	67889255
chr17	58336052	58336103	P10242	MYB.hg38	14	50	58336077
chr11	47359711	47359774	P10242	MYB.hg38	15	50	47359742
chr19	39391080	39391133	P10242	MYB.hg38	16	50	39391106
chr16	15888603	15888643	P10242	MYB.hg38	16	50	15888623
chr12	89733786	89733815	P10242	MYB.hg38	15	50	89733800
chr7	2720991	2721024	P10242	MYB.hg38	14	50	2721007
chr1	229538133	229538208	P10242	MYB.hg38	13	50	229538170
chr19	12919383	12919416	P10242	MYB.hg38	15	50	12919399
chr16	89505618	89505639	P10242	MYB.hg38	14	50	89505628
chr11	122697900	122697929	P10242	MYB.hg38	15	50	122697914
chr5	1313045	1313122	P10242	MYB.hg38	14	50	1313083
chr19	57499855	57499876	P10242	MYB.hg38	14	50	57499865
chr9	133059145	133059172	P10242	MYB.hg38	14	50	133059158
chr18	45670441	45670462	P10242	MYB.hg38	16	50	45670451
chr1	145824056	145824103	P10242	MYB.hg38	15	50	145824079
