Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr11	114179419	114179450	P10275	AR.hg38	313	1347	114179434
chr1	100486071	100486110	P10275	AR.hg38	265	1126	100486090
chr12	93814188	93814235	P10275	AR.hg38	275	1102	93814211
chr4	77564338	77564373	P10275	AR.hg38	267	1085	77564355
chr2	193475220	193475265	P10275	AR.hg38	238	1063	193475242
chr1	8259275	8259305	P10275	AR.hg38	288	1052	8259290
chr18	23684791	23684830	P10275	AR.hg38	262	1047	23684810
chr12	91718524	91718561	P10275	AR.hg38	251	1026	91718542
chr12	64590370	64590400	P10275	AR.hg38	280	1024	64590385
chr9	76799580	76799625	P10275	AR.hg38	233	1024	76799602
chr19	45743193	45743218	P10275	AR.hg38	290	1022	45743205
chr7	27936717	27936760	P10275	AR.hg38	247	1020	27936738
chr19	40921267	40921323	P10275	AR.hg38	230	1018	40921295
chr2	188573572	188573601	P10275	AR.hg38	275	1014	188573586
chr1	94744107	94744136	P10275	AR.hg38	270	1010	94744121
chr9	24381430	24381457	P10275	AR.hg38	263	1004	24381443
chr2	168278689	168278723	P10275	AR.hg38	256	992	168278706
chr6	24961190	24961227	P10275	AR.hg38	245	989	24961208
chr2	179574379	179574414	P10275	AR.hg38	271	987	179574396
chr5	147911643	147911670	P10275	AR.hg38	280	985	147911656
chr8	39832235	39832264	P10275	AR.hg38	268	979	39832249
chr3	188948115	188948140	P10275	AR.hg38	289	977	188948127
chr10	6255601	6255630	P10275	AR.hg38	269	977	6255615
chr2	9001299	9001332	P10275	AR.hg38	271	974	9001315
chr12	103373252	103373301	P10275	AR.hg38	224	966	103373276
chr11	114162986	114163013	P10275	AR.hg38	284	965	114162999
chr8	67810794	67810837	P10275	AR.hg38	228	960	67810815
chr7	95550336	95550365	P10275	AR.hg38	277	958	95550350
chr21	42731609	42731654	P10275	AR.hg38	238	958	42731631
chr17	55607821	55607852	P10275	AR.hg38	255	957	55607836
chr4	10530481	10530524	P10275	AR.hg38	242	955	10530502
chr11	66189497	66189530	P10275	AR.hg38	256	951	66189513
chr18	58550060	58550091	P10275	AR.hg38	262	949	58550075
chr7	99827427	99827462	P10275	AR.hg38	261	945	99827444
chr7	91565830	91565879	P10275	AR.hg38	235	945	91565854
chr13	44854810	44854842	P10275	AR.hg38	253	944	44854826
chr2	100068016	100068047	P10275	AR.hg38	259	939	100068031
chr3	183765590	183765613	P10275	AR.hg38	274	935	183765601
chr4	101211470	101211509	P10275	AR.hg38	263	934	101211489
chr12	46494076	46494103	P10275	AR.hg38	279	934	46494089
chr15	89129915	89129946	P10275	AR.hg38	269	933	89129930
chr8	123405682	123405707	P10275	AR.hg38	267	933	123405694
chr4	147117530	147117561	P10275	AR.hg38	256	931	147117545
chr16	78123237	78123260	P10275	AR.hg38	266	929	78123248
chr13	34335761	34335784	P10275	AR.hg38	279	928	34335772
chr14	75536039	75536064	P10275	AR.hg38	280	927	75536051
chr17	62725979	62726006	P10275	AR.hg38	269	925	62725992
chr1	222946636	222946677	P10275	AR.hg38	226	923	222946656
chr1	31258788	31258826	P10275	AR.hg38	228	922	31258807
chr12	111067733	111067758	P10275	AR.hg38	271	920	111067745
chr15	81388496	81388521	P10275	AR.hg38	273	920	81388508
chr5	71715088	71715125	P10275	AR.hg38	238	920	71715106
chr17	80068833	80068858	P10275	AR.hg38	251	920	80068845
chr6	35722630	35722661	P10275	AR.hg38	235	919	35722645
chr2	168087065	168087090	P10275	AR.hg38	274	919	168087077
chr21	16080102	16080129	P10275	AR.hg38	254	918	16080115
chr12	32457561	32457606	P10275	AR.hg38	209	917	32457583
chr5	164518300	164518345	P10275	AR.hg38	234	916	164518322
chr6	110654225	110654254	P10275	AR.hg38	242	915	110654239
chr7	104185518	104185547	P10275	AR.hg38	260	913	104185532
chr5	123397692	123397721	P10275	AR.hg38	256	912	123397706
chr2	85708815	85708840	P10275	AR.hg38	270	912	85708827
chr9	81814590	81814631	P10275	AR.hg38	250	911	81814610
chr11	117071506	117071531	P10275	AR.hg38	271	907	117071518
chr7	90231497	90231524	P10275	AR.hg38	256	906	90231510
chr1	51948844	51948893	P10275	AR.hg38	246	904	51948868
chr2	7032011	7032044	P10275	AR.hg38	246	903	7032027
chr1	9553855	9553878	P10275	AR.hg38	264	902	9553866
chr15	23546365	23546394	P10275	AR.hg38	253	902	23546379
chr4	20639538	20639561	P10275	AR.hg38	271	902	20639549
chr2	5111848	5111875	P10275	AR.hg38	264	900	5111861
chr6	93940557	93940582	P10275	AR.hg38	260	898	93940569
chr9	86405387	86405410	P10275	AR.hg38	280	897	86405398
chr17	8154457	8154484	P10275	AR.hg38	275	897	8154470
chr11	111138085	111138114	P10275	AR.hg38	259	897	111138099
chr19	50889821	50889866	P10275	AR.hg38	247	895	50889843
chr15	82919620	82919653	P10275	AR.hg38	247	895	82919636
chr5	124656119	124656152	P10275	AR.hg38	256	894	124656135
chr3	190807902	190807927	P10275	AR.hg38	264	892	190807914
chr9	79489834	79489867	P10275	AR.hg38	257	891	79489850
chr8	27282642	27282665	P10275	AR.hg38	267	891	27282653
chr1	9436482	9436505	P10275	AR.hg38	270	889	9436493
chr15	35308890	35308917	P10275	AR.hg38	250	889	35308903
chr12	73054063	73054088	P10275	AR.hg38	253	888	73054075
chr11	130025525	130025550	P10275	AR.hg38	257	888	130025537
chr11	111305627	111305668	P10275	AR.hg38	232	887	111305647
chr12	114656273	114656308	P10275	AR.hg38	245	887	114656290
chr3	122651791	122651814	P10275	AR.hg38	273	885	122651802
chr8	47735251	47735276	P10275	AR.hg38	266	883	47735263
chr17	7255161	7255184	P10275	AR.hg38	250	883	7255172
chr1	37499349	37499392	P10275	AR.hg38	238	882	37499370
chr3	120556282	120556313	P10275	AR.hg38	244	882	120556297
chr2	138893937	138893960	P10275	AR.hg38	261	881	138893948
chr9	70480897	70480920	P10275	AR.hg38	269	880	70480908
chr13	42924456	42924481	P10275	AR.hg38	262	880	42924468
chr4	6957343	6957368	P10275	AR.hg38	267	880	6957355
chr4	76374176	76374217	P10275	AR.hg38	239	880	76374196
chr1	156616650	156616673	P10275	AR.hg38	265	879	156616661
chr3	174341172	174341197	P10275	AR.hg38	261	878	174341184
chr2	206823370	206823395	P10275	AR.hg38	259	878	206823382
chr13	110015031	110015056	P10275	AR.hg38	264	876	110015043
chr15	74664446	74664491	P10275	AR.hg38	233	876	74664468
chr10	122121203	122121226	P10275	AR.hg38	251	876	122121214
chr3	72307014	72307041	P10275	AR.hg38	258	875	72307027
chr2	38139183	38139219	P10275	AR.hg38	246	875	38139201
chr2	105250053	105250102	P10275	AR.hg38	212	875	105250077
chr17	44076966	44077005	P10275	AR.hg38	251	875	44076985
chr5	94403657	94403682	P10275	AR.hg38	256	874	94403669
chr1	192861956	192861998	P10275	AR.hg38	258	874	192861977
chr5	168353389	168353416	P10275	AR.hg38	254	873	168353402
chr18	42379053	42379090	P10275	AR.hg38	216	872	42379071
chr20	57763395	57763426	P10275	AR.hg38	249	872	57763410
chr16	68406877	68406926	P10275	AR.hg38	217	872	68406901
chr9	89665071	89665094	P10275	AR.hg38	257	872	89665082
chr14	50763644	50763687	P10275	AR.hg38	228	872	50763665
chr11	114160186	114160214	P10275	AR.hg38	264	871	114160200
