Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr2	39217022	39217067	P35869	AHR.hg38	8	28	39217044
chr2	38096381	38096430	P35869	AHR.hg38	8	28	38096405
chr15	40098948	40098987	P35869	AHR.hg38	9	28	40098967
chr2	11498715	11498769	P35869	AHR.hg38	8	28	11498742
chr14	95265603	95265649	P35869	AHR.hg38	8	27	95265626
chr8	37144938	37144989	P35869	AHR.hg38	8	26	37144963
chr11	68380580	68380623	P35869	AHR.hg38	8	26	68380601
chr12	31749371	31749450	P35869	AHR.hg38	9	26	31749410
chr12	75978090	75978110	P35869	AHR.hg38	8	26	75978100
chr11	9566133	9566162	P35869	AHR.hg38	8	25	9566147
chr9	90924022	90924047	P35869	AHR.hg38	7	25	90924034
chr6	45710633	45710682	P35869	AHR.hg38	7	25	45710657
chr6	49891175	49891216	P35869	AHR.hg38	7	25	49891195
chr6	73580493	73580545	P35869	AHR.hg38	10	25	73580519
chr20	18902524	18902559	P35869	AHR.hg38	5	25	18902541
chr3	42497139	42497198	P35869	AHR.hg38	7	25	42497168
chr5	119537979	119538016	P35869	AHR.hg38	7	25	119537997
chr11	84987830	84987952	P35869	AHR.hg38	5	25	84987891
chr1	46132907	46132971	P35869	AHR.hg38	10	25	46132939
chr2	177263521	177263561	P35869	AHR.hg38	8	25	177263541
chr8	101437217	101437282	P35869	AHR.hg38	7	25	101437249
chr15	74726516	74726563	P35869	AHR.hg38	8	25	74726539
chr19	46784807	46784838	P35869	AHR.hg38	7	24	46784822
chr20	50166189	50166233	P35869	AHR.hg38	8	24	50166211
chr18	11005695	11005734	P35869	AHR.hg38	7	24	11005714
chr3	107927733	107927822	P35869	AHR.hg38	9	24	107927777
chr15	74642447	74642477	P35869	AHR.hg38	5	24	74642462
chr6	151658321	151658370	P35869	AHR.hg38	6	24	151658345
chr12	113245999	113246034	P35869	AHR.hg38	8	24	113246016
chr18	45802783	45802867	P35869	AHR.hg38	5	23	45802825
