Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr2	156334732	156334760	Q06413	MEF2C	3	11	156334746	0.9987999999523164
chr2	219279255	219279326	Q06413	MEF2C	3	10	219279290	0.9665999999687076
chr12	43338964	43339001	Q06413	MEF2C	3	10	43338982	0.985399999858439
chr10	44978795	44978890	Q06413	MEF2C	3	10	44978842	1.0
chr1	26744275	26744312	Q06413	MEF2C	3	10	26744293	0.9591999998115004
chr12	49663190	49663227	Q06413	MEF2C	3	10	49663208	0.9945999998390674
chr15	31004538	31004578	Q06413	MEF2C	3	9	31004558	0.9716000000216068
chr17	44111261	44111298	Q06413	MEF2C	3	9	44111279	0.9731999999724328
chr3	42072434	42072521	Q06413	MEF2C	3	9	42072477	0.9553760001070798
chr1	192559663	192559700	Q06413	MEF2C	3	8	192559681	0.9890999997243284
chr12	45268793	45268830	Q06413	MEF2C	2	8	45268811	0.9755000001758336
chr3	61924287	61924311	Q06413	MEF2C	2	8	61924299	0.9787999997526408
chr3	49805576	49805613	Q06413	MEF2C	3	8	49805594	0.9705999998755752
chr1	220876766	220876803	Q06413	MEF2C	2	8	220876784	0.9963700000405312
chr6	79545087	79545124	Q06413	MEF2C	3	8	79545105	0.9604999997403472
chr3	157160845	157160882	Q06413	MEF2C	3	8	157160863	0.9721439998861402
chr2	25294918	25294955	Q06413	MEF2C	3	8	25294936	0.9583999996669592
chr1	89692950	89692987	Q06413	MEF2C	3	8	89692968	0.9773000000976028
chr12	14905368	14905405	Q06413	MEF2C	2	8	14905386	0.9817000000067057
chr8	125513257	125513294	Q06413	MEF2C	3	8	125513275	0.984200000075996
chr20	58907974	58908011	Q06413	MEF2C	3	7	58907992	0.9799020000036806
chr15	31353617	31353654	Q06413	MEF2C	3	7	31353635	0.9657999998398124
chr15	38085322	38085338	Q06413	MEF2C	2	7	38085330	0.9584999999642372
chr2	209525920	209525957	Q06413	MEF2C	3	7	209525938	1.0
chr16	81492734	81492771	Q06413	MEF2C	2	7	81492752	0.9971999999940396
chr3	188439204	188439241	Q06413	MEF2C	3	7	188439222	0.9673000001087784
chr8	42298053	42298073	Q06413	MEF2C	2	7	42298063	0.9678999998658896
chr6	3813359	3813396	Q06413	MEF2C	3	7	3813377	0.975999999947846
chr1	66624032	66624069	Q06413	MEF2C	2	7	66624050	0.9594000001125038
chr12	52037014	52037030	Q06413	MEF2C	3	7	52037022	0.9822719999149442
chr4	47564521	47564584	Q06413	MEF2C	3	7	47564552	0.9657000000149012
chr12	27180030	27180067	Q06413	MEF2C	3	7	27180048	0.9810000001564622
chr5	142316272	142316309	Q06413	MEF2C	2	7	142316290	0.9917000000059604
chr1	225999674	225999745	Q06413	MEF2C	3	7	225999709	0.9796000001657754
chr5	147404439	147404476	Q06413	MEF2C	3	7	147404457	0.97379999999851
chr15	95557729	95557766	Q06413	MEF2C	2	7	95557747	0.9991999998867512
chr12	75934607	75934644	Q06413	MEF2C	3	7	75934625	0.9744000001370908
chr2	234691217	234691254	Q06413	MEF2C	2	7	234691235	0.9617999998748302
chr5	131635476	131635513	Q06413	MEF2C	3	7	131635494	0.9711999999448656
chr6	89081688	89081725	Q06413	MEF2C	3	7	89081706	0.9573999998923391
chr13	110870476	110870513	Q06413	MEF2C	2	7	110870494	0.988699999460578
chr21	28283953	28283990	Q06413	MEF2C	2	7	28283971	0.9844780000060795
chr2	20579378	20579415	Q06413	MEF2C	3	7	20579396	0.9708000000458212
