Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr19	2463192	2463238	Q15561	TEAD4.hg38	20	78	2463215
chr15	66774518	66774539	Q15561	TEAD4.hg38	20	66	66774528
chr10	130127971	130127997	Q15561	TEAD4.hg38	20	65	130127984
chr15	66883562	66883639	Q15561	TEAD4.hg38	16	65	66883600
chr11	86042068	86042088	Q15561	TEAD4.hg38	20	64	86042078
chr14	78848431	78848452	Q15561	TEAD4.hg38	19	64	78848441
chr14	49853970	49853993	Q15561	TEAD4.hg38	20	64	49853981
chr7	33716773	33716796	Q15561	TEAD4.hg38	19	63	33716784
chr19	54266251	54266275	Q15561	TEAD4.hg38	18	63	54266263
chr3	124774477	124774498	Q15561	TEAD4.hg38	19	63	124774487
chr11	12674405	12674428	Q15561	TEAD4.hg38	20	62	12674416
chr7	151754301	151754332	Q15561	TEAD4.hg38	19	62	151754316
chr12	2959390	2959412	Q15561	TEAD4.hg38	20	62	2959401
chr20	63435041	63435062	Q15561	TEAD4.hg38	20	62	63435051
chr9	98791334	98791355	Q15561	TEAD4.hg38	20	62	98791344
chr17	1714697	1714722	Q15561	TEAD4.hg38	19	62	1714709
chr12	75334474	75334497	Q15561	TEAD4.hg38	18	61	75334485
chr11	69131729	69131750	Q15561	TEAD4.hg38	20	61	69131739
chr20	25407610	25407637	Q15561	TEAD4.hg38	20	61	25407623
chr9	109818057	109818080	Q15561	TEAD4.hg38	19	61	109818068
chr22	19881333	19881358	Q15561	TEAD4.hg38	19	60	19881345
chr5	170151266	170151287	Q15561	TEAD4.hg38	19	60	170151276
chr6	131951465	131951492	Q15561	TEAD4.hg38	18	60	131951478
chr13	21061568	21061589	Q15561	TEAD4.hg38	19	60	21061578
chr18	8891034	8891095	Q15561	TEAD4.hg38	18	60	8891064
chr1	29271866	29271887	Q15561	TEAD4.hg38	19	60	29271876
chr9	96420665	96420692	Q15561	TEAD4.hg38	18	60	96420678
chr3	138823913	138823942	Q15561	TEAD4.hg38	19	60	138823927
