Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	22573196	22573255	Q6NT76	HMBOX1	3	14	22573225	0.9815999999672176
chr9	105299602	105299645	Q6NT76	HMBOX1	3	13	105299623	0.9704000000149012
chr15	69034474	69034517	Q6NT76	HMBOX1	3	13	69034495	0.9806999997906388
chr5	37668704	37668799	Q6NT76	HMBOX1	3	13	37668751	0.9675000001937152
chr9	105297001	105297030	Q6NT76	HMBOX1	3	13	105297015	0.9716999999850988
chr9	105451416	105451489	Q6NT76	HMBOX1	3	12	105451452	0.9662879998743534
chr18	3771749	3771800	Q6NT76	HMBOX1	3	12	3771774	0.99469999999851
chr9	96217943	96218013	Q6NT76	HMBOX1	3	12	96217978	0.9666000000424684
chr15	39405086	39405117	Q6NT76	HMBOX1	3	12	39405101	0.9980000000953674
chr4	150348221	150348270	Q6NT76	HMBOX1	3	12	150348245	0.9514000002883376
chr8	100886125	100886198	Q6NT76	HMBOX1	3	12	100886161	0.961099999833107
chr21	36860226	36860291	Q6NT76	HMBOX1	3	12	36860258	0.9573519998833536
chr15	78068782	78068835	Q6NT76	HMBOX1	3	12	78068808	0.9838679997544736
chr2	222919956	222920087	Q6NT76	HMBOX1	3	12	222920021	0.9803999999955296
chr6	42338936	42339025	Q6NT76	HMBOX1	3	11	42338980	0.9984999999523164
chr10	24902273	24902309	Q6NT76	HMBOX1	3	11	24902291	0.9778999999962747
chr5	102755983	102756054	Q6NT76	HMBOX1	3	11	102756018	0.9582999999485908
chr10	69907705	69907789	Q6NT76	HMBOX1	3	11	69907747	0.9826999999389052
chr21	34771622	34771691	Q6NT76	HMBOX1	3	11	34771656	0.9657500001378356
chr3	63872384	63872439	Q6NT76	HMBOX1	3	11	63872411	0.9860000000283122
chr17	7883965	7883989	Q6NT76	HMBOX1	3	11	7883977	0.9880000000923872
chr1	94802027	94802134	Q6NT76	HMBOX1	3	11	94802080	0.9788000000409782
chr3	111669103	111669179	Q6NT76	HMBOX1	3	11	111669141	0.994399999976158
chr20	32358040	32358106	Q6NT76	HMBOX1	3	11	32358073	0.95950000012964
chr5	83368450	83368523	Q6NT76	HMBOX1	3	11	83368486	0.9887999999567866
chr1	43582226	43582301	Q6NT76	HMBOX1	3	11	43582263	0.9856999999880792
