Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr19	40443344	40443405	Q92754	TFAP2C.hg38	24	86	40443374
chr1	155017407	155017494	Q92754	TFAP2C.hg38	24	84	155017450
chr12	132687415	132687458	Q92754	TFAP2C.hg38	25	79	132687436
chr12	48021985	48022020	Q92754	TFAP2C.hg38	25	79	48022002
chr3	9792532	9792611	Q92754	TFAP2C.hg38	25	79	9792571
chr17	64919586	64919639	Q92754	TFAP2C.hg38	24	78	64919612
chr9	32384517	32384594	Q92754	TFAP2C.hg38	22	78	32384555
chr18	44679108	44679161	Q92754	TFAP2C.hg38	23	78	44679134
chr10	97687467	97687517	Q92754	TFAP2C.hg38	22	78	97687492
chr16	4253896	4253952	Q92754	TFAP2C.hg38	23	77	4253924
chr20	16729866	16729909	Q92754	TFAP2C.hg38	22	77	16729887
chr9	38069541	38069640	Q92754	TFAP2C.hg38	21	76	38069590
chr7	36367292	36367340	Q92754	TFAP2C.hg38	23	76	36367316
chr3	48301400	48301455	Q92754	TFAP2C.hg38	23	76	48301427
chr20	45993560	45993630	Q92754	TFAP2C.hg38	20	75	45993595
chr9	93566555	93566590	Q92754	TFAP2C.hg38	23	75	93566572
chr12	8082261	8082331	Q92754	TFAP2C.hg38	22	75	8082296
chr19	39238001	39238079	Q92754	TFAP2C.hg38	22	75	39238040
chr1	110338423	110338468	Q92754	TFAP2C.hg38	23	74	110338445
chr17	41865629	41865659	Q92754	TFAP2C.hg38	22	74	41865644
chr20	31514481	31514560	Q92754	TFAP2C.hg38	23	74	31514520
chr4	39366425	39366470	Q92754	TFAP2C.hg38	22	74	39366447
chr19	16417902	16417931	Q92754	TFAP2C.hg38	24	73	16417916
chr20	44388667	44388718	Q92754	TFAP2C.hg38	22	73	44388692
chr5	74767084	74767138	Q92754	TFAP2C.hg38	23	73	74767111
chr4	145619318	145619375	Q92754	TFAP2C.hg38	24	73	145619346
chr10	72048664	72048695	Q92754	TFAP2C.hg38	23	73	72048679
chr12	15789651	15789740	Q92754	TFAP2C.hg38	20	73	15789695
chr12	31959317	31959348	Q92754	TFAP2C.hg38	24	73	31959332
chr16	81403677	81403708	Q92754	TFAP2C.hg38	23	72	81403692
chr12	51047918	51047965	Q92754	TFAP2C.hg38	25	72	51047941
chr10	110456859	110456930	Q92754	TFAP2C.hg38	21	72	110456894
chr11	9613370	9613402	Q92754	TFAP2C.hg38	23	72	9613386
chr10	12264397	12264434	Q92754	TFAP2C.hg38	23	72	12264415
chr16	75433284	75433375	Q92754	TFAP2C.hg38	21	72	75433329
chr12	949691	949760	Q92754	TFAP2C.hg38	21	72	949725
chr20	45436993	45437053	Q92754	TFAP2C.hg38	22	72	45437023
chr1	147172361	147172455	Q92754	TFAP2C.hg38	23	72	147172408
chr12	9064967	9065020	Q92754	TFAP2C.hg38	24	72	9064993
chr11	66856240	66856307	Q92754	TFAP2C.hg38	23	71	66856273
chr16	97112	97143	Q92754	TFAP2C.hg38	23	71	97127
chr12	111397135	111397210	Q92754	TFAP2C.hg38	20	71	111397172
chr13	42271642	42271718	Q92754	TFAP2C.hg38	21	71	42271680
chr5	111512529	111512570	Q92754	TFAP2C.hg38	23	71	111512549
chr1	91501307	91501364	Q92754	TFAP2C.hg38	24	71	91501335
chr11	16738590	16738670	Q92754	TFAP2C.hg38	20	71	16738630
chr14	68137949	68138016	Q92754	TFAP2C.hg38	21	71	68137982
chr19	39436055	39436094	Q92754	TFAP2C.hg38	22	71	39436074
chr1	64343655	64343714	Q92754	TFAP2C.hg38	19	71	64343684
chr13	77327180	77327209	Q92754	TFAP2C.hg38	24	71	77327194
chr1	1859525	1859571	Q92754	TFAP2C.hg38	21	71	1859548
chr5	61311251	61311290	Q92754	TFAP2C.hg38	23	70	61311270
chr15	77527378	77527434	Q92754	TFAP2C.hg38	20	70	77527406
chr19	12564257	12564288	Q92754	TFAP2C.hg38	22	70	12564272
chr6	52839734	52839791	Q92754	TFAP2C.hg38	21	70	52839762
chr19	45423699	45423786	Q92754	TFAP2C.hg38	22	70	45423742
chr2	191020370	191020432	Q92754	TFAP2C.hg38	20	70	191020401
chr6	43703035	43703109	Q92754	TFAP2C.hg38	20	70	43703072
chr7	92447481	92447542	Q92754	TFAP2C.hg38	22	70	92447511
chr10	94363061	94363104	Q92754	TFAP2C.hg38	22	70	94363082
chr20	50744533	50744586	Q92754	TFAP2C.hg38	21	70	50744559
chr12	14257951	14258034	Q92754	TFAP2C.hg38	20	70	14257992
chr2	218672067	218672132	Q92754	TFAP2C.hg38	21	70	218672099
chr15	74382548	74382581	Q92754	TFAP2C.hg38	23	70	74382564
chr2	207769990	207770066	Q92754	TFAP2C.hg38	20	70	207770028
chr16	72746	72811	Q92754	TFAP2C.hg38	21	70	72778
chr10	103686297	103686324	Q92754	TFAP2C.hg38	23	70	103686310
chr10	12068978	12069024	Q92754	TFAP2C.hg38	21	70	12069001
chr9	94783317	94783365	Q92754	TFAP2C.hg38	18	69	94783341
chr2	11154987	11155040	Q92754	TFAP2C.hg38	21	69	11155013
chr1	20213085	20213120	Q92754	TFAP2C.hg38	22	69	20213102
chr5	55712436	55712475	Q92754	TFAP2C.hg38	22	69	55712455
chr1	70410938	70411035	Q92754	TFAP2C.hg38	19	69	70410986
chr20	32031460	32031491	Q92754	TFAP2C.hg38	23	69	32031475
chr1	205504865	205504932	Q92754	TFAP2C.hg38	21	69	205504898
chr16	89167559	89167592	Q92754	TFAP2C.hg38	20	69	89167575
chr14	51651441	51651510	Q92754	TFAP2C.hg38	22	69	51651475
chr9	32526348	32526391	Q92754	TFAP2C.hg38	20	69	32526369
chr17	5287009	5287050	Q92754	TFAP2C.hg38	22	69	5287029
