Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr15	63157252	63157297	P04637	TP53.hg38	108	435	63157274
chr1	181135128	181135161	P04637	TP53.hg38	113	423	181135144
chr13	113837418	113837450	P04637	TP53.hg38	106	403	113837434
chr8	29770618	29770651	P04637	TP53.hg38	107	390	29770634
chr1	44799926	44799983	P04637	TP53.hg38	95	381	44799954
chr6	36676436	36676475	P04637	TP53.hg38	104	380	36676455
chr17	69607357	69607388	P04637	TP53.hg38	107	378	69607372
chr9	92147441	92147473	P04637	TP53.hg38	107	373	92147457
chr4	83171165	83171198	P04637	TP53.hg38	104	373	83171181
chr7	40717489	40717518	P04637	TP53.hg38	104	370	40717503
chr17	39046871	39046904	P04637	TP53.hg38	105	362	39046887
chr12	19432015	19432046	P04637	TP53.hg38	105	356	19432030
chr12	68808946	68808981	P04637	TP53.hg38	101	353	68808963
chr6	150857342	150857371	P04637	TP53.hg38	105	353	150857356
chr1	244735598	244735629	P04637	TP53.hg38	97	352	244735613
chr1	9182141	9182186	P04637	TP53.hg38	101	349	9182163
chr13	50529510	50529543	P04637	TP53.hg38	102	346	50529526
chr19	18364977	18365042	P04637	TP53.hg38	94	345	18365009
chr6	36667247	36667274	P04637	TP53.hg38	100	343	36667260
chr9	115944295	115944324	P04637	TP53.hg38	98	341	115944309
chr11	47214987	47215017	P04637	TP53.hg38	100	340	47215002
chr5	58462262	58462291	P04637	TP53.hg38	96	338	58462276
chr5	37848057	37848088	P04637	TP53.hg38	96	333	37848072
chr2	101704208	101704235	P04637	TP53.hg38	102	333	101704221
chr4	122798380	122798407	P04637	TP53.hg38	98	333	122798393
chr6	111484117	111484161	P04637	TP53.hg38	99	331	111484139
chr4	76782088	76782115	P04637	TP53.hg38	100	329	76782101
chr2	70597080	70597113	P04637	TP53.hg38	99	329	70597096
chr8	127795770	127795804	P04637	TP53.hg38	95	328	127795787
chr17	57524127	57524158	P04637	TP53.hg38	97	328	57524142
chr1	67686773	67686803	P04637	TP53.hg38	101	327	67686788
chr12	124938725	124938754	P04637	TP53.hg38	104	326	124938739
chr8	102236836	102236867	P04637	TP53.hg38	97	325	102236851
chr1	234618578	234618611	P04637	TP53.hg38	95	324	234618594
chr12	2004641	2004678	P04637	TP53.hg38	100	324	2004659
chr19	47231357	47231396	P04637	TP53.hg38	93	323	47231376
chr14	66932792	66932821	P04637	TP53.hg38	99	323	66932806
chr21	33367373	33367402	P04637	TP53.hg38	96	323	33367387
chr15	88621304	88621337	P04637	TP53.hg38	95	322	88621320
chr11	65421321	65421350	P04637	TP53.hg38	98	321	65421335
chr1	212596554	212596589	P04637	TP53.hg38	100	319	212596571
chr9	121322523	121322552	P04637	TP53.hg38	98	319	121322537
chr17	50954418	50954447	P04637	TP53.hg38	94	317	50954432
chr8	142815832	142815860	P04637	TP53.hg38	98	316	142815846
chr3	153614786	153614817	P04637	TP53.hg38	95	314	153614801
chr1	182761551	182761582	P04637	TP53.hg38	94	314	182761566
chr9	82021411	82021440	P04637	TP53.hg38	91	313	82021425
chr4	74886677	74886706	P04637	TP53.hg38	91	310	74886691
chr2	170221842	170221871	P04637	TP53.hg38	96	310	170221856
chr5	164120027	164120056	P04637	TP53.hg38	92	310	164120041
chr4	156771597	156771629	P04637	TP53.hg38	90	310	156771613
chr16	20865942	20865977	P04637	TP53.hg38	99	309	20865959
chr19	41860384	41860451	P04637	TP53.hg38	93	309	41860417
chr9	136109819	136109852	P04637	TP53.hg38	96	309	136109835
chr19	18373948	18373981	P04637	TP53.hg38	100	306	18373964
chr5	36442500	36442533	P04637	TP53.hg38	90	306	36442516
chr9	112144959	112144988	P04637	TP53.hg38	95	304	112144973
chr19	6577590	6577619	P04637	TP53.hg38	93	304	6577604
chr1	111214636	111214671	P04637	TP53.hg38	89	303	111214653
chr8	49110592	49110627	P04637	TP53.hg38	83	303	49110609
chr8	123612527	123612560	P04637	TP53.hg38	90	303	123612543
chr16	4140859	4140890	P04637	TP53.hg38	94	303	4140874
chr13	48066736	48066763	P04637	TP53.hg38	90	303	48066749
chr8	66113601	66113646	P04637	TP53.hg38	93	302	66113623
chr14	32345494	32345521	P04637	TP53.hg38	89	300	32345507
chr16	25553896	25553927	P04637	TP53.hg38	90	299	25553911
chr1	72000983	72001021	P04637	TP53.hg38	83	297	72001002
chr7	43577647	43577676	P04637	TP53.hg38	93	297	43577661
chr1	214439625	214439656	P04637	TP53.hg38	94	297	214439640
chr8	8362961	8362994	P04637	TP53.hg38	93	296	8362977
chr1	180516202	180516261	P04637	TP53.hg38	82	296	180516231
chr5	111494781	111494810	P04637	TP53.hg38	90	296	111494795
chr5	57835394	57835423	P04637	TP53.hg38	87	295	57835408
chr4	41144972	41145001	P04637	TP53.hg38	90	294	41144986
chr14	50600373	50600406	P04637	TP53.hg38	93	294	50600389
chr6	118574159	118574188	P04637	TP53.hg38	89	294	118574173
chr12	120446326	120446369	P04637	TP53.hg38	94	294	120446347
chr14	34297934	34297966	P04637	TP53.hg38	86	293	34297950
chr10	87843259	87843288	P04637	TP53.hg38	89	292	87843273
chr3	195187773	195187808	P04637	TP53.hg38	89	292	195187790
chr5	174328848	174328875	P04637	TP53.hg38	92	292	174328861
chr19	46133562	46133593	P04637	TP53.hg38	98	291	46133577
chr19	48955203	48955236	P04637	TP53.hg38	97	291	48955219
chr12	88559875	88559910	P04637	TP53.hg38	76	290	88559892
chr7	138164908	138164939	P04637	TP53.hg38	85	289	138164923
chr6	75272324	75272353	P04637	TP53.hg38	87	288	75272338
chr15	80003337	80003364	P04637	TP53.hg38	88	287	80003350
chr16	89458628	89458657	P04637	TP53.hg38	94	287	89458642
