Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr6	52284804	52284888	Q16254	E2F4	8	35	52284846	0.9885
chr16	23678790	23678843	Q16254	E2F4	8	34	23678816	0.9532000002659856
chr13	33818110	33818132	Q16254	E2F4	9	33	33818121	0.9690159999117256
chr13	72727760	72727816	Q16254	E2F4	8	32	72727788	0.9615999997213482
chr11	62124010	62124043	Q16254	E2F4	9	32	62124026	0.960999999716878
chr1	163321943	163321973	Q16254	E2F4	8	32	163321958	0.9963999998569488
chr18	50375049	50375078	Q16254	E2F4	8	32	50375063	0.9768999997839332
chr15	48811245	48811270	Q16254	E2F4	9	32	48811257	0.9910999996766447
chr10	56361308	56361337	Q16254	E2F4	8	32	56361322	0.9825000000193717
chr20	833621	833642	Q16254	E2F4	8	32	833631	0.972981999501586
chr4	15681604	15681627	Q16254	E2F4	8	32	15681615	0.9832999999508262
chr9	92325898	92325932	Q16254	E2F4	8	32	92325915	0.9835500001527367
chr13	60163942	60163962	Q16254	E2F4	8	31	60163952	0.9735999997511506
chr4	120066813	120066835	Q16254	E2F4	9	31	120066824	0.9876000000059604
chr1	37692480	37692517	Q16254	E2F4	8	31	37692498	0.9660000002533198
chr8	25459188	25459217	Q16254	E2F4	8	31	25459202	0.9787960000500084
chr6	20401815	20401839	Q16254	E2F4	8	31	20401827	0.9610999999552964
chr11	78139718	78139751	Q16254	E2F4	8	31	78139734	0.9579999998033046
chr8	144517839	144517862	Q16254	E2F4	8	31	144517850	1.0
chr6	31739808	31739840	Q16254	E2F4	8	31	31739824	0.984200000026822
chr1	197146670	197146719	Q16254	E2F4	8	31	197146694	0.9929999998986722
chr2	110678068	110678098	Q16254	E2F4	8	31	110678083	0.9734999996334316
chr5	138179045	138179078	Q16254	E2F4	8	31	138179061	0.9633999998241664
chr6	136250341	136250363	Q16254	E2F4	8	31	136250352	0.971600000122562
chr6	126340103	126340134	Q16254	E2F4	8	30	126340118	0.9744579999625684
