Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr17	58391624	58391672	P20823	HNF1A	8	24	58391648	0.9585999999046324
chr6	142375481	142375511	P20823	HNF1A	8	24	142375496	0.9745999999877064
chr10	33156215	33156272	P20823	HNF1A	8	23	33156243	0.9706999999672176
chr6	56399781	56399862	P20823	HNF1A	7	23	56399821	0.9848000000856816
chr3	87206390	87206450	P20823	HNF1A	8	23	87206420	0.9746900000229478
chr9	96420540	96420638	P20823	HNF1A	8	22	96420589	0.9504999999806284
chr4	162684123	162684204	P20823	HNF1A	7	22	162684163	0.983699999795854
chr20	14986293	14986362	P20823	HNF1A	9	22	14986327	0.9516999997593464
chr5	83577207	83577255	P20823	HNF1A	8	22	83577231	0.9758999997809528
chr2	113218697	113218732	P20823	HNF1A	8	21	113218714	0.9861999999597668
chr7	116772672	116772725	P20823	HNF1A	8	21	116772698	0.9933999999314548
chr8	81194087	81194130	P20823	HNF1A	7	21	81194108	0.9792999999307096
chr5	74581202	74581262	P20823	HNF1A	7	21	74581232	0.9639999998874962
chr20	9594438	9594477	P20823	HNF1A	7	21	9594457	0.9564000001285226
chr12	117091109	117091217	P20823	HNF1A	8	21	117091163	0.9501999997448176
chr17	80006017	80006078	P20823	HNF1A	8	21	80006047	0.994400000011921
chr2	164711864	164711933	P20823	HNF1A	9	21	164711898	0.9739999999217688
chr10	58468726	58468789	P20823	HNF1A	8	21	58468757	0.9939000000089409
chr3	30597411	30597441	P20823	HNF1A	7	21	30597426	0.9753999998837708
chr6	122798430	122798476	P20823	HNF1A	6	20	122798453	0.9712999998625368
chr18	48930206	48930268	P20823	HNF1A	7	20	48930237	0.9754000000402332
chr12	13941975	13942024	P20823	HNF1A	7	20	13941999	1.0
chr15	66765941	66765991	P20823	HNF1A	6	20	66765966	0.9793000002585353
chr2	8633880	8633935	P20823	HNF1A	7	20	8633907	0.9949000000804664
chr6	160254892	160254975	P20823	HNF1A	7	20	160254933	0.9842000001594424
chr11	96012361	96012400	P20823	HNF1A	8	20	96012380	0.9753000002667308
chr9	91197325	91197396	P20823	HNF1A	7	20	91197360	0.9822000000841916
chr3	30721196	30721275	P20823	HNF1A	8	20	30721235	0.9902999999716878
chr6	3870157	3870236	P20823	HNF1A	8	20	3870196	0.965626000124216
chr8	61767584	61767674	P20823	HNF1A	6	19	61767629	0.9941999999165536
chr2	42195739	42195777	P20823	HNF1A	7	19	42195758	0.9762000001095236
chr6	85405448	85405491	P20823	HNF1A	7	19	85405469	0.9651999995186924
chr14	64938683	64938747	P20823	HNF1A	7	19	64938715	0.971799999883771
