Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr7	75617969	75618036	P49715	CEBPA.hg38	28	126	75618002
chr21	34908508	34908577	P49715	CEBPA.hg38	28	119	34908542
chr9	33290305	33290361	P49715	CEBPA.hg38	27	118	33290333
chr1	212636855	212636910	P49715	CEBPA.hg38	27	115	212636882
chr17	45229148	45229195	P49715	CEBPA.hg38	27	111	45229171
chr13	99046404	99046463	P49715	CEBPA.hg38	27	111	99046433
chr19	16328507	16328547	P49715	CEBPA.hg38	28	109	16328527
chr16	87779265	87779314	P49715	CEBPA.hg38	27	109	87779289
chr2	144704064	144704116	P49715	CEBPA.hg38	27	109	144704090
chr7	5397290	5397325	P49715	CEBPA.hg38	27	108	5397307
chr3	177338859	177338916	P49715	CEBPA.hg38	28	108	177338887
chr7	140253037	140253084	P49715	CEBPA.hg38	27	108	140253060
chr1	169605027	169605096	P49715	CEBPA.hg38	25	107	169605061
chr12	132866490	132866571	P49715	CEBPA.hg38	22	107	132866530
chr12	54304322	54304387	P49715	CEBPA.hg38	28	106	54304354
chr4	40621822	40621853	P49715	CEBPA.hg38	28	106	40621837
chr12	26274851	26274900	P49715	CEBPA.hg38	28	106	26274875
chr20	31610891	31610926	P49715	CEBPA.hg38	28	106	31610908
chr19	54208306	54208357	P49715	CEBPA.hg38	27	105	54208331
chr8	125513201	125513264	P49715	CEBPA.hg38	27	105	125513232
chr8	47369573	47369610	P49715	CEBPA.hg38	27	105	47369591
chr7	64999618	64999656	P49715	CEBPA.hg38	27	104	64999637
chr12	31749335	31749398	P49715	CEBPA.hg38	24	104	31749366
chr9	19161888	19161921	P49715	CEBPA.hg38	26	104	19161904
chr11	43869212	43869258	P49715	CEBPA.hg38	26	104	43869235
chr10	7046368	7046431	P49715	CEBPA.hg38	24	103	7046399
chr2	101308939	101308988	P49715	CEBPA.hg38	26	103	101308963
chr1	92459991	92460060	P49715	CEBPA.hg38	24	103	92460025
chr5	36657716	36657755	P49715	CEBPA.hg38	28	102	36657735
chr3	194089697	194089756	P49715	CEBPA.hg38	26	102	194089726
