Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	179882773	179882804	Q01892	SPIB	7	18	179882788	0.957200000011921
chr5	141960947	141960982	Q01892	SPIB	5	17	141960964	0.9969000000119208
chr1	156726000	156726039	Q01892	SPIB	6	17	156726019	0.9585999999850988
chr1	64864284	64864347	Q01892	SPIB	4	17	64864315	0.9601000001132488
chr21	34615433	34615469	Q01892	SPIB	6	17	34615451	0.9806000001497568
chr6	40149043	40149100	Q01892	SPIB	4	17	40149071	1.0
chr12	14614957	14615030	Q01892	SPIB	4	17	14614993	0.9933900000408292
chr2	100142616	100142669	Q01892	SPIB	4	16	100142642	0.9932000000685454
chr14	67816757	67816815	Q01892	SPIB	4	16	67816786	0.9571000001188368
chr2	65228433	65228511	Q01892	SPIB	5	16	65228472	0.9626999998226762
chr14	68268384	68268429	Q01892	SPIB	4	16	68268406	0.9723000000432134
chr2	60439559	60439583	Q01892	SPIB	4	16	60439571	0.9654999999381602
chr18	70036859	70036911	Q01892	SPIB	4	16	70036885	0.9764999998487532
chr9	2761649	2761698	Q01892	SPIB	4	16	2761673	0.9914999998688698
chr1	115976220	115976247	Q01892	SPIB	5	16	115976233	0.9815999999552966
chr18	3178072	3178133	Q01892	SPIB	5	16	3178102	0.964109999641776
chr1	206012228	206012269	Q01892	SPIB	4	16	206012248	0.9796000001892448
chr17	76408649	76408734	Q01892	SPIB	5	16	76408691	0.95279999987334
chr16	58243619	58243669	Q01892	SPIB	4	16	58243644	0.956099999826774
chr19	2631627	2631694	Q01892	SPIB	6	16	2631660	0.972600000019744
chr1	192609283	192609317	Q01892	SPIB	4	16	192609300	0.9712900000918656
chr8	18847093	18847128	Q01892	SPIB	4	16	18847110	0.979399999833107
chr11	118011118	118011189	Q01892	SPIB	4	16	118011153	0.9798000000730156
chr17	44348287	44348380	Q01892	SPIB	4	16	44348333	0.9678999999672174
chr9	99130249	99130351	Q01892	SPIB	4	16	99130300	0.9844999999687076
chr13	52921371	52921450	Q01892	SPIB	4	16	52921410	0.9829000000052154
chr7	122544649	122544696	Q01892	SPIB	4	16	122544672	0.9898000000596048
chr12	16199039	16199125	Q01892	SPIB	4	16	16199082	0.9878999999284744
chr18	79820225	79820290	Q01892	SPIB	4	16	79820257	0.9813000001545996
chr22	37285148	37285213	Q01892	SPIB	5	15	37285180	0.9574999999411404
chr1	37289051	37289088	Q01892	SPIB	4	15	37289069	0.9868999999076128
chr18	32907029	32907102	Q01892	SPIB	4	15	32907065	0.9845000000327826
chr1	184548277	184548340	Q01892	SPIB	5	15	184548308	0.9908999997079372
chr7	21355513	21355554	Q01892	SPIB	4	15	21355533	0.9777999999091028
chr3	129424417	129424478	Q01892	SPIB	4	15	129424447	0.9594999999798834
chr7	47574860	47574909	Q01892	SPIB	4	15	47574884	0.9569419999182224
chr8	102239843	102239872	Q01892	SPIB	5	15	102239857	0.9570000000201164
chr2	30683414	30683445	Q01892	SPIB	4	15	30683429	0.9646000001568348
chr3	112677035	112677096	Q01892	SPIB	4	15	112677065	0.9828000000491738
chr2	42752426	42752530	Q01892	SPIB	4	15	42752478	0.9707000000581144
chr14	93967864	93967925	Q01892	SPIB	4	15	93967894	1.0
chr5	125829482	125829520	Q01892	SPIB	4	15	125829501	1.0
chr12	116858189	116858246	Q01892	SPIB	4	15	116858217	0.9618999999500812
chr18	13893572	13893631	Q01892	SPIB	4	15	13893601	0.9990999999582768
chr7	50416629	50416666	Q01892	SPIB	4	15	50416647	0.9696000000752508
chr2	41955805	41955863	Q01892	SPIB	5	15	41955834	0.9861999999910592
chr1	183590596	183590663	Q01892	SPIB	4	15	183590629	0.9652999999381602
chr7	100887741	100887800	Q01892	SPIB	5	15	100887770	0.9990000000417232
chr1	111505978	111506007	Q01892	SPIB	4	15	111505992	0.9751999999672174
chr17	27806047	27806082	Q01892	SPIB	5	15	27806064	0.9912000001341104
chr2	58032414	58032505	Q01892	SPIB	4	15	58032459	0.9597999999959022
chr9	112061439	112061474	Q01892	SPIB	5	15	112061456	0.9623999997243284
chr13	109162348	109162399	Q01892	SPIB	4	15	109162373	1.0
chr8	37402042	37402131	Q01892	SPIB	4	15	37402086	0.960500000026822
chr10	63698588	63698645	Q01892	SPIB	5	15	63698616	0.9533939998295158
chr1	211677812	211677857	Q01892	SPIB	4	15	211677834	0.9510999998532236
chr1	154407450	154407481	Q01892	SPIB	4	15	154407465	0.9635500000201166
chr5	10505754	10505794	Q01892	SPIB	4	15	10505774	0.957200000102073
chr10	85947146	85947193	Q01892	SPIB	4	15	85947169	1.0
chr3	2944805	2944864	Q01892	SPIB	4	15	2944834	0.9898999999947846
chr3	5038068	5038109	Q01892	SPIB	5	15	5038088	0.9515200001209976
chr11	75773723	75773761	Q01892	SPIB	4	15	75773742	0.9890219997912644
chr14	24274276	24274348	Q01892	SPIB	5	15	24274312	0.961799999973178
chr3	46095450	46095517	Q01892	SPIB	4	15	46095483	0.977700000154227
chr7	134293232	134293297	Q01892	SPIB	4	15	134293264	0.9695999999925494
chr15	83956123	83956187	Q01892	SPIB	4	15	83956155	0.9886480000019072
chr3	188949151	188949181	Q01892	SPIB	4	14	188949166	0.976500000075996
chr8	11492194	11492218	Q01892	SPIB	4	14	11492206	0.988999999833107
chr7	116683983	116684016	Q01892	SPIB	4	14	116683999	0.9877000000596048
chr3	188941246	188941314	Q01892	SPIB	5	14	188941280	0.977700000121817
chr10	88108384	88108461	Q01892	SPIB	4	14	88108422	0.998399999755621
chr5	73174285	73174323	Q01892	SPIB	4	14	73174304	0.9747000000059604
chr3	42490430	42490507	Q01892	SPIB	4	14	42490468	0.9792000000938772
chr12	32139193	32139249	Q01892	SPIB	5	14	32139221	0.9582999999776484
chr13	97987037	97987070	Q01892	SPIB	4	14	97987053	0.9502999999657272
chr12	8037225	8037251	Q01892	SPIB	4	14	8037238	0.98309999987185
chr3	22156999	22157038	Q01892	SPIB	4	14	22157018	0.9925000001892448
chr1	160540305	160540354	Q01892	SPIB	4	14	160540329	0.9811000001199544
chr15	52102130	52102200	Q01892	SPIB	4	14	52102165	0.9501199996691198
chr12	4842622	4842666	Q01892	SPIB	4	14	4842644	0.9654999999284744
chr1	161718983	161719007	Q01892	SPIB	4	14	161718995	0.9691999999448656
chr10	14608646	14608684	Q01892	SPIB	4	14	14608665	0.9801000000357628
chr2	134079549	134079580	Q01892	SPIB	4	14	134079564	0.996599999961257
chr17	2089603	2089649	Q01892	SPIB	4	14	2089626	0.9692999999653548
chr10	92742402	92742449	Q01892	SPIB	4	14	92742425	0.9570999998167156
chr1	110384670	110384700	Q01892	SPIB	4	14	110384685	0.977599999769032
chr12	107737096	107737160	Q01892	SPIB	4	14	107737128	0.999799999898672
chr12	26156429	26156483	Q01892	SPIB	4	14	26156456	0.9867999999962748
chr9	89522557	89522601	Q01892	SPIB	4	14	89522579	0.9693999998316168
chr1	157774169	157774205	Q01892	SPIB	4	14	157774187	0.955299999895692
chr12	104642045	104642146	Q01892	SPIB	4	14	104642095	0.9573419999822974
chr11	10825057	10825106	Q01892	SPIB	4	14	10825081	0.9545560000501572
chr10	89466722	89466765	Q01892	SPIB	4	14	89466743	0.9959000000059604
chr16	48188631	48188702	Q01892	SPIB	4	14	48188666	0.9843739998564124
chr17	80737580	80737628	Q01892	SPIB	4	14	80737604	0.9990000000417232
chr12	103114527	103114602	Q01892	SPIB	4	14	103114564	0.969299999993667
chr2	44778854	44778892	Q01892	SPIB	4	14	44778873	0.9828999998658896
chr12	14613920	14613978	Q01892	SPIB	4	14	14613949	0.9877000000283122
chr17	77876011	77876047	Q01892	SPIB	4	14	77876029	0.9876000000257044
chr1	153805579	153805634	Q01892	SPIB	4	14	153805606	0.9999000000953674
chr21	34545414	34545461	Q01892	SPIB	4	14	34545437	0.974899999961257
chr21	34023051	34023088	Q01892	SPIB	5	14	34023069	0.9740999996781348
chr3	20126091	20126194	Q01892	SPIB	4	14	20126142	0.9539579999119044
chr9	124218848	124218893	Q01892	SPIB	4	14	124218870	0.9717999998651444
chr1	31769144	31769180	Q01892	SPIB	4	14	31769162	1.0
chr9	90827317	90827377	Q01892	SPIB	4	14	90827347	0.9705999999720604
chr12	21645407	21645445	Q01892	SPIB	4	14	21645426	0.9517000000931324
chr21	31327107	31327143	Q01892	SPIB	4	14	31327125	0.9513999999191612
chr12	101854896	101854961	Q01892	SPIB	4	14	101854928	0.9636000000223516
chr3	184765974	184766003	Q01892	SPIB	4	14	184765988	0.954099999697879
chr2	136207518	136207554	Q01892	SPIB	4	14	136207536	0.9663499999497086
chr2	64474468	64474510	Q01892	SPIB	4	14	64474489	0.9938000000745058
chr4	81635876	81635929	Q01892	SPIB	4	14	81635902	0.9530000002682208
chr12	25269859	25269898	Q01892	SPIB	4	14	25269878	0.9729999999515712
chr5	157291580	157291626	Q01892	SPIB	4	14	157291603	0.9763000003010036
