Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr14	49993061	49993132	Q92731	ESR2	6	27	49993096	0.9655000001810492
chr12	6278679	6278744	Q92731	ESR2	6	26	6278711	0.9665499997608364
chr1	2448071	2448144	Q92731	ESR2	6	26	2448107	0.9904999999612568
chr15	44194677	44194722	Q92731	ESR2	6	25	44194699	0.9707040000200272
chr18	48990994	48991067	Q92731	ESR2	6	25	48991030	0.9806499998368324
chr2	67872176	67872222	Q92731	ESR2	6	25	67872199	0.98889999999851
chr5	135297075	135297122	Q92731	ESR2	6	25	135297098	0.9832999999627472
chr2	47063654	47063725	Q92731	ESR2	6	24	47063689	0.9696000000722708
chr9	132134336	132134439	Q92731	ESR2	5	24	132134387	0.9696999998927116
chr1	85599195	85599256	Q92731	ESR2	5	24	85599225	0.9902000001490115
chr5	122849384	122849429	Q92731	ESR2	6	24	122849406	0.957049999883026
chr16	85306300	85306326	Q92731	ESR2	6	23	85306313	0.9879999998256564
chr17	77821202	77821230	Q92731	ESR2	6	23	77821216	0.962232000170648
chr10	78977949	78978025	Q92731	ESR2	6	23	78977987	0.9747000000350178
chr3	14256762	14256817	Q92731	ESR2	6	23	14256789	0.9867499999321996
chr17	40322472	40322496	Q92731	ESR2	6	23	40322484	0.9866000000163913
chr17	80831759	80831829	Q92731	ESR2	6	23	80831794	0.9891000002130866
chr22	39482980	39483016	Q92731	ESR2	6	23	39482998	0.9680000000819564
chr17	50944504	50944541	Q92731	ESR2	6	23	50944522	0.95530000044927
chr9	35665133	35665163	Q92731	ESR2	6	23	35665148	0.9811999998264016
chr17	44218264	44218297	Q92731	ESR2	6	23	44218280	1.0
chr18	8703584	8703612	Q92731	ESR2	6	23	8703598	0.9852000001713632
chr10	119317649	119317677	Q92731	ESR2	6	23	119317663	0.9992000001370906
chr17	57096920	57096989	Q92731	ESR2	6	23	57096954	0.9736000001132488
chr4	2937283	2937318	Q92731	ESR2	6	23	2937300	0.98660000006333
chr11	10490727	10490800	Q92731	ESR2	6	23	10490763	0.9834999997124076
chr13	50589790	50589810	Q92731	ESR2	6	23	50589800	0.999399999976158
chr15	98890286	98890361	Q92731	ESR2	5	22	98890323	0.9681999995701016
chr10	116080755	116080788	Q92731	ESR2	6	22	116080771	0.9757420001350344
chr18	39523446	39523511	Q92731	ESR2	6	22	39523478	0.96570000015907
chr9	130187313	130187340	Q92731	ESR2	6	22	130187326	0.9627999999076128
chr3	58041699	58041740	Q92731	ESR2	6	22	58041719	0.9579000000409782
chr10	126074955	126075040	Q92731	ESR2	5	22	126074997	0.981400000026822
chr14	93959624	93959690	Q92731	ESR2	6	22	93959657	0.97919999999851
chr8	17923228	17923311	Q92731	ESR2	5	22	17923269	0.9768000000216068
chr1	234724927	234724962	Q92731	ESR2	6	22	234724944	0.9892000000286848
chr17	65243881	65243905	Q92731	ESR2	6	22	65243893	0.9535999999515712
chr12	124393168	124393195	Q92731	ESR2	6	22	124393181	1.0
chr4	140635868	140635893	Q92731	ESR2	6	22	140635880	0.9721000000730156
chr1	40804111	40804139	Q92731	ESR2	6	22	40804125	0.973900000026077
chr15	63896999	63897035	Q92731	ESR2	6	22	63897017	0.9818999999791383
chr1	153511173	153511204	Q92731	ESR2	6	22	153511188	0.9651999999500812
chr10	87657551	87657580	Q92731	ESR2	6	22	87657565	0.967299999921024
chr1	183023983	183024056	Q92731	ESR2	6	22	183024019	0.9934000000625848
chr5	6743046	6743101	Q92731	ESR2	6	22	6743073	1.0
chr2	240450474	240450497	Q92731	ESR2	6	22	240450485	0.9939999999627472
chr9	129349541	129349572	Q92731	ESR2	6	22	129349556	0.951687999921292
chr1	31368935	31368968	Q92731	ESR2	6	22	31368951	0.9964000000953674
chr9	33221409	33221443	Q92731	ESR2	6	22	33221426	0.9530999998468904
chr16	85466163	85466193	Q92731	ESR2	6	22	85466178	0.9878999997686596
chr1	17879126	17879156	Q92731	ESR2	6	22	17879141	0.9640000000730156
chr6	108735449	108735478	Q92731	ESR2	6	22	108735463	0.9631000001959504
chr13	112968932	112968997	Q92731	ESR2	6	22	112968964	0.9970000001251698
chr20	62406689	62406742	Q92731	ESR2	6	22	62406715	0.999799999898672
chr5	149680352	149680380	Q92731	ESR2	6	22	149680366	0.98689999990277
chr3	194159135	194159160	Q92731	ESR2	6	22	194159147	0.9895999999001622
chr5	132378777	132378798	Q92731	ESR2	6	22	132378787	0.9742999998036772
chr3	159854738	159854767	Q92731	ESR2	6	22	159854752	0.9956000000357628
chr7	131625919	131625941	Q92731	ESR2	6	22	131625930	0.9673000000696628
chr3	72270175	72270214	Q92731	ESR2	6	22	72270194	0.97420000000149
chr13	30833146	30833175	Q92731	ESR2	6	22	30833160	0.9768999999269844
chr11	11416391	11416415	Q92731	ESR2	6	22	11416403	0.9829000000484288
chr17	74760815	74760838	Q92731	ESR2	6	22	74760826	0.9517999999016524
chr18	45565797	45565894	Q92731	ESR2	6	22	45565845	0.9984999996840954
chr15	69848722	69848760	Q92731	ESR2	6	22	69848741	1.0
chr18	22113585	22113619	Q92731	ESR2	6	21	22113602	0.966400000025332
chr7	43302487	43302527	Q92731	ESR2	6	21	43302507	0.9680000000476836
chr2	11498718	11498756	Q92731	ESR2	6	21	11498737	0.9598999999672174
chr2	99636778	99636830	Q92731	ESR2	6	21	99636804	0.9661000001206994
chr6	1641473	1641502	Q92731	ESR2	6	21	1641487	0.98129999993518
chr21	45386908	45386959	Q92731	ESR2	6	21	45386933	0.9630000000551344
chr1	24769927	24769959	Q92731	ESR2	6	21	24769943	0.9610299998424948
chr21	44874074	44874112	Q92731	ESR2	6	21	44874093	0.961499999928102
chr16	4369181	4369257	Q92731	ESR2	5	21	4369219	0.9909000000685454
chr10	68136532	68136604	Q92731	ESR2	5	21	68136568	0.9683000002145769
chr6	166628113	166628154	Q92731	ESR2	6	21	166628133	0.9778000001117588
chr8	10654829	10654873	Q92731	ESR2	6	21	10654851	0.9891999997526408
chr12	180752	180807	Q92731	ESR2	6	21	180779	0.9674000002264976
chr16	30065466	30065503	Q92731	ESR2	6	21	30065484	0.9517999999187888
chr14	68946076	68946106	Q92731	ESR2	6	21	68946091	0.9676999999608844
chr20	38145164	38145192	Q92731	ESR2	6	21	38145178	0.9650999998919666
chr19	36573227	36573271	Q92731	ESR2	6	21	36573249	0.9572000003442168
chr10	119165444	119165484	Q92731	ESR2	6	21	119165464	0.9623999998603016
chr8	12951487	12951527	Q92731	ESR2	6	21	12951507	0.9666999999143184
chr1	202016282	202016306	Q92731	ESR2	6	21	202016294	0.9531999997384846
chr6	135182601	135182631	Q92731	ESR2	6	21	135182616	0.999399999976158
chr10	123942304	123942384	Q92731	ESR2	5	21	123942344	0.956600000178814
chr7	44150654	44150677	Q92731	ESR2	6	21	44150665	0.990799999909103
chr20	1416218	1416246	Q92731	ESR2	6	21	1416232	0.9886999995496124
chr8	11730831	11730854	Q92731	ESR2	6	21	11730842	0.9680619995966554
chr7	47253718	47253747	Q92731	ESR2	6	21	47253732	0.9688999999985098
chr10	79440907	79440932	Q92731	ESR2	6	21	79440919	0.9969000000119208
chr4	1245561	1245602	Q92731	ESR2	6	21	1245581	0.994449999999255
chr3	141368386	141368434	Q92731	ESR2	6	21	141368410	0.9541000001616776
chr6	84466766	84466801	Q92731	ESR2	6	21	84466783	0.9997999999046324
chr4	173170091	173170127	Q92731	ESR2	6	21	173170109	0.9876999997898936
chr14	94028672	94028751	Q92731	ESR2	5	21	94028711	0.9923000000074506
chr21	37268044	37268083	Q92731	ESR2	6	21	37268063	0.9807000000361352
chr17	80906746	80906782	Q92731	ESR2	6	21	80906764	0.9725999999962748
chr2	43273748	43273787	Q92731	ESR2	6	21	43273767	0.958700000037998
chr9	127139226	127139311	Q92731	ESR2	5	21	127139268	1.0
chr8	66522625	66522657	Q92731	ESR2	6	21	66522641	0.984800000052154
chr6	105428665	105428746	Q92731	ESR2	5	21	105428705	0.9566999998558312
chr14	99590735	99590773	Q92731	ESR2	6	21	99590754	0.985399999973178
chr1	113976779	113976800	Q92731	ESR2	6	21	113976789	1.0
chr14	61765353	61765388	Q92731	ESR2	6	21	61765370	0.9552960002347828
chr15	79170613	79170652	Q92731	ESR2	6	21	79170632	0.999927999997139
chr16	86931436	86931461	Q92731	ESR2	6	21	86931448	0.9967000001192092
chr1	19596811	19596867	Q92731	ESR2	6	21	19596839	0.9588999999761582
chr12	57088772	57088803	Q92731	ESR2	6	21	57088787	0.978699999826774
chr21	15005491	15005526	Q92731	ESR2	6	21	15005508	1.0
chr9	127955859	127955901	Q92731	ESR2	6	21	127955880	0.9543000001698732
chr5	53477275	53477298	Q92731	ESR2	6	21	53477286	1.0
chr19	4970931	4970958	Q92731	ESR2	6	21	4970944	0.9569999997511506
chr1	24364716	24364744	Q92731	ESR2	6	21	24364730	0.9803999995917082
chr1	206501444	206501476	Q92731	ESR2	6	21	206501460	0.979699999627471
chr1	200429388	200429413	Q92731	ESR2	6	21	200429400	0.966100000320375
chr18	23627434	23627466	Q92731	ESR2	6	21	23627450	0.9553999995492398
chr9	75101226	75101251	Q92731	ESR2	6	21	75101238	0.9796999999150634
chr2	27796055	27796112	Q92731	ESR2	4	21	27796083	0.9732999998655172
chr15	39668639	39668675	Q92731	ESR2	6	21	39668657	0.998799999976158
chr22	43400096	43400141	Q92731	ESR2	6	21	43400118	0.9726000001184644
chr8	37144988	37145016	Q92731	ESR2	6	21	37145002	0.9936100001215936
chr19	1513256	1513287	Q92731	ESR2	6	21	1513271	0.9582000000853091
chr14	64235079	64235125	Q92731	ESR2	6	21	64235102	0.9910139999359846
chr19	1260904	1260941	Q92731	ESR2	6	21	1260922	0.9693999998342244
chr4	55730888	55730910	Q92731	ESR2	6	21	55730899	0.9724999999742956
chr4	139956845	139956872	Q92731	ESR2	6	21	139956858	0.9900299999058246
chr9	91101038	91101065	Q92731	ESR2	6	21	91101051	0.993200000089407
chr12	103841922	103841950	Q92731	ESR2	6	20	103841936	0.9591839998826384
chr19	45154337	45154408	Q92731	ESR2	5	20	45154372	0.970299999949336
chr1	117018227	117018258	Q92731	ESR2	6	20	117018242	0.9893999996721744
chr2	240369539	240369586	Q92731	ESR2	6	20	240369562	0.9964999997854233
chr11	8688889	8688928	Q92731	ESR2	5	20	8688908	0.953569999872148
chr11	68018559	68018585	Q92731	ESR2	6	20	68018572	0.9749599996082484
chr19	38321768	38321795	Q92731	ESR2	5	20	38321781	0.9523000001356006
chr15	42066780	42066806	Q92731	ESR2	6	20	42066793	0.985199999835342
chr20	58630187	58630228	Q92731	ESR2	5	20	58630207	1.0
chr11	75349604	75349692	Q92731	ESR2	6	20	75349648	0.9735999999009072
chr4	185535414	185535495	Q92731	ESR2	5	20	185535454	0.968200000023842
chr3	5021580	5021601	Q92731	ESR2	6	20	5021590	0.975800000064075
chr14	95483298	95483337	Q92731	ESR2	6	20	95483317	0.9902000000998378
chr3	160805007	160805032	Q92731	ESR2	5	20	160805019	0.962899999897182
chr3	150844685	150844711	Q92731	ESR2	6	20	150844698	0.996999999898672
chr1	179883156	179883209	Q92731	ESR2	6	20	179883182	0.957200000011921
chr7	54993325	54993350	Q92731	ESR2	6	20	54993337	0.9761999999977647
chr14	94321507	94321546	Q92731	ESR2	6	20	94321526	0.9742999999523164
chr8	22561275	22561300	Q92731	ESR2	6	20	22561287	0.9733000001221896
chr5	173499194	173499248	Q92731	ESR2	5	20	173499221	0.9988000000596048
chr22	43970224	43970291	Q92731	ESR2	5	20	43970257	0.964458000076562
chr12	12723745	12723786	Q92731	ESR2	6	20	12723765	0.9984999999821186
chr9	129176469	129176493	Q92731	ESR2	6	20	129176481	0.9946000000059604
chr5	172920072	172920156	Q92731	ESR2	6	20	172920114	0.9621639997534454
