Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr4	165327472	165327542	Q12772	SREBF2	7	23	165327507	0.9940999997079372
chr5	43313708	43313746	Q12772	SREBF2	6	20	43313727	0.9555999999448656
chr8	124998318	124998368	Q12772	SREBF2	7	19	124998343	0.9769999997593464
chr10	3785391	3785462	Q12772	SREBF2	7	19	3785426	0.9979999999523164
chr5	111512680	111512753	Q12772	SREBF2	6	18	111512716	1.0
chr8	11802548	11802623	Q12772	SREBF2	6	18	11802585	0.9658000002250076
chr11	6481503	6481556	Q12772	SREBF2	5	17	6481529	0.9915000000134112
chr2	11744190	11744259	Q12772	SREBF2	6	17	11744224	0.9968999999761582
chr6	26568814	26568839	Q12772	SREBF2	6	17	26568826	0.9612199995920062
chr6	26571927	26571970	Q12772	SREBF2	7	16	26571948	0.9759999996781348
chr9	124110490	124110519	Q12772	SREBF2	5	16	124110504	0.9565999998934568
chr17	17840202	17840271	Q12772	SREBF2	7	16	17840236	0.9902999999970198
chr5	72308403	72308470	Q12772	SREBF2	5	16	72308436	0.9767000002607704
chr1	54887293	54887320	Q12772	SREBF2	6	16	54887306	0.979099999918416
chr11	66421794	66421821	Q12772	SREBF2	5	15	66421807	1.0
chr10	100347021	100347081	Q12772	SREBF2	5	15	100347051	0.9655999998867512
chr2	27050724	27050767	Q12772	SREBF2	6	15	27050745	0.9625799996431916
chr11	71448478	71448531	Q12772	SREBF2	6	15	71448504	1.0
chr1	36464416	36464449	Q12772	SREBF2	5	15	36464432	0.9665000000581144
chr14	75660939	75660964	Q12772	SREBF2	6	15	75660951	0.9697999997846782
chr18	23586915	23586968	Q12772	SREBF2	5	15	23586941	0.9677999998942016
chr3	5023450	5023501	Q12772	SREBF2	5	14	5023475	0.9700900000914932
chr17	28319022	28319099	Q12772	SREBF2	5	14	28319060	0.9704999994404614
chr19	39412272	39412319	Q12772	SREBF2	6	14	39412295	0.990925999839604
chr5	168579786	168579849	Q12772	SREBF2	6	14	168579817	0.9575839999426156
chr19	1940743	1940796	Q12772	SREBF2	6	14	1940769	0.9763279998630284
chr1	11806115	11806160	Q12772	SREBF2	5	14	11806137	0.9647000001896172
chr1	1116187	1116256	Q12772	SREBF2	5	14	1116221	0.961499999960512
chr19	12832574	12832621	Q12772	SREBF2	5	14	12832597	0.9731199999332428
chr6	53359466	53359497	Q12772	SREBF2	7	14	53359481	0.9736999998882412
chr6	53349001	53349049	Q12772	SREBF2	5	13	53349025	0.9620999998327344
chr20	36808983	36809078	Q12772	SREBF2	3	13	36809030	0.950200000077486
chr17	80856615	80856685	Q12772	SREBF2	4	13	80856650	0.9873999999552964
chr14	95534809	95534879	Q12772	SREBF2	4	13	95534844	0.9933479999754578
chr16	22195789	22195842	Q12772	SREBF2	5	13	22195815	0.9538019997879864
chr12	92145925	92145966	Q12772	SREBF2	4	13	92145945	0.9809779999129474
chr17	17823812	17823851	Q12772	SREBF2	5	13	17823831	0.9860000000342728
chr3	48661854	48661885	Q12772	SREBF2	5	13	48661869	0.97933199993968
chr11	121292643	121292696	Q12772	SREBF2	5	13	121292669	0.9909999999046326
chr6	16322560	16322589	Q12772	SREBF2	5	13	16322574	0.9773279998853802
chr1	55039454	55039499	Q12772	SREBF2	4	13	55039476	0.9931000000059604
chr9	35658072	35658103	Q12772	SREBF2	6	13	35658087	0.9630999998729676
chr1	44674579	44674638	Q12772	SREBF2	5	13	44674608	0.9638999998159706
chr2	111920421	111920446	Q12772	SREBF2	4	13	111920433	0.963399999883026
chr22	30261284	30261317	Q12772	SREBF2	4	13	30261300	1.0
chr1	110964017	110964074	Q12772	SREBF2	5	13	110964045	0.9694999999806284
chr1	85279031	85279058	Q12772	SREBF2	4	12	85279044	0.9574000002563
chr19	342904	342953	Q12772	SREBF2	3	12	342928	0.970165999905765
chr11	119381726	119381765	Q12772	SREBF2	4	12	119381745	0.9551000000193716
chr14	20461685	20461722	Q12772	SREBF2	5	12	20461703	0.9863999997571112
chr17	50178441	50178556	Q12772	SREBF2	3	12	50178498	0.9625000000327826
chr18	49561960	49561999	Q12772	SREBF2	4	12	49561979	0.986399999846518
chr14	100068628	100068681	Q12772	SREBF2	3	12	100068654	0.9747000000979752
chr6	36118684	36118703	Q12772	SREBF2	3	12	36118693	0.9761999997660518
chr12	26130809	26130852	Q12772	SREBF2	3	12	26130830	1.0
chr11	121575384	121575433	Q12772	SREBF2	3	12	121575408	0.9879999999165536
chr5	176897499	176897552	Q12772	SREBF2	3	12	176897525	0.9646000001698732
chr20	50980390	50980429	Q12772	SREBF2	4	12	50980409	0.9574000000104308
chr19	31066546	31066582	Q12772	SREBF2	4	12	31066564	0.9880800000429152
chr11	117907421	117907443	Q12772	SREBF2	4	12	117907432	0.9970999999344348
chr1	94713845	94713922	Q12772	SREBF2	3	12	94713883	0.9915000001609324
