Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr9	134164639	134164730	P14859	POU2F1	14	40	134164684	0.9670000001527368
chr11	57324984	57325037	P14859	POU2F1	15	40	57325010	1.0
chr3	129053900	129053981	P14859	POU2F1	12	37	129053940	0.9569000000067056
chr20	37528140	37528179	P14859	POU2F1	14	36	37528159	0.9802999999597668
chr11	14359195	14359258	P14859	POU2F1	14	36	14359226	0.951599999782443
chr15	67840122	67840208	P14859	POU2F1	13	33	67840165	0.9763000001475216
chr6	26123926	26124002	P14859	POU2F1	12	30	26123964	0.9775000000968576
chr9	34458569	34458647	P14859	POU2F1	13	28	34458608	0.9649999999120832
chr12	6943662	6943739	P14859	POU2F1	12	28	6943700	0.9822380003150551
chr14	32203364	32203421	P14859	POU2F1	15	28	32203392	0.9726999999150634
chr1	210374337	210374447	P14859	POU2F1	11	27	210374392	0.9620999998975546
chr11	64317818	64317919	P14859	POU2F1	11	27	64317868	0.9543000004291534
chr2	121530774	121530833	P14859	POU2F1	13	26	121530803	0.9699999998118728
chr6	27893291	27893386	P14859	POU2F1	11	26	27893338	0.9751999999757855
chr4	1714770	1714829	P14859	POU2F1	12	25	1714799	0.9750499998532236
chr4	112100096	112100180	P14859	POU2F1	12	25	112100138	0.9795999999545516
chr9	35658005	35658104	P14859	POU2F1	12	25	35658054	0.9630999998729676
chr11	62591749	62591805	P14859	POU2F1	11	24	62591777	0.9527280001241714
chr1	163379921	163379996	P14859	POU2F1	9	24	163379958	0.9915000000417232
chr1	202010393	202010489	P14859	POU2F1	11	23	202010441	0.963399999895692
chr6	20401681	20401762	P14859	POU2F1	10	23	20401721	0.9610999999552964
chr1	48302699	48302776	P14859	POU2F1	8	23	48302737	0.9981999996602536
chr11	71451927	71452019	P14859	POU2F1	12	22	71451973	0.9923
chr6	27837276	27837335	P14859	POU2F1	11	21	27837305	0.9558000000685454
chr3	112641389	112641490	P14859	POU2F1	7	20	112641439	0.984899999986589
chr19	21435298	21435333	P14859	POU2F1	8	19	21435315	0.9556999998554588
chr6	27132795	27132849	P14859	POU2F1	9	19	27132822	0.9727999997228384
chr3	129399769	129399828	P14859	POU2F1	7	19	129399798	0.9716999999374152
chr20	10674104	10674133	P14859	POU2F1	10	19	10674118	0.9727000000014902
chr1	149886708	149886761	P14859	POU2F1	9	19	149886734	0.960560000295937
chr5	40307032	40307085	P14859	POU2F1	6	19	40307058	0.98989999999851
chr11	75146519	75146616	P14859	POU2F1	8	19	75146567	0.9738999996110796
chr5	91378704	91378751	P14859	POU2F1	6	18	91378727	1.0
chr6	68080256	68080332	P14859	POU2F1	7	18	68080294	0.9903999999500812
chr7	154842058	154842119	P14859	POU2F1	7	17	154842088	0.99499999999851
chr22	37259250	37259287	P14859	POU2F1	9	17	37259268	0.9909999998807908
chr14	105168759	105168811	P14859	POU2F1	6	17	105168785	1.0
chr7	100429190	100429263	P14859	POU2F1	7	17	100429226	0.9643999999184162
chr10	16891657	16891737	P14859	POU2F1	8	17	16891697	0.975200000180304
chr6	102742156	102742211	P14859	POU2F1	6	17	102742183	1.0
chr10	79445874	79445958	P14859	POU2F1	8	17	79445916	0.995899999922514
chr6	43759333	43759424	P14859	POU2F1	7	16	43759378	0.9827479997679592
chr19	56931283	56931394	P14859	POU2F1	6	16	56931338	0.9551099996879696
chr1	55217980	55218013	P14859	POU2F1	8	16	55217996	0.9533819996245204
chr8	29860329	29860360	P14859	POU2F1	6	16	29860344	0.9808999998286366
chr2	238288910	238288957	P14859	POU2F1	6	16	238288933	0.9773999998867512
chr2	45263252	45263276	P14859	POU2F1	7	16	45263264	0.986100000049174
chr2	117726233	117726281	P14859	POU2F1	8	16	117726257	0.9755
chr2	64228371	64228407	P14859	POU2F1	8	15	64228389	0.9759999999374152
chr11	130002845	130002924	P14859	POU2F1	9	15	130002884	0.9713000002428888
chr1	227392113	227392190	P14859	POU2F1	6	15	227392151	0.952999999946356
chr1	223876539	223876559	P14859	POU2F1	6	15	223876549	0.965400000050664
chr6	26199402	26199453	P14859	POU2F1	6	15	26199427	0.9901000001758336
chr4	59823584	59823653	P14859	POU2F1	5	15	59823618	0.9747999999940395
chr13	110715355	110715450	P14859	POU2F1	7	15	110715402	0.9894000000983476
chr6	52995428	52995491	P14859	POU2F1	7	14	52995459	0.9568000000074506
chr6	26158061	26158108	P14859	POU2F1	9	14	26158084	0.9612000001780688
chr18	30271873	30271894	P14859	POU2F1	6	14	30271883	0.9987999999463558
chr1	228458011	228458054	P14859	POU2F1	6	14	228458032	0.9502999997243284
chr3	81242999	81243060	P14859	POU2F1	6	14	81243029	1.0
chr17	47957900	47957985	P14859	POU2F1	7	14	47957942	0.955100000051409
chr5	115306362	115306397	P14859	POU2F1	8	14	115306379	0.9994999998927117
chr8	101608090	101608164	P14859	POU2F1	4	14	101608127	0.9877000001251698
chr7	44082662	44082697	P14859	POU2F1	7	14	44082679	0.9669000000722706
chr10	71202433	71202474	P14859	POU2F1	6	13	71202453	0.9820999999456108
chr17	2401596	2401700	P14859	POU2F1	6	13	2401648	0.9808999999836088
chr4	180542566	180542605	P14859	POU2F1	8	13	180542585	0.9777999997496604
chr12	68404588	68404609	P14859	POU2F1	6	13	68404598	0.9731999999195338
chr2	14540273	14540302	P14859	POU2F1	6	13	14540287	0.989499999974668
chr4	140558283	140558310	P14859	POU2F1	5	13	140558296	0.988300000309944
chr1	67685109	67685153	P14859	POU2F1	7	13	67685131	0.9855000000581146
chr10	14185296	14185325	P14859	POU2F1	4	13	14185310	0.9803999998793006
chr6	154343926	154344022	P14859	POU2F1	6	13	154343974	0.9743999998763204
chr9	14322682	14322730	P14859	POU2F1	6	13	14322706	1.0
chr1	90926292	90926369	P14859	POU2F1	7	13	90926330	0.9701000000581144
chr1	38053307	38053350	P14859	POU2F1	7	13	38053328	0.9762000000350176
chr8	122781588	122781645	P14859	POU2F1	6	12	122781616	0.9874000000745058
chr17	14300940	14300976	P14859	POU2F1	6	12	14300958	0.9999000000953674
chr2	151680110	151680189	P14859	POU2F1	5	12	151680149	1.0
chr2	1601341	1601370	P14859	POU2F1	6	12	1601355	0.985395999890566
chr11	46277575	46277599	P14859	POU2F1	5	12	46277587	0.9766999999284744
chr8	21918455	21918488	P14859	POU2F1	7	12	21918471	0.9879999997198582
chr6	26183663	26183718	P14859	POU2F1	5	12	26183690	0.9613000000897794
chr10	3482497	3482518	P14859	POU2F1	6	12	3482507	0.9984000000178814
chr1	61081880	61081971	P14859	POU2F1	5	12	61081925	1.0
chr3	100539429	100539453	P14859	POU2F1	6	12	100539441	0.9794999994784592
chr11	27472826	27472878	P14859	POU2F1	5	12	27472852	0.9650000000201164
chr9	79571877	79571906	P14859	POU2F1	5	12	79571891	0.9800000000193716
chr9	11065133	11065186	P14859	POU2F1	5	12	11065159	0.9963999998927116
chr5	141692588	141692687	P14859	POU2F1	6	12	141692637	0.9919999998927116
chr17	78012556	78012596	P14859	POU2F1	5	12	78012576	0.9861999999701976
chr8	55879714	55879751	P14859	POU2F1	6	12	55879732	0.956849999840185
chr18	21167817	21167837	P14859	POU2F1	5	12	21167827	0.9544000000029802
