Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	180596034	180596083	Q99453	PHOX2B	3	15	180596058	0.9615999998159708
chr3	59299616	59299705	Q99453	PHOX2B	3	15	59299660	0.9762000000569968
chr12	45217269	45217314	Q99453	PHOX2B	3	14	45217291	0.9756999997574836
chr21	15993962	15994045	Q99453	PHOX2B	3	14	15994003	0.9561000000610947
chr7	11659617	11659676	Q99453	PHOX2B	3	14	11659646	1.0
chr11	36997814	36997881	Q99453	PHOX2B	3	14	36997847	0.9826999998405576
chr5	146909898	146909996	Q99453	PHOX2B	3	14	146909947	0.9649999996151776
chr4	41752246	41752295	Q99453	PHOX2B	3	14	41752270	1.0
chr3	103905180	103905219	Q99453	PHOX2B	3	14	103905199	0.9997000002861024
chr4	179933174	179933237	Q99453	PHOX2B	3	14	179933205	0.9699000000402332
chr11	32225769	32225830	Q99453	PHOX2B	3	14	32225799	0.9581999998301268
chr16	52400947	52401006	Q99453	PHOX2B	3	13	52400976	0.9894000000491738
chr13	21504472	21504533	Q99453	PHOX2B	3	13	21504502	0.9691999999895692
chr9	20032382	20032464	Q99453	PHOX2B	3	13	20032423	0.9805999998137356
chr2	187858031	187858102	Q99453	PHOX2B	3	13	187858066	0.9747999997794627
chr18	44245171	44245224	Q99453	PHOX2B	3	13	44245197	0.9932000000059604
chr12	84077824	84077897	Q99453	PHOX2B	3	13	84077860	0.9807000000432132
chr3	8651007	8651078	Q99453	PHOX2B	3	13	8651042	0.9538000001221896
chr2	136113099	136113227	Q99453	PHOX2B	3	13	136113163	0.999600000077486
chr1	47849160	47849228	Q99453	PHOX2B	3	13	47849194	0.999600000077486
chr3	59710704	59710740	Q99453	PHOX2B	3	13	59710722	0.9908999999761582
chr11	21616536	21616621	Q99453	PHOX2B	3	13	21616578	1.0
chr9	25454054	25454147	Q99453	PHOX2B	3	13	25454100	0.99529999999851
chr4	169246612	169246719	Q99453	PHOX2B	3	13	169246665	0.9571000000979752
chr13	35786157	35786194	Q99453	PHOX2B	3	13	35786175	0.9913999999925496
chr18	74683787	74683840	Q99453	PHOX2B	3	13	74683813	0.9996999999880792
chr9	90330461	90330510	Q99453	PHOX2B	3	13	90330485	0.9688999997556208
chr11	100720077	100720112	Q99453	PHOX2B	3	13	100720094	0.9660000001609326
chr12	89453299	89453382	Q99453	PHOX2B	3	13	89453340	0.9842999997101723
chr10	1949313	1949370	Q99453	PHOX2B	3	13	1949341	0.9680500002484768
chr9	127765883	127765985	Q99453	PHOX2B	3	13	127765934	0.9628619998883456
chr17	53128190	53128261	Q99453	PHOX2B	3	13	53128225	0.9948999999761582
chr14	100784065	100784106	Q99453	PHOX2B	3	13	100784085	0.9853999998837708
chr13	97310944	97310991	Q99453	PHOX2B	3	13	97310967	0.9855999999903142
chr22	44574981	44575064	Q99453	PHOX2B	3	13	44575022	0.986900000101328
chr16	16932418	16932497	Q99453	PHOX2B	3	13	16932457	0.9721000002525748
chr5	67362265	67362312	Q99453	PHOX2B	3	13	67362288	0.9862999998882412
chr15	46243040	46243157	Q99453	PHOX2B	3	13	46243098	0.9791000001907348
chr8	80752134	80752221	Q99453	PHOX2B	3	13	80752177	0.9577260000314564
chr8	94851708	94851785	Q99453	PHOX2B	3	13	94851746	0.95649999987036
chr3	139262215	139262282	Q99453	PHOX2B	3	13	139262248	0.972200000076741
chr1	50103678	50103743	Q99453	PHOX2B	3	13	50103710	0.9717000000178814
chr3	102170270	102170319	Q99453	PHOX2B	3	13	102170294	0.9700339997589588
chr2	200430237	200430314	Q99453	PHOX2B	3	13	200430275	0.9723999998286368
chr11	130074918	130075011	Q99453	PHOX2B	3	13	130074964	0.9590000002596528
chr1	187887592	187887688	Q99453	PHOX2B	3	13	187887640	0.958299999986589
chr14	68164832	68164889	Q99453	PHOX2B	3	13	68164860	0.9883999999672174
chr4	65415633	65415705	Q99453	PHOX2B	3	13	65415669	0.990100000000745
chr6	43942136	43942195	Q99453	PHOX2B	3	13	43942165	0.9997999999046324
chr4	185911706	185911743	Q99453	PHOX2B	3	13	185911724	0.9674000000670552
chr6	91633958	91633998	Q99453	PHOX2B	3	13	91633978	0.9980659999012949
