Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr15	69143881	69143912	Q8TDD2	SP7.hg38	1	5	69143896
chr1	175841961	175841992	Q8TDD2	SP7.hg38	1	5	175841976
chr10	14468095	14468126	Q8TDD2	SP7.hg38	1	5	14468110
chr16	80996826	80996857	Q8TDD2	SP7.hg38	1	5	80996841
chr1	46691068	46691099	Q8TDD2	SP7.hg38	1	5	46691083
chr8	28259008	28259039	Q8TDD2	SP7.hg38	1	5	28259023
chr5	14428590	14428621	Q8TDD2	SP7.hg38	1	5	14428605
chr11	95524507	95524538	Q8TDD2	SP7.hg38	1	5	95524522
chr6	137853808	137853839	Q8TDD2	SP7.hg38	1	5	137853823
chr7	84675718	84675749	Q8TDD2	SP7.hg38	1	5	84675733
chr1	68331325	68331356	Q8TDD2	SP7.hg38	1	5	68331340
chr6	11270225	11270256	Q8TDD2	SP7.hg38	1	5	11270240
chr6	133983537	133983568	Q8TDD2	SP7.hg38	1	4	133983552
chr6	3438644	3438675	Q8TDD2	SP7.hg38	1	4	3438659
chr1	80054338	80054369	Q8TDD2	SP7.hg38	1	4	80054353
chr1	221794485	221794516	Q8TDD2	SP7.hg38	1	4	221794500
chr5	76709937	76709968	Q8TDD2	SP7.hg38	1	4	76709952
chr14	60650748	60650779	Q8TDD2	SP7.hg38	1	4	60650763
chr20	25252990	25253021	Q8TDD2	SP7.hg38	1	4	25253005
chr6	42896351	42896382	Q8TDD2	SP7.hg38	1	4	42896366
chr2	152420130	152420161	Q8TDD2	SP7.hg38	1	4	152420145
chr6	154457271	154457302	Q8TDD2	SP7.hg38	1	4	154457286
chr13	41774786	41774817	Q8TDD2	SP7.hg38	1	4	41774801
chr10	32032124	32032155	Q8TDD2	SP7.hg38	1	4	32032139
chr12	12398371	12398402	Q8TDD2	SP7.hg38	1	4	12398386
chr12	12230454	12230485	Q8TDD2	SP7.hg38	1	4	12230469
chr20	32772149	32772180	Q8TDD2	SP7.hg38	1	4	32772164
chr5	147507707	147507738	Q8TDD2	SP7.hg38	1	4	147507722
chr10	110261267	110261298	Q8TDD2	SP7.hg38	1	4	110261282
chr2	148904140	148904171	Q8TDD2	SP7.hg38	1	4	148904155
chr7	30162960	30162991	Q8TDD2	SP7.hg38	1	4	30162975
chr17	77543207	77543238	Q8TDD2	SP7.hg38	1	4	77543222
chr13	40749786	40749817	Q8TDD2	SP7.hg38	1	4	40749801
chr17	43724156	43724187	Q8TDD2	SP7.hg38	1	4	43724171
chr12	12899655	12899686	Q8TDD2	SP7.hg38	1	4	12899670
chr7	32887539	32887570	Q8TDD2	SP7.hg38	1	4	32887554
chr10	93333693	93333724	Q8TDD2	SP7.hg38	1	4	93333708
chr1	162094469	162094500	Q8TDD2	SP7.hg38	1	4	162094484
chr17	1413558	1413589	Q8TDD2	SP7.hg38	1	4	1413573
chr18	48569605	48569636	Q8TDD2	SP7.hg38	1	4	48569620
chr3	190911487	190911518	Q8TDD2	SP7.hg38	1	4	190911502
chr1	66450256	66450287	Q8TDD2	SP7.hg38	1	4	66450271
chr4	145484410	145484441	Q8TDD2	SP7.hg38	1	4	145484425
chr6	42674566	42674597	Q8TDD2	SP7.hg38	1	4	42674581
chr6	85469789	85469820	Q8TDD2	SP7.hg38	1	4	85469804
chr19	47858445	47858476	Q8TDD2	SP7.hg38	1	4	47858460
chr6	42721015	42721046	Q8TDD2	SP7.hg38	1	4	42721030
chr8	123026312	123026343	Q8TDD2	SP7.hg38	1	4	123026327
chr12	114914462	114914493	Q8TDD2	SP7.hg38	1	4	114914477
chr16	14501697	14501728	Q8TDD2	SP7.hg38	1	4	14501712
chr11	67055152	67055183	Q8TDD2	SP7.hg38	1	4	67055167
chr5	116044268	116044299	Q8TDD2	SP7.hg38	1	4	116044283
chr8	120384376	120384407	Q8TDD2	SP7.hg38	1	4	120384391
chr1	212515700	212515731	Q8TDD2	SP7.hg38	1	4	212515715
chr5	116378573	116378604	Q8TDD2	SP7.hg38	1	4	116378588
chr7	127654587	127654618	Q8TDD2	SP7.hg38	1	4	127654602
chr7	6077236	6077267	Q8TDD2	SP7.hg38	1	4	6077251
chr1	31170907	31170938	Q8TDD2	SP7.hg38	1	4	31170922
chr14	59239211	59239242	Q8TDD2	SP7.hg38	1	4	59239226
chr22	43025257	43025288	Q8TDD2	SP7.hg38	1	4	43025272
chr17	71855207	71855238	Q8TDD2	SP7.hg38	1	4	71855222
chr6	155174743	155174774	Q8TDD2	SP7.hg38	1	4	155174758
chr7	105770345	105770376	Q8TDD2	SP7.hg38	1	4	105770360
chr10	87701667	87701698	Q8TDD2	SP7.hg38	1	4	87701682
chr1	151988560	151988591	Q8TDD2	SP7.hg38	1	4	151988575
chr7	2409062	2409093	Q8TDD2	SP7.hg38	1	4	2409077
chr15	48880393	48880424	Q8TDD2	SP7.hg38	1	4	48880408
chr1	85460872	85460903	Q8TDD2	SP7.hg38	1	4	85460887
